Daggett County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,29.2,1.1
199002,29.7,1.6
199003,29.7,1.6
199004,29.6,1.5
199005,29.5,1.4
199006,29.7,1.6
199007,29.6,1.5
199008,29.6,1.5
199009,30.0,1.9
199010,30.1,2.0
199011,29.9,1.8
199012,29.1,1.0
199101,28.8,0.7
199102,29.1,1.0
199103,28.6,0.5
199104,28.2,0.1
199105,28.3,0.2
199106,28.3,0.2
199107,28.2,0.1
199108,28.3,0.2
199109,28.0,-0.1
199110,28.0,-0.1
199111,27.9,-0.2
199112,28.5,0.4
199201,28.7,0.6
199202,28.9,0.8
199203,29.3,1.2
199204,29.9,1.8
199205,30.3,2.2
199206,30.3,2.2
199207,30.1,2.0
199208,30.0,1.9
199209,30.0,1.9
199210,30.2,2.1
199211,30.0,1.9
199212,29.8,1.7
199301,29.7,1.6
199302,28.8,0.7
199303,28.7,0.6
199304,28.3,0.2
199305,28.1,0.0
199306,27.9,-0.2
199307,27.6,-0.5
199308,27.4,-0.7
199309,27.3,-0.8
199310,27.0,-1.1
199311,26.8,-1.3
199312,27.1,-1.0
199401,27.7,-0.4
199402,28.0,-0.1
199403,27.8,-0.3
199404,28.0,-0.1
199405,28.1,0.0
199406,28.5,0.4
199407,29.0,0.9
199408,29.3,1.2
199409,29.6,1.5
199410,29.6,1.5
199411,29.7,1.6
199412,29.8,1.7
199501,29.7,1.6
199502,30.5,2.4
199503,30.5,2.4
199504,30.3,2.2
199505,29.9,1.8
199506,29.4,1.3
199507,29.1,1.0
199508,29.1,1.0
199509,29.1,1.0
199510,28.9,0.8
199511,29.6,1.5
199512,29.7,1.6
199601,29.5,1.4
199602,29.1,1.0
199603,28.9,0.8
199604,28.9,0.8
199605,29.2,1.1
199606,29.6,1.5
199607,29.9,1.8
199608,29.8,1.7
199609,29.5,1.4
199610,29.5,1.4
199611,29.2,1.1
199612,29.2,1.1
199701,29.3,1.2
199702,29.0,0.9
199703,29.0,0.9
199704,28.6,0.5
199705,28.6,0.5
199706,28.7,0.6
199707,28.4,0.3
199708,28.6,0.5
199709,29.0,0.9
199710,29.1,1.0
199711,28.9,0.8
199712,28.6,0.5
199801,28.9,0.8
199802,29.4,1.3
199803,29.3,1.2
199804,29.5,1.4
199805,29.4,1.3
199806,29.0,0.9
199807,29.4,1.3
199808,29.4,1.3
199809,29.5,1.4
199810,29.7,1.6
199811,29.9,1.8
199812,29.8,1.7
199901,30.0,1.9
199902,29.9,1.8
199903,30.2,2.1
199904,30.2,2.1
199905,29.9,1.8
199906,30.1,2.0
199907,30.0,1.9
199908,29.9,1.8
199909,29.3,1.2
199910,29.0,0.9
199911,29.2,1.1
199912,29.5,1.4
200001,29.3,1.2
200002,29.7,1.6
200003,29.6,1.5
200004,30.0,1.9
200005,30.5,2.4
200006,30.6,2.5
200007,30.6,2.5
200008,30.9,2.8
200009,31.1,3.0
200010,31.4,3.3
200011,30.4,2.3
200012,30.3,2.2
200101,29.8,1.7
200102,29.4,1.3
200103,29.5,1.4
200104,29.4,1.3
200105,29.3,1.2
200106,29.4,1.3
200107,29.5,1.4
200108,29.4,1.3
200109,29.6,1.5
200110,29.6,1.5
200111,30.5,2.4
200112,30.2,2.1
200201,30.2,2.1
200202,29.9,1.8
200203,29.4,1.3
200204,29.3,1.2
200205,29.0,0.9
200206,29.1,1.0
200207,29.2,1.1
200208,29.0,0.9
200209,29.1,1.0
200210,28.8,0.7
200211,28.5,0.4
200212,28.9,0.8
200301,29.7,1.6
200302,29.9,1.8
200303,30.4,2.3
200304,30.4,2.3
200305,30.6,2.5
200306,30.5,2.4
200307,30.5,2.4
200308,30.8,2.7
200309,30.6,2.5
200310,31.0,2.9
200311,30.9,2.8
200312,31.0,2.9
200401,30.1,2.0
200402,30.1,2.0
200403,30.2,2.1
200404,30.3,2.2
200405,30.3,2.2
200406,30.3,2.2
200407,29.9,1.8
200408,29.5,1.4
200409,29.4,1.3
200410,29.4,1.3
200411,29.6,1.5
200412,29.7,1.6
200501,30.4,2.3
200502,30.6,2.5
200503,30.4,2.3
200504,30.1,2.0
200505,30.0,1.9
200506,29.9,1.8
200507,29.9,1.8
200508,29.9,1.8
200509,29.8,1.7
200510,29.8,1.7
200511,30.0,1.9
200512,29.7,1.6
200601,29.5,1.4
200602,29.2,1.1
200603,28.9,0.8
200604,29.2,1.1
200605,29.2,1.1
200606,29.5,1.4
200607,29.8,1.7
200608,29.9,1.8
200609,29.8,1.7
200610,29.6,1.5
200611,29.4,1.3
200612,29.4,1.3
200701,28.5,0.4
200702,29.0,0.9
200703,29.5,1.4
200704,29.5,1.4
200705,29.4,1.3
200706,29.5,1.4
200707,29.5,1.4
200708,29.7,1.6
200709,30.0,1.9
200710,30.2,2.1
200711,30.4,2.3
200712,30.0,1.9
200801,30.1,2.0
200802,29.8,1.7
200803,29.1,1.0
200804,28.5,0.4
200805,28.3,0.2
200806,28.0,-0.1
200807,27.8,-0.3
200808,27.6,-0.5
200809,27.4,-0.7
200810,27.3,-0.8
200811,27.6,-0.5
200812,27.9,-0.2
200901,28.8,0.7
200902,29.0,0.9
200903,29.3,1.2
200904,29.7,1.6
200905,30.1,2.0
200906,30.0,1.9
200907,29.9,1.8
200908,29.6,1.5
200909,29.9,1.8
200910,29.6,1.5
200911,29.1,1.0
200912,28.6,0.5
201001,28.3,0.2
201002,28.0,-0.1
201003,27.9,-0.2
201004,27.9,-0.2
201005,27.3,-0.8
201006,27.5,-0.6
201007,27.6,-0.5
201008,27.8,-0.3
201009,27.6,-0.5
201010,28.2,0.1
201011,28.1,0.0
201012,29.0,0.9
201101,28.9,0.8
201102,28.7,0.6
201103,28.9,0.8
201104,28.8,0.7
201105,29.0,0.9
201106,28.7,0.6
201107,28.8,0.7
201108,28.9,0.8
201109,29.0,0.9
201110,28.8,0.7
201111,28.7,0.6
201112,28.1,0.0
201201,28.3,0.2
201202,28.6,0.5
201203,28.8,0.7
201204,29.1,1.0
201205,29.5,1.4
201206,29.8,1.7
