Daggett County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.11,-4.25
199002,-3.85,-4.08
199003,-3.81,-4.13
199004,-4.01,-4.21
199005,-4.10,-4.22
199006,-3.62,-3.63
199007,-3.43,-3.48
199008,-3.79,-3.69
199009,-3.63,-3.60
199010,-3.60,-3.65
199011,-3.31,-3.41
199012,-3.00,-3.10
199101,-3.02,-3.16
199102,-3.37,-3.60
199103,-3.31,-3.63
199104,0.29,0.09
199105,0.49,0.37
199106,0.45,0.44
199107,0.47,0.42
199108,1.00,1.10
199109,1.57,1.60
199110,1.33,1.28
199111,1.60,1.50
199112,-0.43,-0.53
199201,-0.65,-0.79
199202,-0.90,-1.13
199203,-1.17,-1.49
199204,-2.23,-2.43
199205,-2.17,-2.29
199206,-2.44,-2.45
199207,-2.43,-2.48
199208,-2.50,-2.40
199209,-2.69,-2.66
199210,-2.79,-2.84
199211,0.42,0.32
199212,0.26,0.16
199301,0.87,0.73
199302,1.08,0.85
199303,1.33,1.01
199304,1.12,0.92
199305,1.37,1.25
199306,1.39,1.38
199307,1.45,1.40
199308,1.59,1.69
199309,1.18,1.21
199310,1.77,1.72
199311,1.60,1.50
199312,1.33,1.23
199401,1.08,0.94
199402,1.52,1.29
199403,-0.12,-0.44
199404,-0.26,-0.46
199405,-0.84,-0.96
199406,-1.47,-1.48
199407,-2.19,-2.24
199408,-2.45,-2.35
199409,-2.57,-2.54
199410,1.76,1.71
199411,2.54,2.44
199412,2.45,2.35
199501,2.66,2.52
199502,3.07,2.84
199503,3.39,3.07
199504,3.33,3.13
199505,4.77,4.65
199506,4.78,4.77
199507,5.04,4.99
199508,0.05,0.15
199509,0.08,0.11
199510,-0.36,-0.41
199511,-1.14,-1.24
199512,-1.59,-1.69
199601,-1.39,-1.53
199602,-1.41,-1.64
199603,-1.49,-1.81
199604,-1.82,-2.02
199605,-1.10,-1.22
199606,-1.13,-1.14
199607,-1.15,-1.20
199608,-1.49,-1.39
199609,0.44,0.47
199610,0.57,0.52
199611,0.57,0.47
199612,0.78,0.68
199701,1.26,1.12
199702,1.54,1.31
199703,1.21,0.89
199704,1.89,1.69
199705,1.41,1.29
199706,1.62,1.61
199707,1.28,1.23
199708,2.24,2.34
199709,3.16,3.19
199710,3.26,3.21
199711,3.04,2.94
199712,2.53,2.43
199801,2.19,2.05
199802,2.27,2.04
199803,2.78,2.46
199804,2.75,2.55
199805,2.30,2.18
199806,3.35,3.34
199807,3.97,3.92
199808,3.70,3.80
199809,3.16,3.19
199810,3.24,3.19
199811,2.80,2.70
199812,2.37,2.27
199901,2.14,2.00
199902,2.08,1.85
199903,1.31,0.99
199904,2.56,2.36
199905,2.88,2.76
199906,2.74,2.73
199907,2.75,2.70
199908,2.72,2.82
199909,2.85,2.88
199910,-0.71,-0.76
199911,-1.51,-1.61
199912,-1.68,-1.78
200001,-1.91,-2.05
200002,-1.45,-1.68
200003,-1.32,-1.64
200004,-1.71,-1.91
200005,-2.33,-2.45
200006,-2.73,-2.74
200007,-3.38,-3.43
200008,-3.54,-3.44
200009,-2.88,-2.85
200010,-1.88,-1.93
200011,-1.80,-1.90
200012,-1.86,-1.96
200101,-1.75,-1.89
200102,-1.41,-1.64
200103,-1.75,-2.07
200104,-1.50,-1.70
200105,-1.74,-1.86
200106,-2.22,-2.23
200107,-2.47,-2.52
200108,-2.22,-2.12
200109,-2.62,-2.59
200110,-2.95,-3.00
200111,-2.80,-2.90
200112,-2.91,-3.01
200201,-3.20,-3.34
200202,-3.71,-3.94
200203,-4.06,-4.38
200204,-4.82,-5.02
200205,-5.26,-5.38
200206,-6.06,-6.07
200207,-6.29,-6.34
200208,-6.69,-6.59
200209,-5.59,-5.56
200210,-4.71,-4.76
200211,-4.67,-4.77
200212,-4.81,-4.91
200301,-5.07,-5.21
200302,-4.85,-5.08
200303,-4.69,-5.01
200304,-5.03,-5.23
200305,-4.55,-4.67
200306,-3.70,-3.71
200307,-4.19,-4.24
200308,-4.21,-4.11
200309,-4.13,-4.10
200310,-4.43,-4.48
200311,-3.89,-3.99
200312,-3.31,-3.41
200401,-3.48,-3.62
200402,-2.90,-3.13
200403,-3.74,-4.06
200404,-3.67,-3.87
200405,-3.94,-4.06
200406,-3.70,-3.71
200407,-3.62,-3.67
200408,-3.58,-3.48
200409,0.52,0.55
200410,2.01,1.96
200411,2.23,2.13
200412,2.13,2.03
200501,2.90,2.76
200502,3.04,2.81
200503,3.21,2.89
200504,2.89,2.69
200505,2.60,2.48
200506,2.60,2.59
200507,-0.19,-0.24
200508,-0.09,0.01
200509,-0.03,0.00
200510,-0.05,-0.10
200511,-0.27,-0.37
200512,-0.66,-0.76
200601,-0.92,-1.06
200602,-1.50,-1.73
200603,-1.53,-1.85
200604,-2.14,-2.34
200605,-2.65,-2.77
200606,-3.41,-3.42
200607,-4.04,-4.09
200608,-4.02,-3.92
200609,-3.09,-3.06
200610,-2.00,-2.05
200611,-2.01,-2.11
200612,-1.81,-1.91
200701,-1.71,-1.85
