Daggett County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.11,-4.29
199002,-3.85,-4.05
199003,-3.81,-4.05
199004,-4.01,-4.18
199005,-4.10,-4.36
199006,-3.62,-3.84
199007,-3.43,-3.61
199008,-3.79,-3.96
199009,-3.63,-3.87
199010,-3.60,-3.94
199011,-3.31,-3.59
199012,-3.00,-3.20
199101,-3.02,-3.20
199102,-3.37,-3.57
199103,-3.31,-3.55
199104,-2.68,-2.85
199105,-2.17,-2.43
199106,-1.94,-2.16
199107,-1.67,-1.85
199108,-0.92,-1.09
199109,1.57,1.33
199110,1.33,0.99
199111,1.60,1.32
199112,1.01,0.81
199201,0.64,0.46
199202,-0.90,-1.10
199203,-1.17,-1.41
199204,-2.23,-2.40
199205,-2.17,-2.43
199206,-2.44,-2.66
199207,-2.43,-2.61
199208,-2.50,-2.67
199209,-2.69,-2.93
199210,-2.79,-3.13
199211,-2.09,-2.37
199212,-1.99,-2.19
199301,-1.15,-1.33
199302,-0.73,-0.93
199303,1.33,1.09
199304,1.12,0.95
199305,1.37,1.11
199306,1.39,1.17
199307,1.45,1.27
199308,1.59,1.42
199309,1.18,0.94
199310,1.77,1.43
199311,1.60,1.32
199312,1.33,1.13
199401,1.08,0.90
199402,1.52,1.32
199403,1.24,1.00
199404,0.96,0.79
199405,-0.84,-1.10
199406,-1.47,-1.69
199407,-2.19,-2.37
199408,-2.45,-2.62
199409,-2.57,-2.81
199410,1.76,1.42
199411,2.54,2.26
199412,2.45,2.25
199501,2.66,2.48
199502,3.07,2.87
199503,3.39,3.15
199504,3.33,3.16
199505,4.77,4.51
199506,4.78,4.56
199507,5.04,4.86
199508,4.57,4.40
199509,4.14,3.90
199510,3.35,3.01
199511,2.19,1.91
199512,1.40,1.20
199601,1.30,1.12
199602,1.00,0.80
199603,0.67,0.43
199604,-1.82,-1.99
199605,-1.10,-1.36
199606,-1.13,-1.35
199607,-1.15,-1.33
199608,-1.49,-1.66
199609,-0.90,-1.14
199610,-0.63,-0.97
199611,0.57,0.29
199612,0.78,0.58
199701,1.26,1.08
199702,1.54,1.34
199703,1.21,0.97
199704,1.89,1.72
199705,1.41,1.15
199706,1.62,1.40
199707,1.28,1.10
199708,2.24,2.07
199709,3.16,2.92
199710,3.26,2.92
199711,3.04,2.76
199712,2.53,2.33
199801,2.19,2.01
199802,2.27,2.07
199803,2.78,2.54
199804,2.75,2.58
199805,2.30,2.04
199806,3.35,3.13
199807,3.97,3.79
199808,3.70,3.53
199809,3.16,2.92
199810,3.24,2.90
199811,2.80,2.52
199812,2.37,2.17
199901,2.14,1.96
199902,2.08,1.88
199903,1.31,1.07
199904,2.56,2.39
199905,2.88,2.62
199906,2.74,2.52
199907,2.75,2.57
199908,2.72,2.55
199909,2.85,2.61
199910,1.85,1.51
199911,0.79,0.51
199912,-1.68,-1.88
200001,-1.91,-2.09
200002,-1.45,-1.65
200003,-1.32,-1.56
200004,-1.71,-1.88
200005,-2.33,-2.59
200006,-2.73,-2.95
200007,-3.38,-3.56
200008,-3.54,-3.71
200009,-2.88,-3.12
200010,-1.88,-2.22
200011,-1.80,-2.08
200012,-1.86,-2.06
200101,-1.75,-1.93
200102,-1.41,-1.61
200103,-1.75,-1.99
200104,-1.50,-1.67
200105,-1.74,-2.00
200106,-2.22,-2.44
200107,-2.47,-2.65
200108,-2.22,-2.39
200109,-2.62,-2.86
200110,-2.95,-3.29
200111,-2.80,-3.08
200112,-2.91,-3.11
200201,-3.20,-3.38
200202,-3.71,-3.91
200203,-4.06,-4.30
200204,-4.82,-4.99
200205,-5.26,-5.52
200206,-6.06,-6.28
200207,-6.29,-6.47
200208,-6.69,-6.86
200209,-5.59,-5.83
200210,-4.71,-5.05
200211,-4.67,-4.95
200212,-4.81,-5.01
200301,-5.07,-5.25
200302,-4.85,-5.05
200303,-4.69,-4.93
200304,-5.03,-5.20
200305,-4.55,-4.81
200306,-3.70,-3.92
200307,-4.19,-4.37
200308,-4.21,-4.38
200309,-4.13,-4.37
200310,-4.43,-4.77
200311,-3.89,-4.17
200312,-3.31,-3.51
200401,-3.48,-3.66
200402,-2.90,-3.10
200403,-3.74,-3.98
200404,-3.67,-3.84
200405,-3.94,-4.20
200406,-3.70,-3.92
200407,-3.62,-3.80
200408,-3.58,-3.75
200409,-2.69,-2.93
200410,-0.87,-1.21
200411,2.23,1.95
200412,2.13,1.93
200501,2.90,2.72
200502,3.04,2.84
200503,3.21,2.97
200504,2.89,2.72
200505,2.60,2.34
200506,2.60,2.38
200507,2.14,1.96
200508,2.01,1.84
200509,1.85,1.61
200510,1.63,1.29
200511,1.24,0.96
200512,0.70,0.50
200601,-0.92,-1.10
200602,-1.50,-1.70
200603,-1.53,-1.77
200604,-2.14,-2.31
200605,-2.65,-2.91
200606,-3.41,-3.63
200607,-4.04,-4.22
200608,-4.02,-4.19
200609,-3.09,-3.33
200610,-2.00,-2.34
200611,-2.01,-2.29
200612,-1.81,-2.01
200701,-1.71,-1.89
200702,-1.63,-1.83
200703,-2.09,-2.33
200704,-2.81,-2.98
200705,-2.76,-3.02
200706,-3.53,-3.75
200707,-4.49,-4.67
200708,-4.06,-4.23
200709,-3.13,-3.37
200710,-2.58,-2.92
200711,-3.26,-3.54
200712,-3.16,-3.36
200801,-2.85,-3.03
200802,-2.55,-2.75
200803,-2.62,-2.86
200804,-2.93,-3.10
200805,-2.96,-3.22
200806,-2.96,-3.18
200807,-3.30,-3.48
200808,-3.46,-3.63
200809,-2.58,-2.82
200810,-2.69,-3.03
200811,-3.30,-3.58
200812,-3.14,-3.34
200901,-3.13,-3.31
200902,-3.36,-3.56
200903,-3.72,-3.96
200904,-3.17,-3.34
200905,-3.31,-3.57
200906,-2.03,-2.25
200907,-1.76,-1.94
200908,-1.82,-1.99
200909,-1.55,-1.79
200910,-1.20,-1.54
200911,-1.60,-1.88
200912,-1.77,-1.97
201001,-2.09,-2.27
201002,-2.47,-2.67
201003,-2.45,-2.69
201004,-2.27,-2.44
201005,-1.86,-2.12
201006,-1.68,-1.90
201007,-1.35,-1.53
201008,-0.89,-1.06
201009,-1.45,-1.69
201010,-1.34,-1.68
201011,-1.10,-1.38
201012,0.72,0.52
201101,0.29,0.11
201102,0.35,0.15
201103,0.15,-0.09
201104,0.30,0.13
201105,1.92,1.66
201106,1.86,1.64
201107,2.89,2.71
201108,2.78,2.61
201109,2.24,2.00
201110,2.01,1.67
201111,1.71,1.43
201112,1.19,0.99
201201,0.65,0.47
201202,-1.00,-1.20
201203,-2.13,-2.37
201204,-3.06,-3.23
201205,-4.05,-4.31
201206,-5.21,-5.43
201207,-5.91,-6.09
201208,-6.52,-6.69
201209,-6.19,-6.43
201210,-5.91,-6.25
201211,-5.97,-6.25
201212,-5.53,-5.73
201301,-5.57,-5.75
201302,-5.85,-6.05
201303,-6.31,-6.55
201304,-5.55,-5.72
201305,-5.38,-5.64
201306,-5.92,-6.14
201307,-5.86,-6.04
201308,-5.71,-5.88
201309,-4.46,-4.70
201310,-3.66,-4.00
201311,-3.66,-3.94
201312,-3.18,-3.38
201401,-3.25,-3.43
201402,-3.34,-3.54
201403,-3.67,-3.91
201404,-3.96,-4.13
201405,-4.07,-4.33
201406,-4.52,-4.74
201407,-4.45,-4.63
201408,-2.26,-2.43
201409,-0.85,-1.09
201410,-1.51,-1.85
201411,-1.65,-1.93
201412,-1.68,-1.88
201501,-2.12,-2.30
201502,-2.51,-2.71
201503,-3.67,-3.91
201504,-3.80,-3.97
201505,-1.92,-2.18
201506,-1.86,-2.08
201507,-1.27,-1.45
201508,-0.98,-1.15
201509,-1.01,-1.25
201510,-1.38,-1.72
201511,-1.20,-1.48
201512,-1.14,-1.34
201601,-1.08,-1.26
201602,-1.36,-1.56
201603,-1.18,-1.42
201604,-0.92,-1.09
201605,0.84,0.58
201606,-0.30,-0.52
201607,-0.57,-0.75
