Daggett County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.11,-4.17
199002,-3.85,-4.05
199003,-3.81,-4.10
199004,-4.01,-4.23
199005,-4.10,-4.30
199006,-3.49,-3.59
199007,-3.43,-3.55
199008,-3.79,-3.88
199009,-3.63,-3.84
199010,-3.60,-3.90
199011,-3.31,-3.49
199012,-2.97,-3.00
199101,-3.02,-3.08
199102,-3.37,-3.57
199103,-3.31,-3.60
199104,-2.28,-2.50
199105,-1.44,-1.64
199106,-1.15,-1.25
199107,-0.78,-0.90
199108,0.61,0.52
199109,1.57,1.36
199110,1.13,0.83
199111,1.60,1.42
199112,0.27,0.24
199201,-0.51,-0.57
199202,-0.90,-1.10
199203,-1.17,-1.46
199204,-2.23,-2.45
199205,-2.17,-2.37
199206,-2.44,-2.54
199207,-2.43,-2.55
199208,-2.50,-2.59
199209,-2.69,-2.90
199210,-2.79,-3.09
199211,-1.51,-1.69
199212,-1.50,-1.53
199301,0.15,0.09
199302,0.88,0.68
199303,1.33,1.04
199304,0.90,0.68
199305,1.37,1.17
199306,1.39,1.29
199307,1.45,1.33
199308,1.59,1.50
199309,0.74,0.53
199310,1.77,1.47
199311,1.55,1.37
199312,1.04,1.01
199401,0.56,0.50
199402,1.52,1.32
199403,0.97,0.68
199404,0.38,0.16
199405,-0.84,-1.04
199406,-1.47,-1.57
199407,-2.19,-2.31
199408,-2.45,-2.54
199409,-2.57,-2.78
199410,1.76,1.46
199411,2.54,2.36
199412,2.45,2.42
199501,2.66,2.60
199502,3.07,2.87
199503,3.39,3.10
199504,3.33,3.11
199505,4.77,4.57
199506,4.78,4.68
199507,5.04,4.92
199508,4.56,4.47
199509,4.13,3.92
199510,2.86,2.56
199511,0.73,0.55
199512,-0.67,-0.70
199601,-0.63,-0.69
199602,-0.99,-1.19
199603,-1.39,-1.68
199604,-1.82,-2.04
199605,-0.25,-0.45
199606,-0.46,-0.56
199607,-0.62,-0.74
199608,-1.49,-1.58
199609,-0.13,-0.34
199610,0.45,0.15
199611,0.57,0.39
199612,0.78,0.75
199701,1.26,1.20
199702,1.54,1.34
199703,0.87,0.58
199704,1.89,1.67
199705,0.93,0.73
199706,1.57,1.47
199707,0.91,0.79
199708,2.24,2.15
199709,3.16,2.95
199710,3.26,2.96
199711,3.04,2.86
199712,2.22,2.19
199801,1.74,1.68
199802,2.12,1.92
199803,2.78,2.49
199804,2.75,2.53
199805,2.02,1.82
199806,3.35,3.25
199807,3.97,3.85
199808,3.70,3.61
199809,2.92,2.71
199810,3.24,2.94
199811,2.61,2.43
199812,1.96,1.93
199901,1.70,1.64
199902,1.77,1.57
199903,0.30,0.01
199904,2.56,2.34
199905,2.88,2.68
199906,2.74,2.64
199907,2.75,2.63
199908,2.72,2.63
199909,2.85,2.64
199910,0.91,0.61
199911,-1.22,-1.40
199912,-1.68,-1.71
200001,-1.91,-1.97
200002,-1.02,-1.22
200003,-0.84,-1.13
200004,-1.71,-1.93
200005,-2.33,-2.53
200006,-2.73,-2.83
200007,-3.38,-3.50
200008,-3.54,-3.63
200009,-2.48,-2.69
200010,-0.60,-0.90
200011,-0.64,-0.82
200012,-0.98,-1.01
200101,-0.92,-0.98
200102,-0.42,-0.62
200103,-1.18,-1.47
200104,-0.83,-1.05
200105,-1.34,-1.54
200106,-2.22,-2.32
200107,-2.47,-2.59
200108,-2.16,-2.25
