Daggett County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-1.49,-1.57
199002,-0.49,-0.71
199003,-1.08,-1.27
199004,-1.78,-1.72
199005,-1.51,-1.59
199006,0.18,0.30
199007,-0.56,-0.63
199008,-2.14,-2.16
199009,-0.68,-1.00
199010,-1.02,-1.20
199011,-0.26,-0.21
199012,-0.07,0.07
199101,-0.99,-1.07
199102,-1.99,-2.21
199103,-0.87,-1.06
199104,0.87,0.93
199105,0.70,0.62
199106,0.04,0.16
199107,0.20,0.13
199108,1.74,1.72
199109,2.01,1.69
199110,-0.24,-0.42
199111,1.23,1.28
199112,-1.29,-1.15
199201,-0.78,-0.86
199202,-0.95,-1.17
199203,-1.11,-1.30
199204,-3.53,-3.47
199205,-0.52,-0.60
199206,-1.48,-1.36
199207,-0.73,-0.80
199208,-0.94,-0.96
199209,-1.35,-1.67
199210,-1.14,-1.32
199211,1.25,1.30
199212,-0.35,-0.21
199301,1.91,1.83
199302,0.90,0.68
199303,1.07,0.88
199304,-0.22,-0.16
199305,1.11,1.03
199306,0.48,0.60
199307,0.59,0.52
199308,0.87,0.85
199309,-0.71,-1.03
199310,2.12,1.94
199311,0.04,0.09
199312,-0.32,-0.18
199401,-0.34,-0.42
199402,1.66,1.44
199403,-0.37,-0.56
199404,-0.45,-0.39
199405,-1.83,-1.91
199406,-2.13,-2.01
199407,-2.62,-2.69
199408,-1.44,-1.46
199409,-1.12,-1.44
199410,5.28,5.10
199411,2.89,2.94
199412,0.51,0.65
199501,1.39,1.31
199502,2.05,1.83
199503,1.93,1.74
199504,0.85,0.91
199505,5.37,5.29
199506,1.48,1.60
199507,2.28,2.21
199508,0.14,0.12
199509,0.13,-0.19
199510,-1.09,-1.27
199511,-2.44,-2.39
199512,-1.71,-1.57
199601,0.13,0.05
199602,-0.49,-0.71
199603,-0.68,-0.87
199604,-1.44,-1.38
199605,1.60,1.52
199606,-0.44,-0.32
199607,-0.40,-0.47
199608,-1.39,-1.41
199609,1.31,0.99
199610,0.54,0.36
199611,0.18,0.23
199612,0.78,0.92
199701,1.68,1.60
199702,1.24,1.02
199703,-0.51,-0.70
199704,2.41,2.47
199705,-0.87,-0.95
199706,1.06,1.18
199707,-0.50,-0.57
199708,3.27,3.25
199709,3.45,3.13
199710,1.29,1.11
199711,0.34,0.39
199712,-0.61,-0.47
199801,-0.22,-0.30
199802,0.92,0.70
199803,2.24,2.05
199804,0.75,0.81
199805,-0.51,-0.59
199806,3.86,3.98
199807,2.91,2.84
199808,0.40,0.38
199809,-0.46,-0.78
199810,1.21,1.03
199811,-0.32,-0.27
199812,-0.41,-0.27
199901,0.05,-0.03
199902,0.47,0.25
199903,-1.67,-1.86
199904,4.15,4.21
199905,1.75,1.67
199906,0.47,0.59
199907,0.90,0.83
199908,0.75,0.73
199909,1.23,0.91
199910,-2.12,-2.30
199911,-2.62,-2.57
199912,-0.98,-0.84
200001,-1.22,-1.30
200002,0.78,0.56
200003,-0.04,-0.23
200004,-1.59,-1.53
200005,-2.39,-2.47
200006,-1.92,-1.80
200007,-2.78,-2.85
200008,-1.52,-1.54
200009,0.87,0.55
200010,2.11,1.93
200011,-0.32,-0.27
200012,-0.76,-0.62
200101,-0.23,-0.31
200102,0.47,0.25
200103,-1.45,-1.64
200104,0.22,0.28
200105,-1.19,-1.27
200106,-1.98,-1.86
200107,-1.43,-1.50
200108,-0.02,-0.04
200109,-1.89,-2.21
200110,-1.80,-1.98
200111,-0.46,-0.41
200112,-1.19,-1.05
200201,-1.79,-1.87
200202,-2.50,-2.72
