Daggett County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,11.45,-3.62
199002,11.21,-3.88
199003,11.72,-3.38
199004,12.37,-2.71
199005,12.32,-2.76
199006,13.36,-1.73
199007,13.96,-1.13
199008,13.15,-1.95
199009,12.92,-2.18
199010,13.19,-1.92
199011,13.68,-1.42
199012,14.36,-0.75
199101,14.26,-0.81
199102,13.18,-1.91
199103,13.00,-2.10
199104,13.71,-1.37
199105,14.88,-0.20
199106,13.84,-1.25
199107,13.52,-1.57
199108,15.13,0.03
199109,16.05,0.95
199110,16.38,1.27
199111,16.93,1.83
199112,16.03,0.92
199201,16.02,0.95
199202,16.38,1.29
199203,16.24,1.14
199204,14.64,-0.44
199205,14.72,-0.36
199206,14.72,-0.37
199207,14.98,-0.11
199208,13.98,-1.12
199209,12.54,-2.56
199210,12.35,-2.76
199211,12.51,-2.59
199212,13.11,-2.00
199301,14.42,-0.65
199302,14.91,-0.18
199303,15.13,0.03
199304,15.73,0.65
199305,16.10,1.02
199306,16.18,1.09
199307,15.75,0.66
199308,16.03,0.93
199309,16.04,0.94
199310,17.36,2.25
199311,16.41,1.31
199312,16.19,1.08
199401,14.90,-0.17
199402,15.40,0.31
199403,14.70,-0.40
199404,14.98,-0.10
199405,13.45,-1.63
199406,12.71,-2.38
199407,12.42,-2.67
199408,12.22,-2.88
199409,12.45,-2.65
199410,14.26,-0.85
199411,15.41,0.31
199412,15.33,0.22
199501,15.66,0.59
199502,15.15,0.06
199503,15.75,0.65
199504,16.05,0.97
199505,19.53,4.45
199506,20.76,5.67
199507,21.61,6.52
199508,21.33,6.23
199509,21.60,6.50
199510,18.09,2.98
199511,16.39,1.29
199512,16.30,1.19
199601,16.79,1.72
199602,16.75,1.66
199603,16.66,1.56
199604,15.92,0.84
199605,14.29,-0.79
199606,13.78,-1.31
199607,13.46,-1.63
199608,13.40,-1.70
199609,14.00,-1.10
199610,14.89,-0.22
199611,15.75,0.65
199612,16.68,1.57
199701,16.89,1.82
199702,17.00,1.91
199703,16.04,0.94
199704,17.39,2.31
199705,15.91,0.83
199706,16.60,1.51
199707,16.20,1.11
199708,18.23,3.13
199709,19.27,4.17
199710,19.64,4.53
199711,19.51,4.41
199712,18.62,3.51
199801,17.69,2.62
199802,17.80,2.71
199803,19.48,4.38
199804,18.78,3.70
199805,18.87,3.79
199806,20.13,5.04
199807,21.04,5.95
199808,19.26,4.16
199809,17.45,2.35
199810,17.51,2.40
199811,17.28,2.18
199812,17.52,2.41
199901,17.75,2.68
199902,17.59,2.50
199903,16.01,0.91
199904,18.25,3.17
199905,19.32,4.24
199906,17.42,2.33
199907,16.92,1.83
199908,17.35,2.25
199909,17.95,2.85
199910,16.29,1.18
199911,15.88,0.78
199912,15.98,0.87
200001,15.75,0.68
200002,16.42,1.33
200003,17.48,2.38
200004,14.85,-0.23
200005,13.18,-1.90
200006,12.84,-2.25
200007,12.28,-2.81
200008,11.98,-3.12
200009,12.14,-2.96
200010,14.40,-0.71
200011,14.84,-0.26
200012,14.60,-0.51
200101,14.76,-0.31
200102,14.19,-0.90
200103,13.30,-1.80
200104,14.14,-0.94
200105,14.63,-0.45
200106,14.15,-0.94
200107,14.77,-0.32
200108,15.33,0.23
200109,14.11,-0.99
200110,12.13,-2.98
200111,12.37,-2.73
200112,12.41,-2.70
200201,11.92,-3.15
200202,10.98,-4.11
200203,11.48,-3.62
200204,9.89,-5.19
200205,9.20,-5.88
200206,9.35,-5.74
200207,9.62,-5.47
200208,8.30,-6.80
200209,9.79,-5.31
200210,10.93,-4.18
200211,10.35,-4.75
200212,10.01,-5.10
200301,9.85,-5.22
200302,10.72,-4.37
200303,11.27,-3.83
200304,11.45,-3.63
200305,12.92,-2.16
200306,14.85,-0.24
200307,13.66,-1.43
200308,14.48,-0.62
200309,13.31,-1.79
200310,12.22,-2.89
200311,13.09,-2.01
200312,14.22,-0.89
200401,14.25,-0.82
200402,14.60,-0.49
200403,13.13,-1.97
200404,14.38,-0.70
200405,13.18,-1.90
200406,12.37,-2.72
200407,13.32,-1.77
200408,13.01,-2.09
200409,14.12,-0.98
200410,17.35,2.24
200411,17.26,2.16
200412,16.50,1.39
200501,18.13,3.06
200502,17.39,2.30
200503,18.35,3.25
200504,17.89,2.81
200505,18.74,3.66
200506,18.51,3.42
200507,17.84,2.75
200508,18.35,3.25
200509,17.63,2.53
200510,15.18,0.07
200511,14.73,-0.37
200512,14.62,-0.49
200601,13.45,-1.62
200602,13.05,-2.04
200603,13.59,-1.51
200604,13.00,-2.08
200605,12.22,-2.86
200606,11.35,-3.74
200607,11.68,-3.41
200608,11.44,-3.66
200609,12.14,-2.96
200610,13.25,-1.86
200611,13.07,-2.03
200612,13.47,-1.64
200701,13.54,-1.53
200702,13.97,-1.12
200703,13.01,-2.09
200704,12.67,-2.41
200705,13.39,-1.69
200706,13.14,-1.95
200707,12.60,-2.49
200708,13.33,-1.77
200709,13.51,-1.59
200710,12.84,-2.27
200711,12.36,-2.74
200712,12.46,-2.65
200801,13.00,-2.07
200802,13.51,-1.58
200803,13.82,-1.28
200804,13.56,-1.52
200805,12.96,-2.12
200806,13.73,-1.36
200807,14.07,-1.02
200808,13.06,-2.04
200809,12.97,-2.13
200810,11.96,-3.15
200811,12.21,-2.89
200812,12.32,-2.79
200901,11.89,-3.18
200902,11.24,-3.85
200903,11.14,-3.96
200904,13.20,-1.88
200905,13.29,-1.79
200906,15.22,0.13
200907,15.49,0.40
200908,15.37,0.27
200909,14.76,-0.34
200910,15.24,0.13
200911,15.16,0.06
200912,14.65,-0.46
201001,14.19,-0.88
201002,14.05,-1.04
201003,14.71,-0.39
201004,14.07,-1.01
201005,14.55,-0.53
201006,12.81,-2.28
201007,13.22,-1.87
201008,14.10,-1.00
201009,12.96,-2.14
201010,13.15,-1.96
201011,14.10,-1.00
201012,15.43,0.32
201101,15.23,0.16
201102,15.75,0.66
201103,14.97,-0.13
201104,14.88,-0.20
201105,17.44,2.36
201106,17.32,2.23
201107,18.50,3.41
201108,17.79,2.69
201109,18.21,3.11
201110,18.04,2.93
201111,17.70,2.60
201112,16.25,1.14
201201,16.49,1.42
201202,16.49,1.40
201203,15.90,0.80
201204,15.00,-0.08
201205,10.97,-4.11
201206,10.12,-4.97
201207,8.34,-6.75
201208,7.71,-7.39
201209,8.05,-7.05
201210,7.62,-7.49
201211,7.37,-7.73
201212,8.00,-7.11
201301,7.99,-7.08
201302,7.31,-7.78
201303,7.86,-7.24
201304,9.42,-5.66
201305,10.53,-4.55
201306,10.46,-4.63
201307,11.18,-3.91
201308,11.97,-3.13
201309,13.29,-1.81
201310,14.15,-0.96
201311,14.00,-1.10
201312,14.12,-0.99
201401,14.09,-0.98
201402,14.28,-0.81
201403,14.39,-0.71
201404,13.03,-2.05
201405,12.97,-2.11
201406,13.29,-1.80
201407,13.35,-1.74
201408,16.19,1.09
201409,16.77,1.67
201410,15.31,0.20
201411,15.51,0.41
201412,15.11,0.00
201501,14.94,-0.13
201502,14.91,-0.18
201503,14.57,-0.53
201504,15.47,0.39
201505,18.64,3.56
201506,19.31,4.22
201507,19.60,4.51
201508,17.01,1.91
201509,15.14,0.04
201510,15.77,0.66
201511,16.22,1.12
