Davis County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,49.1,1.1
199002,49.6,1.6
199003,49.6,1.6
199004,49.5,1.5
199005,49.4,1.4
199006,49.6,1.6
199007,49.4,1.4
199008,49.5,1.5
199009,49.9,1.9
199010,49.8,1.8
199011,49.9,1.9
199012,49.1,1.1
199101,48.6,0.6
199102,49.1,1.1
199103,48.9,0.9
199104,48.3,0.3
199105,48.1,0.1
199106,47.9,-0.1
199107,47.9,-0.1
199108,48.1,0.1
199109,47.5,-0.5
199110,47.6,-0.4
199111,47.3,-0.7
199112,48.0,0.0
199201,48.2,0.2
199202,48.3,0.3
199203,48.8,0.8
199204,49.6,1.6
199205,50.3,2.3
199206,50.5,2.5
199207,50.1,2.1
199208,50.1,2.1
199209,50.2,2.2
199210,50.4,2.4
199211,50.0,2.0
199212,49.8,1.8
199301,49.6,1.6
199302,48.9,0.9
199303,48.5,0.5
199304,47.7,-0.3
199305,47.5,-0.5
199306,47.1,-0.9
199307,46.7,-1.3
199308,46.3,-1.7
199309,46.1,-1.9
199310,45.8,-2.2
199311,45.9,-2.1
199312,46.2,-1.8
199401,46.9,-1.1
199402,47.2,-0.8
199403,47.4,-0.6
199404,47.8,-0.2
199405,47.9,-0.1
199406,48.6,0.6
199407,49.4,1.4
199408,50.0,2.0
199409,50.4,2.4
199410,50.3,2.3
199411,50.2,2.2
199412,50.3,2.3
199501,50.1,2.1
199502,50.8,2.8
199503,50.6,2.6
199504,50.3,2.3
199505,49.6,1.6
199506,49.0,1.0
199507,48.6,0.6
199508,48.5,0.5
199509,48.3,0.3
199510,48.4,0.4
199511,49.4,1.4
199512,49.7,1.7
199601,49.6,1.6
199602,49.0,1.0
199603,49.1,1.1
199604,49.2,1.2
199605,49.4,1.4
199606,50.1,2.1
199607,50.4,2.4
199608,50.3,2.3
199609,50.0,2.0
199610,50.1,2.1
199611,49.7,1.7
199612,49.5,1.5
199701,49.4,1.4
199702,49.2,1.2
199703,49.3,1.3
199704,49.1,1.1
199705,49.4,1.4
199706,49.1,1.1
199707,48.8,0.8
199708,48.9,0.9
199709,49.2,1.2
199710,49.2,1.2
199711,49.2,1.2
199712,48.8,0.8
199801,49.2,1.2
199802,49.5,1.5
199803,49.2,1.2
199804,49.3,1.3
199805,48.9,0.9
199806,48.4,0.4
199807,48.7,0.7
199808,48.8,0.8
199809,48.9,0.9
199810,48.8,0.8
199811,48.9,0.9
199812,49.0,1.0
199901,48.9,0.9
199902,49.0,1.0
199903,49.3,1.3
199904,49.1,1.1
199905,49.0,1.0
199906,49.4,1.4
199907,49.2,1.2
199908,49.2,1.2
199909,48.8,0.8
199910,49.1,1.1
199911,49.6,1.6
199912,49.8,1.8
200001,49.8,1.8
200002,50.1,2.1
