Davis County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,638,98
199002,638,98
199003,638,98
199004,638,98
199005,633,93
199006,666,126
199007,601,59
199008,637,94
199009,707,163
199010,707,163
199011,707,163
199012,707,163
199101,707,167
199102,707,167
199103,707,167
199104,707,167
199105,700,160
199106,665,125
199107,671,129
199108,710,167
199109,623,79
199110,623,79
199111,623,79
199112,623,79
199201,623,83
199202,623,83
199203,623,83
199204,631,91
199205,672,132
199206,696,156
199207,584,42
199208,566,23
199209,578,34
199210,578,34
199211,578,34
199212,578,34
199301,578,38
199302,578,38
199303,578,38
199304,570,30
199305,552,12
199306,481,-59
199307,380,-162
199308,265,-278
199309,250,-294
199310,250,-294
199311,250,-294
199312,250,-294
199401,250,-290
199402,250,-290
199403,250,-290
199404,250,-290
199405,259,-281
199406,379,-161
199407,622,80
199408,807,264
199409,864,320
199410,864,320
199411,864,320
199412,864,320
199501,864,324
199502,864,324
199503,864,324
199504,864,324
199505,832,292
199506,719,179
199507,597,55
199508,545,2
199509,516,-28
199510,516,-28
199511,516,-28
199512,516,-28
199601,516,-24
199602,516,-24
199603,516,-24
199604,516,-24
199605,526,-14
199606,633,93
199607,735,193
199608,723,180
199609,689,145
199610,689,145
199611,689,145
199612,689,145
199701,689,149
199702,689,149
199703,689,149
199704,689,149
199705,703,163
199706,656,116
199707,557,15
199708,564,21
199709,600,56
199710,600,56
199711,600,56
199712,600,56
199801,600,60
199802,600,60
199803,600,60
199804,600,60
199805,584,44
199806,511,-29
199807,627,85
199808,632,89
199809,652,108
199810,652,108
199811,652,108
199812,652,108
199901,652,112
199902,652,112
199903,652,112
199904,652,112
199905,649,109
199906,703,163
199907,649,107
199908,626,83
199909,575,31
199910,575,31
199911,575,31
199912,575,31
200001,575,35
200002,575,35
200003,575,35
200004,580,40
200005,597,57
200006,652,112
200007,744,202
200008,833,290
200009,846,302
200010,846,302
200011,846,302
200012,846,302
200101,846,306
200102,846,306
200103,846,306
200104,841,301
200105,851,311
200106,836,296
200107,794,252
200108,799,256
200109,872,328
200110,872,328
200111,872,328
200112,872,328
200201,872,332
200202,872,332
200203,872,332
200204,872,332
200205,853,313
200206,872,332
200207,942,400
200208,834,291
200209,764,220
200210,764,220
200211,764,220
200212,764,220
200301,764,224
200302,764,224
200303,764,224
200304,764,224
200305,769,229
200306,738,198
200307,780,238
200308,883,340
200309,886,342
200310,894,350
200311,894,350
200312,894,350
200401,894,354
200402,894,354
200403,894,354
200404,894,354
200405,889,349
200406,888,348
200407,732,190
200408,571,28
200409,556,12
200410,548,4
200411,548,4
200412,548,4
200501,548,8
200502,548,8
200503,548,8
200504,548,8
200505,547,7
200506,490,-50
200507,547,5
200508,612,69
200509,617,73
200510,617,73
200511,617,73
200512,617,73
200601,617,77
200602,617,77
200603,617,77
200604,617,77
200605,630,90
200606,729,189
200607,781,239
200608,765,222
200609,750,206
200610,750,206
200611,750,206
200612,750,206
200701,750,210
200702,750,210
200703,750,210
200704,750,210
