Davis County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,6377,-343
199002,6222,-497
199003,6234,-486
199004,6244,-474
199005,6305,-413
199006,6272,-446
199007,6272,-446
199008,6267,-451
199009,6194,-523
199010,6208,-509
199011,6202,-518
199012,6484,-236
199101,6659,-61
199102,6489,-230
199103,6588,-132
199104,6793,75
199105,6849,131
199106,6885,167
199107,6885,167
199108,6878,160
199109,6986,269
199110,6975,258
199111,7063,343
199112,6809,89
199201,6730,10
199202,6708,-11
199203,6516,-204
199204,6240,-478
199205,6002,-716
199206,5976,-742
199207,5987,-731
199208,5992,-726
199209,5966,-751
199210,5894,-823
199211,6025,-695
199212,6103,-617
199301,6160,-560
199302,6419,-300
199303,6556,-164
199304,6819,101
199305,6874,156
199306,6976,258
199307,7027,309
199308,7054,336
199309,7088,371
199310,7199,482
199311,7163,443
199312,7064,344
199401,6807,87
199402,6700,-19
199403,6634,-86
199404,6501,-217
199405,6470,-248
199406,6330,-388
199407,6268,-450
199408,6236,-482
199409,6149,-568
199410,6187,-530
199411,6236,-484
199412,6187,-533
199501,6263,-457
199502,6023,-696
199503,6102,-618
199504,6207,-511
199505,6421,-297
199506,6543,-175
199507,6551,-167
199508,6551,-167
199509,6585,-132
199510,6556,-161
199511,6184,-536
199512,6081,-639
199601,6104,-616
199602,6307,-412
199603,6287,-433
199604,6260,-458
199605,6168,-550
199606,6050,-668
199607,6042,-676
199608,6042,-676
199609,6119,-598
199610,6096,-621
199611,6228,-492
199612,6292,-428
199701,6333,-387
199702,6399,-320
199703,6374,-346
199704,6453,-265
199705,6359,-359
199706,6397,-321
199707,6405,-313
199708,6405,-313
199709,6325,-392
199710,6319,-398
199711,6331,-389
199712,6480,-240
199801,6333,-387
199802,6234,-485
199803,6343,-377
199804,6299,-419
199805,6411,-307
199806,6527,-191
199807,6519,-199
199808,6519,-199
199809,6495,-222
199810,6518,-199
199811,6479,-241
199812,6453,-267
199901,6475,-245
199902,6461,-258
199903,6339,-381
199904,6406,-312
199905,6456,-262
199906,6360,-358
199907,6360,-358
199908,6366,-352
199909,6449,-268
199910,6329,-388
199911,6164,-556
199912,6087,-633
200001,6089,-631
200002,5992,-727
200003,6067,-653
200004,5805,-913
200005,5649,-1069
200006,5598,-1120
200007,5598,-1120
200008,5592,-1126
200009,5561,-1156
200010,5647,-1070
200011,6100,-620
200012,6092,-628
200101,6257,-463
200102,6414,-305
200103,6324,-396
