Davis County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,60.1,1.8
199002,60.5,2.2
199003,60.5,2.2
199004,60.5,2.2
199005,60.3,2.0
199006,60.6,2.3
199007,60.3,2.0
199008,60.5,2.2
199009,60.8,2.5
199010,60.8,2.5
199011,60.8,2.5
199012,60.1,1.8
199101,59.6,1.3
199102,60.2,1.9
199103,59.9,1.6
199104,59.3,1.0
199105,59.0,0.7
199106,58.7,0.4
199107,58.7,0.4
199108,58.8,0.5
199109,58.3,0.0
199110,58.3,0.0
199111,57.9,-0.4
199112,58.5,0.2
199201,58.8,0.5
199202,58.7,0.4
199203,59.2,0.9
199204,60.2,1.9
199205,61.0,2.7
199206,61.3,3.0
199207,60.9,2.6
199208,60.9,2.6
199209,61.1,2.8
199210,61.2,2.9
199211,60.9,2.6
199212,60.7,2.4
199301,60.4,2.1
199302,59.6,1.3
199303,59.1,0.8
199304,58.3,0.0
199305,58.0,-0.3
199306,57.4,-0.9
199307,57.0,-1.3
199308,56.6,-1.7
199309,56.5,-1.8
199310,56.1,-2.2
199311,56.3,-2.0
199312,56.7,-1.6
199401,57.4,-0.9
199402,57.8,-0.5
199403,58.2,-0.1
199404,58.6,0.3
199405,58.8,0.5
199406,59.7,1.4
199407,60.6,2.3
199408,61.3,3.0
199409,61.7,3.4
199410,61.6,3.3
199411,61.3,3.0
199412,61.3,3.0
199501,61.0,2.7
199502,61.8,3.5
199503,61.5,3.2
199504,61.1,2.8
199505,60.2,1.9
199506,59.4,1.1
199507,59.0,0.7
199508,58.8,0.5
199509,58.6,0.3
199510,58.9,0.6
199511,60.1,1.8
199512,60.4,2.1
199601,60.4,2.1
199602,59.7,1.4
199603,59.8,1.5
199604,60.0,1.7
199605,60.3,2.0
199606,61.1,2.8
199607,61.4,3.1
199608,61.5,3.2
199609,61.1,2.8
199610,61.1,2.8
199611,60.7,2.4
199612,60.4,2.1
199701,60.3,2.0
199702,60.0,1.7
199703,60.2,1.9
199704,59.9,1.6
199705,60.4,2.1
199706,60.0,1.7
199707,59.7,1.4
199708,59.5,1.2
199709,59.7,1.4
199710,59.7,1.4
199711,59.7,1.4
199712,59.4,1.1
199801,59.8,1.5
199802,60.0,1.7
199803,59.5,1.2
199804,59.6,1.3
199805,59.1,0.8
199806,58.6,0.3
199807,58.9,0.6
199808,59.0,0.7
199809,59.2,0.9
199810,58.9,0.6
199811,59.0,0.7
199812,59.2,0.9
199901,59.2,0.9
199902,59.4,1.1
199903,59.8,1.5
199904,59.6,1.3
199905,59.5,1.2
199906,60.0,1.7
199907,59.9,1.6
199908,59.8,1.5
199909,59.6,1.3
199910,60.2,1.9
199911,60.9,2.6
199912,61.1,2.8
200001,61.0,2.7
200002,61.2,2.9
200003,60.8,2.5
200004,61.8,3.5
200005,62.3,4.0
200006,62.7,4.4
200007,63.0,4.7
200008,63.3,5.0
200009,63.3,5.0
200010,62.7,4.4
200011,61.2,2.9
200012,61.2,2.9
200101,60.9,2.6
200102,60.4,2.1
200103,60.6,2.3
200104,60.1,1.8
200105,60.3,2.0
200106,60.2,1.9
200107,60.1,1.8
200108,60.1,1.8
200109,60.7,2.4
200110,61.1,2.8
200111,62.0,3.7
200112,61.6,3.3
200201,61.5,3.2
200202,61.3,3.0
200203,60.9,2.6
200204,61.1,2.8
200205,60.8,2.5
200206,60.9,2.6
200207,61.1,2.8
200208,60.8,2.5
200209,60.2,1.9
200210,59.7,1.4
200211,59.3,1.0
200212,59.8,1.5
200301,60.8,2.5
200302,60.9,2.6
200303,61.2,2.9
200304,60.9,2.6
200305,61.0,2.7
200306,60.8,2.5
200307,60.9,2.6
200308,61.2,2.9
200309,61.3,3.0
200310,62.2,3.9
200311,61.8,3.5
200312,61.8,3.5
200401,60.6,2.3
200402,60.3,2.0
200403,60.8,2.5
200404,61.0,2.7
200405,60.9,2.6
200406,60.9,2.6
200407,60.4,2.1
200408,59.9,1.6
200409,59.7,1.4
200410,59.0,0.7
200411,59.4,1.1
200412,59.4,1.1
200501,60.1,1.8
200502,60.7,2.4
200503,60.2,1.9
200504,60.0,1.7
200505,60.0,1.7
200506,59.6,1.3
200507,59.8,1.5
200508,60.0,1.7
200509,60.1,1.8
200510,60.4,2.1
200511,60.6,2.3
200512,60.5,2.2
200601,60.4,2.1
200602,60.3,2.0
200603,60.1,1.8
200604,60.3,2.0
200605,60.6,2.3
200606,61.3,3.0
200607,61.3,3.0
200608,61.3,3.0
200609,61.1,2.8
200610,60.7,2.4
200611,60.7,2.4
200612,60.8,2.5
200701,60.2,1.9
200702,60.5,2.2
200703,61.1,2.8
200704,61.1,2.8
200705,61.2,2.9
200706,61.2,2.9
200707,61.3,3.0
200708,61.5,3.2
200709,61.8,3.5
200710,62.1,3.8
200711,62.3,4.0
200712,61.9,3.6
200801,61.9,3.6
200802,61.5,3.2
200803,60.8,2.5
200804,60.2,1.9
200805,59.7,1.4
200806,59.2,0.9
200807,59.0,0.7
200808,59.0,0.7
200809,59.0,0.7
200810,59.1,0.8
200811,59.0,0.7
200812,59.3,1.0
200901,59.9,1.6
200902,60.1,1.8
200903,60.3,2.0
200904,60.5,2.2
200905,61.0,2.7
200906,60.7,2.4
200907,60.5,2.2
200908,60.3,2.0
200909,60.6,2.3
200910,60.0,1.7
200911,60.0,1.7
200912,59.5,1.2
201001,59.4,1.1
201002,59.3,1.0
201003,59.4,1.1
201004,59.3,1.0
201005,58.5,0.2
201006,58.7,0.4
201007,58.7,0.4
201008,58.8,0.5
201009,58.7,0.4
201010,59.4,1.1
201011,58.8,0.5
201012,59.5,1.2
201101,59.3,1.0
201102,59.2,0.9
201103,59.0,0.7
201104,58.8,0.5
201105,58.8,0.5
201106,58.7,0.4
201107,58.6,0.3
201108,58.9,0.6
201109,58.8,0.5
201110,58.8,0.5
201111,58.9,0.6
201112,58.7,0.4
201201,59.2,0.9
201202,59.3,1.0
201203,59.9,1.6
201204,60.8,2.5
201205,61.5,3.2
201206,62.2,3.9
201207,62.4,4.1
201208,62.6,4.3
201209,62.6,4.3
201210,62.5,4.2
201211,63.0,4.7
201212,63.1,4.8
201301,62.3,4.0
201302,62.0,3.7
201303,61.7,3.4
201304,61.0,2.7
201305,61.0,2.7
201306,60.9,2.6
201307,60.9,2.6
201308,60.6,2.3
201309,60.3,2.0
