Davis County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,38.2,0.6
199002,38.6,1.0
199003,38.6,1.0
199004,38.6,1.0
199005,38.4,0.8
199006,38.5,0.9
199007,38.4,0.8
199008,38.5,0.9
199009,39.0,1.4
199010,38.9,1.3
199011,38.9,1.3
199012,38.1,0.5
199101,37.6,0.0
199102,38.0,0.4
199103,37.8,0.2
199104,37.3,-0.3
199105,37.2,-0.4
199106,37.1,-0.5
199107,37.1,-0.5
199108,37.3,-0.3
199109,36.8,-0.8
199110,36.8,-0.8
199111,36.7,-0.9
199112,37.4,-0.2
199201,37.6,0.0
199202,37.8,0.2
199203,38.3,0.7
199204,38.9,1.3
199205,39.6,2.0
199206,39.6,2.0
199207,39.4,1.8
199208,39.3,1.7
199209,39.3,1.7
199210,39.5,1.9
199211,39.1,1.5
199212,38.9,1.3
199301,38.8,1.2
199302,38.1,0.5
199303,37.9,0.3
199304,37.2,-0.4
199305,37.1,-0.5
199306,36.7,-0.9
199307,36.3,-1.3
199308,35.9,-1.7
199309,35.8,-1.8
199310,35.6,-2.0
199311,35.5,-2.1
199312,35.7,-1.9
199401,36.4,-1.2
199402,36.6,-1.0
199403,36.6,-1.0
199404,36.9,-0.7
199405,36.9,-0.7
199406,37.5,-0.1
199407,38.2,0.6
199408,38.7,1.1
199409,39.1,1.5
199410,39.0,1.4
199411,39.1,1.5
199412,39.3,1.7
199501,39.1,1.5
199502,39.8,2.2
199503,39.7,2.1
199504,39.4,1.8
199505,39.0,1.4
199506,38.5,0.9
199507,38.2,0.6
199508,38.1,0.5
199509,38.0,0.4
199510,37.8,0.2
199511,38.7,1.1
199512,39.0,1.4
199601,38.9,1.3
199602,38.4,0.8
199603,38.3,0.7
199604,38.4,0.8
199605,38.5,0.9
199606,39.0,1.4
199607,39.3,1.7
199608,39.2,1.6
199609,38.9,1.3
199610,39.1,1.5
199611,38.7,1.1
199612,38.6,1.0
199701,38.6,1.0
199702,38.4,0.8
199703,38.4,0.8
199704,38.2,0.6
199705,38.3,0.7
199706,38.2,0.6
199707,38.0,0.4
199708,38.2,0.6
199709,38.7,1.1
199710,38.7,1.1
199711,38.7,1.1
199712,38.2,0.6
199801,38.5,0.9
199802,39.0,1.4
199803,38.8,1.2
199804,39.0,1.4
199805,38.8,1.2
199806,38.3,0.7
199807,38.6,1.0
199808,38.5,0.9
199809,38.6,1.0
199810,38.7,1.1
199811,38.8,1.2
199812,38.8,1.2
199901,38.7,1.1
199902,38.5,0.9
199903,38.8,1.2
199904,38.6,1.0
199905,38.4,0.8
199906,38.8,1.2
199907,38.6,1.0
199908,38.6,1.0
199909,38.0,0.4
199910,38.0,0.4
199911,38.2,0.6
199912,38.5,0.9
200001,38.6,1.0
200002,39.0,1.4
200003,38.9,1.3
200004,39.5,1.9
200005,39.9,2.3
200006,40.1,2.5
200007,40.3,2.7
200008,40.5,2.9
200009,40.7,3.1
200010,40.8,3.2
200011,39.8,2.2
200012,39.9,2.3
200101,39.3,1.7
200102,38.9,1.3
200103,39.1,1.5
200104,38.9,1.3
200105,39.0,1.4
200106,38.9,1.3
200107,38.9,1.3
200108,38.8,1.2
200109,39.1,1.5
200110,39.2,1.6
200111,40.0,2.4
200112,39.7,2.1
200201,39.6,2.0
200202,39.1,1.5
200203,38.6,1.0
200204,38.6,1.0
200205,38.3,0.7
200206,38.4,0.8
200207,38.6,1.0
200208,38.2,0.6
200209,38.0,0.4
200210,37.7,0.1
200211,37.3,-0.3
200212,37.8,0.2
200301,38.7,1.1
200302,39.0,1.4
200303,39.5,1.9
200304,39.4,1.8
200305,39.6,2.0
200306,39.4,1.8
200307,39.5,1.9
200308,39.9,2.3
200309,39.8,2.2
200310,40.3,2.7
200311,40.3,2.7
200312,40.3,2.7
200401,39.3,1.7
200402,39.1,1.5
200403,39.4,1.8
200404,39.6,2.0
200405,39.5,1.9
200406,39.5,1.9
200407,39.1,1.5
200408,38.7,1.1
200409,38.6,1.0
200410,38.4,0.8
200411,38.6,1.0
200412,38.4,0.8
200501,39.3,1.7
200502,39.7,2.1
200503,39.3,1.7
200504,39.0,1.4
200505,39.0,1.4
200506,38.7,1.1
200507,38.8,1.2
200508,39.0,1.4
200509,39.0,1.4
200510,39.0,1.4
200511,39.2,1.6
200512,39.0,1.4
200601,38.7,1.1
200602,38.5,0.9
200603,38.4,0.8
200604,38.5,0.9
200605,38.7,1.1
200606,39.2,1.6
200607,39.4,1.8
200608,39.3,1.7
200609,39.2,1.6
200610,38.9,1.3
200611,38.8,1.2
200612,38.8,1.2
200701,38.1,0.5
200702,38.4,0.8
200703,38.8,1.2
200704,38.8,1.2
200705,38.8,1.2
200706,38.7,1.1
200707,38.8,1.2
200708,39.1,1.5
200709,39.4,1.8
200710,39.4,1.8
200711,39.5,1.9
200712,39.2,1.6
200801,39.3,1.7
200802,38.9,1.3
200803,38.4,0.8
200804,37.8,0.2
200805,37.5,-0.1
200806,37.3,-0.3
200807,37.0,-0.6
200808,36.7,-0.9
200809,36.7,-0.9
200810,36.8,-0.8
200811,37.0,-0.6
200812,37.1,-0.5
200901,37.7,0.1
200902,37.9,0.3
200903,38.1,0.5
200904,38.5,0.9
200905,38.8,1.2
200906,38.7,1.1
200907,38.5,0.9
200908,38.4,0.8
200909,38.7,1.1
200910,38.4,0.8
200911,38.1,0.5
200912,37.7,0.1
201001,37.7,0.1
201002,37.7,0.1
201003,37.8,0.2
201004,37.7,0.1
201005,37.1,-0.5
201006,37.2,-0.4
201007,37.3,-0.3
201008,37.3,-0.3
201009,37.1,-0.5
201010,37.6,0.0
201011,37.4,-0.2
201012,38.3,0.7
201101,38.1,0.5
201102,37.9,0.3
201103,38.0,0.4
201104,37.8,0.2
201105,37.9,0.3
201106,37.8,0.2
201107,37.8,0.2
201108,38.0,0.4
201109,38.1,0.5
201110,37.9,0.3
201111,37.9,0.3
201112,37.4,-0.2
201201,37.7,0.1
201202,38.0,0.4
201203,38.3,0.7
201204,38.8,1.2
201205,39.2,1.6
201206,39.5,1.9
201207,39.7,2.1
201208,39.9,2.3
201209,40.1,2.5
201210,40.0,2.4
201211,40.6,3.0
201212,40.9,3.3
201301,40.2,2.6
201302,39.7,2.1
201303,39.4,1.8
201304,39.1,1.5
201305,39.1,1.5
201306,39.2,1.6
201307,39.2,1.6
201308,39.1,1.5
201309,39.0,1.4
201310,38.8,1.2
201311,38.6,1.0
201312,38.0,0.4
201401,38.7,1.1
201402,39.5,1.9
201403,39.6,2.0
201404,39.7,2.1
201405,39.9,2.3
201406,39.7,2.1
201407,39.7,2.1
201408,39.3,1.7
201409,39.4,1.8
201410,39.9,2.3
201411,39.7,2.1
201412,40.5,2.9
201501,40.8,3.2
201502,41.0,3.4
201503,41.3,3.7
201504,41.4,3.8
201505,41.3,3.7
201506,41.8,4.2
201507,41.4,3.8
201508,41.6,4.0
201509,41.7,4.1
201510,42.0,4.4
201511,41.8,4.2
201512,41.4,3.8
201601,41.0,3.4
201602,40.6,3.0
201603,40.5,2.9
201604,40.7,3.1
201605,40.6,3.0
201606,40.5,2.9
201607,40.7,3.1
201608,40.7,3.1
201609,40.3,2.7
201610,40.1,2.5
201611,40.7,3.1
201612,40.6,3.0
201701,40.3,2.7
201702,40.5,2.9
201703,40.8,3.2
201704,40.4,2.8
201705,40.5,2.9
201706,40.3,2.7
201707,40.5,2.9
201708,40.7,3.1
201709,40.7,3.1
201710,40.2,2.6
201711,40.2,2.6
201712,40.5,2.9
201801,41.2,3.6
201802,41.0,3.4
201803,40.5,2.9
201804,40.7,3.1
201805,40.9,3.3
201806,40.8,3.2
201807,40.9,3.3
201808,40.9,3.3
201809,41.1,3.5
201810,41.4,3.8
201811,40.8,3.2
201812,40.8,3.2
201901,40.4,2.8
201902,40.1,2.5
201903,40.1,2.5
201904,40.2,2.6
201905,39.8,2.2
201906,39.6,2.0
201907,39.4,1.8
201908,39.3,1.7
201909,39.2,1.6
201910,38.4,0.8
201911,38.6,1.0
201912,38.8,1.2
202001,39.1,1.5
202002,38.9,1.3
202003,39.2,1.6
202004,39.0,1.4
202005,39.3,1.7
202006,39.2,1.6
202007,39.2,1.6
202008,39.4,1.8
202009,39.4,1.8
202010,40.2,2.6
202011,40.2,2.6
202012,39.9,2.3
202101,39.8,2.2
202102,40.1,2.5
202103,39.8,2.2
202104,39.6,2.0
202105,39.5,1.9
202106,40.2,2.6
202107,40.6,3.0
202108,40.3,2.7
202109,40.4,2.8
202110,40.4,2.8
202111,40.7,3.1
202112,41.0,3.4
202201,40.9,3.3
202202,40.5,2.9
202203,40.5,2.9
202204,40.4,2.8
202205,40.0,2.4
202206,39.4,1.8
202207,39.2,1.6
202208,39.4,1.8
202209,39.5,1.9
202210,39.6,2.0
202211,38.7,1.1
202212,38.5,0.9
202301,38.5,0.9
202302,38.5,0.9
202303,38.0,0.4
202304,38.0,0.4
202305,38.5,0.9
202306,38.5,0.9
202307,38.5,0.9
202308,38.5,0.9
202309,38.3,0.7
202310,38.3,0.7
202311,39.0,1.4
202312,39.4,1.8
202401,39.6,2.0
202402,40.2,2.6
202403,40.7,3.1
