Davis County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.54,-3.69
199002,-3.94,-4.14
199003,-4.09,-4.33
199004,-4.03,-4.21
199005,-3.60,-3.80
199006,-3.25,-3.33
199007,-2.94,-3.06
199008,-2.91,-2.95
199009,-2.80,-2.97
199010,-2.84,-3.00
199011,-2.74,-2.81
199012,-2.94,-2.97
199101,-3.13,-3.28
199102,-3.19,-3.39
199103,0.00,-0.24
199104,0.51,0.33
199105,1.34,1.14
199106,1.29,1.21
199107,1.19,1.07
199108,0.97,0.93
199109,1.62,1.45
199110,1.76,1.60
199111,2.04,1.97
199112,-0.49,-0.52
199201,-0.95,-1.10
199202,-0.82,-1.02
199203,-1.59,-1.83
199204,-2.48,-2.66
199205,-2.90,-3.10
199206,-3.04,-3.12
199207,-2.77,-2.89
199208,-2.87,-2.91
199209,-2.90,-3.07
199210,0.19,0.03
199211,0.60,0.53
199212,0.75,0.72
199301,1.74,1.59
199302,1.94,1.74
199303,1.62,1.38
199304,1.47,1.29
199305,2.03,1.83
199306,2.85,2.77
199307,4.01,3.89
199308,4.55,4.51
199309,3.95,3.78
199310,4.27,4.11
199311,-0.17,-0.24
199312,-0.58,-0.61
199401,-0.94,-1.09
199402,-0.14,-0.34
199403,-0.26,-0.50
199404,-0.19,-0.37
199405,-0.54,-0.74
199406,-1.28,-1.36
199407,-2.27,-2.39
199408,-2.58,-2.62
199409,-2.51,-2.68
199410,0.90,0.74
199411,2.05,1.98
199412,1.98,1.95
199501,2.63,2.48
199502,2.05,1.85
199503,2.68,2.44
199504,2.28,2.10
199505,3.49,3.29
199506,3.89,3.81
199507,4.42,4.30
199508,4.03,3.99
199509,-0.08,-0.25
199510,-0.53,-0.69
199511,-1.14,-1.21
199512,-1.21,-1.24
199601,0.97,0.82
199602,1.10,0.90
199603,1.30,1.06
199604,1.32,1.14
199605,1.34,1.14
199606,-0.53,-0.61
199607,-0.84,-0.96
199608,-1.48,-1.52
199609,0.23,0.06
199610,0.43,0.27
199611,0.59,0.52
199612,1.44,1.41
199701,2.48,2.33
199702,2.17,1.97
199703,1.23,0.99
199704,1.36,1.18
199705,1.22,1.02
199706,1.54,1.46
199707,1.84,1.72
199708,2.13,2.09
199709,2.48,2.31
199710,2.39,2.23
199711,1.67,1.60
199712,1.13,1.10
199801,1.63,1.48
199802,2.86,2.66
199803,2.70,2.46
199804,2.44,2.26
199805,2.76,2.56
199806,4.18,4.10
199807,5.02,4.90
199808,5.11,5.07
199809,4.63,4.46
199810,4.41,4.25
199811,3.74,3.67
199812,2.85,2.82
199901,2.86,2.71
199902,2.73,2.53
199903,1.73,1.49
199904,2.43,2.25
199905,2.93,2.73
199906,2.77,2.69
199907,2.72,2.60
199908,0.00,-0.04
199909,-0.35,-0.52
199910,-1.22,-1.38
199911,-2.11,-2.18
199912,-2.58,-2.61
200001,-2.39,-2.54
200002,-1.75,-1.95
200003,-1.74,-1.98
200004,-2.39,-2.57
200005,-2.40,-2.60
200006,-2.88,-2.96
200007,-3.53,-3.65
200008,-2.46,-2.50
200009,-2.14,-2.31
200010,-1.58,-1.74
200011,-1.52,-1.59
200012,-1.56,-1.59
200101,-2.02,-2.17
200102,-1.58,-1.78
200103,-1.96,-2.20
200104,-1.46,-1.64
200105,-2.24,-2.44
200106,-2.55,-2.63
200107,-2.56,-2.68
200108,-2.70,-2.74
200109,-3.10,-3.27
200110,-3.04,-3.20
200111,-2.36,-2.43
200112,-2.06,-2.09
200201,-2.14,-2.29
200202,-2.49,-2.69
200203,-2.08,-2.32
200204,-1.85,-2.03
200205,-1.95,-2.15
200206,-2.37,-2.45
200207,-3.08,-3.20
200208,-3.59,-3.63
200209,-2.70,-2.87
200210,-2.51,-2.67
200211,-2.68,-2.75
200212,-2.92,-2.95
200301,-3.53,-3.68
200302,-3.57,-3.77
200303,-3.52,-3.76
200304,-3.44,-3.62
200305,-3.23,-3.43
200306,-2.99,-3.07
200307,-3.19,-3.31
200308,-3.37,-3.41
200309,-3.30,-3.47
200310,-3.71,-3.87
200311,0.28,0.21
200312,1.09,1.06
200401,0.71,0.56
200402,1.30,1.10
200403,-0.86,-1.10
200404,-1.01,-1.19
200405,-1.10,-1.30
200406,-0.97,-1.05
200407,-0.88,-1.00
200408,-0.84,-0.88
200409,0.02,-0.15
200410,1.93,1.77
200411,2.02,1.95
200412,2.07,2.04
200501,2.30,2.15
200502,2.10,1.90
200503,2.45,2.21
200504,2.34,2.16
200505,3.12,2.92
200506,3.53,3.45
200507,3.68,3.56
200508,3.05,3.01
200509,2.35,2.18
200510,1.93,1.77
200511,1.49,1.42
200512,1.58,1.55
200601,1.99,1.84
200602,1.56,1.36
200603,2.21,1.97
200604,2.10,1.92
200605,-0.45,-0.65
200606,-0.73,-0.81
200607,-1.37,-1.49
200608,0.03,-0.01
200609,0.93,0.76
200610,1.25,1.09
200611,0.01,-0.06
200612,-0.41,-0.44
200701,-1.05,-1.20
200702,-0.80,-1.00
200703,-1.38,-1.62
200704,-1.89,-2.07
200705,-2.31,-2.51
200706,-2.21,-2.29
200707,-2.51,-2.63
200708,-2.75,-2.79
200709,0.36,0.19
200710,0.69,0.53
200711,-0.81,-0.88
200712,0.52,0.49
200801,0.97,0.82
200802,1.18,0.98
200803,-0.39,-0.63
200804,-0.74,-0.92
200805,-0.71,-0.91
200806,-0.78,-0.86
200807,-1.14,-1.26
200808,-1.41,-1.45
200809,-1.32,-1.49
200810,-1.32,-1.48
200811,-1.52,-1.59
200812,-1.48,-1.51
200901,0.31,0.16
200902,0.48,0.28
200903,0.51,0.27
200904,0.81,0.63
200905,0.40,0.20
200906,1.36,1.28
200907,1.74,1.62
200908,-0.21,-0.25
200909,-0.38,-0.55
200910,-0.04,-0.20
200911,-0.92,-0.99
200912,-1.08,-1.11
201001,-1.58,-1.73
201002,-1.99,-2.19
201003,-2.26,-2.50
201004,0.47,0.29
201005,1.29,1.09
201006,1.30,1.22
201007,1.29,1.17
201008,1.44,1.40
201009,0.72,0.55
201010,1.05,0.89
201011,1.39,1.32
201012,2.64,2.61
201101,2.36,2.21
201102,2.12,1.92
201103,2.57,2.33
201104,3.44,3.26
201105,4.84,4.64
201106,4.39,4.31
201107,4.20,4.08
201108,4.39,4.35
201109,-0.25,-0.42
201110,-0.13,-0.29
201111,-0.20,-0.27
201112,-1.11,-1.14
201201,-1.21,-1.36
201202,-1.51,-1.71
201203,-2.14,-2.38
201204,-2.16,-2.34
201205,-2.43,-2.63
201206,-2.99,-3.07
201207,-3.46,-3.58
201208,-3.90,-3.94
201209,-3.66,-3.83
201210,-3.24,-3.40
201211,-3.51,-3.58
201212,-3.16,-3.19
201301,-3.06,-3.21
201302,-3.21,-3.41
201303,-3.76,-4.00
201304,-3.48,-3.66
201305,-3.03,-3.23
201306,-3.36,-3.44
201307,-3.32,-3.44
201308,-3.56,-3.60
201309,-2.99,-3.16
201310,-2.81,-2.97
201311,-3.23,-3.30
201312,-3.16,-3.19
201401,-3.44,-3.59
201402,-2.61,-2.81
201403,-2.68,-2.92
201404,-2.68,-2.86
201405,-2.82,-3.02
201406,-2.68,-2.76
201407,-2.48,-2.60
201408,0.76,0.72
201409,1.57,1.40
201410,-0.94,-1.10
201411,-1.38,-1.45
201412,-1.34,-1.37
201501,-1.92,-2.07
201502,-2.80,-3.00
201503,-3.72,-3.96
201504,-3.54,-3.72
201505,-1.78,-1.98
201506,-2.02,-2.10
201507,-1.60,-1.72
201508,-0.81,-0.85
201509,-0.61,-0.78
201510,-0.90,-1.06
201511,-1.33,-1.40
201512,-0.98,-1.01
201601,-0.57,-0.72
201602,-1.06,-1.26
201603,-1.06,-1.30
201604,-0.91,-1.09
201605,-0.79,-0.99
201606,-1.21,-1.29
201607,-1.99,-2.11
201608,-2.52,-2.56
201609,0.94,0.77
201610,0.63,0.47
201611,0.22,0.15
201612,0.60,0.57
201701,1.74,1.59
201702,2.32,2.12
201703,1.82,1.58
201704,2.11,1.93
201705,-0.48,-0.68
