Davis County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.54,-3.64
199002,-3.94,-4.16
199003,-4.09,-4.41
199004,-4.03,-4.32
199005,-3.60,-3.94
199006,-3.25,-3.49
199007,-2.94,-3.14
199008,-2.91,-3.08
199009,-2.80,-2.97
199010,-2.84,-3.02
199011,-2.74,-2.82
199012,-2.94,-2.98
199101,-3.13,-3.23
199102,-3.19,-3.41
199103,-2.86,-3.18
199104,-2.06,-2.35
199105,-0.96,-1.30
199106,-0.78,-1.02
199107,-0.66,-0.86
199108,-0.69,-0.86
199109,1.62,1.45
199110,1.76,1.58
199111,2.04,1.96
199112,1.34,1.30
199201,0.69,0.59
199202,0.65,0.43
199203,-1.59,-1.91
199204,-2.48,-2.77
199205,-2.90,-3.24
199206,-3.04,-3.28
199207,-2.77,-2.97
199208,-2.87,-3.04
199209,-2.90,-3.07
199210,-2.42,-2.60
199211,-1.74,-1.82
199212,-1.34,-1.38
199301,1.74,1.64
199302,1.94,1.72
199303,1.62,1.30
199304,1.47,1.18
199305,2.03,1.69
199306,2.85,2.61
199307,4.01,3.81
199308,4.55,4.38
199309,3.95,3.78
199310,4.27,4.09
199311,3.66,3.58
199312,2.85,2.81
199401,2.15,2.05
199402,2.62,2.40
199403,2.22,1.90
199404,2.03,1.74
199405,1.45,1.11
199406,-1.28,-1.52
199407,-2.27,-2.47
199408,-2.58,-2.75
199409,-2.51,-2.68
199410,-1.36,-1.54
199411,2.05,1.97
199412,1.98,1.94
199501,2.63,2.53
199502,2.05,1.83
199503,2.68,2.36
199504,2.28,1.99
199505,3.49,3.15
199506,3.89,3.65
199507,4.42,4.22
199508,4.03,3.86
199509,3.54,3.37
199510,2.71,2.53
199511,1.77,1.69
199512,1.40,1.36
199601,2.23,2.13
199602,2.22,2.00
199603,2.31,1.99
199604,2.22,1.93
199605,2.15,1.81
199606,1.40,1.16
199607,0.89,0.69
199608,-1.48,-1.65
199609,-1.10,-1.27
199610,-0.76,-0.94
199611,0.59,0.51
199612,1.44,1.40
199701,2.48,2.38
199702,2.17,1.95
199703,1.23,0.91
199704,1.36,1.07
199705,1.22,0.88
199706,1.54,1.30
199707,1.84,1.64
199708,2.13,1.96
199709,2.48,2.31
199710,2.39,2.21
199711,1.67,1.59
199712,1.13,1.09
199801,1.63,1.53
199802,2.86,2.64
199803,2.70,2.38
199804,2.44,2.15
199805,2.76,2.42
199806,4.18,3.94
199807,5.02,4.82
199808,5.11,4.94
199809,4.63,4.46
199810,4.41,4.23
199811,3.74,3.66
199812,2.85,2.81
199901,2.86,2.76
199902,2.73,2.51
199903,1.73,1.41
199904,2.43,2.14
199905,2.93,2.59
199906,2.77,2.53
199907,2.72,2.52
199908,2.43,2.26
199909,1.83,1.66
199910,0.74,0.56
199911,-2.11,-2.19
199912,-2.58,-2.62
200001,-2.39,-2.49
200002,-1.75,-1.97
200003,-1.74,-2.06
200004,-2.39,-2.68
200005,-2.40,-2.74
200006,-2.88,-3.12
200007,-3.53,-3.73
200008,-2.46,-2.63
200009,-2.14,-2.31
200010,-1.58,-1.76
200011,-1.52,-1.60
200012,-1.56,-1.60
200101,-2.02,-2.12
200102,-1.58,-1.80
200103,-1.96,-2.28
200104,-1.46,-1.75
200105,-2.24,-2.58
200106,-2.55,-2.79
200107,-2.56,-2.76
200108,-2.70,-2.87
200109,-3.10,-3.27
200110,-3.04,-3.22
200111,-2.36,-2.44
200112,-2.06,-2.10
200201,-2.14,-2.24
200202,-2.49,-2.71
200203,-2.08,-2.40
200204,-1.85,-2.14
200205,-1.95,-2.29
200206,-2.37,-2.61
200207,-3.08,-3.28
200208,-3.59,-3.76
200209,-2.70,-2.87
200210,-2.51,-2.69
200211,-2.68,-2.76
200212,-2.92,-2.96
200301,-3.53,-3.63
200302,-3.57,-3.79
200303,-3.52,-3.84
200304,-3.44,-3.73
200305,-3.23,-3.57
200306,-2.99,-3.23
200307,-3.19,-3.39
200308,-3.37,-3.54
200309,-3.30,-3.47
200310,-3.71,-3.89
200311,-3.05,-3.13
200312,-1.90,-1.94
200401,-1.97,-2.07
200402,-1.10,-1.32
200403,-1.85,-2.17
200404,-1.90,-2.19
200405,-1.89,-2.23
200406,-1.69,-1.93
200407,-1.52,-1.72
200408,-1.42,-1.59
200409,-1.25,-1.42
200410,1.93,1.75
200411,2.02,1.94
200412,2.07,2.03
200501,2.30,2.20
200502,2.10,1.88
200503,2.45,2.13
200504,2.34,2.05
200505,3.12,2.78
200506,3.53,3.29
200507,3.68,3.48
200508,3.05,2.88
200509,2.35,2.18
200510,1.93,1.75
200511,1.49,1.41
200512,1.58,1.54
200601,1.99,1.89
200602,1.56,1.34
200603,2.21,1.89
200604,2.10,1.81
200605,1.44,1.10
200606,0.96,0.72
200607,-1.37,-1.57
200608,-1.20,-1.37
200609,0.93,0.76
200610,1.25,1.07
200611,1.13,1.05
200612,0.60,0.56
200701,-1.05,-1.15
200702,-0.80,-1.02
200703,-1.38,-1.70
200704,-1.89,-2.18
200705,-2.31,-2.65
200706,-2.21,-2.45
200707,-2.51,-2.71
200708,-2.75,-2.92
200709,-2.10,-2.27
200710,-1.52,-1.70
200711,-2.18,-2.26
200712,-1.43,-1.47
200801,-0.78,-0.88
200802,1.18,0.96
200803,0.66,0.34
200804,-0.74,-1.03
200805,-0.71,-1.05
200806,-0.78,-1.02
200807,-1.14,-1.34
200808,-1.41,-1.58
200809,-1.32,-1.49
200810,-1.32,-1.50
200811,-1.52,-1.60
200812,-1.48,-1.52
200901,-1.02,-1.12
200902,-0.71,-0.93
200903,-0.56,-0.88
200904,0.81,0.52
200905,0.40,0.06
200906,1.36,1.12
200907,1.74,1.54
200908,1.35,1.18
200909,1.02,0.85
200910,1.21,1.03
200911,-0.92,-1.00
200912,-1.08,-1.12
201001,-1.58,-1.68
201002,-1.99,-2.21
201003,-2.26,-2.58
201004,-1.56,-1.85
201005,1.29,0.95
201006,1.30,1.06
201007,1.29,1.09
201008,1.44,1.27
201009,0.72,0.55
201010,1.05,0.87
201011,1.39,1.31
201012,2.64,2.60
201101,2.36,2.26
201102,2.12,1.90
201103,2.57,2.25
201104,3.44,3.15
201105,4.84,4.50
201106,4.39,4.15
201107,4.20,4.00
201108,4.39,4.22
201109,3.69,3.52
201110,3.40,3.22
201111,2.97,2.89
201112,1.73,1.69
201201,1.34,1.24
201202,0.78,0.56
201203,-2.14,-2.46
201204,-2.16,-2.45
201205,-2.43,-2.77
201206,-2.99,-3.23
201207,-3.46,-3.66
201208,-3.90,-4.07
201209,-3.66,-3.83
201210,-3.24,-3.42
201211,-3.51,-3.59
201212,-3.16,-3.20
201301,-3.06,-3.16
201302,-3.21,-3.43
201303,-3.76,-4.08
201304,-3.48,-3.77
201305,-3.03,-3.37
201306,-3.36,-3.60
201307,-3.32,-3.52
201308,-3.56,-3.73
201309,-2.99,-3.16
201310,-2.81,-2.99
201311,-3.23,-3.31
201312,-3.16,-3.20
201401,-3.44,-3.54
201402,-2.61,-2.83
201403,-2.68,-3.00
201404,-2.68,-2.97
201405,-2.82,-3.16
201406,-2.68,-2.92
201407,-2.48,-2.68
201408,-1.47,-1.64
201409,1.57,1.40
201410,-0.94,-1.12
201411,-1.38,-1.46
201412,-1.34,-1.38
201501,-1.92,-2.02
201502,-2.80,-3.02
201503,-3.72,-4.04
201504,-3.54,-3.83
201505,-1.78,-2.12
201506,-2.02,-2.26
201507,-1.60,-1.80
201508,-0.81,-0.98
201509,-0.61,-0.78
201510,-0.90,-1.08
201511,-1.33,-1.41
201512,-0.98,-1.02
201601,-0.57,-0.67
201602,-1.06,-1.28
201603,-1.06,-1.38
201604,-0.91,-1.20
201605,-0.79,-1.13
201606,-1.21,-1.45
201607,-1.99,-2.19
201608,-2.52,-2.69
201609,-1.32,-1.49
201610,-1.40,-1.58
201611,-1.60,-1.68
201612,-1.03,-1.07
201701,1.74,1.64
201702,2.32,2.10
201703,1.82,1.50
201704,2.11,1.82
201705,1.41,1.07
201706,0.79,0.55
201707,-1.56,-1.76
201708,-2.21,-2.38
201709,-1.25,-1.42
201710,-1.84,-2.02
201711,-2.23,-2.31
201712,-2.59,-2.63
201801,-3.21,-3.31
201802,-3.66,-3.88
201803,-3.51,-3.83
201804,-3.45,-3.74
201805,-3.54,-3.88
201806,-3.94,-4.18
201807,-4.68,-4.88
201808,-4.95,-5.12
201809,-5.31,-5.48
201810,-4.03,-4.21
201811,-3.13,-3.21
201812,-2.88,-2.92
201901,-2.02,-2.12
201902,-1.10,-1.32
201903,2.90,2.58
