Davis County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.54,-3.72
199002,-3.94,-4.25
199003,-4.09,-4.35
199004,-4.03,-4.21
199005,-3.53,-3.77
199006,-3.13,-3.25
199007,-2.79,-2.92
199008,-2.91,-3.03
199009,-2.80,-2.94
199010,-2.84,-3.04
199011,-2.74,-2.86
199012,-2.94,-2.96
199101,-3.13,-3.31
199102,-3.19,-3.50
199103,-2.79,-3.05
199104,-1.32,-1.50
199105,0.86,0.62
199106,1.04,0.92
199107,1.09,0.96
199108,0.85,0.73
199109,1.62,1.48
199110,1.76,1.56
199111,2.04,1.92
199112,0.60,0.58
199201,-0.77,-0.95
199202,-0.69,-1.00
199203,-1.59,-1.85
199204,-2.48,-2.66
199205,-2.90,-3.14
199206,-3.04,-3.16
199207,-2.75,-2.88
199208,-2.87,-2.99
199209,-2.90,-3.04
199210,-2.13,-2.33
199211,-0.87,-0.99
199212,-0.18,-0.20
199301,1.74,1.56
199302,1.94,1.63
199303,1.39,1.13
199304,1.18,1.00
199305,2.03,1.79
199306,2.85,2.73
199307,4.01,3.88
199308,4.55,4.43
199309,3.75,3.61
199310,4.27,4.07
199311,3.41,3.29
199312,2.05,2.03
199401,0.85,0.67
199402,2.07,1.76
199403,1.48,1.22
199404,1.31,1.13
199405,0.34,0.10
199406,-1.28,-1.40
199407,-2.27,-2.40
199408,-2.58,-2.70
199409,-2.51,-2.65
199410,-0.14,-0.34
199411,2.05,1.93
199412,1.98,1.96
199501,2.63,2.45
199502,1.59,1.28
199503,2.68,2.42
199504,2.07,1.89
199505,3.49,3.25
199506,3.89,3.77
199507,4.42,4.29
199508,4.03,3.91
199509,3.39,3.25
199510,1.98,1.78
199511,0.24,0.12
199512,-0.31,-0.33
199601,1.56,1.38
199602,1.72,1.41
199603,2.05,1.79
199604,2.07,1.89
199605,2.12,1.88
199606,0.60,0.48
199607,-0.41,-0.54
199608,-1.48,-1.60
199609,-0.65,-0.79
199610,0.09,-0.11
199611,0.59,0.47
199612,1.44,1.42
199701,2.48,2.30
199702,2.04,1.73
199703,0.11,-0.15
199704,0.54,0.36
199705,0.38,0.14
199706,1.16,1.04
199707,1.84,1.71
199708,2.13,2.01
199709,2.48,2.34
199710,2.39,2.19
199711,0.98,0.86
199712,-0.07,-0.09
199801,1.19,1.01
199802,2.86,2.55
199803,2.70,2.44
199804,2.39,2.21
199805,2.76,2.52
199806,4.18,4.06
199807,5.02,4.89
199808,5.11,4.99
199809,4.62,4.48
199810,4.41,4.21
199811,3.42,3.30
199812,1.91,1.89
199901,2.22,2.04
199902,2.24,1.93
199903,0.42,0.16
199904,2.01,1.83
199905,2.93,2.69
199906,2.77,2.65
199907,2.72,2.59
199908,2.37,2.25
199909,1.26,1.12
199910,-0.98,-1.18
199911,-2.11,-2.23
199912,-2.58,-2.60
200001,-2.39,-2.57
200002,-1.16,-1.47
200003,-1.34,-1.60
200004,-2.39,-2.57
200005,-2.40,-2.64
200006,-2.88,-3.00
200007,-3.53,-3.66
200008,-1.57,-1.69
200009,-1.14,-1.28
200010,-0.17,-0.37
200011,-0.25,-0.37
200012,-0.50,-0.52
200101,-1.52,-1.70
200102,-0.80,-1.11
200103,-1.64,-1.90
200104,-0.74,-0.92
200105,-2.24,-2.48
200106,-2.55,-2.67
200107,-2.56,-2.69
200108,-2.70,-2.82
200109,-3.10,-3.24
200110,-3.04,-3.24
200111,-1.84,-1.96
200112,-1.44,-1.46
200201,-1.82,-2.00
200202,-2.49,-2.80
200203,-1.81,-2.07
200204,-1.51,-1.69
200205,-1.91,-2.15
200206,-2.37,-2.49
200207,-3.08,-3.21
200208,-3.59,-3.71
200209,-2.02,-2.16
200210,-1.88,-2.08
200211,-2.50,-2.62
200212,-2.92,-2.94
200301,-3.53,-3.71
200302,-3.57,-3.88
200303,-3.52,-3.78
200304,-3.44,-3.62
200305,-3.23,-3.47
200306,-2.99,-3.11
200307,-3.19,-3.32
200308,-3.37,-3.49
200309,-3.30,-3.44
200310,-3.71,-3.91
200311,-2.67,-2.79
200312,-0.49,-0.51
200401,-0.86,-1.04
200402,0.72,0.41
200403,-0.96,-1.22
200404,-1.22,-1.40
200405,-1.33,-1.57
200406,-1.08,-1.20
200407,-0.88,-1.01
200408,-0.79,-0.91
200409,-0.59,-0.73
200410,1.93,1.73
200411,2.02,1.90
200412,2.07,2.05
200501,2.30,2.12
200502,2.07,1.76
200503,2.45,2.19
200504,2.34,2.16
200505,3.12,2.88
200506,3.53,3.41
200507,3.68,3.55
200508,2.71,2.59
200509,1.50,1.36
200510,0.83,0.63
200511,0.12,0.00
200512,0.50,0.48
200601,1.44,1.26
200602,0.76,0.45
200603,2.15,1.89
200604,2.10,1.92
200605,0.75,0.51
200606,-0.19,-0.31
200607,-1.37,-1.50
200608,-1.06,-1.18
200609,0.93,0.79
200610,1.25,1.05
200611,1.06,0.94
200612,-0.31,-0.33
200701,-1.05,-1.23
200702,-0.39,-0.70
200703,-1.38,-1.64
200704,-1.89,-2.07
200705,-2.31,-2.55
200706,-2.21,-2.33
200707,-2.51,-2.64
200708,-2.75,-2.87
200709,-1.59,-1.73
200710,-0.51,-0.71
200711,-2.10,-2.22
200712,-0.61,-0.63
200801,0.69,0.51
200802,1.18,0.87
200803,-0.18,-0.44
200804,-0.74,-0.92
200805,-0.71,-0.95
200806,-0.78,-0.90
200807,-1.14,-1.27
200808,-1.41,-1.53
200809,-1.32,-1.46
200810,-1.32,-1.52
200811,-1.52,-1.64
200812,-1.48,-1.50
200901,-0.45,-0.63
200902,0.23,-0.08
200903,0.50,0.24
200904,0.81,0.63
200905,0.40,0.16
200906,1.36,1.24
200907,1.74,1.61
200908,0.96,0.84
200909,0.29,0.15
200910,0.86,0.66
200911,-0.92,-1.04
200912,-1.08,-1.10
201001,-1.58,-1.76
201002,-1.99,-2.30
201003,-2.26,-2.52
201004,-0.87,-1.05
201005,1.29,1.05
201006,1.30,1.18
201007,1.29,1.16
201008,1.44,1.32
201009,-0.30,-0.44
201010,0.65,0.45
201011,1.39,1.27
201012,2.64,2.62
201101,2.28,2.10
201102,1.98,1.67
201103,2.57,2.31
201104,3.44,3.26
201105,4.84,4.60
201106,4.39,4.27
201107,4.20,4.07
201108,4.39,4.27
201109,3.35,3.21
201110,3.10,2.90
201111,2.53,2.41
201112,0.21,0.19
201201,-0.37,-0.55
201202,-1.28,-1.59
201203,-2.14,-2.40
201204,-2.16,-2.34
201205,-2.43,-2.67
201206,-2.99,-3.11
201207,-3.46,-3.59
201208,-3.90,-4.02
201209,-3.66,-3.80
201210,-3.12,-3.32
201211,-3.51,-3.63
201212,-3.11,-3.13
201301,-3.06,-3.24
201302,-3.21,-3.52
201303,-3.76,-4.02
201304,-3.48,-3.66
201305,-2.87,-3.11
201306,-3.36,-3.48
201307,-3.32,-3.45
201308,-3.56,-3.68
201309,-2.70,-2.84
201310,-2.60,-2.80
201311,-3.23,-3.35
201312,-3.16,-3.18
201401,-3.44,-3.62
201402,-1.99,-2.30
201403,-2.40,-2.66
201404,-2.65,-2.83
201405,-2.82,-3.06
201406,-2.68,-2.80
201407,-2.48,-2.61
201408,-0.43,-0.55
201409,1.57,1.43
201410,-0.94,-1.14
201411,-1.38,-1.50
201412,-1.34,-1.36
201501,-1.92,-2.10
