Davis County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-1.81,-2.02
199002,-2.32,-2.56
199003,-1.67,-1.79
199004,-1.09,-0.99
199005,0.05,-0.13
199006,-0.05,0.01
199007,-0.07,-0.15
199008,-0.84,-0.93
199009,-0.54,-0.66
199010,-0.99,-1.12
199011,-0.57,-0.44
199012,-1.47,-1.30
199101,-1.47,-1.68
199102,-1.14,-1.38
199103,0.01,-0.11
199104,1.52,1.62
199105,2.65,2.47
199106,0.25,0.31
199107,0.12,0.04
199108,-0.29,-0.38
199109,2.25,2.13
199110,0.92,0.79
199111,1.37,1.50
199112,-1.46,-1.29
199201,-1.55,-1.76
199202,0.11,-0.13
199203,-2.57,-2.69
199204,-3.16,-3.06
199205,-2.01,-2.19
199206,-1.33,-1.27
199207,-0.12,-0.20
199208,-1.18,-1.27
199209,-0.98,-1.10
199210,0.56,0.43
199211,1.28,1.41
199212,0.65,0.82
199301,3.20,2.99
199302,1.14,0.90
199303,-0.36,-0.48
199304,0.03,0.13
199305,2.14,1.96
199306,3.10,3.16
199307,4.34,4.26
199308,2.86,2.77
199309,-0.39,-0.51
199310,2.17,2.04
199311,-0.50,-0.37
199312,-1.29,-1.12
199401,-1.24,-1.45
199402,2.09,1.85
199403,-0.41,-0.53
199404,0.13,0.23
199405,-1.11,-1.29
199406,-2.37,-2.31
199407,-3.36,-3.44
199408,-1.64,-1.73
199409,-0.58,-0.70
199410,2.69,2.56
199411,3.75,3.88
199412,0.42,0.59
199501,2.57,2.36
199502,-0.94,-1.18
199503,2.52,2.40
199504,-0.36,-0.26
199505,4.34,4.16
199506,2.28,2.34
199507,2.79,2.71
199508,0.18,0.09
199509,-0.23,-0.35
199510,-1.37,-1.50
199511,-2.00,-1.87
199512,-0.56,-0.39
199601,2.92,2.71
199602,0.68,0.44
199603,0.94,0.82
199604,0.45,0.55
199605,0.47,0.29
199606,-1.59,-1.53
199607,-1.09,-1.17
199608,-2.17,-2.26
199609,0.68,0.56
199610,0.67,0.54
199611,0.64,0.77
199612,2.72,2.89
199701,3.57,3.36
199702,-0.16,-0.40
199703,-2.15,-2.27
199704,0.75,0.85
199705,0.00,-0.18
199706,1.34,1.40
199707,1.37,1.29
199708,1.44,1.35
199709,1.72,1.60
199710,0.50,0.37
199711,-1.43,-1.30
199712,-1.11,-0.94
199801,1.87,1.66
199802,4.19,3.95
199803,0.41,0.29
199804,0.04,0.14
199805,1.71,1.53
199806,5.11,5.17
199807,3.83,3.75
199808,1.81,1.72
199809,0.13,0.01
199810,0.79,0.66
199811,-0.67,-0.54
199812,-1.52,-1.35
199901,0.91,0.70
199902,0.51,0.27
199903,-2.16,-2.28
199904,2.64,2.74
199905,2.25,2.07
199906,0.41,0.47
199907,0.71,0.63
199908,-0.01,-0.10
199909,-1.05,-1.17
