Davis County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,19.01,-6.29
199002,17.69,-7.63
199003,16.87,-8.47
199004,17.89,-7.41
199005,18.23,-7.08
199006,18.78,-6.53
199007,18.88,-6.44
199008,18.61,-6.73
199009,18.87,-6.47
199010,17.96,-7.38
199011,18.76,-6.56
199012,20.18,-5.15
199101,19.79,-5.51
199102,20.41,-4.91
199103,20.90,-4.44
199104,22.49,-2.81
199105,24.53,-0.78
199106,24.59,-0.72
199107,24.15,-1.17
199108,24.56,-0.78
199109,26.17,0.83
199110,27.72,2.38
199111,28.58,3.26
199112,27.86,2.53
199201,27.13,1.83
199202,27.80,2.48
199203,26.40,1.06
199204,23.22,-2.08
199205,20.58,-4.73
199206,20.47,-4.84
199207,21.80,-3.52
199208,21.20,-4.14
199209,19.05,-6.29
199210,18.97,-6.37
199211,18.87,-6.45
199212,20.85,-4.48
199301,24.19,-1.11
199302,24.68,-0.64
199303,25.97,0.63
199304,27.85,2.55
199305,30.67,5.36
199306,32.81,7.50
199307,33.22,7.90
199308,33.57,8.23
199309,33.38,8.04
199310,34.18,8.84
199311,31.98,6.66
199312,30.20,4.87
199401,27.12,1.82
199402,27.85,2.53
199403,28.02,2.68
199404,28.58,3.28
199405,25.94,0.63
199406,22.52,-2.79
199407,20.66,-4.66
199408,20.60,-4.74
199409,21.30,-4.04
199410,21.84,-3.50
199411,25.45,0.13
199412,26.22,0.89
199501,28.79,3.49
199502,26.97,1.65
199503,29.01,3.67
199504,28.20,2.90
199505,32.09,6.78
199506,34.91,9.60
199507,35.72,10.40
199508,35.46,10.12
199509,35.39,10.05
199510,32.13,6.79
199511,29.10,3.78
199512,30.03,4.70
199601,31.44,6.14
199602,32.18,6.86
199603,31.01,5.67
199604,31.84,6.54
199605,28.84,3.53
199606,26.20,0.89
199607,26.02,0.70
199608,25.62,0.28
199609,26.23,0.89
199610,27.99,2.65
199611,29.45,4.13
199612,31.51,6.18
199701,30.91,5.61
199702,30.27,4.95
199703,27.92,2.58
199704,27.90,2.60
199705,27.84,2.53
199706,30.06,4.75
199707,30.33,5.01
199708,31.79,6.45
199709,32.50,7.16
199710,32.29,6.95
199711,30.51,5.19
199712,27.55,2.22
199801,27.20,1.90
199802,30.58,5.26
199803,32.25,6.91
199804,31.77,6.47
199805,32.83,7.52
199806,35.38,10.07
199807,35.75,10.43
199808,35.27,9.93
199809,34.13,8.79
199810,34.28,8.94
199811,34.87,9.55
199812,34.26,8.93
199901,33.38,8.08
199902,30.60,5.28
199903,28.96,3.62
199904,31.08,5.78
199905,31.38,6.07
199906,27.95,2.64
199907,27.11,1.79
199908,27.05,1.71
199909,26.25,0.91
199910,23.86,-1.48
