Duchesne County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,42.1,1.9
199002,42.5,2.3
199003,42.4,2.2
199004,42.3,2.0
199005,42.2,1.9
199006,42.5,2.2
199007,42.3,2.0
199008,42.4,2.1
199009,42.7,2.4
199010,42.7,2.4
199011,42.5,2.2
199012,41.7,1.4
199101,41.2,1.0
199102,41.6,1.4
199103,41.2,1.0
199104,40.7,0.4
199105,40.6,0.3
199106,40.4,0.1
199107,40.3,0.0
199108,40.4,0.1
199109,40.0,-0.3
199110,40.1,-0.2
199111,40.0,-0.3
199112,40.6,0.3
199201,41.0,0.8
199202,40.9,0.7
199203,41.5,1.3
199204,42.3,2.0
199205,42.8,2.5
199206,42.8,2.5
199207,42.5,2.2
199208,42.6,2.3
199209,42.6,2.3
199210,42.8,2.5
199211,42.6,2.3
199212,42.1,1.8
199301,42.1,1.9
199302,41.4,1.2
199303,41.2,1.0
199304,40.5,0.2
199305,40.3,0.0
199306,40.1,-0.2
199307,40.0,-0.3
199308,39.7,-0.6
199309,39.6,-0.7
199310,39.2,-1.1
199311,39.1,-1.2
199312,39.6,-0.7
199401,40.2,0.0
199402,40.4,0.2
199403,40.6,0.4
199404,40.8,0.5
199405,41.0,0.7
199406,41.6,1.3
199407,42.1,1.8
199408,42.6,2.3
199409,42.8,2.5
199410,42.7,2.4
199411,42.7,2.4
199412,42.7,2.4
199501,42.5,2.3
199502,43.4,3.2
199503,43.1,2.9
199504,42.7,2.4
199505,42.1,1.8
199506,41.3,1.0
199507,40.9,0.6
199508,40.8,0.5
199509,40.7,0.4
199510,40.8,0.5
199511,41.7,1.4
199512,42.0,1.7
199601,41.9,1.7
199602,41.4,1.2
199603,41.4,1.2
199604,41.6,1.3
199605,42.1,1.8
199606,42.7,2.4
199607,43.0,2.7
199608,43.0,2.7
199609,42.8,2.5
199610,42.6,2.3
199611,42.3,2.0
199612,41.9,1.6
199701,41.9,1.7
199702,41.4,1.2
199703,41.4,1.2
199704,41.1,0.8
199705,41.1,0.8
199706,41.0,0.7
199707,40.7,0.4
199708,40.5,0.2
199709,40.7,0.4
199710,40.8,0.5
199711,40.6,0.3
199712,40.5,0.2
199801,40.9,0.7
199802,41.3,1.1
199803,41.1,0.9
199804,41.3,1.0
199805,41.1,0.8
199806,40.6,0.3
199807,40.9,0.6
199808,41.0,0.7
199809,41.2,0.9
199810,41.2,0.9
199811,41.4,1.1
199812,41.4,1.1
199901,41.4,1.2
199902,41.6,1.4
199903,41.9,1.7
199904,41.8,1.5
199905,41.6,1.3
199906,41.9,1.6
199907,41.8,1.5
199908,41.6,1.3
199909,41.2,0.9
199910,41.5,1.2
199911,41.9,1.6
199912,42.1,1.8
200001,42.2,2.0
200002,42.3,2.1
200003,42.1,1.9
200004,42.8,2.5
200005,43.3,3.0
200006,43.6,3.3
200007,43.8,3.5
200008,44.2,3.9
200009,44.3,4.0
200010,44.1,3.8
200011,42.9,2.6
200012,43.0,2.7
200101,42.7,2.5
200102,42.3,2.1
200103,42.6,2.4
200104,42.3,2.0
200105,42.2,1.9
200106,42.3,2.0
200107,42.2,1.9
200108,42.1,1.8
200109,42.5,2.2
200110,42.7,2.4
200111,43.5,3.2
200112,43.0,2.7
200201,42.8,2.6
200202,42.6,2.4
200203,42.1,1.9
200204,42.3,2.0
200205,42.1,1.8
200206,42.2,1.9
200207,42.5,2.2
200208,42.4,2.1
200209,42.0,1.7
200210,41.6,1.3
200211,41.3,1.0
200212,41.5,1.2
200301,42.2,2.0
200302,42.2,2.0
200303,42.5,2.3
200304,42.3,2.0
200305,42.4,2.1
200306,42.0,1.7
200307,42.0,1.7
200308,42.2,1.9
200309,42.2,1.9
200310,42.9,2.6
200311,42.7,2.4
200312,42.9,2.6
200401,42.3,2.1
200402,42.1,1.9
200403,42.6,2.4
200404,42.8,2.5
200405,42.8,2.5
200406,42.8,2.5
200407,42.3,2.0
200408,41.9,1.6
200409,41.8,1.5
200410,41.3,1.0
200411,41.6,1.3
200412,41.7,1.4
200501,42.3,2.1
200502,42.8,2.6
200503,42.3,2.1
200504,42.1,1.8
200505,42.0,1.7
200506,41.8,1.5
200507,42.0,1.7
200508,42.1,1.8
200509,42.1,1.8
200510,42.3,2.0
200511,42.5,2.2
200512,42.4,2.1
200601,42.1,1.9
200602,41.9,1.7
200603,41.7,1.5
200604,41.9,1.6
200605,42.1,1.8
200606,42.7,2.4
200607,42.7,2.4
200608,42.7,2.4
200609,42.5,2.2
200610,42.2,1.9
200611,42.1,1.8
200612,42.1,1.8
200701,41.4,1.2
200702,41.6,1.4
