Duchesne County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,99,39
199002,99,39
199003,99,39
199004,99,39
199005,99,39
199006,113,53
199007,73,12
199008,83,22
199009,93,32
199010,93,32
199011,93,32
199012,93,32
199101,93,33
199102,93,33
199103,93,33
199104,93,33
199105,93,33
199106,81,21
199107,75,14
199108,80,19
199109,70,9
199110,70,9
199111,70,9
199112,70,9
199201,70,10
199202,70,10
199203,70,10
199204,70,10
199205,70,10
199206,71,11
199207,43,-18
199208,45,-16
199209,45,-16
199210,45,-16
199211,45,-16
199212,45,-16
199301,45,-15
199302,45,-15
199303,45,-15
199304,45,-15
199305,45,-15
199306,35,-25
199307,32,-29
199308,11,-50
199309,11,-50
199310,11,-50
199311,11,-50
199312,11,-50
199401,11,-49
199402,11,-49
199403,11,-49
199404,11,-49
199405,11,-49
199406,53,-7
199407,112,51
199408,164,103
199409,164,103
199410,164,103
199411,164,103
199412,164,103
199501,164,104
199502,164,104
199503,164,104
199504,164,104
199505,164,104
199506,122,62
199507,70,9
199508,53,-8
199509,53,-8
199510,53,-8
199511,53,-8
199512,53,-8
199601,53,-7
199602,53,-7
199603,53,-7
199604,53,-7
199605,53,-7
199606,75,15
199607,127,66
199608,125,64
199609,125,64
199610,125,64
199611,125,64
199612,125,64
199701,125,65
199702,125,65
199703,125,65
199704,125,65
199705,125,65
199706,117,57
199707,66,5
199708,45,-16
199709,45,-16
199710,45,-16
199711,45,-16
199712,45,-16
199801,45,-15
199802,45,-15
199803,45,-15
199804,45,-15
199805,45,-15
199806,31,-29
199807,80,19
199808,94,33
199809,99,38
199810,99,38
199811,99,38
199812,99,38
199901,99,39
199902,99,39
199903,99,39
199904,99,39
199905,99,39
199906,106,46
199907,79,18
199908,59,-2
199909,54,-7
199910,54,-7
199911,54,-7
199912,54,-7
200001,54,-6
200002,54,-6
200003,54,-6
200004,54,-6
200005,54,-6
200006,66,6
200007,103,42
200008,151,90
200009,151,90
200010,151,90
200011,151,90
200012,151,90
200101,151,91
200102,151,91
200103,151,91
200104,151,91
200105,151,91
200106,155,95
200107,137,76
200108,124,63
200109,133,72
200110,133,72
200111,133,72
200112,133,72
200201,133,73
200202,133,73
200203,133,73
200204,133,73
200205,133,73
200206,146,86
200207,216,155
200208,197,136
200209,188,127
200210,188,127
200211,188,127
200212,188,127
200301,188,128
200302,188,128
200303,188,128
200304,188,128
200305,188,128
200306,161,101
200307,176,115
200308,201,140
200309,201,140
200310,201,140
200311,201,140
200312,201,140
200401,201,141
200402,201,141
200403,201,141
200404,201,141
200405,201,141
200406,204,144
200407,94,33
200408,49,-12
200409,49,-12
200410,49,-12
200411,49,-12
200412,49,-12
200501,49,-11
200502,49,-11
200503,49,-11
200504,49,-11
200505,49,-11
200506,37,-23
200507,82,21
200508,85,24
200509,85,24
200510,85,24
200511,85,24
200512,85,24
200601,85,25
200602,85,25
200603,85,25
200604,85,25
200605,85,25
200606,116,56
200607,124,63
200608,125,64
200609,125,64
200610,125,64
200611,125,64
200612,125,64
200701,125,65
200702,125,65
200703,125,65
200704,125,65
200705,125,65
200706,126,66
200707,150,89
200708,187,126
200709,187,126
200710,187,126
200711,187,126
200712,187,126
200801,187,127
200802,187,127
200803,187,127
200804,187,127
200805,187,127
200806,164,104
200807,123,62
200808,104,43
200809,104,43
200810,104,43
200811,104,43
200812,104,43
200901,104,44
200902,104,44
200903,104,44
200904,104,44
200905,104,44
200906,95,35
200907,73,12
200908,55,-6
200909,61,0
200910,61,0
200911,61,0
200912,61,0
201001,61,1
201002,61,1
201003,61,1
201004,61,1
201005,61,1
201006,75,15
201007,73,12
201008,73,12
201009,72,11
201010,72,11
201011,72,11
201012,72,11
201101,72,12
201102,72,12
201103,72,12
201104,72,12
201105,72,12
201106,65,5
201107,46,-15
201108,74,13
201109,69,8
201110,69,8
201111,69,8
201112,69,8
201201,69,9
201202,69,9
201203,69,9
201204,69,9
201205,69,9
201206,100,40
201207,129,68
201208,145,84
201209,150,89
201210,150,89
201211,150,89
201212,150,89
201301,150,90
201302,150,90
201303,150,90
201304,150,90
201305,150,90
201306,149,89
201307,179,118
201308,150,89
201309,145,84
201310,145,84
201311,145,84
201312,145,84
201401,145,85
201402,145,85
201403,145,85
201404,145,85
201405,145,85
201406,122,62
201407,115,54
201408,94,33
201409,94,33
201410,94,33
201411,94,33
201412,94,33
201501,94,34
201502,94,34
201503,94,34
201504,94,34
201505,94,34
201506,135,75
201507,78,17
201508,101,40
201509,112,51
201510,112,51
201511,112,51
201512,112,51
201601,112,52
201602,112,52
201603,112,52
201604,112,52
201605,112,52
201606,120,60
201607,164,103
201608,158,97
201609,147,86
201610,147,86
201611,147,86
201612,147,86
201701,147,87
201702,147,87
201703,147,87
201704,147,87
201705,147,87
201706,124,64
201707,152,91
201708,167,106
201709,167,106
201710,167,106
201711,167,106
201712,167,106
201801,167,107
201802,167,107
201803,167,107
201804,167,107
201805,167,107
201806,172,112
201807,198,137
201808,205,144
201809,217,156
201810,217,156
201811,217,156
201812,217,156
201901,217,157
201902,217,157
201903,217,157
201904,217,157
201905,217,157
201906,179,119
201907,123,62
201908,134,73
201909,122,61
201910,122,61
201911,122,61
201912,122,61
202001,122,62
202002,122,62
202003,122,62
202004,122,62
202005,122,62
202006,127,67
202007,135,74
202008,188,127
202009,194,133
202010,194,133
202011,194,133
202012,194,133
202101,194,134
202102,194,134
202103,194,134
202104,194,134
202105,194,134
202106,248,188
202107,297,236
202108,218,157
202109,219,158
202110,219,158
202111,219,158
202112,219,158
202201,219,159
202202,219,159
202203,219,159
202204,219,159
202205,219,159
202206,174,114
202207,143,82
202208,167,106
202209,174,113
202210,174,113
202211,174,113
202212,174,113
202301,174,114
202302,174,114
202303,174,114
202304,174,114
202305,174,114
202306,160,100
202307,163,102
202308,139,78
202309,125,64
202310,125,64
202311,125,64
202312,125,64
202401,125,65
202402,125,65
202403,125,65
