Duchesne County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,8403,-660
199002,8275,-786
199003,8297,-765
199004,8322,-738
199005,8384,-675
199006,8295,-764
199007,8330,-728
199008,8290,-767
199009,8181,-874
199010,8189,-866
199011,8269,-788
199012,8576,-481
199101,8763,-300
199102,8602,-459
199103,8759,-303
199104,8962,-98
199105,8982,-77
199106,9051,-8
199107,9059,1
199108,9047,-10
199109,9160,105
199110,9119,64
199111,9179,122
199112,8931,-126
199201,8817,-246
199202,8824,-237
199203,8619,-443
199204,8328,-732
199205,8145,-914
199206,8142,-917
199207,8212,-846
199208,8209,-848
199209,8182,-873
199210,8114,-941
199211,8198,-859
199212,8367,-690
199301,8400,-663
199302,8621,-440
199303,8697,-365
199304,8946,-114
199305,9016,-43
199306,9093,34
199307,9119,61
199308,9200,143
199309,9249,194
199310,9404,349
199311,9413,356
199312,9235,178
199401,9034,-29
199402,8956,-105
199403,8879,-183
199404,8787,-273
199405,8743,-316
199406,8542,-517
199407,8417,-641
199408,8296,-761
199409,8233,-822
199410,8245,-810
199411,8278,-779
199412,8244,-813
199501,8338,-725
199502,8051,-1010
199503,8149,-913
199504,8274,-786
199505,8525,-534
199506,8770,-289
199507,8852,-206
199508,8872,-185
199509,8896,-159
199510,8853,-202
199511,8530,-527
199512,8448,-609
199601,8477,-586
199602,8653,-408
199603,8642,-420
199604,8582,-478
199605,8397,-662
199606,8203,-856
199607,8121,-937
199608,8123,-934
199609,8216,-839
199610,8256,-799
199611,8391,-666
199612,8515,-542
199701,8543,-520
199702,8709,-352
199703,8711,-351
199704,8818,-242
199705,8793,-266
199706,8832,-227
199707,8910,-148
199708,8948,-109
199709,8872,-183
199710,8846,-209
199711,8893,-164
199712,8945,-112
199801,8807,-256
199802,8675,-386
199803,8722,-340
199804,8670,-390
199805,8751,-308
199806,8916,-143
199807,8840,-218
199808,8811,-246
199809,8745,-310
199810,8742,-313
199811,8680,-377
199812,8674,-383
199901,8665,-398
199902,8606,-455
199903,8487,-575
199904,8527,-533
199905,8597,-462
199906,8497,-562
199907,8525,-533
199908,8575,-482
199909,8710,-345
199910,8599,-456
199911,8442,-615
199912,8365,-692
200001,8360,-703
200002,8309,-752
200003,8395,-667
200004,8146,-914
200005,7933,-1126
200006,7843,-1216
200007,7806,-1252
200008,7724,-1333
200009,7657,-1398
200010,7760,-1295
200011,8168,-889
200012,8133,-924
200101,8264,-799
200102,8378,-683
200103,8300,-762
200104,8409,-651
200105,8421,-638
200106,8404,-655
200107,8419,-639
200108,8432,-625
200109,8325,-730
200110,8246,-809
200111,7955,-1102
200112,8129,-928
200201,8207,-856
200202,8263,-798
200203,8445,-617
200204,8390,-670
200205,8470,-589
200206,8434,-625
200207,8397,-661
200208,8423,-634
200209,8552,-503
200210,8690,-365
200211,8795,-262
200212,8735,-322
200301,8489,-574
200302,8491,-570
200303,8350,-712
200304,8438,-622
200305,8415,-644
200306,8530,-529
200307,8527,-531
200308,8494,-563
200309,8462,-593
200310,8213,-842
200311,8290,-767
200312,8197,-860
200401,8432,-631
200402,8490,-571
200403,8324,-738
200404,8250,-810
200405,8262,-797
200406,8243,-816
200407,8313,-745
200408,8419,-638
200409,8465,-590
200410,8655,-400
200411,8555,-502
200412,8528,-529
200501,8289,-774
200502,8119,-942
200503,8314,-748
200504,8376,-684
200505,8396,-663
200506,8491,-568
200507,8445,-613
200508,8420,-637
200509,8409,-646
200510,8345,-710
200511,8273,-784
200512,8320,-737
200601,8415,-648
200602,8464,-597
200603,8551,-511
200604,8488,-572
200605,8412,-647
200606,8232,-827
200607,8227,-831
200608,8226,-831
200609,8299,-756
200610,8410,-645
200611,8443,-614
200612,8458,-599
200701,8707,-356
200702,8657,-404
200703,8441,-621
200704,8445,-615
200705,8485,-574
200706,8483,-576
200707,8472,-586
200708,8397,-660
200709,8309,-746
200710,8255,-800
200711,8145,-912
200712,8349,-708
200801,8418,-645
200802,8563,-498
200803,8845,-217
200804,9038,-22
200805,9175,116
200806,9282,223
200807,9305,247
200808,9330,273
200809,9335,280
200810,9287,232
200811,9280,223
200812,9143,86
200901,8827,-236
200902,8683,-378
200903,8544,-518
200904,8456,-604
200905,8302,-757
200906,8388,-671
200907,8409,-649
200908,8457,-600
200909,8373,-682
200910,8539,-516
200911,8602,-455
200912,8795,-262
201001,8895,-168
201002,9087,26
201003,9122,60
201004,9116,56
201005,9349,290
201006,9229,170
201007,9232,174
201008,9234,177
201009,9236,181
201010,9061,6
201011,9196,139
201012,8826,-231
201101,8880,-183
201102,8913,-148
201103,8906,-156
201104,8968,-92
201105,8948,-111
201106,9014,-45
201107,9041,-17
201108,8976,-81
201109,8989,-66
201110,9022,-33
201111,8992,-65
201112,9114,57
201201,8902,-161
201202,8733,-328
201203,8556,-506
201204,8355,-705
201205,8128,-931
201206,7976,-1083
201207,7937,-1121
201208,7919,-1138
201209,7905,-1150
201210,7888,-1167
201211,7714,-1343
