Duchesne County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,54.7,2.3
199002,55.0,2.6
199003,54.9,2.5
199004,54.8,2.4
199005,54.6,2.2
199006,55.0,2.6
199007,54.7,2.3
199008,54.9,2.5
199009,55.1,2.7
199010,55.1,2.7
199011,54.8,2.4
199012,54.0,1.6
199101,53.6,1.2
199102,54.1,1.7
199103,53.8,1.4
199104,53.2,0.8
199105,53.1,0.7
199106,52.8,0.4
199107,52.7,0.3
199108,52.7,0.3
199109,52.3,-0.1
199110,52.5,0.1
199111,52.2,-0.2
199112,52.8,0.4
199201,53.1,0.7
199202,52.9,0.5
199203,53.5,1.1
199204,54.4,2.0
199205,54.9,2.5
199206,54.9,2.5
199207,54.6,2.2
199208,54.8,2.4
199209,54.9,2.5
199210,55.0,2.6
199211,54.9,2.5
199212,54.4,2.0
199301,54.2,1.8
199302,53.6,1.2
199303,53.4,1.0
199304,52.6,0.2
199305,52.4,0.0
199306,52.1,-0.3
199307,52.1,-0.3
199308,51.8,-0.6
199309,51.7,-0.7
199310,51.2,-1.2
199311,51.2,-1.2
199312,51.7,-0.7
199401,52.4,0.0
199402,52.8,0.4
199403,53.2,0.8
199404,53.4,1.0
199405,53.6,1.2
199406,54.4,2.0
199407,55.0,2.6
199408,55.5,3.1
199409,55.6,3.2
199410,55.5,3.1
199411,55.3,2.9
199412,55.3,2.9
199501,54.9,2.5
199502,55.8,3.4
199503,55.4,3.0
199504,55.1,2.7
199505,54.2,1.8
199506,53.2,0.8
199507,52.8,0.4
199508,52.7,0.3
199509,52.6,0.2
199510,52.9,0.5
199511,54.0,1.6
199512,54.3,1.9
199601,54.3,1.9
199602,53.7,1.3
199603,53.9,1.5
199604,54.1,1.7
199605,54.7,2.3
199606,55.5,3.1
199607,55.9,3.5
199608,56.0,3.6
199609,55.7,3.3
199610,55.5,3.1
199611,55.1,2.7
199612,54.5,2.1
199701,54.4,2.0
199702,54.0,1.6
199703,54.1,1.7
199704,53.7,1.3
199705,53.8,1.4
199706,53.6,1.2
199707,53.2,0.8
199708,52.8,0.4
199709,52.9,0.5
199710,52.9,0.5
199711,52.8,0.4
199712,52.8,0.4
199801,53.1,0.7
199802,53.3,0.9
199803,53.1,0.7
199804,53.3,0.9
199805,53.0,0.6
199806,52.4,0.0
199807,52.7,0.3
199808,52.9,0.5
199809,53.2,0.8
199810,53.1,0.7
199811,53.3,0.9
199812,53.3,0.9
199901,53.3,0.9
199902,53.7,1.3
199903,54.0,1.6
199904,53.8,1.4
199905,53.7,1.3
199906,54.1,1.7
199907,53.9,1.5
199908,53.7,1.3
199909,53.4,1.0
199910,54.1,1.7
199911,54.7,2.3
199912,54.9,2.5
200001,54.9,2.5
200002,54.9,2.5
200003,54.6,2.2
200004,55.4,3.0
200005,56.0,3.6
200006,56.4,4.0
200007,56.7,4.3
200008,57.1,4.7
200009,57.3,4.9
200010,56.6,4.2
200011,55.3,2.9
200012,55.4,3.0
200101,55.1,2.7
200102,54.8,2.4
200103,55.0,2.6
200104,54.6,2.2
200105,54.5,2.1
200106,54.6,2.2
200107,54.4,2.0
200108,54.4,2.0
200109,54.9,2.5
200110,55.3,2.9
200111,56.1,3.7
200112,55.6,3.2
200201,55.3,2.9
200202,55.4,3.0
200203,55.0,2.6
200204,55.3,2.9
200205,55.1,2.7
200206,55.3,2.9
200207,55.7,3.3
200208,55.7,3.3
200209,55.1,2.7
200210,54.6,2.2
200211,54.3,1.9
200212,54.4,2.0
200301,55.0,2.6
200302,54.8,2.4
200303,55.0,2.6
200304,54.7,2.3
200305,54.7,2.3
200306,54.1,1.7
200307,54.2,1.8
200308,54.2,1.8
200309,54.5,2.1
200310,55.4,3.0
200311,55.0,2.6
200312,55.3,2.9
200401,54.8,2.4
200402,54.6,2.2
200403,55.3,2.9
200404,55.4,3.0
200405,55.4,3.0
200406,55.4,3.0
200407,54.9,2.5
200408,54.5,2.1
200409,54.2,1.8
200410,53.4,1.0
200411,53.7,1.3
200412,53.8,1.4
200501,54.3,1.9
200502,54.8,2.4
200503,54.2,1.8
200504,54.1,1.7
200505,54.0,1.6
200506,53.7,1.3
200507,54.0,1.6
200508,54.1,1.7
200509,54.2,1.8
200510,54.5,2.1
200511,54.8,2.4
200512,54.7,2.3
200601,54.6,2.2
200602,54.6,2.2
200603,54.3,1.9
200604,54.5,2.1
200605,54.8,2.4
200606,55.5,3.1
200607,55.4,3.0
200608,55.4,3.0
200609,55.2,2.8
200610,54.8,2.4
200611,54.7,2.3
200612,54.7,2.3
200701,54.1,1.7
200702,54.1,1.7
200703,54.8,2.4
200704,54.7,2.3
200705,54.6,2.2
200706,54.6,2.2
200707,54.7,2.3
200708,55.0,2.6
200709,55.3,2.9
200710,55.6,3.2
200711,56.0,3.6
200712,55.4,3.0
200801,55.1,2.7
200802,54.8,2.4
200803,53.9,1.5
200804,53.5,1.1
200805,53.0,0.6
200806,52.6,0.2
200807,52.5,0.1
200808,52.4,0.0
200809,52.4,0.0
200810,52.6,0.2
200811,52.4,0.0
200812,52.9,0.5
200901,53.7,1.3
200902,54.1,1.7
200903,54.5,2.1
200904,54.7,2.3
200905,55.1,2.7
200906,54.7,2.3
200907,54.5,2.1
200908,54.4,2.0
200909,54.6,2.2
200910,54.1,1.7
200911,54.1,1.7
200912,53.6,1.2
201001,53.3,0.9
201002,52.7,0.3
201003,52.5,0.1
201004,52.5,0.1
201005,51.9,-0.5
201006,52.3,-0.1
201007,52.3,-0.1
201008,52.2,-0.2
201009,52.4,0.0
201010,52.8,0.4
201011,52.3,-0.1
201012,53.1,0.7
201101,53.0,0.6
201102,53.0,0.6
201103,52.9,0.5
201104,52.7,0.3
201105,52.7,0.3
201106,52.6,0.2
201107,52.3,-0.1
201108,52.6,0.2
201109,52.4,0.0
201110,52.3,-0.1
201111,52.5,0.1
201112,52.4,0.0
201201,53.0,0.6
201202,53.4,1.0
201203,54.1,1.7
201204,54.8,2.4
201205,55.5,3.1
201206,56.2,3.8
201207,56.4,4.0
201208,56.5,4.1
201209,56.5,4.1
201210,56.7,4.3
201211,57.2,4.8
201212,56.8,4.4
201301,56.0,3.6
201302,55.6,3.2
201303,55.2,2.8
201304,54.6,2.2
201305,54.5,2.1
201306,54.4,2.0
201307,54.6,2.2
201308,54.4,2.0
201309,54.0,1.6
201310,53.6,1.2
201311,53.3,0.9
201312,53.2,0.8
201401,53.9,1.5
201402,54.4,2.0
201403,54.6,2.2
201404,54.8,2.4
201405,54.8,2.4
201406,54.4,2.0
201407,54.4,2.0
201408,54.0,1.6
201409,54.3,1.9
201410,54.8,2.4
201411,54.9,2.5
201412,55.4,3.0
201501,55.6,3.2
201502,56.1,3.7
201503,56.5,4.1
201504,56.6,4.2
201505,56.2,3.8
