Duchesne County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,29.5,1.4
199002,30.0,1.9
199003,30.0,1.9
199004,29.9,1.8
199005,29.8,1.7
199006,30.0,1.9
199007,29.9,1.8
199008,29.9,1.8
199009,30.4,2.3
199010,30.3,2.1
199011,30.2,2.1
199012,29.3,1.2
199101,28.7,0.6
199102,29.2,1.1
199103,28.7,0.6
199104,28.1,0.0
199105,28.1,0.0
199106,28.0,-0.1
199107,27.9,-0.2
199108,28.1,0.0
199109,27.7,-0.4
199110,27.8,-0.4
199111,27.8,-0.3
199112,28.5,0.4
199201,28.8,0.7
199202,29.0,0.9
199203,29.5,1.4
199204,30.2,2.1
199205,30.7,2.6
199206,30.7,2.6
199207,30.4,2.3
199208,30.3,2.2
199209,30.3,2.2
199210,30.6,2.4
199211,30.3,2.2
199212,29.8,1.7
199301,29.8,1.7
199302,29.2,1.1
199303,29.0,0.9
199304,28.4,0.3
199305,28.2,0.1
199306,28.1,0.0
199307,27.9,-0.2
199308,27.7,-0.4
199309,27.5,-0.6
199310,27.2,-1.0
199311,27.0,-1.1
199312,27.5,-0.6
199401,27.9,-0.2
199402,28.0,-0.1
199403,28.0,-0.1
199404,28.3,0.2
199405,28.3,0.2
199406,28.8,0.7
199407,29.3,1.2
199408,29.7,1.6
199409,29.9,1.8
199410,30.0,1.8
199411,30.0,1.9
199412,30.2,2.1
199501,30.1,2.0
199502,30.9,2.8
199503,30.8,2.7
199504,30.4,2.3
199505,29.9,1.8
199506,29.3,1.2
199507,29.0,0.9
199508,28.9,0.8
199509,28.9,0.8
199510,28.7,0.5
199511,29.5,1.4
199512,29.6,1.5
199601,29.4,1.3
199602,29.0,0.9
199603,28.9,0.8
199604,29.0,0.9
199605,29.4,1.3
199606,29.8,1.7
199607,30.2,2.1
199608,30.0,1.9
199609,29.8,1.7
199610,29.8,1.6
199611,29.5,1.4
199612,29.3,1.2
199701,29.3,1.2
199702,28.8,0.7
199703,28.7,0.6
199704,28.5,0.4
199705,28.5,0.4
199706,28.5,0.4
199707,28.1,0.0
199708,28.2,0.1
199709,28.5,0.4
199710,28.6,0.4
199711,28.5,0.4
199712,28.2,0.1
199801,28.6,0.5
199802,29.2,1.1
199803,29.2,1.1
199804,29.3,1.2
199805,29.2,1.1
199806,28.7,0.6
199807,29.1,1.0
199808,29.1,1.0
199809,29.2,1.1
199810,29.3,1.1
199811,29.5,1.4
199812,29.5,1.4
199901,29.5,1.4
199902,29.5,1.4
199903,29.8,1.7
199904,29.8,1.7
199905,29.5,1.4
199906,29.7,1.6
199907,29.6,1.5
199908,29.5,1.4
199909,29.0,0.9
199910,28.9,0.7
199911,29.1,1.0
199912,29.4,1.3
200001,29.4,1.3
200002,29.7,1.6
200003,29.6,1.5
200004,30.1,2.0
200005,30.6,2.5
200006,30.8,2.7
200007,30.9,2.8
200008,31.2,3.1
200009,31.4,3.3
200010,31.6,3.4
200011,30.6,2.5
200012,30.7,2.6
200101,30.2,2.1
200102,29.9,1.8
200103,30.1,2.0
200104,29.9,1.8
200105,29.9,1.8
200106,29.9,1.8
200107,29.9,1.8
200108,29.8,1.7
200109,30.0,1.9
200110,30.0,1.8
200111,30.9,2.8
200112,30.4,2.3
200201,30.2,2.1
200202,29.8,1.7
200203,29.2,1.1
200204,29.3,1.2
200205,29.0,0.9
200206,29.1,1.0
200207,29.3,1.2
200208,29.1,1.0
200209,28.9,0.8
200210,28.6,0.4
200211,28.3,0.2
200212,28.5,0.4
200301,29.3,1.2
200302,29.5,1.4
200303,30.0,1.9
200304,29.9,1.8
200305,30.0,1.9
200306,29.8,1.7
200307,29.8,1.7
200308,30.1,2.0
200309,30.0,1.9
200310,30.5,2.3
200311,30.4,2.3
200312,30.6,2.5
200401,29.9,1.8
200402,29.7,1.6
200403,29.9,1.8
200404,30.2,2.1
200405,30.2,2.1
200406,30.2,2.1
200407,29.9,1.8
200408,29.4,1.3
200409,29.4,1.3
200410,29.2,1.0
200411,29.5,1.4
200412,29.5,1.4
200501,30.3,2.2
200502,30.8,2.7
200503,30.4,2.3
200504,30.1,2.0
200505,30.1,2.0
200506,29.8,1.7
200507,30.0,1.9
200508,30.1,2.0
200509,30.1,2.0
200510,30.1,1.9
200511,30.2,2.1
200512,30.0,1.9
200601,29.6,1.5
200602,29.3,1.2
200603,29.2,1.1
200604,29.3,1.2
200605,29.4,1.3
200606,29.8,1.7
200607,30.0,1.9
200608,30.0,1.9
200609,29.8,1.7
200610,29.7,1.5
200611,29.5,1.4
200612,29.5,1.4
200701,28.7,0.6
200702,29.1,1.0
200703,29.5,1.4
200704,29.5,1.4
200705,29.5,1.4
200706,29.5,1.4
200707,29.5,1.4
200708,29.8,1.7
200709,30.0,1.9
200710,30.0,1.8
200711,30.2,2.1
200712,29.7,1.6
200801,29.6,1.5
200802,29.1,1.0
200803,28.4,0.3
200804,27.8,-0.3
200805,27.5,-0.6
200806,27.2,-0.9
200807,27.0,-1.1
200808,26.9,-1.2
200809,26.8,-1.3
200810,26.9,-1.3
200811,27.1,-1.0
200812,27.4,-0.7
200901,28.3,0.2
200902,28.7,0.6
200903,29.1,1.0
200904,29.4,1.3
200905,29.8,1.7
200906,29.7,1.6
200907,29.6,1.5
200908,29.4,1.3
200909,29.7,1.6
200910,29.3,1.1
200911,29.0,0.9
200912,28.5,0.4
201001,28.3,0.2
201002,27.7,-0.4
201003,27.7,-0.4
201004,27.7,-0.4
201005,27.1,-1.0
201006,27.3,-0.8
201007,27.3,-0.8
201008,27.4,-0.7
201009,27.2,-0.9
201010,27.7,-0.5
201011,27.5,-0.6
201012,28.7,0.6
201101,28.5,0.4
201102,28.3,0.2
201103,28.4,0.3
201104,28.3,0.2
201105,28.4,0.3
201106,28.1,0.0
201107,28.1,0.0
201108,28.4,0.3
201109,28.5,0.4
201110,28.4,0.2
201111,28.4,0.3
201112,27.8,-0.3
201201,28.4,0.3
201202,28.9,0.8
201203,29.3,1.2
201204,29.7,1.6
201205,30.1,2.0
201206,30.5,2.4
201207,30.6,2.5
201208,30.7,2.6
201209,30.8,2.7
201210,30.7,2.5
201211,31.2,3.1
201212,31.2,3.1
201301,30.5,2.4
201302,30.0,1.9
201303,29.8,1.7
201304,29.4,1.3
201305,29.3,1.2
201306,29.3,1.2
201307,29.4,1.3
201308,29.3,1.2
201309,29.3,1.2
201310,29.1,0.9
201311,28.9,0.8
201312,28.5,0.4
201401,29.3,1.2
201402,30.1,2.0
201403,30.1,2.0
201404,30.3,2.2
201405,30.4,2.3
201406,30.2,2.1
201407,30.2,2.1
201408,30.0,1.9
201409,30.0,1.9
201410,30.5,2.3
201411,30.4,2.3
201412,31.1,3.0
201501,31.4,3.3
201502,31.7,3.6
201503,32.1,4.0
201504,32.2,4.1
201505,32.2,4.1
201506,32.6,4.5
201507,32.3,4.2
201508,32.4,4.3
201509,32.5,4.4
201510,32.8,4.6
201511,32.7,4.6
201512,32.2,4.1
201601,31.6,3.5
201602,31.3,3.2
201603,31.1,3.0
201604,31.2,3.1
201605,31.1,3.0
201606,31.1,3.0
201607,31.3,3.2
201608,31.2,3.1
201609,31.0,2.9
201610,30.8,2.6
201611,31.4,3.3
201612,31.5,3.4
201701,31.4,3.3
201702,31.6,3.5
201703,31.9,3.8
201704,31.7,3.6
201705,31.7,3.6
201706,31.5,3.4
201707,31.7,3.6
201708,31.9,3.8
201709,31.9,3.8
201710,31.3,3.1
201711,31.3,3.2
201712,31.6,3.5
201801,32.2,4.1
201802,31.9,3.8
201803,31.3,3.2
201804,31.3,3.2
201805,31.6,3.5
201806,31.6,3.5
201807,31.6,3.5
201808,31.6,3.5
201809,31.7,3.6
201810,32.0,3.8
201811,31.4,3.3
201812,31.1,3.0
201901,30.5,2.4
201902,29.9,1.8
201903,29.8,1.7
201904,30.0,1.9
201905,29.6,1.5
201906,29.2,1.1
201907,29.0,0.9
201908,29.0,0.9
201909,28.9,0.8
201910,28.2,0.0
201911,28.4,0.3
201912,28.7,0.6
202001,28.8,0.7
202002,29.1,1.0
202003,29.4,1.3
202004,29.1,1.0
202005,29.5,1.4
202006,29.6,1.5
202007,29.6,1.5
202008,29.8,1.7
202009,29.7,1.6
202010,30.5,2.3
202011,30.5,2.4
202012,30.2,2.1
202101,30.1,2.0
202102,30.4,2.3
202103,30.2,2.1
202104,30.2,2.1
202105,30.0,1.9
202106,30.5,2.4
202107,30.8,2.7
202108,30.5,2.4
202109,30.7,2.6
202110,30.7,2.5
202111,31.1,3.0
202112,31.5,3.4
202201,31.7,3.6
202202,31.4,3.3
202203,31.5,3.4
202204,31.4,3.3
202205,31.1,3.0
202206,30.8,2.7
202207,30.7,2.6
202208,30.9,2.8
202209,31.1,3.0
202210,31.1,2.9
202211,30.2,2.1
202212,29.9,1.8
202301,29.5,1.4
202302,29.2,1.1
202303,28.5,0.4
202304,28.4,0.3
202305,28.9,0.8
202306,28.7,0.6
202307,28.7,0.6
202308,28.6,0.5
202309,28.3,0.2
202310,28.3,0.1
202311,28.9,0.8
202312,29.3,1.2
202401,29.7,1.6
202402,30.6,2.5
202403,31.3,3.2
