Duchesne County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.43,-3.80
199002,-3.10,-3.52
199003,-3.01,-3.50
199004,-2.96,-3.29
199005,-2.90,-3.24
199006,-2.51,-2.83
199007,-2.39,-2.68
199008,-2.65,-2.89
199009,-2.27,-2.66
199010,-2.30,-2.70
199011,-2.27,-2.64
199012,-2.36,-2.66
199101,-2.71,-3.08
199102,-3.26,-3.68
199103,0.10,-0.39
199104,0.18,-0.15
199105,0.55,0.21
199106,0.68,0.36
199107,0.78,0.49
199108,1.15,0.91
199109,1.62,1.23
199110,-0.10,-0.50
199111,0.14,-0.23
199112,-0.54,-0.84
199201,-1.05,-1.42
199202,-1.13,-1.55
199203,-1.50,-1.99
199204,-2.36,-2.69
199205,-1.99,-2.33
199206,-2.02,-2.34
199207,-1.74,-2.03
199208,-1.66,-1.90
199209,-1.92,-2.31
199210,-1.87,-2.27
199211,-1.88,-2.25
199212,0.03,-0.27
199301,0.57,0.20
199302,1.34,0.92
199303,1.78,1.29
199304,1.61,1.28
199305,1.53,1.19
199306,1.49,1.17
199307,1.29,1.00
199308,1.55,1.31
199309,1.09,0.70
199310,1.42,1.02
199311,-0.16,-0.53
199312,-0.68,-0.98
199401,-1.20,-1.57
199402,-0.88,-1.30
199403,-1.43,-1.92
199404,-1.13,-1.46
199405,-1.45,-1.79
199406,-2.00,-2.32
199407,-2.83,-3.12
199408,-2.65,-2.89
199409,-2.53,-2.92
199410,1.22,0.82
199411,1.56,1.19
199412,1.29,0.99
199501,1.49,1.12
199502,1.54,1.12
199503,1.91,1.42
199504,2.24,1.91
199505,3.87,3.53
199506,4.13,3.81
199507,4.35,4.06
199508,4.15,3.91
199509,-0.05,-0.44
199510,-0.59,-0.99
199511,-1.03,-1.40
199512,-1.25,-1.55
199601,0.48,0.11
199602,0.74,0.32
199603,0.96,0.47
199604,0.71,0.38
199605,0.86,0.52
199606,0.85,0.53
199607,-0.28,-0.57
199608,-1.14,-1.38
199609,0.29,-0.10
199610,0.26,-0.14
199611,0.54,0.17
199612,1.17,0.87
199701,2.23,1.86
199702,2.27,1.85
199703,1.64,1.15
199704,2.40,2.07
199705,2.12,1.78
199706,2.21,1.89
199707,1.97,1.68
199708,3.02,2.78
199709,4.47,4.08
199710,4.23,3.83
199711,4.25,3.88
199712,3.65,3.35
199801,3.75,3.38
199802,4.09,3.67
199803,4.09,3.60
199804,3.74,3.41
199805,3.52,3.18
199806,4.24,3.92
199807,4.60,4.31
199808,4.42,4.18
199809,4.18,3.79
199810,4.07,3.67
199811,3.66,3.29
199812,2.90,2.60
199901,2.72,2.35
199902,2.66,2.24
199903,1.80,1.31
199904,3.10,2.77
199905,3.09,2.75
199906,3.02,2.70
199907,3.30,3.01
199908,3.88,3.64
199909,3.76,3.37
199910,-0.83,-1.23
199911,-1.66,-2.03
199912,-2.00,-2.30
200001,-1.96,-2.33
200002,-1.32,-1.74
200003,-1.11,-1.60
200004,-1.55,-1.88
200005,-1.86,-2.20
200006,-2.12,-2.44
200007,-2.86,-3.15
200008,-2.64,-2.88
200009,0.14,-0.25
200010,0.91,0.51
200011,0.77,0.40
200012,0.52,0.22
200101,0.35,-0.02
200102,0.47,0.05
200103,0.27,-0.22
200104,0.81,0.48
200105,-0.33,-0.67
200106,-0.91,-1.23
200107,-1.31,-1.60
200108,-1.57,-1.81
200109,-2.10,-2.49
200110,-2.47,-2.87
200111,-2.26,-2.63
200112,-2.33,-2.63
200201,-2.82,-3.19
200202,-3.40,-3.82
200203,-3.81,-4.30
200204,-4.33,-4.66
200205,-4.79,-5.13
200206,-5.41,-5.73
200207,-6.00,-6.29
200208,-6.43,-6.67
200209,-4.62,-5.01
200210,-3.94,-4.34
200211,-3.48,-3.85
200212,-3.43,-3.73
200301,-3.68,-4.05
200302,-3.40,-3.82
200303,-3.00,-3.49
200304,-2.96,-3.29
200305,-2.57,-2.91
200306,-1.90,-2.22
200307,-2.04,-2.33
200308,-2.00,-2.24
200309,-2.32,-2.71
200310,-2.88,-3.28
200311,-2.32,-2.69
200312,-1.87,-2.17
200401,-2.04,-2.41
200402,-1.52,-1.94
200403,-2.27,-2.76
200404,-2.14,-2.47
200405,-2.54,-2.88
200406,-2.27,-2.59
200407,-2.21,-2.50
200408,-2.24,-2.48
200409,0.15,-0.24
200410,2.29,1.89
200411,2.76,2.39
200412,3.10,2.80
200501,4.37,4.00
200502,4.21,3.79
200503,4.08,3.59
200504,3.67,3.34
200505,3.55,3.21
200506,3.50,3.18
200507,-0.19,-0.48
200508,-0.40,-0.64
200509,-0.21,-0.60
200510,-0.54,-0.94
200511,-0.62,-0.99
200512,-0.59,-0.89
200601,-0.50,-0.87
200602,-0.78,-1.20
200603,0.71,0.22
200604,-0.19,-0.52
200605,-0.75,-1.09
200606,-1.16,-1.48
200607,-1.29,-1.58
200608,-1.30,-1.54
200609,0.34,-0.05
200610,1.26,0.86
200611,1.29,0.92
200612,-0.16,-0.46
200701,-0.33,-0.70
200702,-0.31,-0.73
200703,-0.74,-1.23
200704,-1.11,-1.44
200705,-1.36,-1.70
200706,-1.95,-2.27
200707,-2.49,-2.78
200708,-2.64,-2.88
200709,-2.02,-2.41
200710,-1.80,-2.20
200711,-2.44,-2.81
200712,-2.05,-2.35
200801,-1.53,-1.90
200802,-0.69,-1.11
200803,-0.60,-1.09
200804,-0.79,-1.12
200805,-0.55,-0.89
200806,-0.60,-0.92
200807,-0.97,-1.26
200808,-1.16,-1.40
200809,-1.08,-1.47
200810,-1.35,-1.75
200811,-1.73,-2.10
200812,-1.54,-1.84
200901,-1.69,-2.06
200902,-1.84,-2.26
200903,-2.06,-2.55
200904,0.59,0.26
200905,0.42,0.08
200906,1.37,1.05
200907,1.42,1.13
200908,-0.22,-0.46
200909,-0.21,-0.60
200910,-0.25,-0.65
200911,-0.89,-1.26
200912,-0.85,-1.15
201001,-0.85,-1.22
201002,-1.35,-1.77
201003,-1.47,-1.96
201004,0.25,-0.08
201005,0.53,0.19
201006,0.64,0.32
201007,0.71,0.42
201008,0.98,0.74
201009,0.26,-0.13
201010,0.98,0.58
201011,1.35,0.98
201012,3.03,2.73
201101,2.77,2.40
201102,3.07,2.65
201103,2.84,2.35
201104,3.31,2.98
201105,4.38,4.04
201106,3.96,3.64
201107,5.03,4.74
201108,4.71,4.47
201109,-0.29,-0.68
201110,0.33,-0.07
201111,-0.03,-0.40
201112,-0.40,-0.70
201201,-0.73,-1.10
201202,-0.85,-1.27
201203,-1.45,-1.94
201204,-2.05,-2.38
201205,-2.82,-3.16
201206,-3.70,-4.02
201207,-3.77,-4.06
201208,-4.12,-4.36
201209,-3.79,-4.18
201210,-3.82,-4.22
201211,-4.10,-4.47
201212,-3.64,-3.94
201301,-3.83,-4.20
201302,-4.28,-4.70
201303,-4.55,-5.04
201304,-3.46,-3.79
201305,-3.48,-3.82
201306,-3.88,-4.20
201307,-3.94,-4.23
201308,-3.92,-4.16
201309,-2.21,-2.60
201310,-1.78,-2.18
201311,-1.91,-2.28
201312,-2.02,-2.32
201401,-2.27,-2.64
201402,-2.17,-2.59
201403,-2.42,-2.91
201404,-2.43,-2.76
201405,-2.69,-3.03
201406,-3.10,-3.42
201407,-3.25,-3.54
201408,1.42,1.18
201409,2.73,2.34
201410,-0.72,-1.12
201411,-0.79,-1.16
201412,-0.93,-1.23
201501,-1.25,-1.62
201502,-1.85,-2.27
201503,-2.74,-3.23
201504,-3.26,-3.59
201505,1.44,1.10
201506,1.02,0.70
201507,1.17,0.88
201508,1.43,1.19
201509,-0.16,-0.55
201510,-0.34,-0.74
201511,-0.31,-0.68
201512,-0.33,-0.63
201601,-0.45,-0.82
201602,-0.82,-1.24
201603,-0.83,-1.32
201604,0.24,-0.09
201605,0.71,0.37
201606,-0.44,-0.76
201607,-0.93,-1.22
201608,-1.42,-1.66
201609,1.47,1.08
201610,-0.26,-0.66
201611,-0.83,-1.20
201612,0.49,0.19
201701,1.96,1.59
201702,2.57,2.15
201703,2.53,2.04
201704,-0.28,-0.61
201705,-0.83,-1.17
201706,-1.50,-1.82
201707,-1.67,-1.96
201708,-1.74,-1.98
201709,-1.15,-1.54
201710,-1.74,-2.14
201711,-2.32,-2.69
201712,-2.82,-3.12
201801,-3.39,-3.76
201802,-4.13,-4.55
201803,-4.70,-5.19
201804,-5.20,-5.53
201805,-5.44,-5.78
201806,-6.33,-6.65
201807,-7.02,-7.31
201808,-6.55,-6.79
201809,-7.00,-7.39
201810,1.27,0.87
201811,1.28,0.91
201812,0.84,0.54
201901,1.26,0.89
201902,2.10,1.68
201903,2.67,2.18
201904,2.50,2.17
201905,4.17,3.83
201906,-0.04,-0.36
201907,-0.28,-0.57
201908,-1.06,-1.30
201909,-1.05,-1.44
201910,-1.24,-1.64
201911,-0.83,-1.20
201912,-0.65,-0.95
202001,-0.77,-1.14
202002,-1.10,-1.52
202003,-0.85,-1.34
202004,-1.35,-1.68
202005,-1.91,-2.25
202006,-1.53,-1.85
202007,-2.18,-2.47
202008,-3.23,-3.47
202009,-3.67,-4.06
202010,-4.26,-4.66
202011,-4.08,-4.45
202012,-4.23,-4.53
202101,-4.43,-4.80
202102,-4.55,-4.97
202103,-4.44,-4.93
202104,-4.38,-4.71
202105,-4.54,-4.88
202106,-4.87,-5.19
202107,-4.86,-5.15
202108,-3.49,-3.73
202109,-3.45,-3.84
202110,-2.29,-2.69
202111,-2.83,-3.20
202112,-1.94,-2.24
202201,-2.13,-2.50
202202,-2.41,-2.83
202203,-2.45,-2.94
202204,-2.56,-2.89
202205,-2.65,-2.99
202206,-2.26,-2.58
202207,-2.29,-2.58
202208,-2.16,-2.40
202209,-1.47,-1.86
202210,-1.85,-2.25
202211,-1.89,-2.26
202212,0.29,-0.01
202301,1.12,0.75
202302,1.33,0.91
202303,2.27,1.78
202304,-0.22,-0.55
202305,-0.60,-0.94
202306,-0.58,-0.90
202307,-1.00,-1.29
202308,0.48,0.24
202309,-0.08,-0.47
202310,-0.48,-0.88
202311,-0.89,-1.26
202312,-1.49,-1.79
202401,-1.70,-2.07
202402,-1.03,-1.45
202403,-0.64,-1.13
