Duchesne County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.43,-3.78
199002,-3.10,-3.59
199003,-3.01,-3.57
199004,-2.96,-3.47
199005,-2.90,-3.40
199006,-2.51,-2.96
199007,-2.39,-2.81
199008,-2.65,-3.03
199009,-2.27,-2.77
199010,-2.30,-2.81
199011,-2.27,-2.77
199012,-2.36,-2.71
199101,-2.71,-3.06
199102,-3.26,-3.75
199103,-2.83,-3.39
199104,-2.45,-2.96
199105,-1.81,-2.31
199106,-1.44,-1.89
199107,-1.12,-1.54
199108,1.15,0.77
199109,1.62,1.12
199110,1.36,0.85
199111,1.36,0.86
199112,0.69,0.34
199201,-1.05,-1.40
199202,-1.13,-1.62
199203,-1.50,-2.06
199204,-2.36,-2.87
199205,-1.99,-2.49
199206,-2.02,-2.47
199207,-1.74,-2.16
199208,-1.66,-2.04
199209,-1.92,-2.42
199210,-1.87,-2.38
199211,-1.88,-2.38
199212,-1.66,-2.01
199301,-0.94,-1.29
199302,1.34,0.85
199303,1.78,1.22
199304,1.61,1.10
199305,1.53,1.03
199306,1.49,1.04
199307,1.29,0.87
199308,1.55,1.17
199309,1.09,0.59
199310,1.42,0.91
199311,1.12,0.62
199312,-0.68,-1.03
199401,-1.20,-1.55
199402,-0.88,-1.37
199403,-1.43,-1.99
199404,-1.13,-1.64
199405,-1.45,-1.95
199406,-2.00,-2.45
199407,-2.83,-3.25
199408,-2.65,-3.03
199409,-2.53,-3.03
199410,-1.05,-1.56
199411,1.56,1.06
199412,1.29,0.94
199501,1.49,1.14
199502,1.54,1.05
199503,1.91,1.35
199504,2.24,1.73
199505,3.87,3.37
199506,4.13,3.68
199507,4.35,3.93
199508,4.15,3.77
199509,3.67,3.17
199510,2.75,2.24
199511,1.96,1.46
199512,1.43,1.08
199601,1.77,1.42
199602,1.89,1.40
199603,2.00,1.44
199604,1.63,1.12
199605,1.69,1.19
199606,1.59,1.14
199607,1.15,0.73
199608,-1.14,-1.52
199609,-0.73,-1.23
199610,-0.65,-1.16
199611,0.54,0.04
199612,1.17,0.82
199701,2.23,1.88
199702,2.27,1.78
199703,1.64,1.08
199704,2.40,1.89
199705,2.12,1.62
199706,2.21,1.76
199707,1.97,1.55
199708,3.02,2.64
199709,4.47,3.97
199710,4.23,3.72
199711,4.25,3.75
199712,3.65,3.30
199801,3.75,3.40
199802,4.09,3.60
199803,4.09,3.53
199804,3.74,3.23
199805,3.52,3.02
199806,4.24,3.79
199807,4.60,4.18
199808,4.42,4.04
199809,4.18,3.68
199810,4.07,3.56
199811,3.66,3.16
199812,2.90,2.55
199901,2.72,2.37
199902,2.66,2.17
199903,1.80,1.24
199904,3.10,2.59
199905,3.09,2.59
199906,3.02,2.57
199907,3.30,2.88
199908,3.88,3.50
199909,3.76,3.26
199910,2.55,2.04
199911,1.37,0.87
199912,0.72,0.37
200001,-1.96,-2.31
200002,-1.32,-1.81
200003,-1.11,-1.67
200004,-1.55,-2.06
200005,-1.86,-2.36
200006,-2.12,-2.57
200007,-2.86,-3.28
200008,-2.64,-3.02
200009,-2.24,-2.74
200010,-1.22,-1.73
200011,-1.14,-1.64
200012,-1.20,-1.55
200101,-1.19,-1.54
200102,-0.90,-1.39
200103,-0.97,-1.53
200104,0.81,0.30
200105,-0.33,-0.83
200106,-0.91,-1.36
200107,-1.31,-1.73
200108,-1.57,-1.95
200109,-2.10,-2.60
200110,-2.47,-2.98
200111,-2.26,-2.76
200112,-2.33,-2.68
200201,-2.82,-3.17
200202,-3.40,-3.89
200203,-3.81,-4.37
200204,-4.33,-4.84
200205,-4.79,-5.29
200206,-5.41,-5.86
200207,-6.00,-6.42
200208,-6.43,-6.81
200209,-4.62,-5.12
200210,-3.94,-4.45
200211,-3.48,-3.98
200212,-3.43,-3.78
200301,-3.68,-4.03
200302,-3.40,-3.89
200303,-3.00,-3.56
200304,-2.96,-3.47
200305,-2.57,-3.07
200306,-1.90,-2.35
200307,-2.04,-2.46
200308,-2.00,-2.38
200309,-2.32,-2.82
200310,-2.88,-3.39
200311,-2.32,-2.82
200312,-1.87,-2.22
200401,-2.04,-2.39
200402,-1.52,-2.01
200403,-2.27,-2.83
200404,-2.14,-2.65
200405,-2.54,-3.04
200406,-2.27,-2.72
200407,-2.21,-2.63
200408,-2.24,-2.62
200409,-1.86,-2.36
200410,2.29,1.78
200411,2.76,2.26
200412,3.10,2.75
200501,4.37,4.02
200502,4.21,3.72
200503,4.08,3.52
200504,3.67,3.16
200505,3.55,3.05
200506,3.50,3.05
200507,2.95,2.53
200508,2.41,2.03
200509,2.31,1.81
200510,1.72,1.21
200511,1.41,0.91
200512,1.23,0.88
200601,1.13,0.78
200602,0.69,0.20
200603,1.33,0.77
200604,1.00,0.49
200605,-0.75,-1.25
200606,-1.16,-1.61
200607,-1.29,-1.71
200608,-1.30,-1.68
200609,-0.83,-1.33
200610,1.26,0.75
200611,1.29,0.79
200612,1.00,0.65
200701,0.71,0.36
200702,0.62,0.13
200703,-0.74,-1.30
200704,-1.11,-1.62
200705,-1.36,-1.86
200706,-1.95,-2.40
200707,-2.49,-2.91
200708,-2.64,-3.02
200709,-2.02,-2.52
200710,-1.80,-2.31
200711,-2.44,-2.94
200712,-2.05,-2.40
200801,-1.53,-1.88
200802,-0.69,-1.18
200803,-0.60,-1.16
200804,-0.79,-1.30
200805,-0.55,-1.05
200806,-0.60,-1.05
200807,-0.97,-1.39
200808,-1.16,-1.54
200809,-1.08,-1.58
200810,-1.35,-1.86
200811,-1.73,-2.23
200812,-1.54,-1.89
200901,-1.69,-2.04
200902,-1.84,-2.33
200903,-2.06,-2.62
200904,-1.26,-1.77
200905,-1.24,-1.74
200906,1.37,0.92
200907,1.42,1.00
200908,1.05,0.67
200909,0.93,0.43
200910,0.77,0.26
200911,-0.89,-1.39
200912,-0.85,-1.20
201001,-0.85,-1.20
201002,-1.35,-1.84
201003,-1.47,-2.03
201004,-1.08,-1.59
201005,-0.66,-1.16
201006,0.64,0.19
201007,0.71,0.29
201008,0.98,0.60
201009,0.26,-0.24
201010,0.98,0.47
201011,1.35,0.85
201012,3.03,2.68
