Duchesne County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.43,-3.73
199002,-3.07,-3.53
199003,-3.01,-3.56
199004,-2.96,-3.44
199005,-2.90,-3.31
199006,-2.33,-2.65
199007,-2.32,-2.64
199008,-2.65,-2.96
199009,-2.06,-2.49
199010,-2.30,-2.75
199011,-2.27,-2.61
199012,-2.36,-2.58
199101,-2.71,-3.01
199102,-3.26,-3.72
199103,-2.66,-3.21
199104,-2.10,-2.58
199105,-0.94,-1.35
199106,-0.34,-0.66
199107,0.17,-0.15
199108,1.15,0.84
199109,1.62,1.19
199110,1.13,0.68
199111,1.28,0.94
199112,-0.32,-0.54
199201,-1.05,-1.35
199202,-1.13,-1.59
199203,-1.50,-2.05
199204,-2.36,-2.84
199205,-1.75,-2.16
199206,-2.02,-2.34
199207,-1.58,-1.90
199208,-1.56,-1.87
199209,-1.92,-2.35
199210,-1.87,-2.32
199211,-1.88,-2.22
199212,-1.55,-1.77
199301,0.03,-0.27
199302,1.34,0.88
199303,1.78,1.23
199304,1.55,1.07
199305,1.52,1.11
199306,1.49,1.17
199307,1.15,0.83
199308,1.55,1.24
199309,0.54,0.11
199310,1.42,0.97
199311,0.78,0.44
199312,-0.68,-0.90
199401,-1.20,-1.50
199402,-0.41,-0.87
199403,-1.43,-1.98
199404,-0.79,-1.27
199405,-1.45,-1.86
199406,-2.00,-2.32
199407,-2.83,-3.15
199408,-2.65,-2.96
199409,-2.53,-2.96
199410,0.57,0.12
199411,1.56,1.22
199412,1.04,0.82
199501,1.49,1.19
199502,1.54,1.08
199503,1.91,1.36
199504,2.24,1.76
199505,3.87,3.46
199506,4.13,3.81
199507,4.35,4.03
199508,4.15,3.84
199509,3.55,3.12
199510,1.95,1.50
199511,0.56,0.22
199512,-0.31,-0.53
199601,0.58,0.28
199602,1.00,0.54
199603,1.35,0.80
199604,0.82,0.34
199605,1.03,0.62
199606,0.96,0.64
199607,0.25,-0.07
199608,-1.14,-1.45
199609,-0.07,-0.50
199610,0.07,-0.38
199611,0.54,0.20
199612,1.17,0.95
199701,2.23,1.93
199702,2.27,1.81
199703,1.06,0.51
199704,2.40,1.92
199705,2.02,1.61
199706,2.21,1.89
199707,1.88,1.56
199708,3.02,2.71
199709,4.47,4.04
199710,4.23,3.78
199711,4.25,3.91
199712,3.42,3.20
199801,3.75,3.45
199802,4.09,3.63
199803,4.09,3.54
199804,3.74,3.26
199805,3.52,3.11
199806,4.24,3.92
199807,4.60,4.28
199808,4.42,4.11
199809,4.18,3.75
199810,4.07,3.62
199811,3.62,3.28
199812,2.35,2.13
199901,2.26,1.96
199902,2.39,1.93
199903,0.83,0.28
199904,3.10,2.62
199905,3.09,2.68
199906,3.02,2.70
199907,3.30,2.98
199908,3.88,3.57
199909,3.76,3.33
199910,1.52,1.07
199911,-0.73,-1.07
199912,-1.82,-2.04
200001,-1.96,-2.26
200002,-0.64,-1.10
200003,-0.29,-0.84
200004,-1.40,-1.88
200005,-1.86,-2.27
200006,-2.12,-2.44
200007,-2.86,-3.18
200008,-2.64,-2.95
200009,-2.00,-2.43
200010,0.07,-0.38
200011,0.07,-0.27
200012,-0.20,-0.42
200101,-0.31,-0.61
200102,0.13,-0.33
200103,-0.11,-0.66
200104,0.81,0.33
200105,0.39,-0.02
200106,-0.91,-1.23
200107,-1.31,-1.63
200108,-1.57,-1.88
200109,-2.10,-2.53
200110,-2.47,-2.92
200111,-2.26,-2.60
200112,-2.33,-2.55
200201,-2.82,-3.12
200202,-3.40,-3.86
200203,-3.81,-4.36
200204,-4.33,-4.81
200205,-4.79,-5.20
200206,-5.41,-5.73
200207,-6.00,-6.32
200208,-6.43,-6.74
