Duchesne County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-1.58,-1.80
199002,-0.07,-0.41
199003,-0.68,-0.97
199004,-0.78,-0.88
199005,-0.74,-0.80
199006,0.28,0.32
199007,-0.42,-0.52
199008,-1.51,-1.65
199009,0.33,-0.01
199010,-0.80,-0.94
199011,-0.63,-0.68
199012,-0.95,-0.85
199101,-1.78,-2.00
199102,-2.51,-2.85
199103,0.29,0.00
199104,0.28,0.18
199105,1.17,1.11
199106,0.55,0.59
199107,0.52,0.42
199108,1.36,1.22
199109,1.77,1.43
199110,-0.30,-0.44
199111,0.43,0.38
199112,-1.61,-1.51
199201,-1.70,-1.92
199202,-0.58,-0.92
199203,-1.46,-1.75
199204,-3.04,-3.14
199205,0.39,0.33
199206,-0.72,-0.68
199207,0.21,0.11
199208,-0.29,-0.43
199209,-1.28,-1.62
199210,-0.44,-0.58
199211,-0.61,-0.66
199212,0.08,0.18
199301,1.65,1.43
199302,2.48,2.14
199303,1.73,1.44
199304,0.03,-0.07
199305,0.26,0.20
199306,0.36,0.40
199307,-0.12,-0.22
199308,1.17,1.03
199309,-0.90,-1.24
199310,1.34,1.20
199311,-0.47,-0.52
199312,-1.62,-1.52
199401,-1.78,-2.00
199402,0.61,0.27
199403,-1.93,-2.22
199404,0.47,0.37
199405,-1.32,-1.38
199406,-2.11,-2.07
199407,-3.09,-3.19
199408,-0.36,-0.50
199409,-0.45,-0.79
199410,3.65,3.51
199411,1.41,1.36
199412,-0.33,-0.23
199501,0.99,0.77
199502,0.62,0.28
199503,1.58,1.29
199504,1.58,1.48
199505,5.58,5.52
199506,1.99,2.03
199507,1.92,1.82
199508,0.75,0.61
199509,-0.16,-0.50
199510,-1.61,-1.75
199511,-1.52,-1.57
199512,-0.98,-0.88
199601,1.45,1.23
199602,0.91,0.57
199603,0.91,0.62
199604,-0.47,-0.57
199605,0.67,0.61
199606,0.24,0.28
199607,-0.83,-0.93
199608,-2.66,-2.80
199609,0.86,0.52
199610,0.01,-0.13
199611,0.91,0.86
199612,2.06,2.16
199701,3.55,3.33
199702,0.79,0.45
199703,-1.17,-1.46
199704,2.78,2.68
199705,-0.08,-0.14
199706,0.93,0.97
199707,-0.05,-0.15
199708,3.75,3.61
199709,5.28,4.94
