Duchesne County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,13.95,-3.78
199002,14.23,-3.52
199003,14.44,-3.32
199004,15.27,-2.46
199005,15.41,-2.33
199006,15.90,-1.85
199007,16.08,-1.67
199008,15.26,-2.50
199009,15.57,-2.19
199010,15.63,-2.15
199011,15.89,-1.87
199012,16.76,-1.00
199101,16.21,-1.52
199102,14.55,-3.20
199103,15.26,-2.50
199104,15.10,-2.63
199105,16.08,-1.66
199106,15.82,-1.93
199107,15.79,-1.96
199108,17.11,-0.65
199109,17.50,-0.26
199110,17.80,0.02
199111,18.23,0.47
199112,17.51,-0.25
199201,17.40,-0.33
199202,18.37,0.62
199203,17.14,-0.62
199204,16.35,-1.38
199205,16.75,-0.99
199206,16.55,-1.20
199207,17.02,-0.73
199208,16.33,-1.43
199209,14.84,-2.92
199210,15.04,-2.74
199211,14.61,-3.15
199212,15.97,-1.79
199301,17.94,0.21
199302,18.97,1.22
199303,20.03,2.27
199304,20.76,3.03
199305,20.13,2.39
199306,20.20,2.45
199307,19.45,1.70
199308,19.92,2.16
199309,19.91,2.15
199310,20.53,2.75
199311,20.26,2.50
199312,18.87,1.11
199401,16.83,-0.90
199402,16.48,-1.27
199403,14.85,-2.91
199404,15.61,-2.12
199405,14.81,-2.93
199406,13.97,-3.78
199407,13.50,-4.25
199408,13.52,-4.24
199409,14.18,-3.58
199410,15.67,-2.11
199411,16.59,-1.17
199412,17.00,-0.76
199501,18.03,0.30
199502,17.20,-0.55
199503,18.66,0.90
199504,18.70,0.97
199505,22.03,4.29
199506,23.69,5.94
199507,24.59,6.84
199508,24.13,6.37
199509,23.85,6.09
199510,20.59,2.81
199511,19.66,1.90
199512,19.99,2.23
199601,21.11,3.38
199602,21.60,3.85
199603,21.24,3.48
199604,20.24,2.51
199605,17.89,0.15
199606,17.17,-0.58
199607,16.69,-1.06
199608,15.56,-2.20
199609,16.28,-1.48
199610,17.29,-0.49
199611,18.39,0.63
199612,20.04,2.28
199701,20.43,2.70
199702,19.94,2.19
199703,18.71,0.95
199704,20.24,2.51
199705,19.87,2.13
199706,20.32,2.57
199707,20.52,2.77
199708,23.59,5.83
199709,25.84,8.08
199710,25.84,8.06
199711,25.51,7.75
199712,23.35,5.59
199801,22.03,4.30
199802,22.83,5.08
199803,24.16,6.40
199804,22.85,5.12
199805,22.98,5.24
199806,24.06,6.31
199807,24.58,6.83
199808,22.75,4.99
199809,20.31,2.55
199810,20.82,3.04
199811,20.33,2.57
199812,20.31,2.55
199901,20.21,2.48
199902,19.70,1.95
199903,18.28,0.52
199904,20.63,2.90
199905,20.70,2.96
199906,19.29,1.54
199907,19.52,1.77
199908,20.56,2.80
199909,20.40,2.64
199910,18.54,0.76
199911,17.64,-0.12
199912,17.92,0.16
200001,17.96,0.23
200002,18.93,1.18
200003,19.91,2.15
200004,17.18,-0.55
200005,16.47,-1.27
200006,15.95,-1.80
200007,14.54,-3.21
200008,13.88,-3.88
200009,14.15,-3.61
200010,17.06,-0.72
200011,17.88,0.12
200012,18.05,0.29
200101,17.50,-0.23
200102,16.52,-1.23
200103,16.26,-1.50
200104,17.87,0.14
200105,17.98,0.24
200106,17.43,-0.32
200107,18.21,0.46
200108,17.55,-0.21
200109,16.39,-1.37
200110,14.09,-3.69
200111,14.61,-3.15
200112,14.74,-3.02
200201,14.05,-3.68
200202,12.95,-4.80
200203,12.84,-4.92
200204,11.05,-6.68
200205,10.37,-7.37
200206,10.47,-7.28
200207,10.11,-7.64
200208,9.24,-8.52
200209,12.11,-5.65
200210,12.96,-4.82
200211,12.78,-4.98
200212,12.46,-5.30
200301,12.42,-5.31
200302,13.49,-4.26
200303,14.27,-3.49
200304,14.46,-3.27
200305,15.73,-2.01
200306,17.09,-0.66
200307,16.88,-0.87
200308,18.04,0.28
200309,15.20,-2.56
200310,14.23,-3.55
200311,14.85,-2.91
200312,15.98,-1.78
200401,16.23,-1.50
200402,16.65,-1.10
200403,15.05,-2.71
200404,15.86,-1.87
200405,14.65,-3.09
200406,14.40,-3.35
200407,15.01,-2.74
200408,14.52,-3.24
200409,15.49,-2.27
200410,20.36,2.58
200411,20.07,2.31
200412,19.77,2.01
200501,22.56,4.83
200502,21.93,4.18
200503,23.44,5.68
200504,23.16,5.43
200505,24.58,6.84
200506,24.52,6.77
200507,23.87,6.12
200508,23.94,6.18
200509,23.95,6.19
200510,19.52,1.74
200511,19.06,1.30
200512,18.99,1.23
200601,17.16,-0.57
200602,16.64,-1.11
200603,17.59,-0.17
200604,17.47,-0.26
200605,16.20,-1.54
200606,15.49,-2.26
200607,16.56,-1.19
200608,16.86,-0.90
200609,17.10,-0.66
200610,19.22,1.44
200611,19.24,1.48
200612,18.49,0.73
200701,17.67,-0.06
200702,18.04,0.29
200703,16.16,-1.60
200704,15.68,-2.05
200705,16.03,-1.71
200706,15.56,-2.19
200707,14.95,-2.80
200708,14.89,-2.87
200709,15.14,-2.62
200710,13.59,-4.19
200711,12.68,-5.08
200712,14.07,-3.69
200801,15.58,-2.15
200802,16.89,-0.86
200803,17.24,-0.52
200804,16.88,-0.85
200805,17.35,-0.39
200806,17.88,0.13
200807,17.43,-0.32
200808,17.31,-0.45
200809,16.58,-1.18
200810,15.97,-1.81
200811,16.56,-1.20
200812,16.22,-1.54
200901,15.09,-2.64
200902,13.72,-4.03
200903,13.58,-4.18
200904,15.53,-2.20
200905,15.47,-2.27
200906,17.48,-0.27
200907,17.78,0.03
200908,17.46,-0.30
200909,17.52,-0.24
200910,17.60,-0.18
200911,16.96,-0.80
200912,16.77,-0.99
201001,17.13,-0.60
201002,16.55,-1.20
201003,16.84,-0.92
201004,16.19,-1.54
201005,16.31,-1.43
201006,14.80,-2.95
201007,15.08,-2.67
201008,16.02,-1.74
201009,14.97,-2.79
201010,16.93,-0.85
201011,18.48,0.72
201012,21.33,3.57
201101,20.43,2.70
201102,21.74,3.99
201103,21.70,3.94
201104,22.34,4.61
201105,24.31,6.57
201106,23.95,6.20
201107,26.11,8.36
201108,25.41,7.65
201109,25.77,8.01
201110,24.85,7.07
201111,24.06,6.30
201112,20.16,2.40
201201,20.30,2.57
201202,19.64,1.89
201203,19.18,1.42
201204,17.46,-0.27
201205,14.19,-3.55
201206,13.40,-4.35
201207,11.80,-5.95
201208,11.54,-6.22
201209,12.36,-5.40
201210,11.20,-6.58
201211,10.92,-6.84
201212,12.35,-5.41
201301,12.37,-5.36
201302,11.67,-6.08
201303,12.02,-5.74
201304,14.14,-3.59
201305,14.78,-2.96
201306,14.75,-3.00
201307,14.49,-3.26
201308,14.81,-2.95
201309,16.92,-0.84
201310,17.48,-0.30
201311,17.33,-0.43
201312,16.18,-1.58
201401,16.12,-1.61
201402,17.09,-0.66
201403,16.89,-0.87
201404,15.18,-2.55
201405,15.04,-2.70
201406,15.16,-2.59
201407,15.00,-2.75
201408,17.61,-0.15
201409,17.78,0.02
201410,16.49,-1.29
201411,17.01,-0.75
201412,17.28,-0.48
201501,17.41,-0.32
201502,16.52,-1.23
201503,16.42,-1.34
201504,16.21,-1.52
201505,19.75,2.01
201506,20.32,2.57
201507,20.84,3.09
201508,19.05,1.29
201509,16.46,-1.30
201510,17.88,0.10
201511,18.12,0.36
201512,18.39,0.63
201601,18.73,1.00
201602,18.86,1.11
201603,19.73,1.97
201604,20.88,3.15
201605,18.84,1.10
201606,18.41,0.66
201607,17.36,-0.39
201608,16.13,-1.63
201609,18.83,1.07
201610,18.27,0.49
201611,17.68,-0.08
201612,18.92,1.16
201701,21.84,4.11
201702,23.36,5.61
201703,23.92,6.16
201704,22.76,5.03
201705,21.03,3.29
201706,20.91,3.16
201707,21.88,4.13
201708,22.56,4.80
201709,20.80,3.04
201710,19.91,2.13
201711,19.90,2.14
201712,17.78,0.02
201801,14.38,-3.35
201802,12.74,-5.01
201803,11.76,-6.00
201804,11.79,-5.94
201805,12.44,-5.30
201806,12.30,-5.45
201807,11.25,-6.50
201808,11.54,-6.22
201809,9.42,-8.34
201810,13.10,-4.68
201811,13.54,-4.22
201812,13.52,-4.24
201901,14.95,-2.78
201902,16.88,-0.87
201903,18.09,0.33
201904,19.04,1.31
201905,22.32,4.58
201906,23.02,5.27
201907,22.91,5.16
201908,21.55,3.79
201909,22.90,5.14
201910,19.49,1.71
201911,20.34,2.58
201912,21.49,3.73
202001,20.35,2.62
202002,18.50,0.75
202003,17.93,0.17
202004,16.49,-1.24
202005,12.63,-5.11
202006,13.83,-3.92
202007,13.55,-4.20
202008,13.24,-4.52
202009,12.29,-5.47
202010,11.98,-5.80
202011,11.10,-6.66
202012,10.12,-7.64
202101,10.01,-7.72
202102,10.50,-7.25
202103,10.22,-7.54
202104,10.90,-6.83
202105,11.02,-6.72
202106,9.60,-8.15
202107,10.96,-6.79
202108,14.12,-3.64
202109,14.78,-2.98
202110,17.64,-0.14
202111,16.77,-0.99
202112,18.83,1.07
202201,18.37,0.64
202202,17.70,-0.05
202203,17.25,-0.51
202204,16.84,-0.89
202205,16.88,-0.86
202206,17.88,0.13
202207,17.32,-0.43
202208,15.66,-2.10
202209,17.01,-0.75
202210,14.76,-3.02
202211,15.50,-2.26
202212,14.97,-2.79
202301,17.53,-0.20
202302,18.44,0.69
202303,20.25,2.49
202304,20.30,2.57
202305,20.50,2.76
202306,20.09,2.34
202307,19.73,1.98
202308,20.63,2.87
202309,19.50,1.74
202310,19.70,1.92
202311,19.46,1.70
202312,17.69,-0.07
202401,16.14,-1.59
202402,17.60,-0.15
202403,16.55,-1.21
