Emery County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,51.1,2.0
199002,51.5,2.4
199003,51.4,2.3
199004,51.3,2.2
199005,51.2,2.1
199006,51.4,2.3
199007,51.3,2.2
199008,51.5,2.4
199009,51.7,2.6
199010,51.7,2.6
199011,51.5,2.4
199012,50.7,1.6
199101,50.2,1.1
199102,50.3,1.2
199103,49.8,0.7
199104,49.2,0.1
199105,49.1,0.0
199106,48.9,-0.2
199107,48.8,-0.3
199108,48.8,-0.3
199109,48.6,-0.5
199110,48.8,-0.3
199111,48.7,-0.4
199112,49.1,0.0
199201,49.2,0.1
199202,49.2,0.1
199203,49.7,0.6
199204,50.5,1.4
199205,50.9,1.8
199206,50.9,1.8
199207,50.7,1.6
199208,50.8,1.7
199209,50.8,1.7
199210,51.0,1.9
199211,50.7,1.6
199212,50.5,1.4
199301,50.9,1.8
199302,50.7,1.6
199303,50.6,1.5
199304,49.9,0.8
199305,49.8,0.7
199306,49.7,0.6
199307,49.7,0.6
199308,49.5,0.4
199309,49.3,0.2
199310,48.8,-0.3
199311,48.8,-0.3
199312,49.2,0.1
199401,49.4,0.3
199402,49.4,0.3
199403,49.5,0.4
199404,49.7,0.6
199405,49.8,0.7
199406,50.4,1.3
199407,50.8,1.7
199408,51.2,2.1
199409,51.4,2.3
199410,51.5,2.4
199411,51.4,2.3
199412,51.5,2.4
199501,51.5,2.4
199502,52.3,3.2
199503,52.1,3.0
199504,51.9,2.8
199505,51.3,2.2
199506,50.5,1.4
199507,50.1,1.0
199508,50.0,0.9
199509,50.0,0.9
199510,50.1,1.0
199511,50.8,1.7
199512,51.1,2.0
199601,51.1,2.0
199602,50.7,1.6
199603,50.7,1.6
199604,50.9,1.8
199605,51.5,2.4
199606,52.1,3.0
199607,52.5,3.4
199608,52.5,3.4
199609,52.2,3.1
199610,52.1,3.0
199611,51.8,2.7
199612,51.5,2.4
199701,51.3,2.2
199702,50.8,1.7
199703,50.9,1.8
199704,50.6,1.5
199705,50.6,1.5
199706,50.4,1.3
199707,50.0,0.9
199708,49.7,0.6
199709,49.9,0.8
199710,50.0,0.9
199711,49.9,0.8
199712,49.7,0.6
199801,50.1,1.0
199802,50.4,1.3
199803,50.1,1.0
199804,50.2,1.1
199805,49.9,0.8
199806,49.5,0.4
199807,49.8,0.7
199808,50.0,0.9
199809,50.2,1.1
199810,50.2,1.1
199811,50.3,1.2
199812,50.3,1.2
199901,50.4,1.3
199902,50.6,1.5
199903,51.0,1.9
199904,50.8,1.7
199905,50.7,1.6
199906,51.0,1.9
199907,50.9,1.8
199908,50.6,1.5
199909,50.3,1.2
199910,50.6,1.5
199911,50.9,1.8
199912,51.0,1.9
200001,51.0,1.9
200002,51.2,2.1
200003,50.8,1.7
200004,51.6,2.5
200005,52.2,3.1
200006,52.4,3.3
200007,52.6,3.5
200008,53.0,3.9
200009,53.1,4.0
200010,53.0,3.9
200011,52.0,2.9
200012,52.1,3.0
200101,51.7,2.6
200102,51.3,2.2
200103,51.5,2.4
200104,51.2,2.1
200105,51.1,2.0
200106,51.1,2.0
200107,51.0,1.9
200108,50.9,1.8
200109,51.2,2.1
200110,51.4,2.3
200111,52.2,3.1
200112,51.6,2.5
