Emery County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,729,68
199002,729,68
199003,729,68
199004,726,65
199005,717,56
199006,784,122
199007,732,69
199008,791,126
199009,836,171
199010,836,171
199011,836,171
199012,836,171
199101,836,175
199102,836,175
199103,836,175
199104,829,168
199105,824,163
199106,761,99
199107,739,76
199108,747,82
199109,700,35
199110,700,35
199111,700,35
199112,700,35
199201,700,39
199202,700,39
199203,700,39
199204,715,54
199205,746,85
199206,744,82
199207,659,-4
199208,677,12
199209,692,27
199210,698,33
199211,698,33
199212,698,33
199301,698,37
199302,698,37
199303,698,37
199304,683,22
199305,667,6
199306,643,-19
199307,644,-19
199308,574,-91
199309,547,-118
199310,541,-124
199311,541,-124
199312,541,-124
199401,541,-120
199402,541,-120
199403,541,-120
199404,541,-120
199405,547,-114
199406,704,42
199407,858,195
199408,1012,347
199409,1046,381
199410,1046,381
199411,1046,381
199412,1046,381
199501,1046,385
199502,1046,385
199503,1046,385
199504,1046,385
199505,1015,354
199506,826,164
199507,690,27
199508,643,-22
199509,635,-30
199510,635,-30
199511,635,-30
199512,635,-30
199601,635,-26
199602,635,-26
199603,635,-26
199604,635,-26
199605,671,10
199606,809,147
199607,956,293
199608,965,300
199609,921,256
199610,921,256
199611,921,256
199612,921,256
199701,921,260
199702,921,260
199703,921,260
199704,921,260
199705,923,262
199706,870,208
199707,724,61
199708,628,-37
199709,647,-18
199710,647,-18
199711,647,-18
199712,647,-18
199801,647,-14
199802,647,-14
199803,647,-14
199804,647,-14
199805,622,-39
199806,538,-124
199807,668,5
199808,744,79
199809,777,112
199810,777,112
199811,777,112
199812,777,112
199901,777,116
199902,777,116
199903,777,116
199904,777,116
199905,772,111
199906,827,165
199907,769,106
199908,663,-2
199909,619,-46
199910,619,-46
199911,619,-46
199912,619,-46
200001,619,-42
200002,619,-42
200003,619,-42
200004,628,-33
200005,674,13
200006,732,70
200007,778,115
200008,925,260
200009,952,287
200010,952,287
200011,952,287
200012,952,287
200101,952,291
200102,952,291
200103,952,291
200104,943,282
200105,929,268
200106,929,267
200107,898,235
200108,858,193
200109,908,243
200110,908,243
200111,908,243
200112,908,243
200201,908,247
200202,908,247
200203,908,247
200204,915,254
200205,902,241
200206,962,300
200207,1081,418
200208,1059,394
200209,991,326
200210,991,326
200211,991,326
200212,991,326
200301,991,330
200302,991,330
200303,991,330
200304,984,323
200305,991,330
200306,908,246
200307,956,293
200308,1004,339
200309,1028,363
200310,1039,374
200311,1039,374
200312,1039,374
200401,1039,378
200402,1039,378
200403,1039,378
200404,1039,378
200405,1035,374
200406,1029,367
200407,847,184
200408,741,76
200409,711,46
200410,700,35
200411,700,35
200412,700,35
200501,700,39
200502,700,39
200503,700,39
200504,700,39
200505,695,34
200506,627,-35
200507,722,59
200508,704,39
200509,718,53
200510,718,53
200511,718,53
200512,718,53
200601,718,57
200602,718,57
200603,718,57
200604,718,57
200605,741,80
200606,891,229
200607,884,221
200608,911,246
200609,880,215
200610,880,215
200611,880,215
200612,880,215
200701,880,219
200702,880,219
200703,880,219
200704,880,219
200705,862,201
200706,852,190
200707,892,229
200708,999,334
200709,1036,371
200710,1036,371
200711,1036,371
200712,1036,371
200801,1036,375
200802,1036,375
200803,1036,375
200804,1036,375
200805,1014,353
200806,934,272
200807,888,225
200808,858,193
200809,865,200
200810,865,200
200811,865,200
200812,865,200
200901,865,204
200902,865,204
200903,865,204
200904,865,204
200905,902,241
200906,853,191
200907,837,174
200908,784,119
200909,810,145
200910,810,145
200911,810,145
200912,810,145
201001,810,149
201002,810,149
201003,810,149
201004,810,149
201005,765,104
201006,844,182
201007,803,140
201008,772,107
201009,781,116
201010,781,116
201011,781,116
201012,781,116
201101,781,120
201102,781,120
201103,781,120
201104,781,120
201105,786,125
201106,739,77
201107,694,31
201108,796,131
201109,771,106
201110,771,106
201111,771,106
201112,771,106
201201,771,110
201202,771,110
201203,771,110
201204,777,116
201205,814,153
201206,940,278
201207,976,313
201208,987,322
201209,999,334
201210,999,334
201211,999,334
201212,999,334
201301,999,338
201302,999,338
201303,999,338
201304,993,332
201305,974,313
201306,970,308
201307,1018,355
201308,930,265
201309,893,228
201310,893,228
201311,893,228
201312,893,228
201401,893,232
201402,893,232
201403,893,232
201404,893,232
201405,892,231
201406,805,143
201407,812,149
201408,744,79
201409,794,129
201410,799,134
201411,799,134
201412,799,134
201501,799,138
201502,799,138
201503,799,138
201504,799,138
201505,786,125
201506,868,206
201507,723,60
201508,815,150
201509,844,179
201510,847,182
201511,847,182
201512,847,182
201601,847,186
201602,847,186
201603,847,186
201604,847,186
201605,850,189
201606,904,242
201607,1015,352
201608,985,320
201609,903,238
201610,900,235
201611,900,235
201612,900,235
201701,900,239
201702,900,239
201703,900,239
201704,900,239
201705,908,247
201706,870,208
201707,907,244
201708,949,284
201709,949,284
201710,944,279
201711,944,279
201712,944,279
201801,944,283
201802,944,283
201803,944,283
201804,949,288
201805,970,309
201806,958,296
201807,1006,343
201808,1054,389
201809,1145,480
201810,1145,480
201811,1145,480
201812,1145,480
201901,1145,484
201902,1145,484
201903,1145,484
201904,1146,485
201905,1105,444
201906,972,310
201907,890,227
201908,912,247
201909,875,210
201910,875,210
201911,875,210
201912,875,210
202001,875,214
202002,875,214
202003,875,214
202004,869,208
202005,922,261
202006,958,296
202007,966,303
202008,1047,382
202009,1036,371
202010,1041,376
202011,1041,376
202012,1041,376
202101,1041,380
202102,1041,380
202103,1041,380
202104,1041,380
202105,1018,357
202106,1159,497
202107,1226,563
202108,1070,405
202109,1075,410
202110,1070,405
202111,1070,405
202112,1070,405
202201,1070,409
202202,1070,409
202203,1070,409
202204,1070,409
202205,1055,394
202206,963,301
202207,932,269
202208,980,315
202209,1032,367
202210,1032,367
202211,1032,367
202212,1032,367
202301,1032,371
202302,1032,371
202303,1032,371
202304,1032,371
202305,1052,391
202306,960,298
202307,992,329
202308,955,290
202309,881,216
202310,881,216
202311,881,216
202312,881,216
202401,881,220
202402,881,220
202403,881,220
