Emery County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,5741,-693
199002,5619,-814
199003,5650,-784
199004,5690,-741
199005,5736,-694
199006,5702,-728
199007,5702,-728
199008,5695,-735
199009,5653,-775
199010,5652,-775
199011,5742,-688
199012,6026,-403
199101,6226,-208
199102,6165,-268
199103,6357,-77
199104,6565,134
199105,6600,170
199106,6632,202
199107,6632,202
199108,6632,202
199109,6677,249
199110,6594,167
199111,6633,203
199112,6487,58
199201,6447,13
199202,6451,18
199203,6262,-172
199204,5975,-456
199205,5850,-580
199206,5851,-579
199207,5851,-579
199208,5851,-579
199209,5834,-594
199210,5792,-635
199211,5871,-559
199212,5961,-468
199301,5795,-639
199302,5886,-547
199303,5921,-513
199304,6145,-286
199305,6185,-245
199306,6206,-224
199307,6206,-224
199308,6211,-219
199309,6245,-183
199310,6415,-12
199311,6429,-1
199312,6277,-152
199401,6191,-243
199402,6207,-226
199403,6150,-284
199404,6082,-349
199405,6064,-366
199406,5997,-433
199407,5997,-433
199408,5992,-438
199409,5951,-477
199410,5944,-483
199411,5954,-476
199412,5909,-520
199501,5932,-502
199502,5647,-786
199503,5718,-716
199504,5821,-610
199505,6001,-429
199506,6102,-328
199507,6102,-328
199508,6102,-328
199509,6110,-318
199510,6069,-358
199511,5792,-638
199512,5680,-749
199601,5710,-724
199602,5829,-604
199603,5839,-595
199604,5771,-660
199605,5578,-852
199606,5486,-944
199607,5486,-944
199608,5486,-944
199609,5556,-872
199610,5599,-828
199611,5710,-720
199612,5811,-618
199701,5884,-550
199702,6078,-355
199703,6028,-406
199704,6140,-291
199705,6137,-293
199706,6156,-274
199707,6156,-274
199708,6156,-274
199709,6116,-312
199710,6097,-330
199711,6122,-308
199712,6170,-259
199801,6019,-415
199802,5944,-489
199803,6035,-399
199804,6006,-425
199805,6098,-332
199806,6169,-261
199807,6169,-261
199808,6169,-261
199809,6131,-297
199810,6140,-287
199811,6103,-327
199812,6103,-326
199901,6068,-366
199902,5986,-447
199903,5851,-583
199904,5905,-526
199905,5948,-482
199906,5895,-535
199907,5895,-535
199908,5901,-529
199909,5959,-469
199910,5857,-570
199911,5743,-687
199912,5695,-734
200001,5697,-737
200002,5648,-785
200003,5774,-660
200004,5498,-933
200005,5335,-1095
200006,5304,-1126
200007,5304,-1126
200008,5298,-1132
200009,5258,-1170
200010,5324,-1103
200011,5649,-781
200012,5614,-815
200101,5777,-657
200102,5908,-525
200103,5832,-602
200104,5930,-501
200105,5954,-476
200106,5954,-476
200107,5954,-476
200108,5954,-476
200109,5910,-518
200110,5832,-595
200111,5563,-867
200112,5752,-677
200201,5780,-654
200202,5829,-604
200203,5996,-438
200204,5927,-504
200205,5961,-469
200206,5948,-482
200207,5948,-482
200208,5948,-482
200209,6015,-413
200210,6156,-271
200211,6260,-170
200212,6100,-329
200301,5831,-603
200302,5766,-667
200303,5639,-795
200304,5754,-677
200305,5732,-698
200306,5754,-676
200307,5754,-676
200308,5754,-676
200309,5724,-704
200310,5487,-940
200311,5516,-914
200312,5509,-920
200401,5873,-561
200402,5980,-453
200403,5799,-635
