Emery County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,64.8,2.9
199002,65.2,3.3
199003,65.0,3.1
199004,64.8,2.9
199005,64.6,2.7
199006,65.0,3.1
199007,64.7,2.8
199008,64.9,3.0
199009,65.0,3.1
199010,65.0,3.1
199011,64.6,2.7
199012,63.8,1.9
199101,63.1,1.2
199102,63.4,1.5
199103,62.8,0.9
199104,62.2,0.3
199105,62.1,0.2
199106,61.7,-0.2
199107,61.6,-0.3
199108,61.5,-0.4
199109,61.4,-0.5
199110,61.6,-0.3
199111,61.4,-0.5
199112,61.6,-0.3
199201,61.8,-0.1
199202,61.5,-0.4
199203,62.0,0.1
199204,63.0,1.1
199205,63.3,1.4
199206,63.4,1.5
199207,63.1,1.2
199208,63.2,1.3
199209,63.4,1.5
199210,63.5,1.6
199211,63.3,1.4
199212,63.0,1.1
199301,63.3,1.4
199302,63.0,1.1
199303,63.0,1.1
199304,62.3,0.4
199305,62.2,0.3
199306,62.0,0.1
199307,62.1,0.2
199308,61.9,0.0
199309,61.8,-0.1
199310,61.2,-0.7
199311,61.2,-0.7
199312,61.6,-0.3
199401,62.2,0.3
199402,62.3,0.4
199403,62.6,0.7
199404,62.8,0.9
199405,62.9,1.0
199406,63.6,1.7
199407,64.1,2.2
199408,64.6,2.7
199409,64.6,2.7
199410,64.6,2.7
199411,64.6,2.7
199412,64.6,2.7
199501,64.2,2.3
199502,65.2,3.3
199503,64.7,2.8
199504,64.4,2.5
199505,63.7,1.8
199506,62.8,0.9
199507,62.4,0.5
199508,62.2,0.3
199509,62.2,0.3
199510,62.6,0.7
199511,63.7,1.8
199512,64.2,2.3
199601,64.4,2.5
199602,64.0,2.1
199603,64.1,2.2
199604,64.5,2.6
199605,65.3,3.4
199606,66.1,4.2
199607,66.4,4.5
199608,66.5,4.6
199609,66.1,4.2
199610,65.8,3.9
199611,65.3,3.4
199612,64.8,2.9
199701,64.4,2.5
199702,63.8,1.9
199703,64.0,2.1
199704,63.5,1.6
199705,63.4,1.5
199706,63.1,1.2
199707,62.7,0.8
199708,62.3,0.4
199709,62.3,0.4
199710,62.4,0.5
199711,62.3,0.4
199712,62.3,0.4
199801,62.8,0.9
199802,62.9,1.0
199803,62.6,0.7
199804,62.7,0.8
199805,62.3,0.4
199806,61.9,0.0
199807,62.2,0.3
199808,62.6,0.7
199809,62.8,0.9
199810,62.7,0.8
199811,62.8,0.9
199812,62.9,1.0
199901,63.0,1.1
199902,63.5,1.6
199903,64.0,2.1
199904,63.8,1.9
199905,63.7,1.8
199906,64.0,2.1
199907,63.8,1.9
199908,63.3,1.4
199909,63.1,1.2
199910,63.8,1.9
199911,64.4,2.5
199912,64.5,2.6
200001,64.4,2.5
200002,64.3,2.4
200003,63.8,1.9
200004,64.8,2.9
200005,65.5,3.6
200006,65.8,3.9
200007,66.1,4.2
200008,66.5,4.6
200009,66.8,4.9
200010,66.2,4.3
200011,65.0,3.1
200012,65.0,3.1
200101,64.6,2.7
200102,64.2,2.3
200103,64.3,2.4
200104,63.9,2.0
200105,63.7,1.8
200106,63.8,1.9
200107,63.6,1.7
200108,63.6,1.7
200109,63.9,2.0
200110,64.4,2.5
200111,65.2,3.3
200112,64.7,2.8
200201,64.6,2.7
200202,64.8,2.9
200203,64.6,2.7
200204,65.0,3.1
200205,64.9,3.0
200206,65.2,3.3
200207,65.6,3.7
200208,65.6,3.7
200209,65.0,3.1
200210,64.5,2.6
200211,64.2,2.3
200212,64.7,2.8
200301,65.5,3.6
200302,65.4,3.5
200303,65.6,3.7
200304,65.1,3.2
200305,65.1,3.2
200306,64.7,2.8
200307,64.9,3.0
200308,64.9,3.0
200309,65.2,3.3
200310,66.1,4.2
200311,65.9,4.0
200312,65.8,3.9
200401,64.7,2.8
200402,64.4,2.5
200403,65.1,3.2
200404,65.1,3.2
200405,65.1,3.2
200406,65.0,3.1
200407,64.4,2.5
200408,64.2,2.3
200409,63.9,2.0
200410,63.0,1.1
200411,63.1,1.2
200412,63.1,1.2
200501,63.9,2.0
200502,64.4,2.5
200503,63.7,1.8
200504,63.7,1.8
200505,63.7,1.8
200506,63.3,1.4
200507,63.6,1.7
200508,63.6,1.7
200509,63.7,1.8
200510,64.0,2.1
200511,64.3,2.4
200512,64.4,2.5
200601,64.2,2.3
200602,64.3,2.4
200603,63.9,2.0
200604,64.1,2.2
200605,64.4,2.5
200606,65.1,3.2
200607,64.9,3.0
200608,65.0,3.1
200609,64.7,2.8
200610,64.2,2.3
200611,64.2,2.3
200612,64.1,2.2
200701,63.8,1.9
200702,63.9,2.0
200703,64.7,2.8
