Emery County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,37.5,1.2
199002,37.8,1.5
199003,37.8,1.5
199004,37.8,1.5
199005,37.7,1.4
199006,37.9,1.6
199007,37.8,1.5
199008,38.0,1.7
199009,38.4,2.1
199010,38.4,2.1
199011,38.3,2.0
199012,37.6,1.3
199101,37.2,0.9
199102,37.3,1.0
199103,36.8,0.5
199104,36.3,0.0
199105,36.2,-0.1
199106,36.0,-0.3
199107,36.0,-0.3
199108,36.1,-0.2
199109,35.8,-0.5
199110,36.0,-0.3
199111,36.0,-0.3
199112,36.6,0.3
199201,36.6,0.3
199202,36.9,0.6
199203,37.3,1.0
199204,38.1,1.8
199205,38.6,2.3
199206,38.5,2.2
199207,38.3,2.0
199208,38.3,2.0
199209,38.3,2.0
199210,38.4,2.1
199211,38.2,1.9
199212,37.9,1.6
199301,38.6,2.3
199302,38.3,2.0
199303,38.2,1.9
199304,37.6,1.3
199305,37.4,1.1
199306,37.3,1.0
199307,37.2,0.9
199308,37.0,0.7
199309,36.7,0.4
199310,36.4,0.1
199311,36.3,0.0
199312,36.7,0.4
199401,36.6,0.3
199402,36.4,0.1
199403,36.3,0.0
199404,36.5,0.2
199405,36.6,0.3
199406,37.1,0.8
199407,37.5,1.2
199408,37.9,1.6
199409,38.2,1.9
199410,38.3,2.0
199411,38.3,2.0
199412,38.5,2.2
199501,38.8,2.5
199502,39.5,3.2
199503,39.5,3.2
199504,39.3,3.0
199505,38.9,2.6
199506,38.2,1.9
199507,37.9,1.6
199508,37.8,1.5
199509,37.7,1.4
199510,37.5,1.2
199511,38.0,1.7
199512,38.1,1.8
199601,37.7,1.4
199602,37.4,1.1
199603,37.3,1.0
199604,37.3,1.0
199605,37.7,1.4
199606,38.2,1.9
199607,38.6,2.3
199608,38.5,2.2
199609,38.3,2.0
199610,38.4,2.1
199611,38.3,2.0
199612,38.2,1.9
199701,38.2,1.9
199702,37.7,1.4
199703,37.8,1.5
199704,37.7,1.4
199705,37.7,1.4
199706,37.6,1.3
199707,37.3,1.0
199708,37.2,0.9
199709,37.5,1.2
199710,37.5,1.2
199711,37.4,1.1
199712,37.2,0.9
199801,37.5,1.2
199802,37.8,1.5
199803,37.7,1.4
199804,37.7,1.4
199805,37.5,1.2
199806,37.0,0.7
199807,37.4,1.1
199808,37.5,1.2
199809,37.6,1.3
199810,37.7,1.4
199811,37.8,1.5
199812,37.7,1.4
199901,37.8,1.5
199902,37.7,1.4
199903,38.0,1.7
199904,37.9,1.6
199905,37.7,1.4
199906,38.0,1.7
199907,38.0,1.7
199908,37.8,1.5
199909,37.4,1.1
199910,37.3,1.0
199911,37.4,1.1
199912,37.5,1.2
200001,37.6,1.3
200002,37.9,1.6
200003,37.8,1.5
200004,38.4,2.1
200005,38.8,2.5
200006,39.0,2.7
200007,39.0,2.7
200008,39.3,3.0
200009,39.5,3.2
200010,39.7,3.4
200011,39.1,2.8
200012,39.3,3.0
200101,38.8,2.5
200102,38.4,2.1
200103,38.7,2.4
200104,38.6,2.3
200105,38.5,2.2
200106,38.4,2.1
200107,38.4,2.1
200108,38.3,2.0
200109,38.4,2.1
200110,38.4,2.1
200111,39.1,2.8
200112,38.6,2.3
