Emery County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.72,-3.91
199002,-3.35,-3.64
199003,-3.30,-3.54
199004,-3.44,-3.76
199005,-4.04,-4.36
199006,-4.35,-4.70
199007,-4.32,-4.56
199008,-4.53,-4.81
199009,-3.68,-4.13
199010,-3.59,-3.99
199011,-3.60,-3.87
199012,-3.57,-3.77
199101,-3.46,-3.65
199102,-3.64,-3.93
199103,-2.91,-3.15
199104,-2.58,-2.90
199105,-2.36,-2.68
199106,-2.54,-2.89
199107,-2.63,-2.87
199108,-0.04,-0.32
199109,0.94,0.49
199110,0.49,0.09
199111,0.58,0.31
199112,0.34,0.14
199201,0.13,-0.06
199202,0.56,0.27
199203,0.73,0.49
199204,-0.73,-1.05
199205,-0.07,-0.39
199206,-0.35,-0.70
199207,-0.27,-0.51
199208,-0.71,-0.99
199209,-1.08,-1.53
199210,-1.14,-1.54
199211,-0.02,-0.29
199212,0.17,-0.03
199301,1.38,1.19
199302,2.49,2.20
199303,2.63,2.39
199304,2.48,2.16
199305,3.13,2.81
199306,3.40,3.05
199307,-0.24,-0.48
199308,-0.32,-0.60
199309,-0.91,-1.36
199310,0.82,0.42
199311,0.98,0.71
199312,-0.36,-0.56
199401,-0.70,-0.89
199402,-0.57,-0.86
199403,-1.35,-1.59
199404,-1.19,-1.51
199405,-1.83,-2.15
199406,-2.54,-2.89
199407,-3.33,-3.57
199408,-3.25,-3.53
199409,0.41,-0.04
199410,0.90,0.50
199411,1.15,0.88
199412,1.12,0.92
199501,1.36,1.17
199502,0.63,0.34
199503,0.86,0.62
199504,1.59,1.27
199505,2.91,2.59
199506,3.36,3.01
199507,3.19,2.95
199508,3.38,3.10
199509,-0.20,-0.65
199510,-0.79,-1.19
199511,-1.33,-1.60
199512,-1.53,-1.73
199601,-1.23,-1.42
199602,-1.33,-1.62
199603,-1.26,-1.50
199604,-1.45,-1.77
199605,-1.79,-2.11
199606,-2.18,-2.53
199607,-2.81,-3.05
199608,-3.60,-3.88
199609,0.66,0.21
199610,0.64,0.24
199611,0.98,0.71
199612,0.83,0.63
199701,1.67,1.48
199702,1.59,1.30
199703,0.71,0.47
199704,1.34,1.02
199705,1.42,1.10
199706,1.91,1.56
199707,2.27,2.03
199708,3.21,2.93
199709,4.90,4.45
199710,4.24,3.84
199711,3.69,3.42
199712,2.92,2.72
199801,2.42,2.23
199802,2.91,2.62
199803,2.41,2.17
199804,2.44,2.12
199805,1.89,1.57
199806,2.00,1.65
199807,2.12,1.88
199808,1.39,1.11
199809,1.90,1.45
199810,2.31,1.91
199811,0.00,-0.27
199812,-0.47,-0.67
199901,-0.71,-0.90
199902,-1.01,-1.30
199903,-1.85,-2.09
199904,0.75,0.43
199905,0.49,0.17
199906,0.08,-0.27
199907,0.40,0.16
199908,1.39,1.11
199909,0.03,-0.42
199910,-0.87,-1.27
199911,-1.60,-1.87
199912,-1.80,-2.00
200001,-1.63,-1.82
200002,-1.38,-1.67
200003,-1.27,-1.51
200004,-1.95,-2.27
200005,-2.29,-2.61
200006,-2.57,-2.92
200007,-3.22,-3.46
200008,-3.20,-3.48
200009,-3.02,-3.47
200010,1.24,0.84
200011,1.08,0.81
200012,0.71,0.51
200101,1.02,0.83
200102,1.60,1.31
200103,1.42,1.18
200104,1.24,0.92
200105,1.34,1.02
200106,-0.07,-0.42
200107,-0.10,-0.34
200108,-0.32,-0.60
200109,-0.95,-1.40
200110,-1.49,-1.89
200111,-1.29,-1.56
200112,-1.40,-1.60
200201,-1.76,-1.95
200202,-2.08,-2.37
200203,-2.31,-2.55
200204,-2.93,-3.25
200205,-3.89,-4.21
200206,-4.69,-5.04
200207,-5.19,-5.43
200208,-5.53,-5.81
200209,-3.07,-3.52
200210,-2.68,-3.08
200211,-2.34,-2.61
200212,-2.40,-2.60
200301,-2.76,-2.95
200302,-2.34,-2.63
200303,-2.01,-2.25
200304,-2.11,-2.43
200305,-2.54,-2.86
200306,-3.07,-3.42
200307,-3.88,-4.12
200308,-3.51,-3.79
200309,-3.52,-3.97
200310,-3.87,-4.27
200311,-3.24,-3.51
200312,-2.63,-2.83
200401,-2.50,-2.69
200402,-1.62,-1.91
200403,-2.53,-2.77
200404,-1.84,-2.16
200405,-2.16,-2.48
200406,-1.91,-2.26
200407,-1.92,-2.16
200408,-2.35,-2.63
200409,0.14,-0.31
200410,1.08,0.68
200411,1.70,1.43
200412,1.68,1.48
200501,2.66,2.47
200502,2.99,2.70
200503,2.58,2.34
200504,2.52,2.20
200505,2.76,2.44
200506,4.06,3.71
200507,3.68,3.44
200508,3.43,3.15
200509,3.33,2.88
200510,3.20,2.80
200511,-0.36,-0.63
200512,-0.61,-0.81
200601,-0.54,-0.73
200602,-0.90,-1.19
200603,0.85,0.61
200604,-0.26,-0.58
200605,-1.09,-1.41
200606,-1.63,-1.98
200607,-2.00,-2.24
200608,0.00,-0.28
200609,0.28,-0.17
200610,2.88,2.48
200611,-0.30,-0.57
200612,-0.34,-0.54
200701,-0.49,-0.68
200702,-0.56,-0.85
200703,-1.05,-1.29
200704,-1.23,-1.55
200705,-1.41,-1.73
200706,-1.79,-2.14
200707,-2.12,-2.36
200708,-1.65,-1.93
200709,-1.16,-1.61
200710,-1.39,-1.79
200711,-1.97,-2.24
200712,0.80,0.60
200801,0.92,0.73
200802,1.37,1.08
200803,-0.30,-0.54
200804,-0.39,-0.71
200805,-0.20,-0.52
200806,-0.08,-0.43
200807,-0.66,-0.90
200808,-0.84,-1.12
200809,-1.20,-1.65
200810,-1.46,-1.86
200811,-1.62,-1.89
200812,-0.99,-1.19
200901,-1.11,-1.30
200902,-1.26,-1.55
200903,-1.56,-1.80
200904,-1.37,-1.69
200905,-1.23,-1.55
200906,-0.95,-1.30
200907,-1.75,-1.99
200908,-2.47,-2.75
200909,-2.45,-2.90
200910,-2.47,-2.87
200911,-2.86,-3.13
200912,0.19,-0.01
201001,0.77,0.58
201002,1.07,0.78
201003,1.20,0.96
201004,1.00,0.68
201005,0.84,0.52
201006,0.96,0.61
201007,0.95,0.71
201008,-0.11,-0.39
201009,-0.90,-1.35
201010,1.28,0.88
201011,1.16,0.89
201012,2.21,2.01
201101,1.68,1.49
201102,1.77,1.48
201103,1.47,1.23
201104,1.80,1.48
201105,2.82,2.50
201106,3.15,2.80
201107,4.38,4.14
201108,-0.26,-0.54
201109,-0.21,-0.66
201110,-0.14,-0.54
201111,-0.32,-0.59
201112,-0.65,-0.85
201201,-0.85,-1.04
201202,-0.85,-1.14
201203,-1.60,-1.84
201204,-2.59,-2.91
201205,-3.61,-3.93
201206,-4.45,-4.80
201207,-3.76,-4.00
201208,-3.99,-4.27
201209,-3.74,-4.19
201210,-3.65,-4.05
201211,-3.95,-4.22
201212,-3.30,-3.50
201301,-3.13,-3.32
201302,-3.11,-3.40
201303,-3.06,-3.30
201304,-2.49,-2.81
201305,-2.53,-2.85
201306,-3.28,-3.63
201307,0.00,-0.24
201308,0.40,0.12
201309,2.47,2.02
201310,-0.12,-0.52
201311,0.15,-0.12
201312,-0.27,-0.47
201401,-0.55,-0.74
201402,-0.87,-1.16
201403,-1.28,-1.52
201404,-1.52,-1.84
201405,-1.65,-1.97
201406,-2.49,-2.84
201407,-2.42,-2.66
201408,0.80,0.52
201409,1.75,1.30
201410,-0.81,-1.21
201411,-1.00,-1.27
201412,-0.86,-1.06
201501,-0.63,-0.82
201502,-1.31,-1.60
201503,-2.00,-2.24
201504,-2.28,-2.60
201505,0.66,0.34
201506,0.77,0.42
201507,1.26,1.02
201508,1.29,1.01
201509,0.61,0.16
201510,1.20,0.80
201511,1.10,0.83
201512,1.13,0.93
201601,0.00,-0.19
201602,-0.35,-0.64
201603,-0.91,-1.15
201604,-0.76,-1.08
201605,-0.96,-1.28
201606,-1.74,-2.09
201607,-2.07,-2.31
201608,-2.41,-2.69
201609,1.33,0.88
201610,0.76,0.36
201611,0.27,0.00
201612,0.53,0.33
201701,1.26,1.07
201702,-0.23,-0.52
201703,-0.73,-0.97
201704,-0.92,-1.24
201705,-1.31,-1.63
201706,-1.89,-2.24
201707,-1.36,-1.60
201708,-1.82,-2.10
201709,-1.34,-1.79
201710,-1.79,-2.19
201711,-2.39,-2.66
201712,-2.68,-2.88
201801,-2.72,-2.91
201802,-2.82,-3.11
201803,-3.04,-3.28
201804,-3.58,-3.90
201805,-3.84,-4.16
201806,-4.76,-5.11
201807,-4.77,-5.01
201808,-4.70,-4.98
201809,-5.23,-5.68
201810,1.90,1.50
201811,1.63,1.36
201812,1.32,1.12
201901,1.39,1.20
201902,2.34,2.05
201903,3.19,2.95
201904,2.97,2.65
201905,4.52,4.20
201906,5.46,5.11
201907,5.25,5.01
