Emery County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.72,-4.15
199002,-3.35,-3.82
199003,-3.30,-3.72
199004,-3.44,-3.90
199005,-4.04,-4.47
199006,-4.35,-4.77
199007,-4.32,-4.77
199008,-4.53,-4.99
199009,-3.68,-4.23
199010,-3.59,-4.13
199011,-3.60,-4.12
199012,-3.57,-3.97
199101,-3.46,-3.89
199102,-3.64,-4.11
199103,-2.91,-3.33
199104,-2.58,-3.04
199105,-2.36,-2.79
199106,-2.54,-2.96
199107,-2.63,-3.08
199108,-2.40,-2.86
199109,-1.22,-1.77
199110,-1.45,-1.99
199111,-1.15,-1.67
199112,-1.22,-1.62
199201,-1.27,-1.70
199202,-0.69,-1.16
199203,0.73,0.31
199204,-0.73,-1.19
199205,-0.07,-0.50
199206,-0.35,-0.77
199207,-0.27,-0.72
199208,-0.71,-1.17
199209,-1.08,-1.63
199210,-1.14,-1.68
199211,-1.04,-1.56
199212,-0.76,-1.16
199301,1.38,0.95
199302,2.49,2.02
199303,2.63,2.21
199304,2.48,2.02
199305,3.13,2.70
199306,3.40,2.98
199307,2.81,2.36
199308,2.41,1.95
199309,1.54,0.99
199310,2.21,1.67
199311,2.22,1.70
199312,1.63,1.23
199401,1.09,0.66
199402,1.03,0.56
199403,-1.35,-1.77
199404,-1.19,-1.65
199405,-1.83,-2.26
199406,-2.54,-2.96
199407,-3.33,-3.78
199408,-3.25,-3.71
199409,-2.51,-3.06
199410,-1.72,-2.26
199411,-1.19,-1.71
199412,-0.99,-1.39
199501,1.36,0.93
199502,0.63,0.16
199503,0.86,0.44
199504,1.59,1.13
199505,2.91,2.48
199506,3.36,2.94
199507,3.19,2.74
199508,3.38,2.92
199509,2.83,2.28
199510,1.92,1.38
199511,1.11,0.59
199512,0.66,0.26
199601,0.73,0.30
199602,-1.33,-1.80
199603,-1.26,-1.68
199604,-1.45,-1.91
199605,-1.79,-2.22
199606,-2.18,-2.60
199607,-2.81,-3.26
199608,-3.60,-4.06
199609,-2.56,-3.11
199610,-2.26,-2.80
199611,-1.61,-2.13
199612,-1.50,-1.90
199701,1.67,1.24
199702,1.59,1.12
199703,0.71,0.29
199704,1.34,0.88
199705,1.42,0.99
199706,1.91,1.49
199707,2.27,1.82
199708,3.21,2.75
199709,4.90,4.35
199710,4.24,3.70
199711,3.69,3.17
199712,2.92,2.52
199801,2.42,1.99
199802,2.91,2.44
199803,2.41,1.99
199804,2.44,1.98
199805,1.89,1.46
199806,2.00,1.58
199807,2.12,1.67
199808,1.39,0.93
199809,1.90,1.35
199810,2.31,1.77
199811,2.07,1.55
199812,1.39,0.99
199901,0.96,0.53
199902,-1.01,-1.48
199903,-1.85,-2.27
199904,-0.91,-1.37
199905,-1.00,-1.43
199906,-1.26,-1.68
199907,-0.80,-1.25
199908,1.39,0.93
199909,1.27,0.72
199910,-0.87,-1.41
199911,-1.60,-2.12
199912,-1.80,-2.20
200001,-1.63,-2.06
