Emery County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.72,-4.01
199002,-3.30,-3.69
199003,-3.30,-3.63
199004,-3.44,-3.84
199005,-4.04,-4.42
199006,-4.35,-4.72
199007,-4.32,-4.71
199008,-4.53,-4.90
199009,-3.18,-3.64
199010,-3.37,-3.86
199011,-3.60,-4.02
199012,-3.57,-3.86
199101,-3.46,-3.75
199102,-3.64,-4.03
199103,-2.43,-2.76
199104,-2.02,-2.42
199105,-1.81,-2.19
199106,-2.41,-2.78
199107,-2.63,-3.02
199108,-2.39,-2.76
199109,0.07,-0.39
199110,-0.61,-1.10
199111,-0.12,-0.54
199112,-0.40,-0.69
199201,-0.62,-0.91
199202,0.42,0.03
199203,0.73,0.40
199204,-0.73,-1.13
199205,0.58,0.20
199206,-0.35,-0.72
199207,-0.27,-0.66
199208,-0.71,-1.08
199209,-1.08,-1.54
199210,-1.14,-1.63
199211,-0.97,-1.39
199212,-0.24,-0.53
199301,1.38,1.09
199302,2.49,2.10
199303,2.63,2.30
199304,2.48,2.08
199305,3.13,2.75
199306,3.40,3.03
199307,2.46,2.07
199308,1.88,1.51
199309,0.25,-0.21
199310,1.83,1.34
199311,2.03,1.61
199312,0.95,0.66
199401,-0.07,-0.36
199402,-0.05,-0.44
199403,-1.35,-1.68
199404,-1.07,-1.47
199405,-1.83,-2.21
199406,-2.54,-2.91
199407,-3.33,-3.72
199408,-3.25,-3.62
199409,-1.96,-2.42
199410,-0.48,-0.97
199411,0.43,0.01
199412,0.66,0.37
199501,1.36,1.07
199502,-0.45,-0.84
199503,0.24,-0.09
199504,1.59,1.19
199505,2.91,2.53
199506,3.36,2.99
199507,3.19,2.80
199508,3.38,3.01
199509,2.53,2.07
199510,0.84,0.35
199511,-0.69,-1.11
199512,-1.42,-1.71
199601,-1.06,-1.35
199602,-1.33,-1.72
199603,-1.26,-1.59
199604,-1.45,-1.85
199605,-1.79,-2.17
199606,-2.18,-2.55
199607,-2.81,-3.20
199608,-3.60,-3.97
199609,-1.72,-2.18
199610,-1.33,-1.82
199611,-0.20,-0.62
199612,-0.18,-0.47
199701,1.67,1.38
199702,1.59,1.20
199703,-0.47,-0.80
199704,1.16,0.76
199705,1.42,1.04
199706,1.91,1.54
199707,2.27,1.88
199708,3.21,2.84
199709,4.90,4.44
199710,4.00,3.51
199711,3.27,2.85
199712,2.02,1.73
199801,1.27,0.98
199802,2.51,2.12
199803,1.77,1.44
199804,2.02,1.62
199805,1.12,0.74
199806,1.50,1.13
199807,1.87,1.48
199808,0.49,0.12
199809,1.69,1.23
199810,2.31,1.82
199811,2.00,1.58
199812,0.64,0.35
199901,-0.19,-0.48
199902,-1.01,-1.40
199903,-1.85,-2.18
199904,0.24,-0.16
199905,-0.12,-0.50
199906,-0.80,-1.17
199907,0.09,-0.30
199908,1.39,1.02
199909,1.24,0.78
199910,-0.87,-1.36
199911,-1.60,-2.02
199912,-1.80,-2.09
200001,-1.57,-1.86
200002,-1.14,-1.53
200003,-1.00,-1.33
200004,-1.95,-2.35
200005,-2.29,-2.67
