Emery County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-0.88,-1.04
199002,-0.02,-0.27
199003,-0.90,-0.93
199004,-1.44,-1.64
199005,-2.87,-3.01
199006,-2.17,-2.29
199007,-1.25,-1.41
199008,-1.95,-2.17
199009,1.15,0.77
199010,-0.88,-1.00
199011,-1.14,-1.15
199012,-1.01,-0.92
199101,-0.77,-0.93
199102,-1.60,-1.85
199103,1.06,1.03
199104,0.09,-0.11
199105,-0.14,-0.28
199106,-1.28,-1.40
199107,-1.06,-1.22
199108,-0.13,-0.35
199109,2.81,2.43
199110,-1.06,-1.18
199111,0.44,0.43
199112,-0.56,-0.47
199201,-0.53,-0.69
199202,1.34,1.09
199203,0.69,0.66
199204,-2.18,-2.38
199205,1.74,1.60
199206,-0.85,-0.97
199207,0.12,-0.04
199208,-1.39,-1.61
199209,-1.32,-1.70
199210,-0.51,-0.63
199211,-0.06,-0.07
199212,0.52,0.61
199301,3.68,3.52
199302,3.75,3.50
199303,1.19,1.16
199304,0.36,0.16
199305,2.73,2.59
199306,1.76,1.64
199307,-0.72,-0.88
199308,-0.32,-0.54
199309,-1.85,-2.23
199310,2.46,2.34
199311,0.72,0.71
199312,-1.07,-0.98
199401,-1.12,-1.28
199402,0.15,-0.10
199403,-2.50,-2.53
199404,0.06,-0.14
199405,-2.29,-2.43
199406,-2.69,-2.81
199407,-3.17,-3.33
199408,-0.78,-1.00
199409,1.22,0.84
199410,1.60,1.48
199411,1.04,1.03
199412,0.25,0.34
199501,1.06,0.90
199502,-1.76,-2.01
199503,0.87,0.84
199504,2.48,2.28
199505,4.45,4.31
199506,2.23,2.11
199507,0.54,0.38
199508,1.54,1.32
199509,-0.59,-0.97
199510,-1.85,-1.97
199511,-1.84,-1.85
199512,-1.02,-0.93
199601,0.42,0.26
199602,-0.67,-0.92
199603,-0.20,-0.23
199604,-0.95,-1.15
199605,-1.49,-1.63
199606,-1.71,-1.83
199607,-2.56,-2.72
199608,-3.23,-3.45
199609,1.99,1.61
199610,0.12,0.00
199611,1.24,1.23
199612,-0.17,-0.08
199701,2.80,2.64
199702,0.27,0.02
199703,-2.15,-2.18
199704,2.10,1.90
199705,0.67,0.53
199706,1.89,1.77
199707,1.68,1.52
199708,3.51,3.29
199709,6.07,5.69
199710,-0.48,-0.60
199711,-0.33,-0.34
199712,-1.16,-1.07
199801,-0.61,-0.77
199802,2.22,1.97
199803,-0.58,-0.61
199804,0.83,0.63
199805,-0.89,-1.03
199806,0.91,0.79
199807,0.97,0.81
199808,-1.53,-1.75
199809,1.94,1.56
199810,1.83,1.71
199811,-0.01,-0.02
199812,-1.39,-1.30
199901,-0.87,-1.03
199902,-1.11,-1.36
199903,-2.85,-2.88
199904,2.26,2.06
199905,-0.56,-0.70
199906,-1.07,-1.19
199907,0.97,0.81
199908,3.10,2.88
199909,0.09,-0.29
199910,-2.61,-2.73
199911,-2.45,-2.46
199912,-1.12,-1.03
200001,-0.03,-0.19
200002,0.23,-0.02
200003,-0.09,-0.12
200004,-2.42,-2.62
200005,-1.62,-1.76
200006,-1.56,-1.68
200007,-2.73,-2.89
200008,-0.94,-1.16
200009,-0.46,-0.84
200010,3.72,3.60
200011,-0.11,-0.12
200012,-0.76,-0.67
200101,1.15,0.99
200102,2.07,1.82
200103,-0.05,-0.08
200104,-0.10,-0.30
200105,0.67,0.53
200106,-0.20,-0.32
200107,-0.13,-0.29
200108,-0.69,-0.91
200109,-1.98,-2.36
200110,-1.93,-2.05
200111,0.14,0.13
200112,-0.72,-0.63
200201,-1.50,-1.66
200202,-1.52,-1.77
200203,-1.32,-1.35
200204,-2.59,-2.79
200205,-3.78,-3.92
200206,-3.59,-3.71
200207,-2.96,-3.12
200208,-2.62,-2.84
200209,5.67,5.29
200210,0.22,0.10
200211,0.20,0.19
200212,-0.90,-0.81
200301,-1.82,-1.98
200302,0.39,0.14
200303,0.26,0.23
200304,-0.91,-1.11
200305,-1.94,-2.08
200306,-2.38,-2.50
200307,-3.39,-3.55
200308,-0.07,-0.29
200309,-1.12,-1.50
