Emery County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,5.64,-3.74
199002,5.89,-3.50
199003,6.13,-3.26
199004,6.67,-2.71
199005,6.48,-2.91
199006,6.71,-2.68
199007,6.71,-2.68
199008,5.84,-3.56
199009,6.71,-2.68
199010,7.02,-2.39
199011,7.09,-2.31
199012,7.36,-2.05
199101,7.37,-2.01
199102,6.88,-2.51
199103,7.26,-2.13
199104,7.01,-2.37
199105,7.80,-1.59
199106,7.81,-1.58
199107,7.74,-1.65
199108,8.35,-1.05
199109,8.81,-0.58
199110,8.88,-0.53
199111,9.40,0.00
199112,9.51,0.10
199201,9.53,0.15
199202,10.50,1.11
199203,10.63,1.24
199204,10.47,1.09
199205,11.26,1.87
199206,11.07,1.68
199207,11.23,1.84
199208,10.76,1.36
199209,9.36,-0.03
199210,9.66,0.25
199211,9.35,-0.05
199212,9.76,0.35
199301,11.26,1.88
199302,11.81,2.42
199303,11.74,2.35
199304,11.97,2.59
199305,11.23,1.84
199306,11.22,1.83
199307,10.43,1.04
199308,10.63,1.23
199309,10.35,0.96
199310,11.25,1.84
199311,11.49,2.09
199312,10.84,1.43
199401,9.09,-0.29
199402,8.00,-1.39
199403,6.93,-2.46
199404,7.72,-1.66
199405,6.95,-2.44
199406,6.75,-2.64
199407,6.79,-2.60
199408,6.98,-2.42
199409,8.17,-1.22
199410,7.84,-1.57
199411,7.97,-1.43
199412,8.48,-0.93
199501,9.25,-0.13
199502,8.95,-0.44
199503,10.09,0.70
199504,10.19,0.81
199505,11.80,2.41
199506,12.53,3.14
199507,13.05,3.66
199508,13.60,4.20
199509,12.90,3.51
199510,11.56,2.15
199511,10.99,1.59
199512,10.62,1.21
199601,10.51,1.13
199602,10.77,1.38
199603,10.36,0.97
199604,9.26,-0.12
199605,8.18,-1.21
199606,7.87,-1.52
199607,7.57,-1.82
199608,6.14,-3.26
199609,6.96,-2.43
199610,7.70,-1.71
199611,8.62,-0.78
199612,8.84,-0.57
199701,9.60,0.22
199702,9.52,0.13
199703,8.73,-0.66
199704,9.94,0.56
199705,9.87,0.48
199706,10.38,0.99
199707,11.24,1.85
199708,13.26,3.86
199709,14.67,5.28
199710,14.44,5.03
199711,13.80,4.40
199712,13.48,4.07
199801,12.32,2.94
199802,13.23,3.84
199803,13.72,4.33
199804,13.00,3.62
199805,12.61,3.22
