Garfield County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,49.4,2.1
199002,49.7,2.3
199003,49.5,2.2
199004,49.2,1.8
199005,49.0,1.6
199006,49.3,1.9
199007,49.2,1.8
199008,49.2,1.8
199009,49.4,2.0
199010,49.5,2.1
199011,49.3,1.9
199012,48.6,1.2
199101,48.2,0.9
199102,48.6,1.2
199103,48.0,0.7
199104,47.5,0.1
199105,47.3,-0.1
199106,46.9,-0.5
199107,46.9,-0.5
199108,46.9,-0.5
199109,46.8,-0.6
199110,47.0,-0.4
199111,46.8,-0.6
199112,47.2,-0.2
199201,47.3,0.0
199202,47.1,-0.3
199203,47.6,0.3
199204,48.4,1.0
199205,48.8,1.4
199206,48.8,1.4
199207,48.6,1.2
199208,48.6,1.2
199209,48.6,1.2
199210,48.7,1.3
199211,48.5,1.1
199212,48.2,0.8
199301,48.5,1.2
199302,48.2,0.8
199303,48.3,1.0
199304,47.7,0.3
199305,47.6,0.2
199306,47.5,0.1
199307,47.6,0.2
199308,47.5,0.1
199309,47.3,-0.1
199310,46.9,-0.5
199311,47.0,-0.4
199312,47.4,0.0
199401,47.6,0.3
199402,47.5,0.1
199403,47.7,0.4
199404,47.8,0.4
199405,47.8,0.4
199406,48.4,1.0
199407,48.8,1.4
199408,49.2,1.8
199409,49.3,1.9
199410,49.3,1.9
199411,49.1,1.7
199412,49.2,1.8
199501,49.1,1.8
199502,50.0,2.6
199503,49.7,2.4
199504,49.4,2.0
199505,48.9,1.5
199506,48.1,0.7
199507,47.8,0.4
199508,47.8,0.4
199509,47.8,0.4
199510,48.0,0.6
199511,48.9,1.5
199512,49.2,1.8
199601,49.4,2.1
199602,49.1,1.7
199603,49.2,1.9
199604,49.5,2.1
199605,50.2,2.8
199606,50.8,3.4
199607,51.2,3.8
199608,51.2,3.8
199609,50.9,3.5
199610,50.6,3.2
199611,50.2,2.8
199612,50.1,2.7
199701,49.9,2.6
199702,49.4,2.0
199703,49.6,2.3
199704,49.2,1.8
199705,49.2,1.8
199706,48.9,1.5
199707,48.5,1.1
199708,48.3,0.9
199709,48.4,1.0
199710,48.5,1.1
199711,48.5,1.1
199712,48.2,0.8
199801,48.5,1.2
199802,48.5,1.1
199803,48.1,0.8
199804,48.0,0.6
199805,47.7,0.3
199806,47.3,-0.1
199807,47.5,0.1
199808,47.8,0.4
199809,47.8,0.4
199810,47.8,0.4
199811,47.7,0.3
199812,47.9,0.5
199901,48.0,0.7
199902,48.4,1.0
199903,48.8,1.5
199904,48.6,1.2
199905,48.6,1.2
199906,48.9,1.5
199907,48.7,1.3
199908,48.3,0.9
199909,48.2,0.8
199910,48.6,1.2
199911,48.9,1.5
199912,49.0,1.6
200001,48.9,1.6
200002,48.9,1.5
200003,48.6,1.3
200004,49.4,2.0
200005,50.0,2.6
200006,50.4,3.0
200007,50.6,3.2
200008,51.1,3.7
200009,51.3,3.9
200010,51.0,3.6
200011,50.1,2.7
200012,50.3,2.9
200101,49.9,2.6
200102,49.6,2.2
200103,49.8,2.5
200104,49.4,2.0
200105,49.3,1.9
200106,49.2,1.8
200107,49.0,1.6
200108,48.9,1.5
200109,49.0,1.6
200110,49.4,2.0
200111,50.1,2.7
200112,49.6,2.2
200201,49.7,2.4
200202,49.6,2.2
200203,49.3,2.0
200204,49.6,2.2
200205,49.4,2.0
200206,49.6,2.2
200207,50.0,2.6
200208,50.0,2.6
200209,49.7,2.3
200210,49.2,1.8
200211,49.0,1.6
200212,49.2,1.8
200301,49.9,2.6
200302,50.0,2.6
200303,50.2,2.9
200304,49.7,2.3
