Garfield County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,427,73
199002,427,73
199003,427,73
199004,427,73
199005,418,63
199006,477,123
199007,422,67
199008,439,83
199009,457,101
199010,457,101
199011,457,101
199012,457,101
199101,457,103
199102,457,103
199103,457,103
199104,457,103
199105,457,102
199106,380,26
199107,378,23
199108,399,43
199109,382,26
199110,382,26
199111,382,26
199112,382,26
199201,382,28
199202,382,28
199203,382,28
199204,387,33
199205,398,43
199206,405,51
199207,327,-28
199208,319,-37
199209,324,-32
199210,324,-32
199211,324,-32
199212,324,-32
199301,324,-30
199302,324,-30
199303,324,-30
199304,319,-35
199305,316,-39
199306,300,-54
199307,316,-39
199308,280,-76
199309,270,-86
199310,270,-86
199311,270,-86
199312,270,-86
199401,270,-84
199402,270,-84
199403,270,-84
199404,270,-84
199405,271,-84
199406,394,40
199407,522,167
199408,654,298
199409,666,310
199410,666,310
199411,666,310
199412,666,310
199501,666,312
199502,666,312
199503,666,312
199504,666,312
199505,657,302
199506,517,163
199507,409,54
199508,386,30
199509,390,34
199510,390,34
199511,390,34
199512,390,34
199601,390,36
199602,390,36
199603,390,36
199604,390,36
199605,409,54
199606,517,163
199607,649,294
199608,644,288
199609,620,264
199610,620,264
199611,620,264
199612,620,264
199701,620,266
199702,620,266
199703,620,266
199704,620,266
199705,616,261
199706,562,208
199707,431,76
199708,346,-10
199709,356,0
199710,356,0
199711,356,0
199712,356,0
199801,356,2
199802,356,2
199803,356,2
199804,356,2
199805,341,-14
199806,292,-62
199807,372,17
199808,449,93
199809,451,95
199810,451,95
199811,451,95
199812,451,95
199901,451,97
199902,451,97
199903,451,97
199904,451,97
199905,451,96
199906,484,130
199907,423,68
199908,319,-37
199909,310,-46
199910,310,-46
199911,310,-46
199912,310,-46
200001,310,-44
200002,310,-44
200003,310,-44
200004,310,-44
200005,338,-17
200006,402,48
200007,484,129
200008,610,254
200009,629,273
200010,629,273
200011,629,273
200012,629,273
200101,629,275
200102,629,275
200103,629,275
200104,629,275
200105,621,266
200106,604,250
200107,538,183
200108,487,131
200109,511,155
200110,511,155
200111,511,155
200112,511,155
200201,511,157
200202,511,157
200203,511,157
200204,511,157
200205,500,145
200206,548,194
200207,679,324
200208,697,341
200209,659,303
200210,659,303
200211,659,303
200212,659,303
200301,659,305
200302,659,305
200303,659,305
200304,659,305
200305,662,307
200306,605,251
200307,644,289
200308,663,307
200309,680,324
200310,687,331
200311,687,331
200312,687,331
200401,687,333
200402,687,333
200403,687,333
200404,687,333
200405,687,332
200406,679,325
200407,515,160
200408,433,77
200409,412,56
200410,405,49
200411,405,49
200412,405,49
200501,405,51
200502,405,51
200503,405,51
200504,405,51
200505,402,47
200506,349,-5
200507,442,87
200508,415,59
200509,421,65
200510,421,65
200511,421,65
200512,421,65
200601,421,67
200602,421,67
200603,421,67
200604,421,67
200605,432,77
200606,540,186
200607,521,166
200608,560,204
200609,543,187
200610,543,187
200611,543,187
200612,543,187
200701,543,189
200702,543,189
200703,543,189
200704,543,189
200705,535,180
200706,514,160
200707,550,195
200708,624,268
200709,645,289
200710,645,289
200711,645,289
200712,645,289
200801,645,291
200802,645,291
200803,645,291
200804,645,291
200805,633,278
200806,596,242
200807,549,194
200808,540,184
200809,544,188
200810,544,188
200811,544,188
200812,544,188
200901,544,190
200902,544,190
200903,544,190
200904,544,190
200905,569,214
200906,520,166
200907,519,164
200908,475,119
200909,486,130
200910,486,130
200911,486,130
200912,486,130
201001,486,132
201002,486,132
201003,486,132
201004,486,132
201005,461,106
201006,516,162
201007,489,134
201008,437,81
201009,446,90
201010,446,90
201011,446,90
201012,446,90
201101,446,92
201102,446,92
201103,446,92
201104,446,92
201105,446,91
201106,419,65
201107,374,19
201108,484,128
201109,466,110
201110,466,110
201111,466,110
201112,466,110
201201,466,112
201202,466,112
201203,466,112
201204,466,112
201205,485,130
201206,577,223
201207,597,242
201208,592,236
201209,603,247
201210,603,247
201211,603,247
201212,603,247
201301,603,249
201302,603,249
201303,603,249
201304,603,249
201305,591,236
201306,594,240
201307,641,286
201308,567,211
201309,545,189
201310,545,189
201311,545,189
201312,545,189
201401,545,191
201402,545,191
201403,545,191
201404,545,191
201405,544,189
201406,484,130
201407,496,141
201408,453,97
201409,481,125
201410,481,125
201411,481,125
201412,481,125
201501,481,127
201502,481,127
201503,481,127
201504,481,127
201505,475,120
201506,509,155
201507,384,29
201508,454,98
201509,470,114
201510,470,114
201511,470,114
201512,470,114
201601,470,116
201602,470,116
201603,470,116
201604,470,116
201605,470,115
201606,522,168
201607,615,260
201608,575,219
201609,527,171
201610,527,171
201611,527,171
201612,527,171
201701,527,173
201702,527,173
201703,527,173
201704,527,173
201705,534,179
201706,520,166
201707,553,198
201708,603,247
201709,607,251
201710,607,251
201711,607,251
201712,607,251
201801,607,253
201802,607,253
201803,607,253
201804,607,253
201805,614,259
201806,607,253
201807,646,291
201808,693,337
201809,744,388
201810,744,388
201811,744,388
201812,744,388
201901,744,390
201902,744,390
201903,744,390
201904,744,390
201905,730,375
201906,623,269
201907,536,181
201908,548,192
201909,523,167
201910,523,167
201911,523,167
201912,523,167
202001,523,169
202002,523,169
202003,523,169
202004,523,169
202005,544,189
202006,578,224
202007,595,240
202008,684,328
202009,685,329
202010,685,329
202011,685,329
202012,685,329
202101,685,331
202102,685,331
202103,685,331
202104,685,331
202105,674,319
202106,765,411
202107,823,468
202108,683,327
202109,688,332
202110,688,332
202111,688,332
202112,688,332
202201,688,334
202202,688,334
202203,688,334
202204,688,334
202205,687,332
202206,623,269
202207,595,240
202208,595,239
202209,626,270
