Garfield County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,6085,-680
199002,5995,-769
199003,6064,-701
199004,6148,-614
199005,6218,-543
199006,6165,-596
199007,6165,-596
199008,6158,-603
199009,6117,-642
199010,6094,-664
199011,6165,-596
199012,6427,-333
199101,6556,-209
199102,6438,-326
199103,6650,-115
199104,6844,82
199105,6894,133
199106,6970,209
199107,6970,209
199108,6965,204
199109,7001,242
199110,6939,181
199111,6986,225
199112,6833,73
199201,6819,54
199202,6871,107
199203,6702,-63
199204,6415,-347
199205,6278,-483
199206,6268,-493
199207,6281,-480
199208,6283,-478
199209,6268,-491
199210,6240,-518
199211,6335,-426
199212,6435,-325
199301,6315,-450
199302,6420,-344
199303,6398,-367
199304,6582,-180
199305,6612,-149
199306,6635,-126
199307,6631,-130
199308,6644,-117
199309,6677,-82
199310,6831,73
199311,6799,38
199312,6667,-93
199401,6591,-174
199402,6609,-155
199403,6552,-213
199404,6524,-238
199405,6516,-245
199406,6410,-351
199407,6401,-360
199408,6375,-386
199409,6339,-420
199410,6349,-409
199411,6410,-351
199412,6370,-390
199501,6437,-328
199502,6138,-626
199503,6236,-529
199504,6328,-434
199505,6500,-261
199506,6649,-112
199507,6655,-106
199508,6655,-106
199509,6648,-111
199510,6560,-198
199511,6233,-528
199512,6132,-628
199601,6062,-703
199602,6159,-605
199603,6129,-636
199604,6035,-727
199605,5794,-967
199606,5659,-1102
199607,5653,-1108
199608,5653,-1108
199609,5743,-1016
199610,5837,-921
199611,5979,-782
199612,6042,-718
199701,6111,-654
199702,6280,-484
199703,6204,-561
199704,6328,-434
199705,6347,-414
199706,6392,-369
199707,6398,-363
199708,6416,-345
199709,6360,-399
199710,6343,-415
199711,6344,-417
199712,6431,-329
199801,6330,-435
199802,6346,-418
199803,6493,-272
199804,6502,-260
199805,6635,-126
199806,6711,-50
199807,6705,-56
199808,6687,-74
199809,6682,-77
199810,6702,-56
199811,6704,-57
199812,6666,-94
199901,6620,-145
199902,6482,-282
199903,6337,-428
199904,6389,-373
199905,6395,-366
199906,6337,-424
199907,6337,-424
199908,6369,-392
199909,6410,-349
199910,6263,-495
199911,6138,-623
199912,6127,-633
200001,6153,-612
200002,6141,-623
200003,6270,-495
200004,5962,-800
200005,5768,-993
200006,5709,-1052
200007,5709,-1052
200008,5677,-1084
200009,5611,-1148
200010,5711,-1047
