Garfield County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,62.7,3.0
199002,63.0,3.3
199003,62.7,3.0
199004,62.3,2.6
199005,62.1,2.4
199006,62.4,2.7
199007,62.1,2.4
199008,62.2,2.5
199009,62.1,2.4
199010,62.2,2.5
199011,61.8,2.1
199012,61.0,1.3
199101,60.6,0.9
199102,61.0,1.3
199103,60.4,0.7
199104,59.9,0.2
199105,59.8,0.1
199106,59.3,-0.4
199107,59.3,-0.4
199108,59.4,-0.3
199109,59.3,-0.4
199110,59.5,-0.2
199111,59.2,-0.5
199112,59.5,-0.2
199201,59.5,-0.2
199202,59.2,-0.5
199203,59.6,-0.1
199204,60.5,0.8
199205,60.8,1.1
199206,60.8,1.1
199207,60.5,0.8
199208,60.5,0.8
199209,60.6,0.9
199210,60.7,1.0
199211,60.5,0.8
199212,60.2,0.5
199301,60.4,0.7
199302,60.0,0.3
199303,60.2,0.5
199304,59.6,-0.1
199305,59.6,-0.1
199306,59.5,-0.2
199307,59.7,0.0
199308,59.5,-0.2
199309,59.5,-0.2
199310,59.0,-0.7
199311,59.1,-0.6
199312,59.6,-0.1
199401,60.0,0.3
199402,60.1,0.4
199403,60.4,0.7
199404,60.4,0.7
199405,60.4,0.7
199406,61.1,1.4
199407,61.5,1.8
199408,61.9,2.2
199409,61.9,2.2
199410,61.9,2.2
199411,61.6,1.9
199412,61.5,1.8
199501,61.1,1.4
199502,62.1,2.4
199503,61.7,2.0
199504,61.4,1.7
199505,60.8,1.1
199506,59.9,0.2
199507,59.6,-0.1
199508,59.5,-0.2
199509,59.6,-0.1
199510,60.1,0.4
199511,61.3,1.6
199512,61.8,2.1
199601,62.2,2.5
199602,61.9,2.2
199603,62.1,2.4
199604,62.6,2.9
199605,63.6,3.9
199606,64.4,4.7
199607,64.7,5.0
199608,64.7,5.0
199609,64.3,4.6
199610,63.9,4.2
199611,63.3,3.6
199612,62.9,3.2
199701,62.5,2.8
199702,62.0,2.3
199703,62.2,2.5
199704,61.7,2.0
199705,61.6,1.9
199706,61.2,1.5
199707,60.9,1.2
199708,60.4,0.7
199709,60.4,0.7
199710,60.5,0.8
199711,60.5,0.8
199712,60.3,0.6
199801,60.7,1.0
199802,60.5,0.8
199803,60.0,0.3
199804,59.9,0.2
199805,59.4,-0.3
199806,59.2,-0.5
199807,59.4,-0.3
199808,59.7,0.0
199809,59.8,0.1
199810,59.6,-0.1
199811,59.6,-0.1
199812,59.8,0.1
199901,59.9,0.2
199902,60.6,0.9
199903,61.1,1.4
199904,61.0,1.3
199905,61.0,1.3
199906,61.2,1.5
199907,61.0,1.3
199908,60.5,0.8
199909,60.5,0.8
199910,61.3,1.6
199911,61.9,2.2
199912,62.0,2.3
200001,61.8,2.1
200002,61.7,2.0
200003,61.3,1.6
200004,62.3,2.6
200005,63.0,3.3
200006,63.4,3.7
200007,63.8,4.1
200008,64.3,4.6
200009,64.6,4.9
200010,63.9,4.2
200011,62.7,3.0
200012,62.8,3.1
200101,62.4,2.7
200102,62.1,2.4
200103,62.2,2.5
200104,61.6,1.9
200105,61.5,1.8
200106,61.5,1.8
200107,61.2,1.5
200108,61.1,1.4
200109,61.3,1.6
200110,61.9,2.2
200111,62.7,3.0
200112,62.2,2.5
200201,62.3,2.6
200202,62.6,2.9
200203,62.5,2.8
200204,63.0,3.3
200205,62.9,3.2
200206,63.1,3.4
200207,63.5,3.8
200208,63.7,4.0
200209,63.2,3.5
200210,62.6,2.9
200211,62.4,2.7
200212,62.6,2.9
200301,63.3,3.6
200302,63.1,3.4
200303,63.2,3.5
200304,62.5,2.8
200305,62.5,2.8
200306,62.1,2.4
200307,62.3,2.6
200308,62.2,2.5
200309,62.5,2.8
200310,63.4,3.7
200311,63.1,3.4
200312,63.2,3.5
200401,62.4,2.7
200402,62.1,2.4
200403,62.8,3.1
200404,62.9,3.2
200405,62.9,3.2
200406,62.8,3.1
200407,62.3,2.6
200408,62.1,2.4
200409,61.8,2.1
200410,60.9,1.2
200411,60.8,1.1
200412,60.8,1.1
200501,61.2,1.5
200502,61.6,1.9
200503,60.9,1.2
200504,60.9,1.2
200505,60.7,1.0
200506,60.3,0.6
200507,60.7,1.0
200508,60.5,0.8
200509,60.6,0.9
200510,60.9,1.2
200511,61.5,1.8
200512,61.6,1.9
200601,61.6,1.9
200602,61.9,2.2
200603,61.5,1.8
200604,61.8,2.1
200605,62.1,2.4
200606,62.8,3.1
200607,62.6,2.9
200608,62.8,3.1
200609,62.4,2.7
200610,62.1,2.4
200611,62.0,2.3
200612,61.8,2.1
200701,61.5,1.8
200702,61.5,1.8
200703,62.3,2.6
200704,62.2,2.5
200705,62.0,2.3
200706,62.0,2.3
200707,62.1,2.4
200708,62.3,2.6
200709,62.7,3.0
200710,63.0,3.3
200711,63.4,3.7
200712,63.1,3.4
200801,62.8,3.1
200802,62.4,2.7
200803,62.1,2.4
200804,61.9,2.2
200805,61.5,1.8
200806,61.3,1.6
200807,61.2,1.5
200808,61.2,1.5
200809,61.3,1.6
200810,61.5,1.8
200811,61.3,1.6
200812,61.5,1.8
200901,62.2,2.5
200902,62.4,2.7
200903,62.5,2.8
200904,62.5,2.8
200905,63.0,3.3
200906,62.5,2.8
200907,62.5,2.8
200908,62.5,2.8
200909,62.6,2.9
200910,62.1,2.4
200911,62.1,2.4
200912,61.8,2.1
201001,61.3,1.6
201002,60.8,1.1
201003,60.5,0.8
201004,60.4,0.7
201005,59.7,0.0
201006,60.1,0.4
201007,60.0,0.3
201008,59.7,0.0
