Garfield County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,36.1,1.1
199002,36.3,1.3
199003,36.3,1.3
199004,36.2,1.2
199005,36.0,1.0
199006,36.3,1.3
199007,36.3,1.3
199008,36.3,1.3
199009,36.7,1.7
199010,36.8,1.8
199011,36.7,1.7
199012,36.1,1.1
199101,35.9,0.9
199102,36.1,1.1
199103,35.6,0.6
199104,35.0,0.0
199105,34.8,-0.2
199106,34.5,-0.5
199107,34.5,-0.5
199108,34.5,-0.5
199109,34.3,-0.7
199110,34.5,-0.5
199111,34.5,-0.5
199112,35.0,0.0
199201,35.0,0.0
199202,35.1,0.1
199203,35.6,0.6
199204,36.4,1.4
199205,36.8,1.8
199206,36.9,1.9
199207,36.7,1.7
199208,36.7,1.7
199209,36.7,1.7
199210,36.8,1.8
199211,36.5,1.5
199212,36.2,1.2
199301,36.7,1.7
199302,36.4,1.4
199303,36.3,1.3
199304,35.8,0.8
199305,35.7,0.7
199306,35.6,0.6
199307,35.5,0.5
199308,35.4,0.4
199309,35.2,0.2
199310,34.8,-0.2
199311,34.9,-0.1
199312,35.2,0.2
199401,35.1,0.1
199402,34.9,-0.1
199403,35.0,0.0
199404,35.1,0.1
199405,35.2,0.2
199406,35.7,0.7
199407,36.1,1.1
199408,36.5,1.5
199409,36.8,1.8
199410,36.8,1.8
199411,36.7,1.7
199412,37.0,2.0
199501,37.1,2.1
199502,37.8,2.8
199503,37.7,2.7
199504,37.5,2.5
199505,37.2,2.2
199506,36.4,1.4
199507,36.1,1.1
199508,36.0,1.0
199509,36.0,1.0
199510,36.0,1.0
199511,36.6,1.6
199512,36.7,1.7
199601,36.6,1.6
199602,36.4,1.4
199603,36.3,1.3
199604,36.3,1.3
199605,36.8,1.8
199606,37.3,2.3
199607,37.7,2.7
199608,37.7,2.7
199609,37.4,2.4
199610,37.4,2.4
199611,37.2,2.2
199612,37.2,2.2
199701,37.2,2.2
199702,36.8,1.8
199703,36.9,1.9
199704,36.7,1.7
199705,36.7,1.7
199706,36.6,1.6
199707,36.2,1.2
199708,36.1,1.1
199709,36.5,1.5
199710,36.5,1.5
199711,36.5,1.5
199712,36.2,1.2
199801,36.3,1.3
199802,36.4,1.4
199803,36.2,1.2
199804,36.2,1.2
199805,35.9,0.9
199806,35.5,0.5
199807,35.7,0.7
199808,35.9,0.9
199809,35.8,0.8
199810,35.9,0.9
199811,35.9,0.9
199812,35.9,0.9
199901,36.0,1.0
199902,36.2,1.2
199903,36.4,1.4
199904,36.3,1.3
199905,36.2,1.2
199906,36.5,1.5
199907,36.4,1.4
199908,36.1,1.1
199909,35.9,0.9
199910,35.9,0.9
199911,36.0,1.0
199912,36.0,1.0
200001,35.9,0.9
200002,36.1,1.1
200003,35.9,0.9
200004,36.5,1.5
200005,37.1,2.1
200006,37.4,2.4
200007,37.4,2.4
200008,37.8,2.8
200009,38.0,3.0
200010,38.1,3.1
200011,37.5,2.5
200012,37.7,2.7
200101,37.3,2.3
200102,37.1,2.1
200103,37.3,2.3
200104,37.1,2.1
200105,37.0,2.0
200106,36.9,1.9
200107,36.8,1.8
200108,36.6,1.6
200109,36.7,1.7
200110,36.8,1.8
200111,37.4,2.4
200112,37.0,2.0
200201,37.0,2.0
200202,36.6,1.6
200203,36.1,1.1
200204,36.2,1.2
200205,35.9,0.9
200206,36.1,1.1
200207,36.3,1.3
200208,36.2,1.2
200209,36.2,1.2
200210,35.8,0.8
200211,35.6,0.6
200212,35.9,0.9
200301,36.5,1.5
200302,36.8,1.8
200303,37.3,2.3
200304,36.9,1.9
200305,37.1,2.1
200306,36.9,1.9
200307,37.0,2.0
200308,37.2,2.2
200309,37.2,2.2
200310,37.8,2.8
200311,37.8,2.8
200312,37.8,2.8
200401,37.1,2.1
200402,36.9,1.9
200403,37.2,2.2
200404,37.4,2.4
200405,37.4,2.4
200406,37.4,2.4
200407,37.0,2.0
200408,36.7,1.7
200409,36.5,1.5
200410,36.1,1.1
200411,36.2,1.2
200412,36.2,1.2
200501,36.9,1.9
200502,37.4,2.4
200503,37.0,2.0
200504,36.9,1.9
200505,36.9,1.9
200506,36.6,1.6
200507,36.8,1.8
200508,36.7,1.7
200509,36.8,1.8
200510,36.9,1.9
200511,37.1,2.1
200512,37.0,2.0
200601,36.6,1.6
200602,36.3,1.3
200603,36.1,1.1
200604,36.2,1.2
200605,36.3,1.3
200606,36.8,1.8
200607,36.9,1.9
200608,37.0,2.0
200609,36.8,1.8
200610,36.6,1.6
200611,36.5,1.5
200612,36.5,1.5
200701,36.1,1.1
200702,36.4,1.4
200703,36.8,1.8
200704,36.8,1.8
200705,36.7,1.7
200706,36.6,1.6
200707,36.6,1.6
200708,36.9,1.9
