Garfield County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.51,-4.63
199002,-4.05,-4.29
199003,-4.19,-4.43
199004,-4.02,-4.35
199005,-4.27,-4.61
199006,-4.82,-5.14
199007,-4.77,-5.04
199008,-4.73,-4.88
199009,-3.87,-4.30
199010,-3.81,-4.15
199011,-3.76,-3.94
199012,-3.75,-3.81
199101,-3.72,-3.84
199102,-4.08,-4.32
199103,-3.28,-3.52
199104,-3.15,-3.48
199105,-2.79,-3.13
199106,-2.91,-3.23
199107,-3.18,-3.45
199108,-3.06,-3.21
199109,0.35,-0.08
199110,-0.32,-0.66
199111,0.36,0.18
199112,0.27,0.21
199201,0.11,-0.01
199202,0.46,0.22
199203,1.26,1.02
199204,0.61,0.28
199205,1.74,1.40
199206,1.95,1.63
199207,1.71,1.44
199208,2.01,1.86
199209,1.25,0.82
199210,0.99,0.65
199211,0.61,0.43
199212,0.65,0.59
199301,2.49,2.37
199302,4.18,3.94
199303,3.66,3.42
199304,2.92,2.59
199305,3.11,2.77
199306,3.21,2.89
199307,-0.50,-0.77
199308,-0.21,-0.36
199309,-0.84,-1.27
199310,-0.15,-0.49
199311,-0.21,-0.39
199312,-0.67,-0.73
199401,-1.08,-1.20
199402,-0.78,-1.02
199403,-1.49,-1.73
199404,-1.34,-1.67
199405,-1.89,-2.23
199406,-2.60,-2.92
199407,-3.43,-3.70
199408,-3.52,-3.67
199409,0.29,-0.14
199410,0.42,0.08
199411,0.74,0.56
199412,0.66,0.60
199501,1.21,1.09
199502,0.80,0.56
199503,1.47,1.23
199504,1.83,1.50
199505,2.56,2.22
199506,3.41,3.09
199507,3.45,3.18
199508,0.00,-0.15
199509,-0.34,-0.77
199510,-1.04,-1.38
199511,-1.71,-1.89
199512,-2.03,-2.09
199601,-2.21,-2.33
199602,-2.23,-2.47
199603,-2.55,-2.79
199604,-2.90,-3.23
199605,-3.56,-3.90
199606,-4.18,-4.50
199607,-4.75,-5.02
199608,-5.14,-5.29
199609,0.24,-0.19
199610,0.35,0.01
199611,0.56,0.38
199612,0.36,0.30
199701,1.23,1.11
199702,1.12,0.88
199703,0.21,-0.03
199704,0.76,0.43
199705,0.54,0.20
199706,0.69,0.37
199707,0.61,0.34
199708,1.57,1.42
199709,3.61,3.18
199710,3.44,3.10
199711,2.81,2.63
199712,2.10,2.04
199801,1.51,1.39
199802,1.87,1.63
199803,1.66,1.42
199804,1.80,1.47
199805,1.65,1.31
199806,1.75,1.43
199807,1.86,1.59
199808,0.94,0.79
199809,2.46,2.03
199810,3.27,2.93
199811,3.01,2.83
199812,-0.25,-0.31
199901,-0.65,-0.77
199902,-0.98,-1.22
199903,-1.82,-2.06
199904,0.88,0.55
199905,0.69,0.35
199906,0.74,0.42
199907,1.39,1.12
199908,2.17,2.02
199909,2.16,1.73
199910,-0.79,-1.13
199911,-1.53,-1.71
199912,-1.95,-2.01
200001,-2.14,-2.26
200002,-2.05,-2.29
200003,-1.93,-2.17
200004,-2.64,-2.97
200005,-3.42,-3.76
200006,-3.88,-4.20
200007,-4.68,-4.95
200008,-4.40,-4.55
200009,-4.42,-4.85
200010,1.73,1.39
200011,1.48,1.30
200012,1.02,0.96
200101,1.44,1.32
200102,1.86,1.62
200103,1.83,1.59
200104,1.76,1.43
200105,1.77,1.43
200106,1.94,1.62
200107,-0.08,-0.35
200108,0.14,-0.01
200109,-0.66,-1.09
200110,-1.30,-1.64
200111,-1.36,-1.54
200112,-1.63,-1.69
200201,-2.15,-2.27
200202,-2.66,-2.90
200203,-3.09,-3.33
200204,-3.75,-4.08
200205,-4.69,-5.03
200206,-5.65,-5.97
200207,-6.27,-6.54
200208,-6.68,-6.83
200209,-4.77,-5.20
200210,-4.10,-4.44
200211,-3.99,-4.17
200212,-3.95,-4.01
200301,-4.40,-4.52
200302,-3.72,-3.96
200303,-3.65,-3.89
200304,-3.60,-3.93
200305,-3.87,-4.21
200306,-4.43,-4.75
200307,-5.13,-5.40
200308,-4.99,-5.14
200309,-5.00,-5.43
200310,-5.13,-5.47
200311,-4.57,-4.75
200312,-4.02,-4.08
200401,-4.09,-4.21
200402,-2.96,-3.20
200403,-3.64,-3.88
200404,-2.96,-3.29
200405,-3.22,-3.56
200406,-3.27,-3.59
200407,-3.50,-3.77
200408,-3.52,-3.67
200409,0.02,-0.41
200410,1.25,0.91
200411,2.56,2.38
200412,2.76,2.70
200501,4.44,4.32
200502,5.10,4.86
200503,4.81,4.57
200504,4.77,4.44
200505,4.63,4.29
200506,5.33,5.01
200507,5.00,4.73
200508,4.94,4.79
200509,4.37,3.94
200510,4.22,3.88
200511,-0.68,-0.86
200512,-1.07,-1.13
200601,-1.25,-1.37
200602,-1.70,-1.94
200603,-0.86,-1.10
200604,-1.16,-1.49
200605,-1.89,-2.23
200606,-2.45,-2.77
200607,-2.38,-2.65
200608,-2.57,-2.72
200609,0.05,-0.38
200610,2.30,1.96
200611,-0.34,-0.52
200612,-0.23,-0.29
200701,-0.41,-0.53
200702,-0.50,-0.74
200703,-0.98,-1.22
200704,-1.04,-1.37
200705,-1.48,-1.82
200706,-1.89,-2.21
200707,-1.89,-2.16
200708,-1.75,-1.90
200709,-1.36,-1.79
200710,-1.68,-2.02
200711,-2.18,-2.36
200712,-1.70,-1.76
200801,-1.19,-1.31
200802,-0.88,-1.12
200803,-1.21,-1.45
200804,-1.54,-1.87
200805,-1.57,-1.91
200806,-1.71,-2.03
200807,-2.23,-2.50
200808,-2.24,-2.39
200809,-2.74,-3.17
200810,-2.92,-3.26
200811,-2.76,-2.94
200812,-1.97,-2.03
200901,-2.12,-2.24
200902,-2.07,-2.31
200903,-2.44,-2.68
200904,-2.32,-2.65
200905,-2.11,-2.45
200906,-1.98,-2.30
200907,-2.37,-2.64
200908,-3.20,-3.35
200909,-3.41,-3.84
200910,-3.61,-3.95
200911,-3.82,-4.00
200912,0.31,0.25
201001,1.36,1.24
201002,1.80,1.56
201003,2.04,1.80
201004,1.68,1.35
201005,1.58,1.24
201006,1.83,1.51
201007,2.12,1.85
201008,2.54,2.39
201009,1.65,1.22
201010,3.42,3.08
201011,3.10,2.92
201012,3.94,3.88
201101,3.33,3.21
201102,3.86,3.62
201103,3.39,3.15
201104,3.50,3.17
201105,3.72,3.38
201106,4.05,3.73
201107,4.84,4.57
201108,4.45,4.30
201109,4.43,4.00
201110,4.03,3.69
201111,-0.15,-0.33
201112,-0.31,-0.37
201201,-0.64,-0.76
201202,-0.64,-0.88
201203,-1.16,-1.40
201204,-1.68,-2.01
201205,-2.59,-2.93
201206,-3.45,-3.77
201207,-3.08,-3.35
201208,-2.69,-2.84
201209,-2.60,-3.03
201210,-2.64,-2.98
201211,-3.00,-3.18
201212,-2.70,-2.76
201301,-2.64,-2.76
201302,-2.82,-3.06
201303,-3.00,-3.24
201304,-3.11,-3.44
201305,-3.34,-3.68
201306,-4.11,-4.43
201307,0.15,-0.12
201308,0.50,0.35
201309,2.89,2.46
201310,2.79,2.45
201311,3.21,3.03
201312,-0.03,-0.09
201401,-0.41,-0.53
201402,-0.80,-1.04
201403,-1.21,-1.45
201404,-1.49,-1.82
201405,-1.49,-1.83
201406,-2.06,-2.38
201407,-2.05,-2.32
201408,0.37,0.22
201409,1.62,1.19
201410,-0.87,-1.21
201411,-1.24,-1.42
201412,-1.27,-1.33
201501,-1.01,-1.13
201502,-1.10,-1.34
201503,-1.23,-1.47
201504,-1.37,-1.70
201505,0.85,0.51
201506,1.16,0.84
201507,1.59,1.32
201508,1.55,1.40
201509,1.31,0.88
201510,2.20,1.86
201511,2.00,1.82
201512,1.85,1.79
201601,1.96,1.84
201602,-0.09,-0.33
201603,-0.70,-0.94
201604,-0.35,-0.68
201605,-0.26,-0.60
201606,-0.39,-0.71
201607,-0.57,-0.84
201608,-0.67,-0.82
201609,0.87,0.44
201610,-0.49,-0.83
201611,-0.67,-0.85
201612,-0.70,-0.76
201701,0.00,-0.12
201702,-0.08,-0.32
201703,-0.60,-0.84
201704,-0.73,-1.06
201705,-0.99,-1.33
201706,-1.59,-1.91
201707,-0.91,-1.18
201708,-1.26,-1.41
201709,-1.07,-1.50
201710,-1.71,-2.05
201711,-2.52,-2.70
201712,-3.07,-3.13
201801,-3.32,-3.44
201802,-3.43,-3.67
201803,-3.55,-3.79
201804,-3.98,-4.31
201805,-4.56,-4.90
201806,-5.55,-5.87
201807,-5.48,-5.75
201808,-5.52,-5.67
201809,-5.89,-6.32
201810,1.54,1.20
201811,1.19,1.01
201812,0.88,0.82
201901,0.97,0.85
201902,2.43,2.19
201903,2.90,2.66
201904,2.54,2.21
201905,4.11,3.77
201906,4.65,4.33
201907,4.74,4.47
201908,-0.70,-0.85
201909,-1.27,-1.70
201910,-1.70,-2.04
201911,1.10,0.92
201912,1.39,1.33
202001,-0.26,-0.38
202002,-0.23,-0.47
202003,-0.09,-0.33
202004,-0.22,-0.55
202005,-0.69,-1.03
202006,-0.90,-1.22
202007,-1.27,-1.54
202008,-2.49,-2.64
202009,-3.09,-3.52
202010,-3.62,-3.96
202011,-3.76,-3.94
202012,-3.75,-3.81
202101,-3.71,-3.83
202102,-3.86,-4.10
202103,-3.79,-4.03
202104,-3.91,-4.24
202105,-4.68,-5.02
202106,-5.36,-5.68
202107,-4.55,-4.82
202108,-3.93,-4.08
202109,-3.29,-3.72
202110,-2.59,-2.93
202111,-3.24,-3.42
202112,-2.73,-2.79
202201,-3.14,-3.26
202202,-3.24,-3.48
202203,-3.59,-3.83
202204,-3.98,-4.31
202205,-4.78,-5.12
202206,-5.22,-5.54
202207,-5.12,-5.39
202208,0.03,-0.12
202209,0.13,-0.30
202210,-0.06,-0.40
202211,-0.14,-0.32
202212,0.02,-0.04
202301,0.76,0.64
202302,0.98,0.74
202303,2.10,1.86
202304,1.67,1.34
202305,1.68,1.34
202306,1.91,1.59
202307,1.30,1.03
202308,1.77,1.62
202309,0.03,-0.40
202310,-0.63,-0.97
202311,-0.99,-1.17
202312,-1.55,-1.61
202401,-1.59,-1.71
202402,-0.94,-1.18
202403,0.97,0.73
