Garfield County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.51,-4.78
199002,-4.05,-4.29
199003,-4.19,-4.39
199004,-4.02,-4.23
199005,-4.27,-4.51
199006,-4.82,-5.08
199007,-4.77,-5.13
199008,-4.73,-5.17
199009,-3.87,-4.38
199010,-3.81,-4.30
199011,-3.76,-4.13
199012,-3.75,-4.07
199101,-3.72,-3.99
199102,-4.08,-4.32
199103,-3.28,-3.48
199104,-3.15,-3.36
199105,-2.79,-3.03
199106,-2.91,-3.17
199107,-3.18,-3.54
199108,-3.06,-3.50
199109,-2.40,-2.91
199110,-2.47,-2.96
199111,-1.86,-2.23
199112,-1.73,-2.05
199201,-1.67,-1.94
199202,-1.14,-1.38
199203,1.26,1.06
199204,0.61,0.40
199205,1.74,1.50
199206,1.95,1.69
199207,1.71,1.35
199208,2.01,1.57
199209,1.25,0.74
199210,0.99,0.50
199211,0.61,0.24
199212,0.65,0.33
199301,2.49,2.22
199302,4.18,3.94
199303,3.66,3.46
199304,2.92,2.71
199305,3.11,2.87
199306,3.21,2.95
199307,2.38,2.02
199308,2.37,1.93
199309,1.47,0.96
199310,1.92,1.43
199311,1.65,1.28
199312,1.00,0.68
199401,-1.08,-1.35
199402,-0.78,-1.02
199403,-1.49,-1.69
199404,-1.34,-1.55
199405,-1.89,-2.13
199406,-2.60,-2.86
199407,-3.43,-3.79
199408,-3.52,-3.96
199409,-2.87,-3.38
199410,-2.41,-2.90
199411,-1.80,-2.17
199412,-1.61,-1.93
199501,-0.83,-1.10
199502,-1.03,-1.27
199503,1.47,1.27
199504,1.83,1.62
199505,2.56,2.32
199506,3.41,3.15
199507,3.45,3.09
199508,3.10,2.66
199509,2.44,1.93
199510,1.45,0.96
199511,-1.71,-2.08
199512,-2.03,-2.35
199601,-2.21,-2.48
199602,-2.23,-2.47
199603,-2.55,-2.75
199604,-2.90,-3.11
199605,-3.56,-3.80
199606,-4.18,-4.44
199607,-4.75,-5.11
199608,-5.14,-5.58
199609,-4.37,-4.88
199610,-3.79,-4.28
199611,-3.15,-3.52
199612,-2.97,-3.29
199701,-1.75,-2.02
199702,-1.56,-1.80
199703,-2.19,-2.39
199704,-1.39,-1.60
199705,-1.40,-1.64
199706,-1.05,-1.31
199707,-0.95,-1.31
199708,1.57,1.13
199709,3.61,3.10
199710,3.44,2.95
199711,2.81,2.44
199712,2.10,1.78
199801,1.51,1.24
199802,1.87,1.63
199803,1.66,1.46
199804,1.80,1.59
199805,1.65,1.41
199806,1.75,1.49
199807,1.86,1.50
199808,0.94,0.50
199809,2.46,1.95
199810,3.27,2.78
199811,3.01,2.64
199812,2.45,2.13
199901,1.77,1.50
199902,1.19,0.95
199903,-1.82,-2.02
199904,-0.75,-0.96
199905,-0.77,-1.01
199906,-0.58,-0.84
199907,1.39,1.03
199908,2.17,1.73
199909,2.16,1.65
199910,1.14,0.65
199911,-1.53,-1.90
199912,-1.95,-2.27
200001,-2.14,-2.41
200002,-2.05,-2.29
200003,-1.93,-2.13
200004,-2.64,-2.85
200005,-3.42,-3.66
200006,-3.88,-4.14
200007,-4.68,-5.04
200008,-4.40,-4.84
200009,-4.42,-4.93
200010,-2.24,-2.73
200011,-2.08,-2.45
200012,-2.17,-2.49
200101,-1.42,-1.69
200102,-0.71,-0.95
200103,1.83,1.63
200104,1.76,1.55
200105,1.77,1.53
200106,1.94,1.68
200107,1.66,1.30
200108,1.62,1.18
200109,0.80,0.29
200110,-1.30,-1.79
200111,-1.36,-1.73
200112,-1.63,-1.95
200201,-2.15,-2.42
200202,-2.66,-2.90
200203,-3.09,-3.29
200204,-3.75,-3.96
