Garfield County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.51,-4.57
199002,-4.01,-4.21
199003,-4.19,-4.39
199004,-4.02,-4.26
199005,-4.27,-4.54
199006,-4.82,-5.10
199007,-4.77,-5.11
199008,-4.73,-5.06
199009,-3.38,-3.73
199010,-3.65,-3.95
199011,-3.76,-3.96
199012,-3.75,-3.77
199101,-3.72,-3.78
199102,-4.08,-4.28
199103,-2.78,-2.98
199104,-2.83,-3.07
199105,-2.39,-2.66
199106,-2.91,-3.19
199107,-3.18,-3.52
199108,-3.06,-3.39
199109,-1.92,-2.27
199110,-2.32,-2.62
199111,-1.22,-1.42
199112,-1.11,-1.13
199201,-1.16,-1.22
199202,-0.20,-0.40
199203,1.26,1.06
199204,-0.40,-0.64
199205,1.74,1.47
199206,1.95,1.67
199207,1.59,1.25
199208,2.01,1.68
199209,0.42,0.07
199210,-0.04,-0.34
199211,-0.76,-0.96
199212,-0.53,-0.55
199301,2.49,2.43
199302,4.18,3.98
199303,3.49,3.29
199304,2.28,2.04
199305,2.98,2.71
199306,3.21,2.93
199307,1.71,1.37
199308,1.94,1.61
199309,0.24,-0.11
199310,1.36,1.06
199311,0.97,0.77
199312,-0.21,-0.23
199401,-1.08,-1.14
199402,-0.29,-0.49
199403,-1.49,-1.69
199404,-1.26,-1.50
199405,-1.89,-2.16
199406,-2.60,-2.88
199407,-3.43,-3.77
199408,-3.52,-3.85
199409,-2.47,-2.82
199410,-1.77,-2.07
199411,-0.70,-0.90
199412,-0.51,-0.53
199501,0.92,0.86
199502,0.34,0.14
199503,1.47,1.27
199504,1.83,1.59
199505,2.56,2.29
199506,3.41,3.13
199507,3.45,3.11
199508,3.04,2.71
199509,1.91,1.56
199510,0.01,-0.29
199511,-1.71,-1.91
199512,-2.03,-2.05
199601,-2.21,-2.27
199602,-2.23,-2.43
199603,-2.55,-2.75
199604,-2.90,-3.14
199605,-3.56,-3.83
199606,-4.18,-4.46
199607,-4.75,-5.09
199608,-5.14,-5.47
199609,-4.05,-4.40
199610,-3.26,-3.56
199611,-2.30,-2.50
199612,-2.25,-2.27
199701,-0.03,-0.09
199702,0.12,-0.08
199703,-1.30,-1.50
199704,0.01,-0.23
199705,-0.16,-0.43
199706,0.30,0.02
199707,0.33,-0.01
199708,1.57,1.24
199709,3.61,3.26
199710,3.44,3.14
199711,2.43,2.23
199712,1.17,1.15
199801,0.11,0.05
199802,1.07,0.87
199803,0.81,0.61
199804,1.24,1.00
199805,1.09,0.82
199806,1.35,1.07
199807,1.71,1.37
199808,-0.22,-0.55
199809,2.46,2.11
199810,3.27,2.97
199811,3.01,2.81
199812,2.08,2.06
199901,0.83,0.77
199902,-0.23,-0.43
199903,-1.82,-2.02
199904,0.58,0.34
199905,0.39,0.12
199906,0.70,0.42
199907,1.39,1.05
199908,2.17,1.84
199909,2.16,1.81
199910,0.01,-0.29
199911,-1.53,-1.73
199912,-1.95,-1.97
200001,-2.14,-2.20
200002,-2.05,-2.25
200003,-1.93,-2.13
200004,-2.64,-2.88
200005,-3.42,-3.69
200006,-3.88,-4.16
200007,-4.68,-5.02
200008,-4.40,-4.73
200009,-4.42,-4.77
200010,-0.20,-0.50
200011,-0.17,-0.37
200012,-0.64,-0.66
200101,0.59,0.53
200102,1.71,1.51
200103,1.83,1.63
200104,1.76,1.52
200105,1.77,1.50
200106,1.94,1.66
200107,1.47,1.13
200108,1.56,1.23
200109,-0.29,-0.64
200110,-1.30,-1.60
200111,-1.36,-1.56
200112,-1.63,-1.65
200201,-2.15,-2.21
200202,-2.66,-2.86
200203,-3.09,-3.29
200204,-3.75,-3.99
200205,-4.69,-4.96
200206,-5.65,-5.93
200207,-6.27,-6.61
200208,-6.68,-7.01
200209,-3.39,-3.74
200210,-2.50,-2.80
