Garfield County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-1.14,-1.29
199002,-0.03,-0.28
199003,-1.66,-1.73
199004,-0.78,-0.86
199005,-2.00,-2.09
199006,-2.96,-3.05
199007,-1.35,-1.54
199008,-1.35,-1.56
199009,1.13,0.84
199010,-1.02,-1.08
199011,-1.04,-0.96
199012,-1.14,-0.95
199101,-1.05,-1.20
199102,-2.23,-2.48
199103,1.14,1.07
199104,-0.62,-0.70
199105,0.09,0.00
199106,-1.22,-1.31
199107,-1.72,-1.91
199108,-0.62,-0.83
199109,1.04,0.75
199110,-0.96,-1.02
199111,1.07,1.15
199112,-0.16,0.03
199201,-0.37,-0.52
199202,1.07,0.82
199203,2.54,2.47
199204,-1.55,-1.63
199205,3.56,3.47
199206,1.19,1.10
199207,-0.12,-0.31
199208,1.43,1.22
199209,-1.66,-1.95
199210,-0.39,-0.45
199211,-0.83,-0.75
199212,0.30,0.49
199301,5.72,5.57
199302,5.84,5.59
199303,-0.29,-0.36
199304,-1.08,-1.16
199305,1.48,1.39
199306,1.25,1.16
199307,-1.50,-1.69
199308,0.72,0.51
199309,-1.96,-2.25
199310,1.80,1.74
199311,-0.22,-0.14
199312,-1.45,-1.26
199401,-1.44,-1.59
199402,0.56,0.31
199403,-2.38,-2.45
199404,0.00,-0.08
199405,-2.06,-2.15
199406,-2.71,-2.80
199407,-3.31,-3.50
199408,-1.31,-1.52
199409,0.86,0.57
199410,0.48,0.42
199411,1.10,1.18
199412,0.00,0.19
199501,1.86,1.71
199502,-0.87,-1.12
199503,2.27,2.20
199504,1.53,1.45
199505,2.76,2.67
199506,3.33,3.24
199507,1.18,0.99
199508,0.00,-0.21
199509,-1.02,-1.31
199510,-2.22,-2.28
199511,-2.31,-2.23
199512,-1.50,-1.31
199601,-1.16,-1.31
199602,-0.76,-1.01
199603,-1.63,-1.70
199604,-1.85,-1.93
199605,-2.88,-2.97
199606,-2.94,-3.03
199607,-3.02,-3.21
199608,-2.64,-2.85
199609,0.72,0.43
199610,0.41,0.35
199611,0.75,0.83
199612,-0.44,-0.25
199701,2.74,2.59
199702,0.04,-0.21
199703,-2.37,-2.44
199704,1.71,1.63
199705,-0.44,-0.53
199706,0.61,0.52
199707,-0.02,-0.21
199708,3.06,2.85
199709,6.60,6.31
199710,0.61,0.55
199711,-0.81,-0.73
199712,-1.26,-1.07
199801,-1.15,-1.30
199802,1.57,1.32
199803,-0.06,-0.13
199804,0.92,0.84
199805,0.13,0.04
199806,0.79,0.70
199807,0.87,0.68
199808,-2.18,-2.39
199809,4.85,4.56
199810,3.20,3.14
199811,0.23,0.31
199812,-0.76,-0.57
199901,-1.27,-1.42
199902,-1.19,-1.44
199903,-2.81,-2.88
199904,2.63,2.55
199905,-0.29,-0.38
199906,0.35,0.26
199907,2.20,2.01
199908,2.75,2.54
199909,0.65,0.36
199910,-2.38,-2.44
199911,-2.46,-2.38
199912,-1.72,-1.53
200001,-1.19,-1.34
200002,-0.38,-0.63
200003,-0.28,-0.35
200004,-2.71,-2.79
200005,-3.15,-3.24
200006,-2.44,-2.53
200007,-3.61,-3.80
200008,-0.60,-0.81
200009,-1.43,-1.72
200010,5.20,5.14
200011,-0.22,-0.14
200012,-0.93,-0.74
200101,1.58,1.43
200102,1.70,1.45
200103,0.50,0.43
200104,0.34,0.26
200105,0.57,0.48
200106,1.07,0.98
200107,-0.25,-0.44
200108,0.42,0.21
200109,-1.97,-2.26
200110,-2.15,-2.21
200111,-0.56,-0.48
200112,-1.23,-1.04
200201,-2.07,-2.22
200202,-2.20,-2.45
200203,-2.09,-2.16
200204,-2.95,-3.03
200205,-3.96,-4.05
200206,-4.33,-4.42
200207,-3.61,-3.80
200208,-3.18,-3.39
200209,3.65,3.36
200210,0.55,0.49
200211,-0.93,-0.85
200212,-1.11,-0.92
200301,-2.58,-2.73
200302,0.68,0.43
200303,-0.94,-1.01
200304,-0.97,-1.05
200305,-1.95,-2.04
200306,-2.85,-2.94
200307,-3.48,-3.67
200308,-1.17,-1.38
200309,-1.57,-1.86
200310,-1.95,-2.01
200311,0.11,0.19
200312,0.25,0.44
200401,-1.47,-1.62
200402,2.13,1.88
200403,-2.96,-3.03
200404,0.93,0.85
200405,-1.70,-1.79
200406,-1.15,-1.24
200407,-1.71,-1.90
200408,-1.14,-1.35
200409,0.06,-0.23
200410,3.71,3.65
200411,4.31,4.39
200412,1.39,1.58
200501,5.89,5.74
200502,3.35,3.10
200503,0.72,0.65
200504,1.36,1.28
200505,1.05,0.96
200506,3.53,3.44
200507,0.68,0.49
200508,1.35,1.14
200509,-0.17,-0.46
200510,0.88,0.82
200511,-2.03,-1.95
200512,-1.38,-1.19
200601,-0.87,-1.02
200602,-1.74,-1.99
200603,2.00,1.93
200604,-1.19,-1.27
200605,-2.53,-2.62
200606,-2.26,-2.35
200607,-0.55,-0.74
200608,-1.32,-1.53
200609,0.14,-0.15
200610,6.78,6.72
200611,-1.01,-0.93
200612,0.20,0.39
200701,-0.59,-0.74
200702,-0.40,-0.65
200703,-1.59,-1.66
200704,-0.50,-0.58
200705,-1.64,-1.73
200706,-1.67,-1.76
200707,-0.60,-0.79
200708,-0.15,-0.36
200709,0.62,0.33
200710,-1.37,-1.43
200711,-2.04,-1.96
200712,0.78,0.97
200801,0.99,0.84
200802,0.58,0.33
200803,-1.28,-1.35
200804,-1.35,-1.43
200805,-0.56,-0.65
200806,-0.92,-1.01
200807,-2.08,-2.27
200808,-0.73,-0.94
200809,-2.20,-2.49
200810,-1.38,-1.44
200811,-0.41,-0.33
200812,1.52,1.71
200901,-1.07,-1.22
200902,-0.49,-0.74
200903,-1.77,-1.84
200904,-0.38,-0.46
200905,-0.10,-0.19
200906,-0.26,-0.35
200907,-1.76,-1.95
200908,-3.23,-3.44
200909,-1.64,-1.93
200910,-1.63,-1.69
200911,-1.76,-1.68
200912,0.92,1.11
201001,3.27,3.12
201002,1.74,1.49
201003,1.27,1.20
201004,-0.47,-0.55
201005,0.22,0.13
201006,1.26,1.17
201007,1.44,1.25
201008,1.91,1.70
201009,-1.88,-2.17
201010,5.82,5.76
201011,0.11,0.19
201012,3.48,3.67
201101,-0.61,-0.76
201102,2.60,2.35
201103,-0.20,-0.27
201104,1.38,1.30
201105,1.73,1.64
201106,2.15,2.06
201107,3.63,3.44
201108,0.32,0.11
201109,1.31,1.02
201110,0.18,0.12
201111,-0.45,-0.37
201112,-0.54,-0.35
201201,-1.09,-1.24
201202,-0.20,-0.45
201203,-1.74,-1.81
201204,-1.92,-2.00
201205,-3.24,-3.33
201206,-3.40,-3.49
201207,0.07,-0.12
201208,0.20,-0.01
201209,-0.57,-0.86
201210,-0.90,-0.96
201211,-1.90,-1.82
201212,-0.04,0.15
201301,-0.66,-0.81
201302,-1.35,-1.60
201303,-1.40,-1.47
201304,-1.27,-1.35
201305,-1.63,-1.72
201306,-3.34,-3.43
201307,0.46,0.27
201308,1.09,0.88
201309,7.32,7.03
201310,0.61,0.55
201311,2.13,2.21
201312,-0.10,0.09
201401,-1.14,-1.29
