Garfield County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,7.53,-5.49
199002,8.01,-5.02
199003,7.97,-5.07
199004,8.84,-4.17
199005,8.68,-4.34
199006,8.72,-4.30
199007,8.99,-4.03
199008,8.29,-4.74
199009,9.89,-3.12
199010,10.14,-2.91
199011,10.54,-2.50
199012,11.22,-1.82
199101,11.11,-1.91
199102,10.12,-2.91
199103,11.25,-1.79
199104,10.59,-2.42
199105,11.12,-1.90
199106,11.16,-1.86
199107,10.61,-2.41
199108,10.90,-2.13
199109,10.74,-2.27
199110,10.87,-2.18
199111,11.82,-1.22
199112,12.13,-0.91
199201,12.20,-0.82
199202,13.42,0.39
199203,14.27,1.23
199204,14.27,1.26
199205,15.68,2.66
199206,15.74,2.72
199207,15.78,2.76
199208,16.48,3.45
199209,15.14,2.13
199210,15.46,2.41
199211,14.29,1.25
199212,14.69,1.65
199301,17.83,4.81
199302,19.56,6.53
199303,17.71,4.67
199304,17.52,4.51
199305,16.18,3.16
199306,16.33,3.31
199307,15.65,2.63
199308,15.33,2.30
199309,15.18,2.17
199310,16.07,3.02
199311,16.38,3.34
199312,15.29,2.25
199401,11.75,-1.27
199402,9.87,-3.16
199403,9.29,-3.75
199404,10.43,-2.58
199405,9.65,-3.37
199406,9.23,-3.79
199407,9.54,-3.48
199408,9.11,-3.92
199409,10.60,-2.41
199410,9.91,-3.14
199411,10.57,-2.47
199412,11.35,-1.69
199501,12.86,-0.16
199502,12.29,-0.74
199503,14.52,1.48
199504,14.62,1.61
199505,15.83,2.81
199506,16.64,3.62
199507,16.76,3.74
199508,16.75,3.72
199509,15.70,2.69
199510,14.38,1.33
199511,13.33,0.29
199512,12.75,-0.29
199601,11.54,-1.48
199602,11.89,-1.14
199603,10.04,-3.00
199604,8.87,-4.14
199605,7.87,-5.15
199606,7.34,-5.68
199607,7.51,-5.51
199608,6.87,-6.16
199609,7.71,-5.30
199610,8.99,-4.06
199611,10.23,-2.81
199612,10.62,-2.42
199701,12.36,-0.66
199702,11.86,-1.17
199703,11.29,-1.75
199704,12.77,-0.24
199705,12.75,-0.27
199706,13.23,0.21
199707,13.72,0.70
199708,15.94,2.91
199709,18.60,5.59
199710,18.11,5.06
199711,17.22,4.18
199712,16.80,3.76
199801,14.94,1.92
199802,16.16,3.13
199803,17.24,4.20
199804,16.62,3.61
199805,16.71,3.69
199806,16.63,3.61
199807,16.95,3.93
199808,14.59,1.56
199809,13.86,0.85
199810,15.66,2.61
199811,16.08,3.04
199812,16.10,3.06
199901,15.88,2.86
199902,14.50,1.47
199903,13.39,0.35
199904,14.51,1.50
199905,14.42,1.40
199906,14.61,1.59
199907,15.45,2.43
199908,17.55,4.52
199909,15.45,2.44
199910,12.85,-0.20
199911,11.95,-1.09
199912,11.80,-1.24
200001,12.18,-0.84
200002,12.95,-0.08
200003,14.16,1.12
