Grand County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,51.6,2.3
199002,52.0,2.7
199003,52.0,2.7
199004,51.9,2.6
199005,51.7,2.4
199006,52.0,2.7
199007,51.8,2.5
199008,52.0,2.6
199009,52.2,2.8
199010,52.1,2.7
199011,51.9,2.5
199012,51.3,1.9
199101,50.8,1.5
199102,50.7,1.4
199103,50.2,0.9
199104,49.6,0.3
199105,49.6,0.3
199106,49.3,0.0
199107,49.3,0.0
199108,49.3,-0.1
199109,49.0,-0.4
199110,49.2,-0.2
199111,49.1,-0.3
199112,49.3,-0.1
199201,49.4,0.1
199202,49.5,0.2
199203,49.9,0.6
199204,50.7,1.4
199205,51.0,1.7
199206,50.9,1.6
199207,50.7,1.4
199208,50.7,1.3
199209,50.8,1.4
199210,50.9,1.5
199211,50.7,1.3
199212,50.5,1.1
199301,51.2,1.9
199302,51.0,1.7
199303,50.9,1.6
199304,50.2,0.9
199305,50.0,0.7
199306,49.9,0.6
199307,50.0,0.7
199308,49.8,0.4
199309,49.6,0.2
199310,49.1,-0.3
199311,49.2,-0.2
199312,49.6,0.2
199401,49.7,0.4
199402,49.6,0.3
199403,49.7,0.4
199404,49.9,0.6
199405,50.0,0.7
199406,50.7,1.4
199407,51.1,1.8
199408,51.5,2.1
199409,51.7,2.3
199410,51.8,2.4
199411,51.8,2.4
199412,52.0,2.6
199501,52.1,2.8
199502,52.9,3.6
199503,52.8,3.5
199504,52.5,3.2
199505,51.9,2.6
199506,51.1,1.8
199507,50.7,1.4
199508,50.6,1.2
199509,50.6,1.2
199510,50.7,1.3
199511,51.4,2.0
199512,51.7,2.3
199601,51.6,2.3
199602,51.2,1.9
199603,51.2,1.9
199604,51.4,2.1
199605,52.0,2.7
199606,52.6,3.3
199607,53.0,3.7
199608,53.0,3.6
199609,52.7,3.3
199610,52.6,3.2
199611,52.3,2.9
199612,52.0,2.6
199701,51.9,2.6
199702,51.4,2.1
199703,51.5,2.2
199704,51.2,1.9
199705,51.0,1.7
199706,50.9,1.6
199707,50.5,1.2
199708,50.3,0.9
199709,50.5,1.1
199710,50.5,1.1
199711,50.4,1.0
199712,50.2,0.8
199801,50.6,1.3
199802,50.7,1.4
199803,50.4,1.1
199804,50.6,1.3
199805,50.4,1.1
199806,50.0,0.7
199807,50.3,1.0
199808,50.6,1.2
199809,50.8,1.4
199810,50.9,1.5
199811,51.1,1.7
199812,51.1,1.7
199901,51.2,1.9
199902,51.4,2.1
199903,51.9,2.6
199904,51.8,2.5
199905,51.6,2.3
199906,51.8,2.5
199907,51.6,2.3
199908,51.3,1.9
199909,50.9,1.5
199910,51.1,1.7
199911,51.3,1.9
199912,51.4,2.0
200001,51.4,2.1
200002,51.5,2.2
200003,51.1,1.8
200004,51.9,2.6
200005,52.5,3.2
200006,52.7,3.4
200007,52.9,3.6
200008,53.4,4.0
200009,53.7,4.3
200010,53.6,4.2
200011,52.7,3.3
200012,52.8,3.4
200101,52.4,3.1
200102,52.1,2.8
200103,52.4,3.1
200104,52.1,2.8
200105,52.0,2.7
200106,52.1,2.8
200107,52.0,2.7
200108,51.8,2.4
200109,52.0,2.6
200110,52.1,2.7
200111,52.9,3.5
200112,52.6,3.2
200201,52.5,3.2
200202,52.2,2.9
200203,51.8,2.5
200204,52.0,2.7
200205,51.9,2.6
200206,52.0,2.7
200207,52.3,3.0
200208,52.3,2.9
200209,51.9,2.5
200210,51.5,2.1
200211,51.1,1.7
200212,51.5,2.1
200301,52.1,2.8
200302,52.4,3.1
200303,52.7,3.4
200304,52.4,3.1
200305,52.4,3.1
200306,52.1,2.8
200307,52.2,2.9
200308,52.4,3.0
200309,52.4,3.0
200310,53.1,3.7
200311,53.0,3.6
200312,53.1,3.7
200401,52.2,2.9
200402,52.0,2.7
200403,52.5,3.2
200404,52.5,3.2
200405,52.5,3.2
200406,52.6,3.3
200407,52.1,2.8
200408,51.8,2.4
200409,51.7,2.3
200410,51.2,1.8
200411,51.3,1.9
200412,51.3,1.9
200501,52.3,3.0
200502,52.7,3.4
200503,52.2,2.9
200504,52.1,2.8
200505,52.0,2.7
200506,51.7,2.4
200507,51.9,2.6
200508,51.9,2.5
200509,52.0,2.6
200510,52.1,2.7
200511,52.4,3.0
200512,52.3,2.9
200601,51.9,2.6
200602,51.6,2.3
200603,51.5,2.2
200604,51.7,2.4
200605,51.9,2.6
200606,52.5,3.2
200607,52.4,3.1
200608,52.5,3.1
200609,52.1,2.7
200610,51.8,2.4
200611,51.8,2.4
200612,51.7,2.3
200701,51.3,2.0
200702,51.5,2.2
200703,51.9,2.6
200704,51.9,2.6
200705,51.7,2.4
200706,51.6,2.3
200707,51.7,2.4
200708,52.0,2.6
200709,52.5,3.1
200710,52.7,3.3
200711,52.8,3.4
200712,52.6,3.2
200801,52.4,3.1
200802,52.0,2.7
200803,51.6,2.3
200804,51.2,1.9
200805,50.8,1.5
200806,50.6,1.3
200807,50.5,1.2
200808,50.3,0.9
200809,50.3,0.9
200810,50.4,1.0
200811,50.4,1.0
200812,50.6,1.2
200901,51.1,1.8
200902,51.4,2.1
200903,51.7,2.4
200904,51.9,2.6
200905,52.4,3.1
200906,52.2,2.9
200907,52.1,2.8
200908,52.0,2.6
200909,52.1,2.7
200910,51.7,2.3
200911,51.6,2.2
200912,51.0,1.6
201001,50.8,1.5
201002,50.1,0.8
201003,49.9,0.6
201004,50.0,0.7
201005,49.4,0.1
201006,49.7,0.4
201007,49.7,0.4
201008,49.6,0.2
201009,49.7,0.3
