Grand County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,849,137
199002,849,137
199003,849,137
199004,846,134
199005,832,120
199006,921,208
199007,851,137
199008,912,195
199009,951,233
199010,951,233
199011,951,233
199012,951,233
199101,951,239
199102,951,239
199103,951,239
199104,944,232
199105,945,233
199106,864,151
199107,852,138
199108,843,126
199109,792,74
199110,792,74
199111,792,74
199112,792,74
199201,792,80
199202,792,80
199203,792,80
199204,806,94
199205,829,117
199206,812,99
199207,718,4
199208,716,-1
199209,731,13
199210,737,19
199211,737,19
199212,737,19
199301,737,25
199302,737,25
199303,737,25
199304,723,11
199305,705,-7
199306,682,-31
199307,701,-13
199308,645,-72
199309,616,-102
199310,610,-108
199311,610,-108
199312,610,-108
199401,610,-102
199402,610,-102
199403,610,-102
199404,610,-102
199405,624,-88
199406,796,83
199407,946,232
199408,1108,391
199409,1142,424
199410,1142,424
199411,1142,424
199412,1142,424
199501,1142,430
199502,1142,430
199503,1142,430
199504,1142,430
199505,1107,395
199506,906,193
199507,768,54
199508,734,17
199509,731,13
199510,731,13
199511,731,13
199512,731,13
199601,731,19
199602,731,19
199603,731,19
199604,731,19
199605,777,65
199606,910,197
199607,1053,339
199608,1061,344
199609,1010,292
199610,1010,292
199611,1010,292
199612,1010,292
199701,1010,298
199702,1010,298
199703,1010,298
199704,1010,298
199705,994,282
199706,953,240
199707,823,109
199708,721,4
199709,752,34
199710,752,34
199711,752,34
199712,752,34
199801,752,40
199802,752,40
199803,752,40
199804,752,40
199805,739,27
199806,651,-62
199807,772,58
199808,859,142
199809,914,196
199810,914,196
199811,914,196
199812,914,196
199901,914,202
199902,914,202
199903,914,202
199904,914,202
199905,905,193
199906,960,247
199907,884,170
199908,767,50
199909,690,-28
199910,690,-28
199911,690,-28
199912,690,-28
200001,690,-22
200002,690,-22
200003,690,-22
200004,699,-13
200005,749,37
200006,809,96
200007,887,173
200008,1056,339
200009,1100,382
200010,1100,382
200011,1100,382
200012,1100,382
200101,1100,388
200102,1100,388
200103,1100,388
200104,1091,379
200105,1076,364
200106,1096,383
200107,1057,343
200108,973,256
200109,1018,300
200110,1018,300
200111,1018,300
200112,1018,300
200201,1018,306
200202,1018,306
200203,1018,306
200204,1026,314
200205,1012,300
200206,1062,349
200207,1161,447
200208,1158,441
200209,1085,367
200210,1085,367
200211,1085,367
200212,1085,367
200301,1085,373
200302,1085,373
200303,1085,373
200304,1077,365
200305,1083,371
200306,986,273
200307,1034,320
200308,1084,367
200309,1092,374
200310,1102,384
200311,1102,384
200312,1102,384
200401,1102,390
200402,1102,390
200403,1102,390
200404,1102,390
200405,1104,392
200406,1108,395
200407,936,222
200408,828,111
200409,811,93
200410,801,83
200411,801,83
200412,801,83
200501,801,89
200502,801,89
200503,801,89
200504,801,89
200505,790,78
200506,717,4
200507,801,87
200508,793,76
200509,814,96
200510,814,96
200511,814,96
200512,814,96
200601,814,102
200602,814,102
200603,814,102
200604,819,107
200605,846,134
200606,1002,289
200607,984,270
200608,1001,284
200609,956,238
200610,956,238
200611,956,238
200612,956,238
200701,956,244
200702,956,244
200703,956,244
200704,951,239
200705,928,216
200706,900,187
200707,947,233
200708,1054,337
200709,1112,394
200710,1112,394
200711,1112,394
200712,1112,394
200801,1112,400
200802,1112,400
200803,1112,400
200804,1112,400
200805,1090,378
200806,1015,302
200807,977,263
200808,934,217
200809,927,209
200810,927,209
200811,927,209
200812,927,209
200901,927,215
200902,927,215
200903,927,215
200904,927,215
200905,965,253
200906,920,207
200907,892,178
200908,856,139
200909,875,157
200910,875,157
200911,875,157
200912,875,157
201001,875,163
201002,875,163
201003,875,163
201004,875,163
201005,835,123
201006,922,209
201007,914,200
201008,879,162
201009,895,177
201010,895,177
201011,895,177
201012,895,177
201101,895,183
201102,895,183
201103,895,183
201104,895,183
