Grand County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,5687,-708
199002,5548,-846
199003,5575,-819
199004,5605,-787
199005,5662,-729
199006,5633,-758
199007,5633,-758
199008,5633,-757
199009,5602,-787
199010,5626,-762
199011,5689,-701
199012,5918,-471
199101,6129,-266
199102,6159,-235
199103,6320,-74
199104,6530,138
199105,6526,135
199106,6550,159
199107,6550,159
199108,6550,160
199109,6594,205
199110,6526,138
199111,6582,192
199112,6474,85
199201,6473,78
199202,6421,27
199203,6259,-135
199204,5986,-406
199205,5912,-479
199206,5922,-469
199207,5922,-469
199208,5922,-468
199209,5906,-483
199210,5848,-540
199211,5931,-459
199212,5991,-398
199301,5752,-643
199302,5808,-586
199303,5842,-552
199304,6076,-316
199305,6125,-266
199306,6143,-248
199307,6143,-248
199308,6143,-247
199309,6176,-213
199310,6355,-33
199311,6345,-45
199312,6202,-187
199401,6166,-229
199402,6201,-193
199403,6155,-239
199404,6079,-313
199405,6036,-355
199406,5977,-414
199407,5977,-414
199408,5977,-413
199409,5940,-449
199410,5925,-463
199411,5912,-478
199412,5833,-556
199501,5810,-585
199502,5531,-863
199503,5588,-806
199504,5679,-713
199505,5872,-519
199506,5959,-432
199507,5959,-432
199508,5959,-431
199509,5962,-427
199510,5914,-474
199511,5663,-727
199512,5571,-818
199601,5616,-779
199602,5732,-662
199603,5750,-644
199604,5689,-703
199605,5475,-916
199606,5398,-993
199607,5398,-993
199608,5398,-992
199609,5468,-921
199610,5521,-867
199611,5626,-764
199612,5735,-654
199701,5773,-622
199702,5929,-465
199703,5883,-511
199704,6012,-380
199705,6046,-345
199706,6057,-334
199707,6057,-334
199708,6057,-333
199709,6007,-382
199710,5990,-398
199711,6038,-352
199712,6109,-280
199801,5979,-416
199802,5929,-465
199803,6029,-365
199804,5980,-412
199805,6029,-362
199806,6090,-301
199807,6090,-301
199808,6090,-300
199809,6042,-347
199810,6023,-365
199811,5946,-444
199812,5942,-447
199901,5921,-474
199902,5834,-560
199903,5666,-728
199904,5712,-680
199905,5779,-612
199906,5734,-657
199907,5734,-657
199908,5734,-656
199909,5813,-576
199910,5739,-649
199911,5653,-737
199912,5599,-790
200001,5610,-785
200002,5563,-831
200003,5722,-672
200004,5452,-940
200005,5286,-1105
200006,5262,-1129
200007,5262,-1129
200008,5262,-1128
200009,5209,-1180
200010,5245,-1143
200011,5569,-821
200012,5529,-860
200101,5664,-731
200102,5764,-630
200103,5671,-723
200104,5755,-637
200105,5777,-614
200106,5773,-618
200107,5773,-618
200108,5773,-617
200109,5741,-648
200110,5684,-704
200111,5387,-1003
200112,5519,-870
200201,5553,-842
200202,5655,-739
200203,5813,-581
200204,5743,-649
200205,5773,-618
200206,5766,-625
200207,5766,-625
200208,5766,-624
200209,5827,-562
200210,5966,-422
200211,6102,-288
200212,5980,-409
200301,5726,-669
200302,5652,-742
200303,5533,-861
200304,5634,-758
200305,5621,-770
200306,5640,-751
200307,5640,-751
200308,5640,-750
200309,5631,-758
200310,5407,-981
200311,5416,-974
200312,5400,-989
200401,5725,-670
200402,5796,-598
200403,5619,-775
200404,5600,-792
200405,5595,-796
200406,5594,-797
200407,5594,-797
200408,5594,-796
200409,5616,-773
200410,5777,-611
200411,5744,-646
200412,5750,-639
200501,5391,-1004
200502,5230,-1164
200503,5445,-949
200504,5472,-920
200505,5499,-892
200506,5543,-848
200507,5543,-848
200508,5543,-847
200509,5516,-873
200510,5473,-915
200511,5388,-1002
200512,5416,-973
200601,5579,-816
200602,5665,-729
200603,5710,-684
200604,5647,-745
200605,5593,-798
200606,5532,-859
200607,5532,-859
200608,5532,-858
200609,5619,-770
200610,5741,-647
200611,5757,-633
200612,5771,-618
200701,5938,-457
200702,5850,-544
200703,5691,-703
200704,5716,-676
200705,5759,-632
200706,5763,-628
200707,5763,-628
200708,5763,-627
