Grand County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,65.0,2.5
199002,65.5,3.0
199003,65.3,2.8
199004,65.1,2.6
199005,64.9,2.4
199006,65.3,2.8
199007,65.0,2.5
199008,65.2,2.7
199009,65.3,2.8
199010,65.1,2.6
199011,64.8,2.3
199012,64.0,1.5
199101,63.3,0.8
199102,63.3,0.8
199103,62.8,0.3
199104,62.2,-0.3
199105,62.1,-0.4
199106,61.7,-0.8
199107,61.7,-0.8
199108,61.7,-0.8
199109,61.5,-1.0
199110,61.8,-0.7
199111,61.5,-1.0
199112,61.6,-0.9
199201,61.7,-0.8
199202,61.7,-0.8
199203,62.2,-0.3
199204,63.1,0.6
199205,63.3,0.8
199206,63.3,0.8
199207,63.0,0.5
199208,63.0,0.5
199209,63.2,0.7
199210,63.2,0.7
199211,63.0,0.5
199212,63.0,0.5
199301,63.4,0.9
199302,63.1,0.6
199303,63.1,0.6
199304,62.4,-0.1
199305,62.2,-0.3
199306,62.1,-0.4
199307,62.2,-0.3
199308,62.0,-0.5
199309,62.0,-0.5
199310,61.3,-1.2
199311,61.5,-1.0
199312,61.9,-0.6
199401,62.3,-0.2
199402,62.3,-0.2
199403,62.5,0.0
199404,62.7,0.2
199405,62.9,0.4
199406,63.6,1.1
199407,64.1,1.6
199408,64.5,2.0
199409,64.7,2.2
199410,64.7,2.2
199411,64.7,2.2
199412,64.7,2.2
199501,64.6,2.1
199502,65.6,3.1
199503,65.3,2.8
199504,65.1,2.6
199505,64.2,1.7
199506,63.3,0.8
199507,62.9,0.4
199508,62.9,0.4
199509,62.9,0.4
199510,63.2,0.7
199511,64.2,1.7
199512,64.6,2.1
199601,64.7,2.2
199602,64.3,1.8
199603,64.4,1.9
199604,64.7,2.2
199605,65.7,3.2
199606,66.3,3.8
199607,66.7,4.2
199608,66.7,4.2
199609,66.3,3.8
199610,66.0,3.5
199611,65.5,3.0
199612,65.0,2.5
199701,64.7,2.2
199702,64.1,1.6
199703,64.4,1.9
199704,63.9,1.4
199705,63.7,1.2
199706,63.5,1.0
199707,63.1,0.6
199708,62.7,0.2
199709,62.8,0.3
199710,62.9,0.4
199711,62.7,0.2
199712,62.6,0.1
199801,63.0,0.5
199802,62.9,0.4
199803,62.5,0.0
199804,62.7,0.2
199805,62.5,0.0
199806,62.1,-0.4
199807,62.4,-0.1
199808,62.8,0.3
199809,63.2,0.7
199810,63.1,0.6
199811,63.3,0.8
199812,63.5,1.0
199901,63.7,1.2
199902,64.2,1.7
199903,64.7,2.2
199904,64.5,2.0
199905,64.3,1.8
199906,64.6,2.1
199907,64.3,1.8
199908,63.8,1.3
199909,63.4,0.9
199910,64.0,1.5
199911,64.6,2.1
199912,64.7,2.2
200001,64.5,2.0
200002,64.5,2.0
200003,63.9,1.4
200004,64.9,2.4
200005,65.6,3.1
200006,65.9,3.4
200007,66.3,3.8
200008,66.9,4.4
200009,67.2,4.7
200010,66.7,4.2
200011,65.5,3.0
200012,65.6,3.1
200101,65.3,2.8
200102,64.9,2.4
200103,65.1,2.6
200104,64.7,2.2
200105,64.6,2.1
200106,64.7,2.2
200107,64.5,2.0
200108,64.3,1.8
200109,64.6,2.1
200110,65.0,2.5
200111,65.9,3.4
200112,65.5,3.0
200201,65.4,2.9
200202,65.4,2.9
200203,65.2,2.7
200204,65.6,3.1
200205,65.5,3.0
200206,65.7,3.2
200207,66.1,3.6
200208,66.2,3.7
200209,65.6,3.1
200210,65.1,2.6
200211,64.7,2.2
200212,65.1,2.6
200301,65.9,3.4
200302,65.9,3.4
200303,66.0,3.5
200304,65.6,3.1
200305,65.6,3.1
200306,65.2,2.7
200307,65.3,2.8
200308,65.3,2.8
200309,65.6,3.1
200310,66.4,3.9
200311,66.3,3.8
200312,66.2,3.7
200401,65.2,2.7
200402,64.9,2.4
200403,65.6,3.1
200404,65.5,3.0
200405,65.5,3.0
200406,65.5,3.0
200407,65.0,2.5
200408,64.7,2.2
200409,64.5,2.0
200410,63.7,1.2
200411,63.8,1.3
200412,63.7,1.2
200501,64.6,2.1
200502,65.1,2.6
200503,64.3,1.8
200504,64.4,1.9
200505,64.3,1.8
200506,63.9,1.4
200507,64.3,1.8
200508,64.2,1.7
200509,64.3,1.8
200510,64.6,2.1
200511,65.0,2.5
200512,65.1,2.6
200601,64.9,2.4
200602,64.9,2.4
200603,64.7,2.2
200604,65.0,2.5
200605,65.3,2.8
200606,66.1,3.6
200607,65.8,3.3
200608,65.9,3.4
200609,65.6,3.1
200610,65.1,2.6
200611,65.0,2.5
200612,64.9,2.4
200701,64.4,1.9
200702,64.5,2.0
200703,65.1,2.6
200704,64.9,2.4
200705,64.6,2.1
200706,64.6,2.1
200707,64.7,2.2
200708,65.0,2.5
200709,65.5,3.0
200710,65.9,3.4
200711,66.3,3.8
200712,66.0,3.5
200801,65.7,3.2
200802,65.3,2.8
200803,64.9,2.4
200804,64.6,2.1
200805,64.3,1.8
200806,63.9,1.4
200807,63.8,1.3
200808,63.7,1.2
200809,63.8,1.3
200810,63.9,1.4
200811,63.8,1.3
200812,64.0,1.5
200901,64.5,2.0
200902,64.9,2.4
200903,65.2,2.7
200904,65.2,2.7
200905,65.7,3.2
200906,65.3,2.8
200907,65.3,2.8
200908,65.3,2.8
