Grand County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,38.2,2.0
199002,38.6,2.4
199003,38.6,2.4
199004,38.6,2.4
199005,38.4,2.2
199006,38.7,2.5
199007,38.6,2.4
199008,38.7,2.5
199009,39.1,2.9
199010,39.1,2.9
199011,39.1,2.9
199012,38.6,2.4
199101,38.2,2.0
199102,38.0,1.8
199103,37.7,1.5
199104,37.1,0.9
199105,37.1,0.9
199106,37.0,0.8
199107,36.9,0.7
199108,36.9,0.7
199109,36.6,0.4
199110,36.6,0.4
199111,36.6,0.4
199112,37.1,0.9
199201,37.0,0.8
199202,37.3,1.1
199203,37.7,1.5
199204,38.4,2.2
199205,38.7,2.5
199206,38.5,2.3
199207,38.3,2.1
199208,38.3,2.1
199209,38.3,2.1
199210,38.6,2.4
199211,38.4,2.2
199212,38.1,1.9
199301,38.9,2.7
199302,38.9,2.7
199303,38.7,2.5
199304,38.0,1.8
199305,37.9,1.7
199306,37.8,1.6
199307,37.7,1.5
199308,37.6,1.4
199309,37.3,1.1
199310,36.9,0.7
199311,36.9,0.7
199312,37.2,1.0
199401,37.0,0.8
199402,36.8,0.6
199403,36.8,0.6
199404,37.1,0.9
199405,37.1,0.9
199406,37.7,1.5
199407,38.1,1.9
199408,38.5,2.3
199409,38.8,2.6
199410,38.8,2.6
199411,38.9,2.7
199412,39.3,3.1
199501,39.6,3.4
199502,40.2,4.0
199503,40.2,4.0
199504,39.9,3.7
199505,39.6,3.4
199506,38.9,2.7
199507,38.6,2.4
199508,38.4,2.2
199509,38.4,2.2
199510,38.3,2.1
199511,38.7,2.5
199512,38.7,2.5
199601,38.4,2.2
199602,38.1,1.9
199603,37.9,1.7
199604,38.0,1.8
199605,38.4,2.2
199606,38.9,2.7
199607,39.3,3.1
199608,39.4,3.2
199609,39.1,2.9
199610,39.1,2.9
199611,39.1,2.9
199612,39.0,2.8
199701,39.1,2.9
199702,38.7,2.5
199703,38.7,2.5
199704,38.5,2.3
199705,38.4,2.2
199706,38.3,2.1
199707,37.9,1.7
199708,37.8,1.6
199709,38.2,2.0
199710,38.2,2.0
199711,38.0,1.8
199712,37.8,1.6
199801,38.1,1.9
199802,38.4,2.2
199803,38.3,2.1
199804,38.4,2.2
199805,38.3,2.1
199806,37.8,1.6
199807,38.2,2.0
199808,38.3,2.1
199809,38.5,2.3
199810,38.7,2.5
199811,38.9,2.7
199812,38.8,2.6
199901,38.7,2.5
199902,38.7,2.5
199903,39.1,2.9
199904,39.0,2.8
199905,38.8,2.6
199906,39.0,2.8
199907,38.9,2.7
199908,38.8,2.6
199909,38.3,2.1
199910,38.1,1.9
199911,38.0,1.8
199912,38.2,2.0
200001,38.3,2.1
200002,38.6,2.4
200003,38.3,2.1
200004,38.9,2.7
200005,39.4,3.2
200006,39.6,3.4
200007,39.6,3.4
200008,39.9,3.7
200009,40.1,3.9
200010,40.4,4.2
200011,39.8,3.6
200012,40.0,3.8
200101,39.6,3.4
200102,39.3,3.1
200103,39.6,3.4
200104,39.5,3.3
200105,39.4,3.2
200106,39.5,3.3
200107,39.5,3.3
200108,39.2,3.0
200109,39.3,3.1
200110,39.3,3.1
200111,40.0,3.8
200112,39.7,3.5
200201,39.6,3.4
200202,39.0,2.8
200203,38.4,2.2
200204,38.4,2.2
200205,38.2,2.0
200206,38.3,2.1
200207,38.5,2.3
200208,38.3,2.1
200209,38.2,2.0
200210,37.9,1.7
200211,37.6,1.4
200212,37.9,1.7
200301,38.4,2.2
200302,38.9,2.7
200303,39.4,3.2
200304,39.2,3.0
200305,39.3,3.1
200306,39.1,2.9
200307,39.2,3.0
200308,39.4,3.2
200309,39.3,3.1
200310,39.8,3.6
200311,39.8,3.6
200312,39.9,3.7
200401,39.2,3.0
200402,39.1,2.9
200403,39.3,3.1
200404,39.5,3.3
200405,39.6,3.4
200406,39.6,3.4
200407,39.2,3.0
200408,38.8,2.6
200409,38.9,2.7
200410,38.7,2.5
200411,38.8,2.6
200412,38.9,2.7
200501,39.9,3.7
200502,40.4,4.2
200503,40.0,3.8
200504,39.8,3.6
200505,39.7,3.5
200506,39.4,3.2
200507,39.5,3.3
200508,39.6,3.4
200509,39.7,3.5
200510,39.6,3.4
200511,39.7,3.5
200512,39.5,3.3
200601,38.8,2.6
200602,38.3,2.1
200603,38.2,2.0
200604,38.4,2.2
200605,38.5,2.3
200606,38.9,2.7
200607,39.0,2.8
200608,39.0,2.8
200609,38.7,2.5
200610,38.5,2.3
200611,38.4,2.2
200612,38.5,2.3
200701,38.1,1.9
200702,38.5,2.3
200703,38.8,2.6
200704,38.8,2.6
200705,38.8,2.6
200706,38.7,2.5
200707,38.7,2.5
200708,39.0,2.8
200709,39.4,3.2
200710,39.4,3.2
200711,39.4,3.2
200712,39.1,2.9
200801,39.1,2.9
200802,38.8,2.6
200803,38.4,2.2
200804,37.8,1.6
200805,37.4,1.2
200806,37.2,1.0
200807,37.1,0.9
200808,37.0,0.8
200809,36.9,0.7
200810,36.9,0.7
200811,37.1,0.9
200812,37.2,1.0
200901,37.7,1.5
200902,37.9,1.7
200903,38.2,2.0
200904,38.4,2.2
200905,39.0,2.8
200906,38.9,2.7
200907,38.8,2.6
200908,38.7,2.5
200909,38.9,2.7
200910,38.6,2.4
200911,38.5,2.3
200912,38.0,1.8
201001,37.8,1.6
201002,37.3,1.1
201003,37.2,1.0
201004,37.3,1.1
201005,36.7,0.5
201006,37.0,0.8
201007,37.0,0.8
201008,37.1,0.9
201009,37.0,0.8
201010,37.4,1.2
201011,37.1,0.9
201012,38.2,2.0
201101,38.0,1.8
201102,38.0,1.8
201103,38.1,1.9
201104,38.0,1.8
201105,38.1,1.9
201106,37.8,1.6
201107,37.7,1.5
201108,37.9,1.7
201109,38.0,1.8
201110,37.8,1.6
201111,37.9,1.7
201112,37.3,1.1
201201,37.7,1.5
201202,38.0,1.8
201203,38.1,1.9
201204,38.4,2.2
201205,38.8,2.6
201206,39.2,3.0
201207,39.4,3.2
201208,39.5,3.3
201209,39.5,3.3
201210,39.5,3.3
201211,39.8,3.6
201212,39.9,3.7
201301,39.1,2.9
201302,38.8,2.6
201303,38.7,2.5
201304,38.4,2.2
201305,38.3,2.1
201306,38.3,2.1
201307,38.3,2.1
201308,38.2,2.0
201309,38.2,2.0
