Grand County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.73,-4.49
199002,-3.57,-4.32
199003,-3.63,-4.26
199004,-3.85,-4.50
199005,-4.38,-5.12
199006,-4.77,-5.57
199007,-4.70,-5.49
199008,-4.90,-5.55
199009,-3.99,-4.73
199010,-3.87,-4.58
199011,-3.56,-4.33
199012,-3.34,-4.00
199101,-3.13,-3.89
199102,-3.27,-4.02
199103,-2.48,-3.11
199104,-2.25,-2.90
199105,-2.36,-3.10
199106,-2.45,-3.25
199107,0.01,-0.78
199108,0.04,-0.61
199109,0.75,0.01
199110,0.95,0.24
199111,1.18,0.41
199112,-0.05,-0.71
199201,-0.30,-1.06
199202,0.26,-0.49
199203,0.35,-0.28
199204,-0.77,-1.42
199205,0.77,0.03
199206,0.49,-0.31
199207,0.64,-0.15
199208,-0.49,-1.14
199209,-0.93,-1.67
199210,-0.88,-1.59
199211,0.10,-0.67
199212,0.30,-0.36
199301,1.90,1.14
199302,3.09,2.34
199303,2.93,2.30
199304,2.87,2.22
199305,4.19,3.45
199306,4.80,4.00
199307,4.44,3.65
199308,4.09,3.44
199309,3.16,2.42
199310,3.94,3.23
199311,3.61,2.84
199312,-0.22,-0.88
199401,-0.45,-1.21
199402,0.46,-0.29
199403,-0.74,-1.37
199404,0.81,0.16
199405,-0.26,-1.00
199406,-0.71,-1.51
199407,-1.58,-2.37
199408,-1.87,-2.52
199409,0.34,-0.40
199410,0.60,-0.11
199411,1.11,0.34
199412,1.04,0.38
199501,1.24,0.48
199502,0.78,0.03
199503,1.01,0.38
199504,1.10,0.45
199505,2.49,1.75
199506,3.49,2.69
199507,3.89,3.10
199508,0.04,-0.61
199509,-0.35,-1.09
199510,-1.02,-1.73
199511,-1.65,-2.42
199512,-2.04,-2.70
199601,-2.02,-2.78
199602,-1.82,-2.57
199603,-1.86,-2.49
199604,-1.74,-2.39
199605,-2.16,-2.90
199606,-2.32,-3.12
199607,-2.61,-3.40
199608,-3.38,-4.03
199609,0.82,0.08
199610,1.11,0.40
199611,1.35,0.58
199612,1.08,0.42
199701,1.49,0.73
199702,1.53,0.78
199703,0.73,0.10
199704,1.68,1.03
199705,1.91,1.17
199706,1.92,1.12
199707,2.07,1.28
199708,2.95,2.30
199709,4.24,3.50
199710,3.96,3.25
199711,3.57,2.80
199712,2.94,2.28
199801,2.46,1.70
199802,2.47,1.72
199803,2.49,1.86
199804,2.73,2.08
199805,2.49,1.75
199806,2.59,1.79
199807,2.77,1.98
199808,-0.90,-1.55
199809,-0.84,-1.58
199810,-0.13,-0.84
199811,-0.16,-0.93
199812,-0.48,-1.14
199901,-0.80,-1.56
199902,-1.11,-1.86
199903,-2.05,-2.68
199904,1.20,0.55
199905,1.14,0.40
199906,1.18,0.38
199907,2.05,1.26
199908,2.71,2.06
199909,0.04,-0.70
199910,-0.85,-1.56
199911,-1.60,-2.37
199912,-1.89,-2.55
200001,-1.70,-2.46
200002,-1.57,-2.32
200003,-1.24,-1.87
200004,-1.85,-2.50
200005,-2.42,-3.16
200006,-2.74,-3.54
200007,-3.26,-4.05
200008,-3.23,-3.88
200009,-3.11,-3.85
200010,0.41,-0.30
200011,0.39,-0.38
200012,0.10,-0.56
200101,0.21,-0.55
200102,0.42,-0.33
200103,0.20,-0.43
200104,0.34,-0.31
200105,0.54,-0.20
200106,0.01,-0.79
200107,0.40,-0.39
200108,0.50,-0.15
200109,-0.60,-1.34
200110,-1.21,-1.92
200111,-1.22,-1.99
200112,-1.37,-2.03
200201,-1.67,-2.43
200202,-2.12,-2.87
200203,-2.45,-3.08
200204,-3.03,-3.68
200205,-3.92,-4.66
200206,-4.76,-5.56
200207,-5.28,-6.07
200208,-5.51,-6.16
200209,-3.33,-4.07
200210,-3.02,-3.73
200211,-2.84,-3.61
200212,-3.03,-3.69
200301,-3.44,-4.20
200302,-2.90,-3.65
200303,-2.58,-3.21
200304,-2.84,-3.49
200305,-2.84,-3.58
200306,-3.25,-4.05
200307,-4.06,-4.85
200308,-4.16,-4.81
200309,-3.77,-4.51
200310,-4.22,-4.93
200311,-3.62,-4.39
200312,-3.12,-3.78
200401,-2.91,-3.67
200402,-2.27,-3.02
200403,-3.07,-3.70
200404,-1.84,-2.49
200405,-2.04,-2.78
200406,-2.19,-2.99
200407,-2.31,-3.10
200408,-2.62,-3.27
200409,0.83,0.09
200410,1.23,0.52
200411,1.73,0.96
200412,1.65,0.99
200501,2.68,1.92
200502,2.88,2.13
200503,2.85,2.22
200504,2.48,1.83
200505,2.54,1.80
200506,3.35,2.55
200507,3.18,2.39
200508,3.06,2.41
200509,3.22,2.48
200510,-0.08,-0.79
200511,-0.63,-1.40
200512,-0.99,-1.65
200601,-1.19,-1.95
200602,-1.79,-2.54
200603,-1.17,-1.80
200604,-1.70,-2.35
200605,-2.70,-3.44
200606,-3.35,-4.15
200607,-3.25,-4.04
200608,-2.97,-3.62
200609,0.90,0.16
200610,3.36,2.65
200611,-0.13,-0.90
200612,-0.17,-0.83
200701,0.11,-0.65
200702,0.15,-0.60
200703,-0.34,-0.97
200704,-0.28,-0.93
200705,-0.28,-1.02
200706,-0.57,-1.37
200707,-0.64,-1.43
200708,0.32,-0.33
200709,0.55,-0.19
200710,-0.48,-1.19
200711,-1.18,-1.95
200712,0.84,0.18
200801,0.97,0.21
200802,1.37,0.62
200803,-0.32,-0.95
200804,-0.32,-0.97
200805,0.02,-0.72
200806,0.37,-0.43
200807,-0.34,-1.13
200808,-0.65,-1.30
200809,-0.81,-1.55
200810,-1.15,-1.86
200811,-1.27,-2.04
200812,-0.57,-1.23
200901,-0.84,-1.60
200902,-1.13,-1.88
200903,-1.71,-2.34
200904,-1.48,-2.13
200905,-1.26,-2.00
200906,-1.25,-2.05
200907,-1.92,-2.71
200908,-2.70,-3.35
200909,-2.59,-3.33
200910,-2.45,-3.16
200911,-2.76,-3.53
200912,0.33,-0.33
201001,0.44,-0.32
201002,0.77,0.02
201003,0.93,0.30
201004,-0.04,-0.69
201005,-0.22,-0.96
201006,-0.05,-0.85
201007,-0.47,-1.26
201008,-0.16,-0.81
201009,-0.55,-1.29
201010,0.45,-0.26
201011,0.53,-0.24
201012,1.62,0.96
201101,-0.37,-1.13
201102,-0.30,-1.05
201103,-0.63,-1.26
201104,0.29,-0.36
201105,1.18,0.44
201106,1.36,0.56
