Grand County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.73,-4.46
199002,-3.57,-4.29
199003,-3.63,-4.37
199004,-3.85,-4.60
199005,-4.38,-5.23
199006,-4.77,-5.63
199007,-4.70,-5.61
199008,-4.90,-5.76
199009,-3.99,-4.90
199010,-3.87,-4.71
199011,-3.56,-4.35
199012,-3.34,-4.05
199101,-3.13,-3.86
199102,-3.27,-3.99
199103,-2.48,-3.22
199104,-2.25,-3.00
199105,-2.36,-3.21
199106,-2.45,-3.31
199107,-2.19,-3.10
199108,-1.93,-2.79
199109,-1.01,-1.92
199110,-0.64,-1.48
199111,1.18,0.39
199112,1.01,0.30
199201,0.65,-0.08
199202,0.84,0.12
199203,0.87,0.13
199204,-0.77,-1.52
199205,0.77,-0.08
199206,0.49,-0.37
199207,0.64,-0.27
199208,-0.49,-1.35
199209,-0.93,-1.84
199210,-0.88,-1.72
199211,0.10,-0.69
199212,0.30,-0.41
199301,1.90,1.17
199302,3.09,2.37
199303,2.93,2.19
199304,2.87,2.12
199305,4.19,3.34
199306,4.80,3.94
199307,4.44,3.53
199308,4.09,3.23
199309,3.16,2.25
199310,3.94,3.10
199311,3.61,2.82
199312,3.02,2.31
199401,2.46,1.73
199402,2.67,1.95
199403,1.65,0.91
199404,2.29,1.54
199405,1.80,0.95
199406,1.14,0.28
199407,-1.58,-2.49
199408,-1.87,-2.73
199409,-1.33,-2.24
199410,-0.90,-1.74
199411,1.11,0.32
199412,1.04,0.33
199501,1.24,0.51
199502,0.78,0.06
199503,1.01,0.27
199504,1.10,0.35
199505,2.49,1.64
199506,3.49,2.63
199507,3.89,2.98
199508,3.52,2.66
199509,2.81,1.90
199510,1.82,0.98
199511,0.89,0.10
199512,-2.04,-2.75
199601,-2.02,-2.75
199602,-1.82,-2.54
199603,-1.86,-2.60
199604,-1.74,-2.49
199605,-2.16,-3.01
199606,-2.32,-3.18
199607,-2.61,-3.52
199608,-3.38,-4.24
199609,-2.21,-3.12
199610,-1.60,-2.44
199611,-1.08,-1.87
199612,-1.11,-1.82
199701,1.49,0.76
199702,1.53,0.81
199703,0.73,-0.01
199704,1.68,0.93
199705,1.91,1.06
199706,1.92,1.06
199707,2.07,1.16
199708,2.95,2.09
199709,4.24,3.33
199710,3.96,3.12
199711,3.57,2.78
199712,2.94,2.23
199801,2.46,1.73
199802,2.47,1.75
199803,2.49,1.75
199804,2.73,1.98
199805,2.49,1.64
199806,2.59,1.73
199807,2.77,1.86
199808,1.59,0.73
199809,1.39,0.48
199810,1.87,1.03
199811,1.63,0.84
199812,1.13,0.42
199901,0.64,-0.09
199902,-1.11,-1.83
199903,-2.05,-2.79
199904,-0.64,-1.39
199905,1.14,0.29
199906,1.18,0.32
199907,2.05,1.14
199908,2.71,1.85
199909,2.47,1.56
199910,1.37,0.53
199911,-1.60,-2.39
199912,-1.89,-2.60
200001,-1.70,-2.43
200002,-1.57,-2.29
200003,-1.24,-1.98
200004,-1.85,-2.60
200005,-2.42,-3.27
200006,-2.74,-3.60
200007,-3.26,-4.17
200008,-3.23,-4.09
200009,-3.11,-4.02
200010,-2.38,-3.22
200011,-2.11,-2.90
200012,-2.14,-2.85
200101,-1.80,-2.53
200102,-1.39,-2.11
200103,-1.42,-2.16
200104,-1.11,-1.86
200105,-0.76,-1.61
200106,-1.16,-2.02
200107,-0.65,-1.56
200108,0.50,-0.36
200109,-0.60,-1.51
200110,-1.21,-2.05
200111,-1.22,-2.01
200112,-1.37,-2.08
200201,-1.67,-2.40
200202,-2.12,-2.84
200203,-2.45,-3.19
200204,-3.03,-3.78
200205,-3.92,-4.77
200206,-4.76,-5.62
200207,-5.28,-6.19
200208,-5.51,-6.37
200209,-3.33,-4.24
200210,-3.02,-3.86
200211,-2.84,-3.63
200212,-3.03,-3.74
200301,-3.44,-4.17
200302,-2.90,-3.62
200303,-2.58,-3.32
200304,-2.84,-3.59
200305,-2.84,-3.69
200306,-3.25,-4.11
200307,-4.06,-4.97
200308,-4.16,-5.02
200309,-3.77,-4.68
200310,-4.22,-5.06
200311,-3.62,-4.41
200312,-3.12,-3.83
200401,-2.91,-3.64
200402,-2.27,-2.99
200403,-3.07,-3.81
200404,-1.84,-2.59
200405,-2.04,-2.89
200406,-2.19,-3.05
200407,-2.31,-3.22
200408,-2.62,-3.48
200409,-1.52,-2.43
200410,-0.88,-1.72
200411,1.73,0.94
200412,1.65,0.94
200501,2.68,1.95
200502,2.88,2.16
200503,2.85,2.11
200504,2.48,1.73
200505,2.54,1.69
200506,3.35,2.49
200507,3.18,2.27
200508,3.06,2.20
200509,3.22,2.31
200510,2.80,1.96
200511,1.96,1.17
200512,1.33,0.62
200601,0.89,0.16
200602,-1.79,-2.51
200603,-1.17,-1.91
200604,-1.70,-2.45
200605,-2.70,-3.55
200606,-3.35,-4.21
200607,-3.25,-4.16
200608,-2.97,-3.83
200609,-1.77,-2.68
200610,3.36,2.52
200611,2.89,2.10
200612,2.53,1.82
200701,2.38,1.65
200702,2.18,1.46
200703,1.62,0.88
200704,1.48,0.73
200705,1.29,0.44
200706,0.84,-0.02
200707,0.63,-0.28
200708,0.88,0.02
200709,1.06,0.15
200710,-0.48,-1.32
200711,-1.18,-1.97
200712,0.84,0.13
200801,0.97,0.24
200802,1.37,0.65
200803,0.91,0.17
200804,0.78,0.03
200805,0.72,-0.13
200806,1.00,0.14
200807,0.56,-0.35
200808,-0.65,-1.51
200809,-0.81,-1.72
200810,-1.15,-1.99
200811,-1.27,-2.06
200812,-0.57,-1.28
200901,-0.84,-1.57
200902,-1.13,-1.85
200903,-1.71,-2.45
200904,-1.48,-2.23
200905,-1.26,-2.11
200906,-1.25,-2.11
200907,-1.92,-2.83
200908,-2.70,-3.56
200909,-2.59,-3.50
