Grand County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.73,-4.37
199002,-3.57,-4.25
199003,-3.63,-4.27
199004,-3.85,-4.53
199005,-4.38,-5.14
199006,-4.77,-5.55
199007,-4.70,-5.56
199008,-4.90,-5.68
199009,-3.48,-4.35
199010,-3.63,-4.41
199011,-3.37,-4.11
199012,-3.24,-3.87
199101,-3.13,-3.77
199102,-3.27,-3.95
199103,-1.88,-2.52
199104,-1.63,-2.31
199105,-2.09,-2.85
199106,-2.45,-3.23
199107,-2.11,-2.97
199108,-1.74,-2.52
199109,0.16,-0.71
199110,0.85,0.07
199111,1.18,0.44
199112,0.82,0.19
199201,-0.11,-0.75
199202,0.51,-0.17
199203,0.63,-0.01
199204,-0.77,-1.45
199205,0.77,0.01
199206,0.49,-0.29
199207,0.64,-0.22
199208,-0.49,-1.27
199209,-0.93,-1.80
199210,-0.88,-1.66
199211,-0.69,-1.43
199212,-0.41,-1.04
199301,1.90,1.26
199302,3.09,2.41
199303,2.93,2.29
199304,2.87,2.19
199305,4.19,3.43
199306,4.80,4.02
199307,4.44,3.58
199308,4.09,3.31
199309,2.52,1.65
199310,3.94,3.16
199311,3.61,2.87
199312,2.70,2.07
199401,1.79,1.15
199402,2.48,1.80
199403,0.55,-0.09
199404,2.08,1.40
199405,1.21,0.45
199406,-0.03,-0.81
199407,-1.58,-2.44
199408,-1.87,-2.65
199409,-0.78,-1.65
199410,0.12,-0.66
199411,1.11,0.37
199412,1.04,0.41
199501,1.24,0.60
199502,0.08,-0.60
199503,0.81,0.17
199504,1.10,0.42
199505,2.49,1.73
199506,3.49,2.71
199507,3.89,3.03
199508,3.51,2.73
199509,2.31,1.44
199510,0.46,-0.32
199511,-1.27,-2.01
199512,-2.04,-2.67
199601,-2.02,-2.66
199602,-1.76,-2.44
199603,-1.86,-2.50
199604,-1.74,-2.42
199605,-2.16,-2.92
199606,-2.32,-3.10
199607,-2.61,-3.47
199608,-3.38,-4.16
199609,-1.16,-2.03
199610,-0.11,-0.89
199611,0.78,0.04
199612,0.51,-0.12
199701,1.49,0.85
199702,1.53,0.85
199703,-0.35,-0.99
199704,1.68,1.00
199705,1.91,1.15
199706,1.92,1.14
199707,2.07,1.21
199708,2.95,2.17
199709,4.24,3.37
199710,3.96,3.18
199711,3.53,2.79
199712,2.53,1.90
199801,1.80,1.16
199802,2.05,1.37
199803,2.32,1.68
199804,2.73,2.05
199805,2.48,1.72
199806,2.59,1.81
199807,2.77,1.91
199808,0.40,-0.38
199809,0.16,-0.71
199810,1.36,0.58
199811,1.02,0.28
199812,0.13,-0.50
199901,-0.72,-1.36
199902,-1.11,-1.79
199903,-2.05,-2.69
199904,1.09,0.41
199905,1.14,0.38
199906,1.18,0.40
199907,2.05,1.19
199908,2.71,1.93
199909,2.46,1.59
199910,0.21,-0.57
199911,-1.60,-2.34
199912,-1.89,-2.52
200001,-1.64,-2.28
200002,-1.50,-2.18
200003,-0.83,-1.47
200004,-1.85,-2.53
200005,-2.42,-3.18
200006,-2.74,-3.52
200007,-3.26,-4.12
200008,-3.23,-4.01
200009,-3.11,-3.98
200010,-1.82,-2.60
200011,-1.48,-2.22
200012,-1.76,-2.39
200101,-1.22,-1.86
200102,-0.51,-1.19
200103,-0.73,-1.37
200104,-0.23,-0.91
200105,0.34,-0.42
200106,-0.52,-1.30
200107,0.32,-0.54
200108,0.50,-0.28
200109,-0.60,-1.47
200110,-1.21,-1.99
200111,-1.22,-1.96
200112,-1.37,-2.00
200201,-1.67,-2.31
200202,-2.12,-2.80
200203,-2.45,-3.09
200204,-3.03,-3.71
200205,-3.92,-4.68
200206,-4.76,-5.54
200207,-5.28,-6.14
200208,-5.51,-6.29
200209,-1.48,-2.35
200210,-1.24,-2.02
200211,-1.21,-1.95
200212,-1.89,-2.52
200301,-2.94,-3.58
200302,-2.18,-2.86
200303,-1.81,-2.45
200304,-2.50,-3.18
200305,-2.75,-3.51
200306,-3.25,-4.03
200307,-4.06,-4.92
200308,-4.16,-4.94
200309,-3.75,-4.62
200310,-4.22,-5.00
200311,-3.38,-4.12
200312,-2.68,-3.31
200401,-2.54,-3.18
200402,-1.46,-2.14
200403,-3.07,-3.71
200404,-0.67,-1.35
200405,-1.30,-2.06
200406,-1.84,-2.62
200407,-2.28,-3.14
200408,-2.62,-3.40
200409,-0.40,-1.27
200410,0.83,0.05
200411,1.73,0.99
200412,1.65,1.02
200501,2.68,2.04
200502,2.88,2.20
200503,2.85,2.21
200504,2.33,1.65
200505,2.54,1.78
200506,3.35,2.57
200507,3.18,2.32
200508,3.06,2.28
200509,3.22,2.35
200510,2.64,1.86
200511,1.07,0.33
200512,-0.08,-0.71
200601,-0.82,-1.46
