Grand County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-0.76,-1.01
199002,-0.67,-0.93
199003,-1.28,-1.40
199004,-1.79,-2.04
199005,-2.79,-3.18
199006,-2.51,-2.86
199007,-1.26,-1.74
199008,-2.06,-2.18
199009,1.21,0.79
199010,-0.87,-1.07
199011,-0.27,-0.36
199012,-0.42,-0.42
199101,-0.41,-0.66
199102,-1.39,-1.65
199103,1.36,1.24
199104,-0.07,-0.32
199105,-1.02,-1.41
199106,-0.99,-1.34
199107,0.02,-0.46
199108,0.11,-0.01
199109,2.15,1.73
199110,0.82,0.62
199111,0.99,0.90
199112,-0.15,-0.15
199201,-0.76,-1.01
199202,0.78,0.52
199203,0.35,0.23
199204,-2.30,-2.55
199205,2.32,1.93
199206,-0.60,-0.95
199207,0.59,0.11
199208,-1.46,-1.58
199209,-1.49,-1.91
199210,-0.14,-0.34
199211,0.31,0.22
199212,0.63,0.63
199301,4.89,4.64
199302,4.15,3.89
199303,0.48,0.36
199304,0.72,0.47
199305,4.86,4.47
199306,3.13,2.78
199307,0.40,-0.08
199308,0.30,0.18
199309,-1.52,-1.94
199310,3.31,3.11
199311,0.23,0.14
199312,-0.65,-0.65
199401,-0.75,-1.00
199402,1.39,1.13
199403,-2.22,-2.34
199404,2.44,2.19
199405,-0.79,-1.18
199406,-1.42,-1.77
199407,-2.83,-3.31
199408,-1.35,-1.47
199409,1.02,0.60
199410,0.89,0.69
199411,1.70,1.61
199412,0.14,0.14
199501,0.92,0.67
199502,-1.00,-1.26
199503,0.94,0.82
199504,0.58,0.33
199505,4.49,4.10
199506,3.77,3.42
199507,2.28,1.80
199508,0.11,-0.01
199509,-1.06,-1.48
199510,-2.10,-2.30
199511,-2.22,-2.31
199512,-1.69,-1.69
199601,-0.56,-0.81
199602,-0.02,-0.28
199603,-0.70,-0.82
199604,-0.20,-0.45
199605,-1.80,-2.19
199606,-1.15,-1.50
199607,-1.58,-2.06
199608,-3.10,-3.22
199609,2.46,2.04
199610,1.13,0.93
199611,1.07,0.98
199612,-0.42,-0.42
199701,1.56,1.31
199702,0.60,0.34
199703,-1.92,-2.04
199704,3.06,2.81
199705,1.21,0.82
199706,0.63,0.28
199707,1.04,0.56
199708,3.29,3.17
199709,4.76,4.34
199710,0.49,0.29
199711,0.04,-0.05
199712,-0.78,-0.78
199801,-0.52,-0.77
199802,0.77,0.51
199803,0.83,0.71
199804,1.48,1.23
199805,0.12,-0.27
199806,1.08,0.73
199807,1.34,0.86
199808,-2.69,-2.81
199809,-0.10,-0.52
199810,1.88,1.68
199811,-0.15,-0.24
199812,-1.00,-1.00
199901,-1.12,-1.37
199902,-1.18,-1.44
199903,-3.15,-3.27
199904,3.61,3.36
199905,0.19,-0.20
199906,0.45,0.10
199907,2.98,2.50
199908,2.61,2.49
199909,0.13,-0.29
199910,-2.54,-2.74
199911,-2.53,-2.62
199912,-1.36,-1.36
200001,-0.02,-0.27
200002,-0.14,-0.40
200003,0.53,0.41
200004,-2.24,-2.49
200005,-2.26,-2.65
200006,-1.72,-2.07
200007,-2.42,-2.90
200008,-0.92,-1.04
200009,-0.62,-1.04
200010,1.23,1.03
200011,0.06,-0.03
200012,-0.74,-0.74
200101,0.37,0.12
200102,0.69,0.43
200103,-0.54,-0.66
200104,0.49,0.24
200105,0.72,0.33
200106,-1.44,-1.79
200107,1.17,0.69
200108,0.42,0.30
200109,-1.79,-2.21
200110,-2.03,-2.23
200111,-0.41,-0.50
200112,-0.81,-0.81
200201,-1.34,-1.59
200202,-1.85,-2.11
200203,-1.64,-1.76
200204,-2.52,-2.77
200205,-3.60,-3.99
200206,-3.73,-4.08
200207,-3.02,-3.50
200208,-2.32,-2.44
200209,4.84,4.42
200210,-0.12,-0.32
200211,-0.39,-0.48
200212,-1.43,-1.43
200301,-2.18,-2.43
200302,0.55,0.29
200303,0.06,-0.06
200304,-1.58,-1.83
200305,-0.87,-1.26
200306,-2.10,-2.45
200307,-3.44,-3.92
200308,-1.53,-1.65
200309,-0.12,-0.54
200310,-2.52,-2.72
200311,0.48,0.39
200312,0.38,0.38
200401,-0.33,-0.58
200402,1.04,0.78
200403,-3.12,-3.24
200404,2.74,2.49
200405,-1.15,-1.54
200406,-1.10,-1.45
200407,-1.02,-1.50
200408,-1.64,-1.76
200409,2.49,2.07
200410,1.45,1.25
200411,1.88,1.79
200412,0.29,0.29
200501,3.60,3.35
200502,1.42,1.16
200503,0.80,0.68
200504,-0.22,-0.47
200505,0.94,0.55
200506,3.21,2.86
200507,0.52,0.04
200508,0.61,0.49
200509,1.42,1.00
200510,-0.25,-0.45
200511,-1.66,-1.75
200512,-1.28,-1.28
200601,-0.91,-1.16
200602,-2.16,-2.42
200603,1.30,1.18
200604,-1.94,-2.19
200605,-3.54,-3.93
200606,-2.78,-3.13
200607,-0.73,-1.21
200608,-0.18,-0.30
200609,2.69,2.27
200610,7.67,7.47
200611,-0.38,-0.47
200612,-0.18,-0.18
200701,0.32,0.07
200702,0.16,-0.10
200703,-1.03,-1.15
200704,0.10,-0.15
200705,-0.10,-0.49
200706,-0.95,-1.30
200707,-0.39,-0.87
200708,0.95,0.83
200709,0.80,0.38
200710,-1.45,-1.65
200711,-2.23,-2.32
200712,2.51,2.51
200801,0.67,0.42
200802,1.49,1.23
