Grand County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,6.95,-4.92
199002,6.89,-4.99
199003,6.97,-4.93
199004,7.56,-4.33
199005,7.41,-4.48
199006,7.82,-4.07
199007,7.76,-4.14
199008,7.14,-4.76
199009,8.47,-3.42
199010,8.72,-3.19
199011,9.36,-2.55
199012,10.06,-1.86
199101,10.02,-1.85
199102,9.46,-2.42
199103,10.30,-1.60
199104,10.26,-1.63
199105,10.33,-1.56
199106,10.12,-1.77
199107,10.26,-1.64
199108,11.03,-0.87
199109,11.26,-0.63
199110,12.25,0.34
199111,12.69,0.78
199112,12.72,0.80
199201,12.46,0.59
199202,13.44,1.56
199203,13.16,1.26
199204,12.86,0.97
199205,14.82,2.93
199206,14.75,2.86
199207,14.77,2.87
199208,14.07,2.17
199209,12.58,0.69
199210,12.22,0.31
199211,11.78,-0.13
199212,12.17,0.25
199301,14.63,2.76
199302,15.59,3.71
199303,15.13,3.23
199304,15.73,3.84
199305,15.61,3.72
199306,15.61,3.72
199307,14.55,2.65
199308,15.08,3.18
199309,14.94,3.05
199310,16.32,4.41
199311,16.16,4.25
199312,15.41,3.49
199401,12.86,0.99
199402,11.99,0.11
199403,11.13,-0.77
199404,12.53,0.64
199405,10.57,-1.32
199406,10.33,-1.56
199407,10.43,-1.47
199408,10.24,-1.66
199409,11.48,-0.41
199410,10.29,-1.62
199411,11.09,-0.82
199412,11.53,-0.39
199501,12.29,0.42
199502,11.63,-0.25
199503,13.12,1.22
199504,11.75,-0.14
199505,14.05,2.16
199506,15.44,3.55
199507,16.00,4.10
199508,16.11,4.21
199509,15.13,3.24
199510,13.69,1.78
199511,12.48,0.57
199512,11.91,-0.01
199601,11.58,-0.29
199602,12.15,0.27
199603,11.48,-0.42
199604,11.40,-0.49
199605,9.52,-2.37
199606,8.98,-2.91
199607,9.02,-2.88
199608,8.16,-3.74
199609,9.57,-2.32
199610,11.12,-0.79
199611,12.31,0.40
199612,12.66,0.74
199701,13.34,1.47
199702,12.99,1.11
199703,12.22,0.32
199704,13.52,1.63
199705,13.83,1.94
199706,13.40,1.51
199707,13.81,1.91
199708,16.06,4.16
199709,17.05,5.16
199710,16.74,4.83
199711,16.20,4.29
199712,16.10,4.18
199801,15.27,3.40
199802,15.61,3.73
199803,16.87,4.97
199804,16.04,4.15
199805,15.55,3.66
199806,15.98,4.09
199807,16.01,4.11
199808,13.73,1.83
199809,11.89,0.00
199810,12.65,0.74
199811,12.65,0.74
199812,12.53,0.61
199901,12.28,0.41
199902,11.61,-0.27
199903,10.22,-1.68
199904,11.61,-0.28
199905,11.80,-0.09
199906,12.05,0.16
199907,13.07,1.17
199908,15.05,3.15
199909,14.89,3.00
199910,12.78,0.87
199911,12.02,0.11
199912,11.99,0.07
200001,12.61,0.74
200002,13.24,1.36
200003,14.61,2.71
200004,12.19,0.30
200005,11.94,0.05
200006,11.28,-0.61
200007,9.45,-2.45
200008,8.44,-3.46
200009,8.33,-3.56
200010,10.19,-1.72
200011,10.71,-1.20
200012,10.88,-1.04
200101,10.90,-0.97
200102,10.89,-0.99
200103,10.44,-1.46
200104,11.42,-0.47
200105,12.34,0.45
200106,11.92,0.03
200107,13.23,1.33
200108,13.57,1.67
200109,13.16,1.27
200110,11.62,-0.29
200111,11.98,0.07
200112,12.01,0.09
200201,11.32,-0.55
200202,10.29,-1.59
200203,9.63,-2.27
200204,8.69,-3.20
200205,7.47,-4.42
200206,7.50,-4.39
200207,6.25,-5.65
200208,5.25,-6.65
200209,7.87,-4.02
200210,8.56,-3.35
200211,8.27,-3.64
200212,7.99,-3.93
200301,7.81,-4.06
200302,9.02,-2.86
200303,10.06,-1.84
200304,9.99,-1.90
200305,10.96,-0.93
200306,11.07,-0.82
200307,10.76,-1.14
200308,11.15,-0.75
200309,9.10,-2.79
200310,8.36,-3.55
200311,8.73,-3.18
200312,9.48,-2.44
200401,9.96,-1.91
200402,9.83,-2.05
200403,8.56,-3.34
200404,10.91,-0.98
200405,10.00,-1.89
200406,10.10,-1.79
200407,10.67,-1.23
200408,10.39,-1.51
200409,11.41,-0.48
200410,13.07,1.16
200411,13.70,1.79
200412,13.53,1.61
200501,15.35,3.48
200502,15.32,3.44
200503,16.39,4.49
200504,14.40,2.51
200505,14.79,2.90
200506,16.04,4.15
200507,15.70,3.80
200508,16.53,4.63
200509,16.12,4.23
200510,15.34,3.43
200511,14.01,2.10
200512,13.55,1.63
200601,11.70,-0.17
200602,10.60,-1.28
200603,11.34,-0.56
200604,11.01,-0.88
200605,10.40,-1.49
200606,9.13,-2.76
200607,9.98,-1.92
200608,9.81,-2.09
200609,10.20,-1.69
200610,13.99,2.08
200611,14.14,2.23
200612,14.11,2.19
200701,14.08,2.21
200702,14.67,2.79
200703,13.41,1.51
200704,14.17,2.28
200705,14.76,2.87
200706,14.51,2.62
200707,14.38,2.48
200708,14.93,3.03
200709,14.34,2.45
200710,9.85,-2.06
200711,9.56,-2.35
200712,11.28,-0.64
200801,11.74,-0.13
200802,12.37,0.49
200803,12.09,0.19
200804,11.64,-0.25
200805,11.67,-0.22
200806,12.53,0.64
200807,11.82,-0.08
200808,10.94,-0.96
200809,10.30,-1.59
200810,10.49,-1.42
200811,11.15,-0.76
200812,10.76,-1.16
200901,10.06,-1.81
200902,9.23,-2.65
200903,9.15,-2.75
200904,9.71,-2.18
200905,10.74,-1.15
200906,10.70,-1.19
200907,10.50,-1.40
200908,9.74,-2.16
200909,9.88,-2.01
200910,10.04,-1.87
200911,9.56,-2.35
200912,9.28,-2.64
201001,9.98,-1.89
201002,10.77,-1.11
201003,11.79,-0.11
201004,11.37,-0.52
201005,10.00,-1.89
201006,9.81,-2.08
201007,10.05,-1.85
201008,11.45,-0.45
201009,11.16,-0.73
201010,12.36,0.45
201011,12.94,1.03
201012,13.97,2.05
201101,12.99,1.12
201102,12.37,0.49
201103,11.64,-0.26
201104,12.07,0.18
201105,13.63,1.74
201106,13.49,1.60
201107,15.16,3.26
201108,14.66,2.76
201109,15.23,3.34
201110,14.66,2.75
201111,14.44,2.53
201112,12.69,0.77
201201,13.04,1.17
201202,13.05,1.17
201203,12.74,0.84
201204,11.84,-0.05
201205,9.95,-1.94
201206,9.39,-2.50
201207,8.28,-3.62
201208,7.97,-3.93
201209,7.50,-4.39
201210,6.92,-4.99
201211,6.53,-5.38
201212,7.11,-4.81
201301,7.46,-4.41
201302,7.12,-4.76
201303,7.06,-4.84
201304,7.82,-4.07
201305,8.84,-3.05
201306,8.83,-3.06
201307,9.66,-2.24
201308,10.41,-1.49
201309,12.49,0.60
201310,13.03,1.12
201311,14.06,2.15
201312,13.47,1.55
201401,12.95,1.08
201402,13.05,1.17
201403,13.28,1.38
201404,13.16,1.27
201405,13.95,2.06
201406,13.98,2.09
201407,13.70,1.80
201408,14.80,2.90
201409,14.06,2.17
201410,12.85,0.94
201411,11.89,-0.02
201412,12.20,0.28
201501,12.72,0.85
201502,12.55,0.67
201503,12.61,0.71
201504,13.09,1.20
201505,13.53,1.64
201506,15.30,3.41
201507,15.72,3.82
201508,13.98,2.08
201509,12.56,0.67
201510,14.78,2.87
201511,15.80,3.89
201512,16.18,4.26
201601,16.06,4.19
201602,16.40,4.52
201603,16.85,4.95
201604,16.87,4.98
201605,15.87,3.98
201606,14.32,2.43
201607,13.09,1.19
201608,13.25,1.35
201609,14.08,2.19
201610,12.56,0.65
201611,12.19,0.28
201612,11.84,-0.08
201701,12.86,0.99
201702,12.95,1.07
201703,12.32,0.42
201704,11.14,-0.75
201705,10.67,-1.22
201706,10.44,-1.45
201707,11.50,-0.40
201708,11.37,-0.53
201709,10.87,-1.02
201710,10.38,-1.53
201711,9.40,-2.51
201712,8.78,-3.14
201801,7.63,-4.24
201802,8.31,-3.57
201803,8.93,-2.97
201804,9.20,-2.69
201805,9.24,-2.65
201806,9.25,-2.64
201807,8.24,-3.66
201808,8.36,-3.54
201809,7.47,-4.42
201810,10.15,-1.76
201811,10.10,-1.81
201812,10.47,-1.45
201901,11.03,-0.84
201902,11.78,-0.10
201903,13.65,1.75
201904,14.69,2.80
201905,15.75,3.86
201906,16.05,4.16
201907,15.62,3.72
201908,14.70,2.80
201909,14.81,2.92
201910,11.69,-0.22
201911,13.07,1.16
201912,13.60,1.68
202001,12.95,1.08
202002,11.28,-0.60
202003,9.71,-2.19
202004,8.30,-3.59
202005,6.54,-5.35
202006,7.39,-4.50
202007,7.38,-4.52
202008,7.32,-4.58
202009,7.55,-4.34
202010,8.12,-3.79
202011,7.12,-4.79
202012,6.38,-5.54
202101,6.39,-5.48
202102,6.53,-5.35
202103,6.31,-5.59
202104,6.93,-4.96
202105,7.21,-4.68
202106,6.48,-5.41
202107,7.29,-4.61
202108,9.15,-2.75
202109,9.99,-1.90
202110,11.45,-0.46
202111,11.05,-0.86
202112,12.47,0.55
202201,12.19,0.32
202202,12.11,0.23
202203,11.81,-0.09
202204,11.47,-0.42
202205,11.30,-0.59
202206,11.19,-0.70
202207,11.41,-0.49
202208,10.70,-1.20
202209,10.64,-1.25
202210,10.45,-1.46
202211,11.25,-0.66
202212,10.72,-1.20
202301,12.83,0.96
202302,13.50,1.62
202303,14.95,3.05
202304,14.86,2.97
202305,14.93,3.04
202306,15.03,3.14
202307,13.71,1.81
202308,13.75,1.85
202309,13.05,1.16
202310,11.76,-0.15
202311,11.71,-0.20
202312,10.70,-1.22
202401,9.06,-2.81
202402,8.99,-2.89
202403,7.99,-3.91
