Iron County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,49.6,2.0
199002,49.7,2.1
199003,49.5,1.9
199004,49.2,1.6
199005,49.0,1.4
199006,49.2,1.6
199007,49.1,1.5
199008,49.2,1.6
199009,49.4,1.8
199010,49.5,1.9
199011,49.3,1.7
199012,48.5,0.9
199101,48.2,0.6
199102,49.0,1.4
199103,48.4,0.8
199104,47.9,0.3
199105,47.7,0.1
199106,47.3,-0.3
199107,47.3,-0.3
199108,47.4,-0.2
199109,47.2,-0.4
199110,47.3,-0.3
199111,47.1,-0.5
199112,47.8,0.2
199201,47.9,0.3
199202,47.8,0.2
199203,48.2,0.6
199204,49.0,1.4
199205,49.6,2.0
199206,49.7,2.1
199207,49.5,1.9
199208,49.5,1.9
199209,49.5,1.9
199210,49.6,2.0
199211,49.3,1.7
199212,49.0,1.4
199301,49.0,1.4
199302,48.5,0.9
199303,48.6,1.0
199304,48.1,0.5
199305,48.0,0.4
199306,47.8,0.2
199307,47.8,0.2
199308,47.7,0.1
199309,47.5,-0.1
199310,47.2,-0.4
199311,47.3,-0.3
199312,47.6,0.0
199401,48.0,0.4
199402,48.0,0.4
199403,48.1,0.5
199404,48.1,0.5
199405,48.1,0.5
199406,48.8,1.2
199407,49.2,1.6
199408,49.5,1.9
199409,49.7,2.1
199410,49.6,2.0
199411,49.2,1.6
199412,49.3,1.7
199501,49.1,1.5
199502,50.0,2.4
199503,49.7,2.1
199504,49.4,1.8
199505,48.9,1.3
199506,48.0,0.4
199507,47.6,0.0
199508,47.6,0.0
199509,47.6,0.0
199510,47.9,0.3
199511,49.1,1.5
199512,49.3,1.7
199601,49.4,1.8
199602,49.0,1.4
199603,49.2,1.6
199604,49.5,1.9
199605,50.1,2.5
199606,50.9,3.3
199607,51.3,3.7
199608,51.3,3.7
199609,51.0,3.4
199610,50.7,3.1
199611,50.3,2.7
199612,50.2,2.6
199701,49.9,2.3
199702,49.5,1.9
199703,49.7,2.1
199704,49.4,1.8
199705,49.5,1.9
199706,49.2,1.6
199707,48.9,1.3
199708,48.7,1.1
199709,48.9,1.3
199710,49.0,1.4
199711,49.0,1.4
199712,48.7,1.1
199801,49.1,1.5
199802,49.0,1.4
199803,48.5,0.9
199804,48.4,0.8
199805,47.8,0.2
199806,47.4,-0.2
199807,47.5,-0.1
199808,47.6,0.0
199809,47.6,0.0
199810,47.5,-0.1
199811,47.4,-0.2
199812,47.5,-0.1
199901,47.6,0.0
199902,48.0,0.4
199903,48.3,0.7
199904,48.1,0.5
199905,48.3,0.7
199906,48.6,1.0
199907,48.4,0.8
199908,48.2,0.6
199909,48.1,0.5
199910,48.7,1.1
199911,49.1,1.5
199912,49.2,1.6
200001,49.1,1.5
200002,49.1,1.5
200003,48.9,1.3
200004,49.8,2.2
200005,50.4,2.8
200006,50.7,3.1
200007,50.9,3.3
200008,51.1,3.5
200009,51.3,3.7
200010,50.9,3.3
200011,49.8,2.2
200012,50.1,2.5
200101,49.8,2.2
200102,49.5,1.9
200103,49.7,2.1
200104,49.3,1.7
200105,49.3,1.7
200106,49.3,1.7
200107,49.2,1.6
200108,49.3,1.7
200109,49.5,1.9
200110,49.9,2.3
200111,50.6,3.0
200112,50.0,2.4
200201,50.1,2.5
200202,50.1,2.5
200203,49.7,2.1
200204,50.0,2.4
200205,49.7,2.1
200206,49.9,2.3
200207,50.2,2.6
200208,50.1,2.5
200209,49.8,2.2
200210,49.3,1.7
200211,49.2,1.6
200212,49.4,1.8
200301,50.2,2.6
200302,50.1,2.5
200303,50.4,2.8
