Iron County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,453,80
199002,453,80
199003,453,80
199004,447,74
199005,443,70
199006,481,108
199007,435,62
199008,452,78
199009,475,100
199010,475,100
199011,475,100
199012,475,100
199101,475,102
199102,475,102
199103,475,102
199104,475,102
199105,469,96
199106,407,34
199107,389,16
199108,419,45
199109,398,23
199110,398,23
199111,398,23
199112,398,23
199201,398,25
199202,398,25
199203,398,25
199204,404,31
199205,420,47
199206,439,66
199207,366,-7
199208,359,-15
199209,366,-9
199210,366,-9
199211,366,-9
199212,366,-9
199301,366,-7
199302,366,-7
199303,366,-7
199304,360,-13
199305,355,-18
199306,327,-46
199307,321,-52
199308,287,-87
199309,274,-101
199310,274,-101
199311,274,-101
199312,274,-101
199401,274,-99
199402,274,-99
199403,274,-99
199404,274,-99
199405,273,-100
199406,393,20
199407,534,161
199408,644,270
199409,663,288
199410,663,288
199411,663,288
199412,663,288
199501,663,290
199502,663,290
199503,663,290
199504,663,290
199505,653,280
199506,519,146
199507,403,30
199508,375,1
199509,380,5
199510,380,5
199511,380,5
199512,380,5
199601,380,7
199602,380,7
199603,380,7
199604,380,7
199605,396,23
199606,508,135
199607,635,262
199608,654,280
199609,623,248
199610,623,248
199611,623,248
199612,623,248
199701,623,250
199702,623,250
199703,623,250
199704,623,250
199705,628,255
199706,568,195
199707,443,70
199708,392,18
199709,404,29
199710,404,29
199711,404,29
199712,404,29
199801,404,31
199802,404,31
199803,404,31
199804,404,31
199805,383,10
199806,335,-38
199807,401,28
199808,429,55
199809,425,50
199810,425,50
199811,425,50
199812,425,50
199901,425,52
199902,425,52
199903,425,52
199904,425,52
199905,425,52
199906,462,89
199907,401,28
199908,322,-52
199909,319,-56
199910,319,-56
199911,319,-56
199912,319,-56
200001,319,-54
200002,319,-54
200003,319,-54
200004,319,-54
200005,345,-28
200006,398,25
200007,472,99
200008,542,168
200009,559,184
200010,559,184
200011,559,184
200012,559,184
200101,559,186
200102,559,186
200103,559,186
200104,559,186
200105,560,187
200106,554,181
200107,516,143
200108,543,169
200109,575,200
200110,580,205
200111,580,205
200112,580,205
200201,580,207
200202,580,207
200203,580,207
200204,580,207
200205,563,190
200206,599,226
200207,730,357
200208,703,329
200209,659,284
200210,654,279
200211,654,279
200212,654,279
200301,654,281
200302,654,281
200303,654,281
200304,654,281
200305,658,285
200306,614,241
200307,626,253
200308,640,266
200309,660,285
200310,670,295
200311,670,295
200312,670,295
200401,670,297
200402,670,297
200403,670,297
200404,670,297
200405,670,297
200406,673,300
200407,535,162
200408,461,87
200409,433,58
200410,423,48
200411,423,48
200412,423,48
200501,423,50
200502,423,50
200503,423,50
200504,423,50
200505,418,45
200506,353,-20
200507,435,62
200508,415,41
200509,418,43
200510,418,43
200511,418,43
200512,418,43
200601,418,45
200602,418,45
200603,418,45
200604,418,45
200605,431,58
200606,535,162
200607,511,138
200608,559,185
200609,549,174
200610,549,174
200611,549,174
200612,549,174
200701,549,176
200702,549,176
200703,549,176
200704,549,176
200705,543,170
200706,522,149
200707,574,201
200708,629,255
200709,644,269
200710,644,269
200711,644,269
200712,644,269
200801,644,271
200802,644,271
200803,644,271
200804,644,271
200805,628,255
200806,590,217
200807,520,147
200808,519,145
200809,531,156
200810,531,156
200811,531,156
200812,531,156
200901,531,158
200902,531,158
200903,531,158
200904,531,158
200905,560,187
200906,519,146
200907,525,152
200908,475,101
200909,490,115
200910,490,115
200911,490,115
200912,490,115
201001,490,117
201002,490,117
201003,490,117
201004,490,117
201005,461,88
201006,504,131
201007,517,144
201008,491,117
201009,491,116
201010,491,116
201011,491,116
201012,491,116
201101,491,118
201102,491,118
201103,491,118
201104,491,118
201105,491,118
201106,458,85
