Iron County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,6026,-661
199002,6006,-680
199003,6080,-607
199004,6175,-510
199005,6230,-454
199006,6190,-494
199007,6190,-494
199008,6184,-499
199009,6141,-540
199010,6096,-585
199011,6155,-528
199012,6450,-232
199101,6554,-133
199102,6298,-388
199103,6507,-180
199104,6696,11
199105,6778,94
199106,6854,170
199107,6854,170
199108,6847,164
199109,6883,202
199110,6864,183
199111,6911,228
199112,6670,-12
199201,6617,-70
199202,6664,-22
199203,6494,-193
199204,6213,-472
199205,6023,-661
199206,5993,-691
199207,6006,-678
199208,6007,-676
199209,5994,-687
199210,5956,-725
199211,6054,-629
199212,6185,-497
199301,6178,-509
199302,6345,-341
199303,6303,-384
199304,6475,-210
199305,6513,-171
199306,6566,-118
199307,6567,-117
199308,6577,-106
199309,6610,-71
199310,6733,52
199311,6696,13
199312,6574,-108
199401,6455,-232
199402,6448,-238
199403,6416,-271
199404,6402,-283
199405,6416,-268
199406,6283,-401
199407,6269,-415
199408,6249,-434
199409,6204,-477
199410,6247,-434
199411,6389,-294
199412,6357,-325
199501,6424,-263
199502,6125,-561
199503,6241,-446
199504,6345,-340
199505,6527,-157
199506,6717,33
199507,6726,42
199508,6726,43
199509,6719,38
199510,6611,-70
199511,6176,-507
199512,6105,-577
199601,6060,-627
199602,6178,-508
199603,6135,-552
199604,6028,-657
199605,5795,-889
199606,5618,-1066
199607,5609,-1075
199608,5609,-1074
199609,5690,-991
199610,5802,-879
199611,5973,-710
199612,6004,-678
199701,6089,-598
199702,6247,-439
199703,6146,-541
199704,6251,-434
199705,6226,-458
199706,6280,-404
199707,6288,-396
199708,6296,-387
199709,6251,-430
199710,6214,-467
199711,6186,-497
199712,6304,-378
199801,6185,-502
199802,6205,-481
199803,6385,-302
199804,6426,-259
199805,6633,-51
199806,6737,53
199807,6729,45
199808,6721,38
199809,6731,50
199810,6786,105
199811,6811,128
199812,6756,74
199901,6740,53
199902,6606,-80
199903,6483,-204
199904,6543,-142
199905,6496,-188
199906,6406,-278
199907,6414,-270
199908,6434,-249
199909,6447,-234
199910,6255,-426
199911,6099,-584
199912,6085,-597
200001,6102,-585
200002,6086,-600
200003,6177,-510
200004,5850,-835
200005,5670,-1014
200006,5615,-1069
200007,5607,-1077
200008,5593,-1090
200009,5548,-1133
200010,5685,-996
200011,6069,-614
200012,5956,-726
200101,6091,-596
200102,6181,-505
200103,6092,-595
200104,6238,-447
200105,6231,-453
200106,6237,-447
200107,6237,-447
200108,6231,-452
200109,6190,-491
200110,6036,-645
200111,5779,-904
200112,5996,-686
200201,5988,-699
200202,5977,-709
200203,6138,-549
200204,6016,-669
200205,6116,-568
200206,6089,-595
200207,6089,-595
200208,6095,-588
200209,6163,-518
200210,6351,-330
200211,6400,-283
200212,6313,-369
200301,6016,-671
200302,6048,-638
200303,5939,-748
200304,6118,-567
200305,6086,-598
200306,6120,-564
200307,6120,-564
200308,6114,-569
200309,6075,-606
200310,5820,-861
200311,5892,-791
200312,5833,-849
200401,6178,-509
200402,6272,-414
200403,6073,-614
200404,5972,-713
200405,5973,-711
200406,5970,-714
200407,5970,-714
200408,5987,-696
200409,6056,-625
200410,6290,-391
200411,6285,-398
200412,6265,-417
200501,6062,-625
200502,5898,-788
200503,6136,-551
200504,6224,-461
200505,6269,-415
200506,6353,-331
200507,6353,-331
200508,6361,-322
200509,6349,-332
200510,6278,-403
200511,6118,-565
200512,6117,-565
200601,6194,-493
200602,6199,-487
200603,6317,-370
200604,6234,-451
200605,6143,-541
200606,6029,-655
200607,6029,-655
200608,6014,-669
200609,6072,-609
200610,6158,-523
200611,6179,-504
200612,6255,-427
200701,6478,-209
200702,6447,-239
200703,6165,-522
200704,6132,-553
