Iron County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,64.3,2.7
199002,64.3,2.7
199003,64.0,2.4
199004,63.5,1.9
199005,63.4,1.8
199006,63.6,2.0
199007,63.4,1.8
199008,63.4,1.8
199009,63.5,1.9
199010,63.7,2.1
199011,63.4,1.8
199012,62.5,0.9
199101,62.1,0.5
199102,63.1,1.5
199103,62.4,0.8
199104,61.9,0.3
199105,61.6,0.0
199106,61.1,-0.5
199107,61.1,-0.5
199108,61.3,-0.3
199109,61.1,-0.5
199110,61.1,-0.5
199111,60.9,-0.7
199112,61.4,-0.2
199201,61.6,0.0
199202,61.1,-0.5
199203,61.6,0.0
199204,62.4,0.8
199205,63.0,1.4
199206,63.2,1.6
199207,62.8,1.2
199208,62.8,1.2
199209,62.9,1.3
199210,63.0,1.4
199211,62.7,1.1
199212,62.4,0.8
199301,62.1,0.5
199302,61.5,-0.1
199303,61.8,0.2
199304,61.2,-0.4
199305,61.2,-0.4
199306,60.9,-0.7
199307,61.0,-0.6
199308,60.8,-0.8
199309,60.8,-0.8
199310,60.5,-1.1
199311,60.6,-1.0
199312,61.1,-0.5
199401,61.7,0.1
199402,61.9,0.3
199403,62.1,0.5
199404,62.0,0.4
199405,61.9,0.3
199406,62.7,1.1
199407,63.2,1.6
199408,63.6,2.0
199409,63.6,2.0
199410,63.5,1.9
199411,63.0,1.4
199412,62.9,1.3
199501,62.4,0.8
199502,63.5,1.9
199503,63.0,1.4
199504,62.6,1.0
199505,62.0,0.4
199506,61.0,-0.6
199507,60.6,-1.0
199508,60.6,-1.0
199509,60.7,-0.9
199510,61.2,-0.4
199511,62.7,1.1
199512,63.1,1.5
199601,63.5,1.9
199602,63.0,1.4
199603,63.4,1.8
199604,63.9,2.3
199605,64.7,3.1
199606,65.7,4.1
199607,66.0,4.4
199608,66.1,4.5
199609,65.7,4.1
199610,65.3,3.7
199611,64.5,2.9
199612,64.3,2.7
199701,63.8,2.2
199702,63.3,1.7
199703,63.7,2.1
199704,63.3,1.7
199705,63.4,1.8
199706,62.9,1.3
199707,62.6,1.0
199708,62.3,0.7
199709,62.3,0.7
199710,62.5,0.9
199711,62.6,1.0
199712,62.3,0.7
199801,62.8,1.2
199802,62.5,0.9
199803,61.8,0.2
199804,61.6,0.0
199805,60.9,-0.7
199806,60.5,-1.1
199807,60.7,-0.9
199808,60.8,-0.8
199809,60.9,-0.7
199810,60.5,-1.1
199811,60.5,-1.1
199812,60.8,-0.8
199901,60.8,-0.8
199902,61.5,-0.1
199903,61.9,0.3
199904,61.7,0.1
199905,62.0,0.4
199906,62.4,0.8
199907,62.0,0.4
199908,61.7,0.1
199909,61.9,0.3
199910,62.8,1.2
199911,63.5,1.9
199912,63.5,1.9
200001,63.4,1.8
200002,63.3,1.7
200003,62.9,1.3
200004,64.0,2.4
200005,64.6,3.0
200006,64.9,3.3
200007,65.4,3.8
200008,65.6,4.0
200009,65.7,4.1
200010,64.9,3.3
200011,63.5,1.9
200012,63.7,2.1
200101,63.5,1.9
200102,63.2,1.6
200103,63.4,1.8
200104,62.9,1.3
200105,63.0,1.4
200106,63.0,1.4
200107,62.9,1.3
200108,63.1,1.5
200109,63.4,1.8
200110,64.1,2.5
200111,64.8,3.2
200112,64.1,2.5
200201,64.2,2.6
200202,64.6,3.0
200203,64.2,2.6
200204,64.7,3.1
200205,64.4,2.8
200206,64.6,3.0
200207,65.0,3.4
200208,65.0,3.4
200209,64.5,2.9
200210,63.8,2.2
200211,63.7,2.1
200212,64.0,2.4
200301,64.9,3.3
200302,64.5,2.9
200303,64.6,3.0
200304,63.9,2.3
200305,63.9,2.3
200306,63.6,2.0
200307,63.7,2.1
200308,63.6,2.0
200309,63.9,2.3
200310,64.8,3.2
200311,64.4,2.8
200312,64.6,3.0
200401,63.6,2.0
200402,63.2,1.6
200403,64.0,2.4
200404,64.3,2.7
200405,64.3,2.7
200406,64.3,2.7
200407,63.8,2.2
200408,63.6,2.0
200409,63.3,1.7
200410,62.3,0.7
200411,62.3,0.7
200412,62.3,0.7
200501,62.6,1.0
200502,63.0,1.4
200503,62.2,0.6
200504,62.0,0.4
200505,61.8,0.2
200506,61.3,-0.3
200507,61.6,0.0
200508,61.5,-0.1
200509,61.5,-0.1
200510,61.9,0.3
200511,62.5,0.9
200512,62.7,1.1
200601,62.7,1.1
200602,63.0,1.4
200603,62.6,1.0
200604,62.9,1.3
200605,63.3,1.7
200606,64.1,2.5
200607,63.9,2.3
200608,64.1,2.5
200609,64.0,2.4
200610,63.7,2.1
200611,63.7,2.1
200612,63.4,1.8
200701,62.8,1.2
200702,62.8,1.2
200703,63.8,2.2
200704,63.9,2.3
200705,63.8,2.2
200706,63.8,2.2
200707,64.0,2.4
200708,64.1,2.5
200709,64.3,2.7
200710,64.6,3.0
200711,64.9,3.3
200712,64.6,3.0
200801,64.6,3.0
200802,64.4,2.8
200803,63.9,2.3
200804,63.6,2.0
200805,63.1,1.5
200806,62.9,1.3
200807,62.6,1.0
200808,62.7,1.1
200809,62.9,1.3
200810,63.1,1.5
200811,62.8,1.2
200812,63.1,1.5
200901,63.7,2.1
200902,63.7,2.1
200903,63.8,2.2
200904,63.7,2.1
200905,64.5,2.9
200906,64.0,2.4
200907,64.1,2.5
200908,64.0,2.4
200909,64.1,2.5
200910,63.6,2.0
200911,63.6,2.0
200912,63.3,1.7
201001,63.2,1.6
201002,63.0,1.4
201003,62.8,1.2
201004,62.6,1.0
201005,61.7,0.1
201006,62.0,0.4
201007,62.0,0.4
201008,61.8,0.2
201009,62.0,0.4
201010,62.1,0.5
201011,61.5,-0.1
201012,62.1,0.5
201101,62.1,0.5
201102,62.0,0.4
201103,62.1,0.5
201104,62.2,0.6
201105,62.2,0.6
201106,62.0,0.4
201107,61.7,0.1
201108,62.0,0.4
201109,61.8,0.2
201110,62.0,0.4
201111,62.2,0.6
201112,62.0,0.4
201201,62.4,0.8
201202,62.7,1.1
201203,62.9,1.3
201204,63.3,1.7
201205,64.1,2.5
201206,64.7,3.1
201207,64.7,3.1
201208,64.6,3.0
201209,64.5,2.9
201210,64.7,3.1
201211,65.2,3.6
201212,65.0,3.4
201301,64.0,2.4
201302,63.9,2.3
201303,64.0,2.4
201304,63.8,2.2
201305,63.5,1.9
201306,63.6,2.0
201307,63.8,2.2
201308,63.6,2.0
201309,63.1,1.5
201310,62.6,1.0
201311,62.2,0.6
201312,62.3,0.7
201401,63.3,1.7
201402,63.9,2.3
201403,63.7,2.1
201404,63.8,2.2
201405,63.8,2.2
201406,63.6,2.0
201407,63.6,2.0
201408,63.4,1.8
201409,63.9,2.3
201410,64.6,3.0
201411,64.7,3.1
201412,65.0,3.4
201501,64.8,3.2
201502,65.1,3.5
201503,65.5,3.9
201504,65.5,3.9
201505,65.0,3.4
201506,65.3,3.7
201507,64.9,3.3
201508,65.3,3.7
201509,65.5,3.9
201510,65.4,3.8
201511,64.9,3.3
201512,64.7,3.1
201601,64.2,2.6
201602,63.9,2.3
201603,63.6,2.0
201604,63.5,1.9
201605,63.7,2.1
201606,63.8,2.2
201607,64.2,2.6
201608,64.1,2.5
201609,63.6,2.0
201610,63.6,2.0
201611,64.3,2.7
201612,64.3,2.7
201701,64.1,2.5
201702,63.9,2.3
201703,64.1,2.5
201704,64.1,2.5
201705,64.4,2.8
201706,64.3,2.7
201707,64.4,2.8
201708,64.5,2.9
201709,64.3,2.7
201710,64.2,2.6
201711,64.5,2.9
201712,65.0,3.4
201801,65.9,4.3
201802,65.8,4.2
201803,65.1,3.5
201804,65.5,3.9
201805,65.6,4.0
201806,65.6,4.0
201807,65.6,4.0
201808,65.8,4.2
201809,66.4,4.8
201810,65.8,4.2
201811,65.1,3.5
201812,64.5,2.9
201901,63.9,2.3
201902,63.1,1.5
201903,63.0,1.4
201904,62.7,1.1
201905,61.8,0.2
201906,61.2,-0.4
201907,61.0,-0.6
201908,61.1,-0.5
201909,60.7,-0.9
201910,60.9,-0.7
201911,61.2,-0.4
201912,61.2,-0.4
202001,61.5,-0.1
202002,62.3,0.7
202003,62.4,0.8
202004,62.4,0.8
202005,63.5,1.9
202006,63.8,2.2
202007,64.0,2.4
202008,64.2,2.6
202009,64.6,3.0
202010,65.5,3.9
202011,65.4,3.8
202012,65.6,4.0
202101,65.5,3.9
202102,65.4,3.8
202103,65.4,3.8
202104,65.6,4.0
202105,65.5,3.9
202106,66.1,4.5
202107,66.0,4.4
202108,65.6,4.0
202109,65.5,3.9
202110,64.6,3.0
202111,65.1,3.5
202112,65.1,3.5
202201,65.3,3.7
202202,65.3,3.7
202203,65.6,4.0
202204,65.5,3.9
202205,65.4,3.8
202206,65.1,3.5
202207,65.1,3.5
202208,65.0,3.4
202209,65.1,3.5
202210,65.6,4.0
202211,64.5,2.9
202212,64.4,2.8
202301,63.7,2.1
202302,63.3,1.7
202303,62.4,0.8
202304,62.2,0.6
202305,62.1,0.5
202306,61.4,-0.2
202307,61.6,0.0
202308,61.5,-0.1
202309,61.0,-0.6
202310,61.0,-0.6
202311,61.6,0.0
202312,62.1,0.5
202401,62.5,0.9
202402,63.0,1.4
202403,63.6,2.0
