Iron County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,34.9,1.2
199002,35.1,1.4
199003,35.0,1.3
199004,34.9,1.2
199005,34.7,1.0
199006,34.9,1.2
199007,34.9,1.2
199008,34.9,1.2
199009,35.2,1.5
199010,35.3,1.6
199011,35.2,1.5
199012,34.6,0.9
199101,34.4,0.7
199102,35.0,1.3
199103,34.5,0.8
199104,33.9,0.2
199105,33.7,0.0
199106,33.5,-0.2
199107,33.4,-0.3
199108,33.4,-0.3
199109,33.2,-0.5
199110,33.3,-0.4
199111,33.4,-0.3
199112,34.1,0.4
199201,34.2,0.5
199202,34.4,0.7
199203,34.9,1.2
199204,35.6,1.9
199205,36.2,2.5
199206,36.2,2.5
199207,36.1,2.4
199208,36.1,2.4
199209,36.1,2.4
199210,36.3,2.6
199211,36.0,2.3
199212,35.6,1.9
199301,35.9,2.2
199302,35.5,1.8
199303,35.5,1.8
199304,35.0,1.3
199305,34.9,1.2
199306,34.7,1.0
199307,34.6,0.9
199308,34.5,0.8
199309,34.3,0.6
199310,33.9,0.2
199311,34.0,0.3
199312,34.2,0.5
199401,34.2,0.5
199402,34.0,0.3
199403,34.0,0.3
199404,34.2,0.5
199405,34.1,0.4
199406,34.8,1.1
199407,35.1,1.4
199408,35.5,1.8
199409,35.8,2.1
199410,35.7,2.0
199411,35.4,1.7
199412,35.6,1.9
199501,35.8,2.1
199502,36.5,2.8
199503,36.4,2.7
199504,36.1,2.4
199505,35.7,2.0
199506,34.9,1.2
199507,34.6,0.9
199508,34.5,0.8
199509,34.5,0.8
199510,34.5,0.8
199511,35.4,1.7
199512,35.5,1.8
199601,35.3,1.6
199602,35.1,1.4
199603,34.9,1.2
199604,35.0,1.3
199605,35.5,1.8
199606,36.2,2.5
199607,36.6,2.9
199608,36.6,2.9
199609,36.3,2.6
199610,36.2,2.5
199611,36.0,2.3
199612,36.1,2.4
199701,36.1,2.4
199702,35.6,1.9
199703,35.7,2.0
199704,35.6,1.9
199705,35.6,1.9
199706,35.5,1.8
199707,35.1,1.4
199708,35.1,1.4
199709,35.4,1.7
199710,35.5,1.8
199711,35.5,1.8
199712,35.1,1.4
199801,35.3,1.6
199802,35.5,1.8
199803,35.2,1.5
199804,35.1,1.4
199805,34.7,1.0
199806,34.2,0.5
199807,34.4,0.7
199808,34.4,0.7
199809,34.3,0.6
199810,34.4,0.7
199811,34.3,0.6
199812,34.3,0.6
199901,34.3,0.6
199902,34.5,0.8
199903,34.7,1.0
199904,34.5,0.8
199905,34.6,0.9
199906,34.9,1.2
199907,34.9,1.2
199908,34.6,0.9
199909,34.4,0.7
199910,34.6,0.9
199911,34.7,1.0
199912,34.8,1.1
200001,34.8,1.1
200002,35.0,1.3
200003,34.9,1.2
200004,35.6,1.9
200005,36.2,2.5
200006,36.4,2.7
200007,36.4,2.7
200008,36.6,2.9
200009,36.8,3.1
200010,36.9,3.2
200011,36.1,2.4
200012,36.5,2.8
200101,36.1,2.4
200102,35.8,2.1
200103,36.0,2.3
200104,35.8,2.1
200105,35.7,2.0
200106,35.6,1.9
200107,35.6,1.9
200108,35.5,1.8
200109,35.6,1.9
200110,35.8,2.1
200111,36.5,2.8
200112,36.0,2.3
200201,36.0,2.3
200202,35.7,2.0
200203,35.1,1.4
200204,35.3,1.6
200205,35.0,1.3
200206,35.1,1.4
200207,35.4,1.7
200208,35.3,1.6
200209,35.2,1.5
200210,34.8,1.1
200211,34.6,0.9
200212,34.8,1.1
200301,35.5,1.8
200302,35.8,2.1
200303,36.2,2.5
200304,35.9,2.2
200305,36.1,2.4
200306,36.0,2.3
200307,36.0,2.3
200308,36.2,2.5
200309,36.2,2.5
200310,36.7,3.0
200311,36.7,3.0
200312,36.8,3.1
200401,36.0,2.3
200402,35.7,2.0
200403,36.1,2.4
200404,36.3,2.6
200405,36.3,2.6
200406,36.4,2.7
200407,36.1,2.4
200408,35.8,2.1
200409,35.6,1.9
200410,35.3,1.6
200411,35.3,1.6
200412,35.4,1.7
200501,36.2,2.5
200502,36.7,3.0
200503,36.3,2.6
200504,36.0,2.3
200505,35.9,2.2
200506,35.6,1.9
200507,35.8,2.1
200508,35.7,2.0
200509,35.8,2.1
200510,35.7,2.0
200511,36.0,2.3
200512,35.9,2.2
200601,35.5,1.8
200602,35.1,1.4
200603,34.9,1.2
200604,35.1,1.4
200605,35.2,1.5
200606,35.7,2.0
200607,35.7,2.0
200608,35.8,2.1
200609,35.6,1.9
200610,35.4,1.7
200611,35.3,1.6
200612,35.1,1.4
200701,34.5,0.8
200702,34.8,1.1
200703,35.3,1.6
200704,35.3,1.6
200705,35.2,1.5
200706,35.1,1.4
200707,35.2,1.5
200708,35.3,1.6
200709,35.7,2.0
200710,35.7,2.0
200711,35.8,2.1
200712,35.6,1.9
200801,35.9,2.2
200802,35.6,1.9
200803,35.3,1.6
200804,34.9,1.2
200805,34.5,0.8
200806,34.4,0.7
200807,34.2,0.5
200808,34.2,0.5
200809,34.1,0.4
200810,34.2,0.5
200811,34.3,0.6
200812,34.4,0.7
200901,34.9,1.2
200902,34.9,1.2
200903,34.9,1.2
200904,35.1,1.4
200905,35.6,1.9
200906,35.6,1.9
200907,35.5,1.8
200908,35.3,1.6
200909,35.4,1.7
200910,35.1,1.4
200911,34.9,1.2
200912,34.6,0.9
201001,34.6,0.9
201002,34.6,0.9
201003,34.6,0.9
201004,34.5,0.8
201005,33.7,0.0
201006,33.9,0.2
201007,34.0,0.3
201008,34.0,0.3
201009,33.9,0.2
201010,34.4,0.7
201011,34.1,0.4
201012,35.1,1.4
201101,34.8,1.1
201102,34.6,0.9
201103,34.7,1.0
201104,34.8,1.1
201105,34.9,1.2
201106,34.7,1.0
201107,34.5,0.8
201108,34.6,0.9
201109,34.7,1.0
201110,34.5,0.8
201111,34.6,0.9
201112,33.9,0.2
201201,34.2,0.5
201202,34.4,0.7
201203,34.4,0.7
201204,34.6,0.9
201205,35.1,1.4
201206,35.4,1.7
201207,35.4,1.7
201208,35.5,1.8
201209,35.6,1.9
201210,35.7,2.0
201211,36.1,2.4
201212,36.2,2.5
201301,35.3,1.6
201302,35.1,1.4
201303,35.3,1.6
201304,35.1,1.4
201305,34.8,1.1
201306,34.9,1.2
201307,35.1,1.4
201308,34.9,1.2
201309,34.9,1.2
201310,34.4,0.7
201311,34.2,0.5
201312,33.8,0.1
201401,34.7,1.0
201402,35.4,1.7
201403,35.2,1.5
201404,35.4,1.7
201405,35.5,1.8
201406,35.4,1.7
201407,35.5,1.8
201408,35.4,1.7
201409,35.6,1.9
201410,36.2,2.5
201411,36.2,2.5
201412,37.0,3.3
201501,37.2,3.5
201502,37.4,3.7
201503,37.7,4.0
201504,37.6,3.9
201505,37.5,3.8
201506,37.8,4.1
201507,37.5,3.8
201508,37.7,4.0
201509,37.7,4.0
201510,37.9,4.2
201511,37.5,3.8
201512,37.1,3.4
201601,36.7,3.0
201602,36.2,2.5
201603,36.0,2.3
201604,36.2,2.5
201605,36.2,2.5
201606,36.3,2.6
201607,36.5,2.8
201608,36.4,2.7
201609,36.1,2.4
201610,36.1,2.4
201611,36.6,2.9
201612,36.7,3.0
201701,36.7,3.0
201702,37.2,3.5
201703,37.3,3.6
201704,37.2,3.5
201705,37.1,3.4
201706,37.0,3.3
201707,37.1,3.4
201708,37.2,3.5
201709,37.2,3.5
201710,36.5,2.8
201711,36.7,3.0
201712,36.8,3.1
201801,37.2,3.5
201802,36.5,2.8
201803,36.2,2.5
201804,36.4,2.7
201805,36.5,2.8
201806,36.4,2.7
201807,36.5,2.8
201808,36.6,2.9
201809,36.8,3.1
201810,37.2,3.5
201811,36.5,2.8
201812,36.6,2.9
201901,36.3,2.6
201902,36.1,2.4
201903,36.2,2.5
201904,36.2,2.5
201905,35.8,2.1
201906,35.4,1.7
201907,35.1,1.4
201908,34.9,1.2
201909,34.7,1.0
201910,34.0,0.3
201911,34.1,0.4
201912,34.3,0.6
202001,34.3,0.6
202002,34.6,0.9
202003,34.7,1.0
202004,34.7,1.0
202005,35.3,1.6
202006,35.5,1.8
202007,35.6,1.9
202008,35.7,2.0
202009,35.7,2.0
202010,36.6,2.9
202011,36.7,3.0
202012,36.4,2.7
202101,36.2,2.5
202102,36.3,2.6
202103,36.0,2.3
202104,36.0,2.3
202105,35.8,2.1
202106,36.2,2.5
202107,36.4,2.7
202108,36.3,2.6
202109,36.4,2.7
202110,36.1,2.4
202111,36.4,2.7
202112,36.8,3.1
202201,36.9,3.2
202202,36.5,2.8
202203,36.7,3.0
202204,36.6,2.9
202205,36.4,2.7
202206,36.2,2.5
202207,36.2,2.5
202208,36.3,2.6
202209,36.5,2.8
202210,36.6,2.9
202211,35.9,2.2
202212,35.8,2.1
202301,35.6,1.9
202302,35.6,1.9
202303,35.2,1.5
202304,35.0,1.3
202305,35.2,1.5
202306,34.8,1.1
202307,34.7,1.0
202308,34.6,0.9
202309,34.3,0.6
202310,34.3,0.6
202311,34.7,1.0
202312,34.9,1.2
202401,35.1,1.4
202402,35.9,2.2
202403,36.4,2.7
