Iron County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.81,-4.13
199002,-3.36,-3.77
199003,-3.41,-3.82
199004,-2.91,-3.24
199005,-2.68,-3.01
199006,-2.71,-3.09
199007,-2.79,-3.14
199008,-3.06,-3.42
199009,-2.44,-2.86
199010,-2.47,-2.89
199011,-2.29,-2.59
199012,-2.01,-2.23
199101,-2.02,-2.34
199102,-2.49,-2.90
199103,-2.09,-2.50
199104,-2.17,-2.50
199105,-1.50,-1.83
199106,-1.39,-1.77
199107,-1.81,-2.16
199108,-2.00,-2.36
199109,0.18,-0.24
199110,0.58,0.16
199111,0.72,0.42
199112,0.40,0.18
199201,0.11,-0.21
199202,0.12,-0.29
199203,0.97,0.56
199204,-0.85,-1.18
199205,-0.35,-0.68
199206,-0.35,-0.73
199207,-0.65,-1.00
199208,-0.28,-0.64
199209,-0.80,-1.22
199210,-0.36,-0.78
199211,-0.65,-0.95
199212,0.44,0.22
199301,2.21,1.89
199302,3.92,3.51
199303,-0.05,-0.46
199304,-0.43,-0.76
199305,0.06,-0.27
199306,0.58,0.20
199307,-0.33,-0.68
199308,-0.57,-0.93
199309,-1.16,-1.58
199310,-0.72,-1.14
199311,-0.60,-0.90
199312,-0.87,-1.09
199401,-1.44,-1.76
199402,-1.12,-1.53
199403,-1.74,-2.15
199404,-1.42,-1.75
199405,-1.65,-1.98
199406,-2.30,-2.68
199407,-3.13,-3.48
199408,-2.95,-3.31
199409,0.01,-0.41
199410,0.79,0.37
199411,1.91,1.61
199412,1.87,1.65
199501,2.68,2.36
199502,2.41,2.00
199503,3.36,2.95
199504,3.37,3.04
199505,4.13,3.80
199506,5.42,5.04
199507,5.68,5.33
199508,-0.01,-0.37
199509,-0.35,-0.77
199510,-1.08,-1.50
199511,-1.91,-2.21
199512,-2.05,-2.27
199601,-2.15,-2.47
199602,-2.16,-2.57
199603,-2.55,-2.96
199604,-2.79,-3.12
199605,-2.91,-3.24
199606,-3.70,-4.08
199607,-3.68,-4.03
199608,-4.38,-4.74
199609,0.07,-0.35
199610,0.18,-0.24
199611,0.72,0.42
199612,0.87,0.65
199701,1.55,1.23
199702,1.51,1.10
199703,0.51,0.10
199704,0.83,0.50
199705,0.60,0.27
199706,0.67,0.29
199707,0.25,-0.10
199708,0.66,0.30
199709,2.93,2.51
199710,2.67,2.25
199711,2.32,2.02
199712,1.68,1.46
199801,1.32,1.00
199802,1.93,1.52
199803,1.96,1.55
199804,2.24,1.91
199805,2.35,2.02
199806,3.19,2.81
199807,4.24,3.89
199808,3.83,3.47
199809,4.93,4.51
199810,5.43,5.01
199811,4.94,4.64
199812,-0.14,-0.36
199901,-0.48,-0.80
199902,-0.75,-1.16
199903,-1.57,-1.98
199904,0.54,0.21
199905,0.41,0.08
199906,0.64,0.26
199907,1.21,0.86
199908,1.53,1.17
199909,-0.03,-0.45
199910,-0.82,-1.24
199911,-1.56,-1.86
199912,-2.05,-2.27
200001,-2.06,-2.38
200002,-1.38,-1.79
200003,-1.65,-2.06
200004,-2.19,-2.52
200005,-2.72,-3.05
200006,-2.95,-3.33
200007,-3.80,-4.15
200008,0.57,0.21
200009,0.04,-0.38
200010,1.75,1.33
200011,1.78,1.48
200012,1.27,1.05
200101,1.39,1.07
200102,1.69,1.28
200103,1.35,0.94
200104,1.49,1.16
200105,-0.22,-0.55
200106,-0.23,-0.61
200107,-0.56,-0.91
200108,-0.48,-0.84
200109,-1.21,-1.63
200110,-1.80,-2.22
200111,-1.75,-2.05
200112,-1.55,-1.77
200201,-2.07,-2.39
200202,-2.68,-3.09
200203,-3.15,-3.56
200204,-3.74,-4.07
200205,-4.63,-4.96
200206,-5.60,-5.98
200207,-6.24,-6.59
200208,-6.86,-7.22
200209,-5.85,-6.27
200210,-4.91,-5.33
200211,-4.73,-5.03
200212,-4.58,-4.80
200301,-5.22,-5.54
200302,-4.71,-5.12
200303,-4.68,-5.09
200304,-4.18,-4.51
200305,-4.19,-4.52
200306,-4.72,-5.10
200307,-5.21,-5.56
200308,-5.08,-5.44
200309,-5.12,-5.54
200310,-5.54,-5.96
200311,-4.99,-5.29
200312,-4.18,-4.40
200401,-4.14,-4.46
200402,-3.22,-3.63
200403,-4.07,-4.48
200404,-3.72,-4.05
200405,-3.86,-4.19
200406,-4.09,-4.47
200407,-3.86,-4.21
200408,-3.88,-4.24
200409,-3.59,-4.01
200410,2.58,2.16
200411,3.28,2.98
200412,3.72,3.50
200501,5.26,4.94
200502,5.75,5.34
200503,5.64,5.23
200504,5.67,5.34
200505,5.55,5.22
200506,6.40,6.02
200507,6.11,5.76
200508,6.46,6.10
200509,-0.31,-0.73
200510,0.38,-0.04
200511,-0.68,-0.98
200512,-0.96,-1.18
200601,-1.08,-1.40
200602,-1.69,-2.10
200603,-0.62,-1.03
200604,-0.76,-1.09
200605,-1.24,-1.57
200606,-1.63,-2.01
200607,-1.05,-1.40
200608,-1.75,-2.11
200609,-1.63,-2.05
200610,1.07,0.65
200611,-0.54,-0.84
200612,-0.48,-0.70
200701,-0.73,-1.05
200702,-0.83,-1.24
200703,-1.73,-2.14
200704,-1.78,-2.11
200705,-2.51,-2.84
200706,-3.12,-3.50
200707,-3.41,-3.76
200708,-3.23,-3.59
200709,-2.55,-2.97
200710,-2.99,-3.41
200711,-3.40,-3.70
200712,-2.50,-2.72
200801,-1.52,-1.84
200802,-0.96,-1.37
200803,-1.36,-1.77
200804,-1.84,-2.17
200805,-1.42,-1.75
200806,-1.21,-1.59
200807,-1.16,-1.51
200808,-1.71,-2.07
200809,-2.17,-2.59
200810,-2.20,-2.62
200811,-2.20,-2.50
200812,-1.52,-1.74
200901,-1.43,-1.75
200902,-1.04,-1.45
200903,-1.41,-1.82
200904,-1.21,-1.54
200905,-1.39,-1.72
200906,-1.46,-1.84
200907,-1.79,-2.14
200908,-2.71,-3.07
200909,-2.92,-3.34
200910,-2.94,-3.36
200911,-3.02,-3.32
200912,0.24,0.02
201001,0.80,0.48
201002,1.12,0.71
201003,1.25,0.84
201004,1.66,1.33
201005,1.62,1.29
201006,2.02,1.64
201007,1.71,1.36
201008,1.47,1.11
201009,0.56,0.14
201010,2.01,1.59
201011,2.31,2.01
201012,4.35,4.13
201101,4.02,3.70
201102,4.50,4.09
201103,4.06,3.65
201104,3.96,3.63
201105,4.89,4.56
201106,4.95,4.57
201107,5.35,5.00
201108,4.60,4.24
201109,4.24,3.82
201110,4.38,3.96
201111,-0.11,-0.41
201112,-0.41,-0.63
201201,-0.75,-1.07
201202,-0.60,-1.01
201203,-1.11,-1.52
201204,-1.38,-1.71
201205,-2.19,-2.52
201206,-3.03,-3.41
201207,-2.29,-2.64
201208,-1.29,-1.65
201209,-1.13,-1.55
201210,-1.11,-1.53
201211,-1.50,-1.80
201212,-1.20,-1.42
201301,-1.12,-1.44
201302,-1.26,-1.67
201303,-1.86,-2.27
201304,-1.98,-2.31
201305,-2.40,-2.73
201306,-3.19,-3.57
201307,0.59,0.24
201308,1.14,0.78
201309,2.44,2.02
201310,-0.09,-0.51
201311,-0.37,-0.67
201312,-0.48,-0.70
201401,-1.14,-1.46
201402,-1.87,-2.28
201403,-2.56,-2.97
201404,-2.80,-3.13
201405,-3.02,-3.35
201406,-4.11,-4.49
201407,-4.04,-4.39
201408,-3.23,-3.59
201409,-1.07,-1.49
201410,-1.72,-2.14
201411,-1.96,-2.26
201412,-1.89,-2.11
201501,-2.19,-2.51
201502,-2.64,-3.05
201503,-3.16,-3.57
201504,-3.19,-3.52
201505,1.12,0.79
201506,0.82,0.44
201507,0.57,0.22
201508,0.24,-0.12
201509,0.02,-0.40
201510,0.34,-0.08
201511,0.43,0.13
201512,0.62,0.40
201601,0.95,0.63
201602,-0.28,-0.69
201603,-0.74,-1.15
201604,-0.23,-0.56
201605,-0.31,-0.64
201606,-0.46,-0.84
201607,-0.91,-1.26
201608,-0.86,-1.22
201609,-0.73,-1.15
201610,-1.18,-1.60
201611,-1.29,-1.59
201612,0.50,0.28
201701,1.30,0.98
201702,1.24,0.83
201703,-0.19,-0.60
201704,-0.28,-0.61
201705,-0.19,-0.52
201706,-0.38,-0.76
201707,0.30,-0.05
201708,0.68,0.32
201709,1.07,0.65
201710,-0.71,-1.13
201711,-1.60,-1.90
201712,-2.15,-2.37
201801,-2.27,-2.59
201802,-2.49,-2.90
201803,-2.41,-2.82
201804,-2.75,-3.08
201805,-3.21,-3.54
201806,-4.03,-4.41
201807,-3.82,-4.17
201808,-3.84,-4.20
201809,-4.30,-4.72
201810,1.46,1.04
201811,1.22,0.92
201812,0.97,0.75
201901,1.17,0.85
201902,2.24,1.83
201903,3.06,2.65
201904,3.05,2.72
201905,4.94,4.61
201906,5.16,4.78
201907,5.05,4.70
201908,-0.72,-1.08
201909,-1.22,-1.64
201910,-1.63,-2.05
201911,1.17,0.87
201912,1.61,1.39
202001,1.29,0.97
202002,1.27,0.86
202003,1.44,1.03
202004,-0.06,-0.39
202005,-0.46,-0.79
202006,-0.73,-1.11
202007,-1.49,-1.84
202008,-2.50,-2.86
202009,-3.09,-3.51
202010,-3.70,-4.12
202011,-3.78,-4.08
202012,-3.90,-4.12
202101,-3.93,-4.25
202102,-4.24,-4.65
202103,-4.37,-4.78
202104,-4.64,-4.97
202105,-5.46,-5.79
202106,-6.37,-6.75
202107,-4.95,-5.30
202108,-4.13,-4.49
202109,-4.17,-4.59
202110,-2.90,-3.32
202111,-3.53,-3.83
202112,-2.27,-2.49
202201,-2.65,-2.97
202202,-2.75,-3.16
202203,-3.06,-3.47
202204,-3.32,-3.65
202205,-4.01,-4.34
202206,-4.72,-5.10
202207,-4.65,-5.00
202208,0.71,0.35
202209,0.69,0.27
202210,0.55,0.13
202211,1.13,0.83
202212,1.25,1.03
202301,2.53,2.21
202302,3.04,2.63
202303,4.38,3.97
202304,3.69,3.36
202305,3.21,2.88
202306,3.27,2.89
202307,2.38,2.03
202308,3.07,2.71
202309,3.48,3.06
202310,2.57,2.15
202311,2.00,1.70
202312,1.01,0.79
202401,1.01,0.69
202402,1.04,0.63
202403,1.09,0.68
