Iron County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.81,-4.24
199002,-3.36,-3.76
199003,-3.41,-3.84
199004,-2.91,-3.36
199005,-2.68,-3.15
199006,-2.71,-3.20
199007,-2.79,-3.33
199008,-3.06,-3.69
199009,-2.44,-3.11
199010,-2.47,-3.13
199011,-2.29,-2.85
199012,-2.01,-2.46
199101,-2.02,-2.45
199102,-2.49,-2.89
199103,-2.09,-2.52
199104,-2.17,-2.62
199105,-1.50,-1.97
199106,-1.39,-1.88
199107,-1.81,-2.35
199108,-2.00,-2.63
199109,-1.62,-2.29
199110,-1.02,-1.68
199111,-0.73,-1.29
199112,-0.89,-1.34
199201,-1.05,-1.48
199202,-0.92,-1.32
199203,0.97,0.54
199204,-0.85,-1.30
199205,-0.35,-0.82
199206,-0.35,-0.84
199207,-0.65,-1.19
199208,-0.28,-0.91
199209,-0.80,-1.47
199210,-0.36,-1.02
199211,-0.65,-1.21
199212,0.44,-0.01
199301,2.21,1.78
199302,3.92,3.52
199303,3.46,3.03
199304,2.73,2.28
199305,2.51,2.04
199306,2.77,2.28
199307,2.16,1.62
199308,1.66,1.03
199309,0.84,0.17
199310,1.08,0.42
199311,1.01,0.45
199312,0.58,0.13
199401,-1.44,-1.87
199402,-1.12,-1.52
199403,-1.74,-2.17
199404,-1.42,-1.87
199405,-1.65,-2.12
199406,-2.30,-2.79
199407,-3.13,-3.67
199408,-2.95,-3.58
199409,-2.64,-3.31
199410,-1.59,-2.25
199411,1.91,1.35
199412,1.87,1.42
199501,2.68,2.25
199502,2.41,2.01
199503,3.36,2.93
199504,3.37,2.92
199505,4.13,3.66
199506,5.42,4.93
199507,5.68,5.14
199508,5.08,4.45
199509,4.22,3.55
199510,3.02,2.36
199511,1.77,1.21
199512,1.25,0.80
199601,0.81,0.38
199602,-2.16,-2.56
199603,-2.55,-2.98
199604,-2.79,-3.24
199605,-2.91,-3.38
199606,-3.70,-4.19
199607,-3.68,-4.22
199608,-4.38,-5.01
199609,-3.86,-4.53
199610,-3.35,-4.01
199611,-2.44,-3.00
199612,-1.97,-2.42
199701,-0.99,-1.42
199702,-0.77,-1.17
199703,-1.54,-1.97
199704,-1.00,-1.45
199705,-1.05,-1.52
199706,-0.81,-1.30
199707,-1.07,-1.61
199708,0.66,0.03
199709,2.93,2.26
199710,2.67,2.01
199711,2.32,1.76
199712,1.68,1.23
199801,1.32,0.89
199802,1.93,1.53
199803,1.96,1.53
199804,2.24,1.79
199805,2.35,1.88
199806,3.19,2.70
199807,4.24,3.70
199808,3.83,3.20
199809,4.93,4.26
199810,5.43,4.77
199811,4.94,4.38
199812,4.29,3.84
199901,3.50,3.07
199902,2.81,2.41
199903,1.63,1.20
199904,2.00,1.55
199905,1.72,1.25
