Iron County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.81,-4.11
199002,-3.22,-3.63
199003,-3.41,-3.78
199004,-2.68,-3.04
199005,-2.48,-2.91
199006,-2.71,-3.18
199007,-2.79,-3.30
199008,-3.06,-3.63
199009,-2.00,-2.53
199010,-2.33,-2.86
199011,-2.17,-2.59
199012,-1.77,-2.08
199101,-1.99,-2.29
199102,-2.49,-2.90
199103,-1.83,-2.20
199104,-2.17,-2.53
199105,-0.83,-1.26
199106,-0.74,-1.21
199107,-1.81,-2.32
199108,-2.00,-2.57
199109,-1.31,-1.84
199110,-0.06,-0.59
199111,0.49,0.07
199112,-0.01,-0.32
199201,-0.43,-0.73
199202,-0.27,-0.68
199203,0.97,0.60
199204,-0.85,-1.21
199205,0.43,0.00
199206,0.35,-0.12
199207,-0.65,-1.16
199208,0.30,-0.27
199209,-0.80,-1.33
199210,0.37,-0.16
199211,-0.65,-1.07
199212,0.44,0.13
199301,2.21,1.91
199302,3.92,3.51
199303,3.34,2.97
199304,2.11,1.75
199305,1.92,1.49
199306,2.71,2.24
199307,1.64,1.13
199308,0.76,0.19
199309,-0.83,-1.36
199310,-0.17,-0.70
199311,-0.16,-0.58
199312,-0.85,-1.16
199401,-1.44,-1.74
199402,-0.76,-1.17
199403,-1.74,-2.11
199404,-1.13,-1.49
199405,-1.65,-2.08
199406,-2.30,-2.77
199407,-3.13,-3.64
199408,-2.95,-3.52
199409,-2.56,-3.09
199410,-0.50,-1.03
199411,1.91,1.49
199412,1.87,1.56
199501,2.68,2.38
199502,2.35,1.94
199503,3.36,2.99
199504,3.37,3.01
199505,4.13,3.70
199506,5.42,4.95
199507,5.68,5.17
199508,5.01,4.44
199509,3.72,3.19
199510,1.63,1.10
199511,-0.62,-1.04
199512,-1.36,-1.67
199601,-1.92,-2.22
199602,-2.16,-2.57
199603,-2.55,-2.92
199604,-2.79,-3.15
199605,-2.91,-3.34
199606,-3.70,-4.17
199607,-3.68,-4.19
199608,-4.38,-4.95
199609,-3.72,-4.25
199610,-3.02,-3.55
199611,-1.42,-1.84
199612,-0.69,-1.00
199701,1.09,0.79
199702,1.30,0.89
199703,-0.35,-0.72
199704,0.46,0.10
199705,0.22,-0.21
199706,0.50,0.03
199707,-0.08,-0.59
199708,0.66,0.09
199709,2.93,2.40
199710,2.65,2.12
199711,2.14,1.72
199712,0.96,0.65
199801,0.31,0.01
199802,1.76,1.35
199803,1.96,1.59
199804,2.24,1.88
199805,2.35,1.92
199806,3.19,2.72
199807,4.24,3.73
199808,3.81,3.24
199809,4.93,4.40
199810,5.43,4.90
199811,4.94,4.52
199812,4.07,3.76
199901,2.83,2.53
199902,1.75,1.34
199903,-0.42,-0.79
199904,0.58,0.22
199905,0.26,-0.17
199906,0.62,0.15
199907,1.59,1.08
199908,2.10,1.53
199909,1.73,1.20
199910,-0.16,-0.69
199911,-1.56,-1.98
199912,-2.05,-2.36
200001,-2.06,-2.36
200002,-0.68,-1.09
200003,-1.45,-1.82
200004,-2.19,-2.55
200005,-2.72,-3.15
200006,-2.95,-3.42
200007,-3.80,-4.31
200008,-2.12,-2.69
200009,-2.79,-3.32
200010,1.23,0.70
200011,1.63,1.21
200012,0.91,0.60
200101,1.36,1.06
200102,1.69,1.28
200103,1.04,0.67
200104,1.49,1.13
200105,0.68,0.25
200106,0.41,-0.06
200107,-0.56,-1.07
200108,-0.48,-1.05
200109,-1.21,-1.74
